cg4_group,host_lim_group,control4c_group,objid,cg4_rank_M,control4c_rank_M,control4c_rank_dist,cg4_class
206.0,1741.0,1741.0,1237657627919319142,1.0,1.0,1.0,Embedded
206.0,1741.0,1741.0,1237657627919319141,2.0,2.0,2.0,Embedded
206.0,1741.0,1741.0,1237657627919384583,3.0,5.0,3.0,Embedded
206.0,1741.0,1741.0,1237657627919319144,4.0,7.0,4.0,Embedded
309.0,3859.0,3859.0,1237648704057573661,1.0,1.0,1.0,Embedded
309.0,3859.0,3859.0,1237648704057573499,2.0,2.0,3.0,Embedded
309.0,3859.0,3859.0,1237648704057573747,3.0,3.0,2.0,Embedded
309.0,3859.0,3859.0,1237648704057573731,4.0,5.0,4.0,Embedded
315.0,5240.0,5240.0,1237651735776460868,1.0,1.0,1.0,Embedded
315.0,5240.0,5240.0,1237655468597182863,2.0,2.0,2.0,Embedded
315.0,5240.0,5240.0,1237655468597182871,3.0,3.0,4.0,Embedded
323.0,1685.0,1685.0,1237661950272471286,1.0,1.0,1.0,Embedded
323.0,1685.0,1685.0,1237661950272471287,3.0,4.0,2.0,Embedded
323.0,1685.0,1685.0,1237661950272471275,4.0,6.0,4.0,Embedded
