cg4_group,lim_group,objid,cg4_rank_M,pc_rank_M,pc_rank_dist,cg4_class
25,5316,1237655108898979844,1,1,1,Embedded
25,5316,1237655108898914500,2,3,3,Embedded
25,5316,1237655108898914492,3,4,4,Embedded
25,5316,1237655108898980064,4,5,2,Embedded
28,757,1237651192431902873,1,1,1,Predom
28,757,1237651192431902934,2,5,4,Predom
28,757,1237651192431902942,3,9,2,Predom
28,757,1237651192431902951,4,12,3,Predom
33,6739,1237653664714391702,1,1,1,Embedded
33,6739,1237653664714391735,2,2,2,Embedded
33,6739,1237651753452765233,3,3,3,Embedded
42,3863,1237664093977182232,1,1,1,Embedded
42,3863,1237664093977182233,3,3,3,Embedded
42,3863,1237664093977182234,4,4,2,Embedded
46,316,1237661383844233271,1,1,1,Split
46,316,1237664870823166177,2,8,3,Split
46,316,1237661383844233485,4,14,2,Split
52,225,1237664879949906003,1,1,1,Predom
52,225,1237664879949906001,2,6,4,Predom
52,225,1237664837006852244,3,9,3,Predom
52,225,1237664879949906004,4,15,2,Predom
61,4038,1237661382235652124,1,1,1,Embedded
61,4038,1237661382235652235,2,4,2,Embedded
61,4038,1237661382235652234,3,5,3,Embedded
61,4038,1237661382235652236,4,6,4,Embedded
63,389,1237661381699174422,1,1,1,Embedded
63,389,1237661381699108952,2,2,2,Embedded
73,1288,1237664336632741928,1,1,1,Embedded
80,2045,1237671260670525453,1,1,1,Embedded
80,2045,1237671260670525479,3,3,2,Embedded
80,2045,1237671260670525478,4,4,3,Embedded
82,3033,1237664670045765663,1,1,1,Embedded
82,3033,1237661136886366310,2,2,3,Embedded
82,3033,1237661381701861554,3,3,2,Embedded
84,1493,1237671125379842213,1,1,1,Embedded
84,1493,1237671125379907676,2,2,4,Embedded
84,1493,1237671125379842214,3,4,2,Embedded
84,1493,1237671125379842189,4,5,3,Embedded
99,1675,1237667536399761464,1,1,1,Embedded
99,1675,1237667536399761571,2,3,2,Embedded
99,1675,1237667783897383027,4,7,4,Embedded
101,2044,1237654398613913710,1,1,1,Embedded
101,2044,1237654398613913657,2,2,4,Embedded
101,2044,1237654398613913659,3,5,3,Embedded
101,2044,1237654398613913661,4,6,2,Embedded
106,3099,1237648721221910580,1,1,1,Embedded
106,3099,1237654669739950159,4,4,3,Embedded
112,240,1237648721759961111,1,1,1,Predom
112,240,1237648721759961363,2,5,2,Predom
112,240,1237648721759961197,3,11,3,Predom
117,3080,1237654602106732592,1,1,1,Embedded
117,3080,1237654602106732681,3,3,2,Embedded
117,3080,1237654602106732720,4,4,3,Embedded
121,4018,1237654604791545887,1,1,1,Embedded
121,4018,1237654604791545888,3,3,2,Embedded
121,4018,1237654604791546018,4,5,3,Embedded
128,5335,1237664819818987529,1,1,1,Embedded
128,5335,1237664819818987565,2,2,4,Embedded
128,5335,1237664819818987566,3,3,3,Embedded
128,5335,1237664819818987690,4,5,2,Embedded
131,126,1237667431715766291,1,1,1,Predom
131,126,1237667431715766292,2,5,3,Predom
131,126,1237667431715766293,3,7,4,Predom
131,126,1237667431715766294,4,18,2,Predom
142,3999,1237662223525871655,1,1,1,Embedded
142,3999,1237662223525871715,2,3,2,Embedded
142,3999,1237662223525806268,3,4,3,Embedded
142,3999,1237662223525806252,4,5,4,Embedded
147,9952,1237664337177477186,1,1,1,Isolated
147,9952,1237664337177477185,2,2,2,Isolated
147,9952,1237664337177542740,3,3,3,Isolated
147,9952,1237664337177542775,4,4,4,Isolated
154,879,1237657628452388926,1,1,1,Embedded
154,879,1237657628452389021,4,7,4,Embedded
158,10996,1237661811196624933,1,1,1,Isolated
158,10996,1237661811196625002,2,2,2,Isolated
158,10996,1237661811196559464,3,3,4,Isolated
158,10996,1237661948639445082,4,4,3,Isolated
165,36,1237665126930055238,1,1,1,Predom
165,36,1237665126930055405,2,13,4,Predom
165,36,1237665126930055448,3,14,2,Predom
173,1824,1237658312939798567,1,1,1,Embedded
173,1824,1237655108913594378,2,3,4,Embedded
173,1824,1237658312939798811,3,6,2,Embedded
173,1824,1237655108913594468,4,7,3,Embedded
175,11175,1237648722841043066,1,1,1,Isolated
175,11175,1237648722841042953,2,2,2,Isolated
175,11175,1237648722840977489,3,3,4,Isolated
175,11175,1237648722841043030,4,4,3,Isolated
188,800,1237667733971337221,1,1,1,Embedded
188,800,1237667781760319536,2,5,4,Embedded
188,800,1237667781760319656,4,8,3,Embedded
197,5360,1237657591934025821,1,1,1,Embedded
197,5360,1237657591934025805,2,2,4,Embedded
197,5360,1237657591934025822,4,4,2,Embedded
204,1117,1237657858222391375,1,1,1,Predom
204,1117,1237657858222456920,2,6,2,Predom
204,1117,1237657858222391531,4,10,4,Predom
206,1741,1237657627919319142,1,1,1,Embedded
206,1741,1237657627919319141,2,2,2,Embedded
206,1741,1237657627919384583,3,5,3,Embedded
206,1741,1237657627919319144,4,7,4,Embedded
207,406,1237661152450183230,1,1,1,Predom
207,406,1237661152450248713,3,7,2,Predom
214,10818,1237661435920646147,1,1,1,Isolated
214,10818,1237661435920646302,2,2,4,Isolated
214,10818,1237661435920646283,3,3,2,Isolated
214,10818,1237661435920580738,4,4,3,Isolated
231,3047,1237661949186474088,1,1,1,Embedded
231,3047,1237661949186408636,3,3,4,Embedded
231,3047,1237661949186474090,4,6,2,Embedded
239,11010,1237661873482891334,1,1,1,Isolated
239,11010,1237661873482891502,2,2,2,Isolated
239,11010,1237661873482956896,3,3,4,Isolated
239,11010,1237661873482891322,4,4,3,Isolated
248,2535,1237667323801501739,1,1,1,Split
248,2535,1237667323801567341,3,3,4,Split
248,2535,1237665532781789383,4,4,2,Split
259,1248,1237661418747461670,1,1,1,Predom
259,1248,1237661418747527234,2,5,3,Predom
259,1248,1237661418747461854,4,7,2,Predom
265,3157,1237667783918026937,1,1,1,Embedded
265,3157,1237667783918092311,2,2,3,Embedded
265,3157,1237667783918092392,4,4,2,Embedded
271,5093,1237655463774191677,1,1,1,Embedded
271,5093,1237655368756625588,2,2,4,Embedded
271,5093,1237655463774126344,3,3,3,Embedded
276,1284,1237651273515794444,1,1,1,Embedded
276,1284,1237651273515794443,2,2,2,Embedded
276,1284,1237651273515794447,4,6,3,Embedded
291,639,1237661950805082192,1,1,1,Split
291,639,1237661950805082313,2,2,3,Split
291,639,1237662199889461436,3,4,2,Split
293,310,1237661418750476311,1,1,1,Predom
293,310,1237661418750476312,2,8,2,Predom
293,310,1237661418750476491,4,12,3,Predom
303,10811,1237667912217985078,1,1,1,Isolated
303,10811,1237665567146115211,2,2,4,Isolated
303,10811,1237665567146115095,3,3,2,Isolated
303,10811,1237667912217919745,4,4,3,Isolated
309,3859,1237648704057573661,1,1,1,Embedded
309,3859,1237648704057573499,2,2,3,Embedded
309,3859,1237648704057573747,3,3,2,Embedded
309,3859,1237648704057573731,4,5,4,Embedded
315,5240,1237651735776460868,1,1,1,Embedded
315,5240,1237655468597182863,2,2,2,Embedded
315,5240,1237655468597182871,3,3,4,Embedded
316,1877,1237667733988573256,1,1,1,Embedded
316,1877,1237667733988573355,2,2,2,Embedded
322,7404,1237659131675213861,1,1,1,Embedded
322,7404,1237659131675148382,2,2,2,Embedded
322,7404,1237659131675148445,3,4,4,Embedded
322,7404,1237659131675148384,4,5,3,Embedded
323,1685,1237661950272471286,1,1,1,Embedded
323,1685,1237661950272471287,3,4,2,Embedded
323,1685,1237661950272471275,4,6,4,Embedded
333,30,1237665549969588378,1,1,1,Predom
