objid,in_CG4,CG4_group,CG4_rank_M,CG4_rank_dist,in_Control4B,Control4B_group,Control4B_rank_M,Control4B_rank_dist,in_Control4C,Control4C_group,Control4C_rank_M,Control4C_rank_dist,in_RG4,RG4_group,RG4_rank_M,RG4_rank_dist,in_PC,PC_group,PC_rank_M,PC_rank_dist,CG4_class,CG4_host_lim_group,lim_group,physical_group
1237673808117498264,True,7.0,1.0,1.0,False,,,,False,,,,False,,,,False,,,,Split,,,HMCG:7
1237673808117498246,True,7.0,2.0,4.0,False,,,,False,,,,False,,,,False,,,,Split,,,HMCG:7
1237673808117498266,True,7.0,3.0,2.0,False,,,,False,,,,False,,,,False,,,,Split,,,HMCG:7
1237673808117563770,True,7.0,4.0,3.0,False,,,,False,,,,False,,,,False,,,,Split,,,HMCG:7
1237655108898979844,True,25.0,1.0,1.0,False,,,,False,,,,False,,,,True,5316.0,1.0,1.0,Embedded,5316.0,5316.0,Lim:5316
1237655108898914500,True,25.0,2.0,3.0,False,,,,False,,,,False,,,,True,5316.0,3.0,3.0,Embedded,5316.0,5316.0,Lim:5316
1237655108898914492,True,25.0,3.0,4.0,False,,,,False,,,,False,,,,True,5316.0,4.0,4.0,Embedded,5316.0,5316.0,Lim:5316
1237655108898980064,True,25.0,4.0,2.0,False,,,,False,,,,False,,,,True,5316.0,5.0,2.0,Embedded,5316.0,5316.0,Lim:5316
1237651534946435160,True,26.0,1.0,1.0,False,,,,False,,,,False,,,,False,,,,Split,,,HMCG:26
1237651702451667092,True,26.0,2.0,3.0,False,,,,False,,,,False,,,,False,,,,Split,,,HMCG:26
1237651534946369716,True,26.0,3.0,4.0,False,,,,False,,,,False,,,,False,,,,Split,,,HMCG:26
1237651702451732619,True,26.0,4.0,2.0,False,,,,False,,,,False,,,,False,,,,Split,,,HMCG:26
1237651533872496853,True,27.0,1.0,1.0,False,,,,False,,,,False,,,,True,757.0,2.0,12.0,Predom,757.0,757.0,Lim:757
1237651271887618101,True,27.0,2.0,4.0,False,,,,False,,,,False,,,,True,757.0,4.0,10.0,Predom,757.0,757.0,Lim:757
1237651271887618204,True,27.0,3.0,3.0,False,,,,False,,,,False,,,,True,757.0,16.0,11.0,Predom,757.0,757.0,Lim:757
1237651533872496832,True,27.0,4.0,2.0,False,,,,False,,,,False,,,,True,757.0,17.0,13.0,Predom,757.0,757.0,Lim:757
1237651192431902873,True,28.0,1.0,1.0,False,,,,False,,,,False,,,,True,757.0,1.0,1.0,Predom,757.0,757.0,Lim:757
1237651192431902934,True,28.0,2.0,4.0,False,,,,False,,,,False,,,,True,757.0,5.0,4.0,Predom,757.0,757.0,Lim:757
1237651192431902942,True,28.0,3.0,2.0,False,,,,False,,,,False,,,,True,757.0,9.0,2.0,Predom,757.0,757.0,Lim:757
1237651192431902951,True,28.0,4.0,3.0,False,,,,False,,,,False,,,,True,757.0,12.0,3.0,Predom,757.0,757.0,Lim:757
1237653664714391702,True,33.0,1.0,1.0,False,,,,False,,,,False,,,,True,6739.0,1.0,1.0,Embedded,6739.0,6739.0,Lim:6739
1237653664714391735,True,33.0,2.0,2.0,False,,,,False,,,,False,,,,True,6739.0,2.0,2.0,Embedded,6739.0,6739.0,Lim:6739
1237651753452765233,True,33.0,3.0,3.0,False,,,,False,,,,False,,,,True,6739.0,3.0,3.0,Embedded,6739.0,6739.0,Lim:6739
1237651753452765443,True,33.0,4.0,4.0,False,,,,False,,,,False,,,,True,6739.0,4.0,5.0,Embedded,6739.0,6739.0,Lim:6739
1237664093977182232,True,42.0,1.0,1.0,False,,,,False,,,,False,,,,True,3863.0,1.0,1.0,Embedded,3863.0,3863.0,Lim:3863
1237664093977116737,True,42.0,2.0,4.0,False,,,,False,,,,False,,,,True,3863.0,2.0,5.0,Embedded,3863.0,3863.0,Lim:3863
1237664093977182233,True,42.0,3.0,3.0,False,,,,False,,,,False,,,,True,3863.0,3.0,3.0,Embedded,3863.0,3863.0,Lim:3863
1237664093977182234,True,42.0,4.0,2.0,False,,,,False,,,,False,,,,True,3863.0,4.0,2.0,Embedded,3863.0,3863.0,Lim:3863
1237661383844233271,True,46.0,1.0,1.0,False,,,,False,,,,False,,,,True,316.0,1.0,1.0,Split,316.0,316.0,Lim:316
1237664870823166177,True,46.0,2.0,3.0,False,,,,False,,,,False,,,,True,316.0,8.0,3.0,Split,316.0,316.0,Lim:316
1237664870823166195,True,46.0,3.0,4.0,False,,,,False,,,,False,,,,False,,,,Split,316.0,316.0,Lim:316
1237661383844233485,True,46.0,4.0,2.0,False,,,,False,,,,False,,,,True,316.0,14.0,2.0,Split,316.0,316.0,Lim:316
1237664879949906003,True,52.0,1.0,1.0,False,,,,False,,,,False,,,,True,225.0,1.0,1.0,Predom,225.0,225.0,Lim:225
1237664879949906001,True,52.0,2.0,4.0,False,,,,False,,,,False,,,,True,225.0,6.0,4.0,Predom,225.0,225.0,Lim:225
1237664837006852244,True,52.0,3.0,3.0,False,,,,False,,,,False,,,,True,225.0,9.0,3.0,Predom,225.0,225.0,Lim:225
1237664879949906004,True,52.0,4.0,2.0,False,,,,False,,,,False,,,,True,225.0,15.0,2.0,Predom,225.0,225.0,Lim:225
1237661382235652124,True,61.0,1.0,1.0,False,,,,False,,,,False,,,,True,4038.0,1.0,1.0,Embedded,4038.0,4038.0,Lim:4038
1237661382235652235,True,61.0,2.0,2.0,False,,,,False,,,,False,,,,True,4038.0,4.0,2.0,Embedded,4038.0,4038.0,Lim:4038
1237661382235652234,True,61.0,3.0,3.0,False,,,,False,,,,False,,,,True,4038.0,5.0,3.0,Embedded,4038.0,4038.0,Lim:4038
1237661382235652236,True,61.0,4.0,4.0,False,,,,False,,,,False,,,,True,4038.0,6.0,4.0,Embedded,4038.0,4038.0,Lim:4038
1237661381699174422,True,63.0,1.0,1.0,False,,,,False,,,,False,,,,True,389.0,1.0,1.0,Embedded,389.0,389.0,Lim:389
1237661381699108952,True,63.0,2.0,2.0,False,,,,False,,,,False,,,,True,389.0,2.0,2.0,Embedded,389.0,389.0,Lim:389
1237661381699108923,True,63.0,3.0,4.0,False,,,,False,,,,False,,,,True,389.0,3.0,7.0,Embedded,389.0,389.0,Lim:389
1237661381699108924,True,63.0,4.0,3.0,False,,,,False,,,,False,,,,True,389.0,7.0,6.0,Embedded,389.0,389.0,Lim:389
1237664336632741928,True,73.0,1.0,1.0,False,,,,False,,,,False,,,,True,1288.0,1.0,1.0,Embedded,1288.0,1288.0,Lim:1288
1237664336632741895,True,73.0,2.0,2.0,False,,,,False,,,,False,,,,True,1288.0,2.0,5.0,Embedded,1288.0,1288.0,Lim:1288
1237665099004051581,True,73.0,3.0,4.0,False,,,,False,,,,False,,,,True,1288.0,3.0,7.0,Embedded,1288.0,1288.0,Lim:1288
1237664869753487485,True,73.0,4.0,3.0,False,,,,False,,,,False,,,,True,1288.0,4.0,6.0,Embedded,1288.0,1288.0,Lim:1288
1237671260670525453,True,80.0,1.0,1.0,False,,,,False,,,,False,,,,True,2045.0,1.0,1.0,Embedded,2045.0,2045.0,Lim:2045
1237671123231768624,True,80.0,2.0,4.0,False,,,,False,,,,False,,,,True,2045.0,2.0,5.0,Embedded,2045.0,2045.0,Lim:2045
1237671260670525479,True,80.0,3.0,2.0,False,,,,False,,,,False,,,,True,2045.0,3.0,2.0,Embedded,2045.0,2045.0,Lim:2045
1237671260670525478,True,80.0,4.0,3.0,False,,,,False,,,,False,,,,True,2045.0,4.0,3.0,Embedded,2045.0,2045.0,Lim:2045
1237664670045765663,True,82.0,1.0,1.0,False,,,,False,,,,False,,,,True,3033.0,1.0,1.0,Embedded,3033.0,3033.0,Lim:3033
1237661136886366310,True,82.0,2.0,3.0,False,,,,False,,,,False,,,,True,3033.0,2.0,3.0,Embedded,3033.0,3033.0,Lim:3033
1237661381701861554,True,82.0,3.0,2.0,False,,,,False,,,,False,,,,True,3033.0,3.0,2.0,Embedded,3033.0,3033.0,Lim:3033
1237661381701861576,True,82.0,4.0,4.0,False,,,,False,,,,False,,,,True,3033.0,6.0,5.0,Embedded,3033.0,3033.0,Lim:3033
1237671125379842213,True,84.0,1.0,1.0,False,,,,False,,,,False,,,,True,1493.0,1.0,1.0,Embedded,1493.0,1493.0,Lim:1493
1237671125379907676,True,84.0,2.0,4.0,False,,,,False,,,,False,,,,True,1493.0,2.0,4.0,Embedded,1493.0,1493.0,Lim:1493
1237671125379842214,True,84.0,3.0,2.0,False,,,,False,,,,False,,,,True,1493.0,4.0,2.0,Embedded,1493.0,1493.0,Lim:1493
1237671125379842189,True,84.0,4.0,3.0,False,,,,False,,,,False,,,,True,1493.0,5.0,3.0,Embedded,1493.0,1493.0,Lim:1493
1237667536399761464,True,99.0,1.0,1.0,False,,,,False,,,,False,,,,True,1675.0,1.0,1.0,Embedded,1675.0,1675.0,Lim:1675
1237667536399761571,True,99.0,2.0,2.0,False,,,,False,,,,False,,,,True,1675.0,3.0,2.0,Embedded,1675.0,1675.0,Lim:1675
