sample_a,sample_b,galaxies_shared,lim_groups_shared
CG4,CG4,312,68
CG4,Control4B,0,2
CG4,Control4C,14,12
CG4,RG4,0,0
CG4,PC,276,68
Control4B,CG4,0,2
Control4B,Control4B,2796,699
Control4B,Control4C,1539,667
Control4B,RG4,224,56
Control4B,PC,2796,699
Control4C,CG4,14,12
Control4C,Control4B,1539,667
Control4C,Control4C,3007,752
Control4C,RG4,200,50
Control4C,PC,2707,677
RG4,CG4,0,0
RG4,Control4B,224,56
RG4,Control4C,200,50
RG4,RG4,224,56
RG4,PC,224,56
PC,CG4,276,68
PC,Control4B,2796,699
PC,Control4C,2707,677
PC,RG4,224,56
PC,PC,11087,765
