objid,specobjid,Group,RA,Dec,M_r,Lum,z,dist2BGG,lgm,sfr,sSFR,rank_dist,rank_M,RA_BGG,Dec_BGG,M_BGG
1237673808117498264,2165170997483825152,7,119.944232129,18.401779871,-22.180021,55463644047.400536,0.042021621,0.0,11.4658,-1.353853,-12.819653,1,1,119.944232129,18.401779871,-22.180021
1237673808117498246,2165171272361732096,7,119.939291946,18.444440275,-20.749977,14859041648.824348,0.039722431,2.696561278494031,10.46536,-1.377459,-11.842819,4,2,119.944232129,18.401779871,-22.180021
1237673808117498266,2164035476783130624,7,119.940183688,18.403965288,-19.500548,4701313365.482242,0.042609288,0.2776886110228582,10.12374,-1.098397,-11.222137,2,3,119.944232129,18.401779871,-22.180021
1237673808117563770,2164036301416851456,7,119.985781725,18.413748182,-18.927374,2772998278.727434,0.042248183,2.588690370831033,9.751953,-1.255235,-11.007188,3,4,119.944232129,18.401779871,-22.180021
1237655108898979844,858040220065490944,25,128.717113659,44.637127392,-21.823291,39931571305.63517,0.038103145,0.0,11.13696,0.3827338,-10.7542262,1,1,128.717113659,44.637127392,-21.823291
1237655108898914500,858035272263165952,25,128.655752293,44.619226302,-20.729999,14588129166.583809,0.037864507,2.96543138169072,10.40786,-1.361676,-11.769536,3,2,128.717113659,44.637127392,-21.823291
1237655108898914492,858039945187584000,25,128.674475696,44.593518404,-19.424341,4382646073.16831,0.038568193,3.338345122250469,9.313793,-0.2030639,-9.5168569,4,3,128.717113659,44.637127392,-21.823291
1237655108898980064,858036371774793728,25,128.751166059,44.671598991,-19.032422,3054701653.56523,0.037563678,2.647204432433291,9.284696,-0.5503863,-9.8350823,2,4,128.717113659,44.637127392,-21.823291
1237651534946435160,500068090386606080,26,129.137933656,54.041457465,-21.860433,41321226138.16374,0.030908888,0.0,10.89008,-0.6753733,-11.5654533,1,1,129.137933656,54.041457465,-21.860433
1237651702451667092,502224782712924160,26,129.019729316,53.986177746,-19.761473,5978458239.861056,0.032303183,5.577521864517117,9.897285,-0.5250384,-10.4223234,3,2,129.137933656,54.041457465,-21.860433
1237651534946369716,500064791851722752,26,129.056620428,53.966333581,-19.723909,5775154404.3064575,0.030834864,5.594329891636262,9.816109,-0.5044311,-10.3205401,4,3,129.137933656,54.041457465,-21.860433
1237651702451732619,500066166241257472,26,129.048531668,54.045162351,-18.953299,2840008239.2748556,0.031738163,3.3065297749081357,9.542235,-1.845653,-11.387888,2,4,129.137933656,54.041457465,-21.860433
1237651533872496853,500074962334279680,27,129.932109624,53.013804705,-21.884657,42253510813.71796,0.044700583,0.0,10.94254,-1.367166,-12.309705999999998,1,1,129.932109624,53.013804705,-21.884657
1237651271887618101,500071114043582464,27,129.933629611,52.954364718,-21.525527,30353641467.254044,0.046428481,3.735167088634312,10.82927,-1.301104,-12.130374,4,2,129.932109624,53.013804705,-21.884657
1237651271887618204,500075512090093568,27,129.986319296,53.0241413,-19.524462,4806011437.311511,0.045765926,2.1494077086296346,9.714207,-0.5972809,-10.3114879,3,3,129.932109624,53.013804705,-21.884657
1237651533872496832,500074137700558848,27,129.893720201,53.021271327,-19.437155,4434677066.8671055,0.046666261,1.5249910210382918,9.640424,-0.264861,-9.905285,2,4,129.932109624,53.013804705,-21.884657
1237651192431902873,503368824192526336,28,130.548902571,52.773058239,-23.060968,124849612857.94785,0.045092908,0.0,11.56605,-1.268743,-12.834793,1,1,130.548902571,52.773058239,-23.060968
1237651192431902934,503370198582061056,28,130.674027989,52.746319307,-21.38034,26554369860.56119,0.045297238,5.04560160337717,10.74845,-0.5900373,-11.3384873,4,2,130.548902571,52.773058239,-23.060968
1237651192431902942,503368549314619392,28,130.608510455,52.783180188,-20.605546,13008235777.004658,0.045825495,2.353102175140019,10.45439,-1.788836,-12.243226,2,3,130.548902571,52.773058239,-23.060968
1237651192431902951,503369373948340224,28,130.579586234,52.819887178,-20.113728,8269727516.570166,0.045729996,3.1648526869299594,9.72223,-0.1130434,-9.8352734,3,4,130.548902571,52.773058239,-23.060968
1237653664714391702,527027291352492032,33,132.67951554,1.350688604,-22.309907,62511914517.34464,0.043605956,0.0,10.91266,-0.1564121,-11.0690721,1,1,132.67951554,1.350688604,-22.309907
1237653664714391735,527027841108305920,33,132.686472444,1.328718613,-21.538248,30711370688.19082,0.043203973,1.447933518387814,10.67758,-1.525149,-12.202729,2,2,132.67951554,1.350688604,-22.309907
1237651753452765233,525971210249463808,33,132.688639504,1.315986285,-21.380679,26562662240.264935,0.043100813,2.254475346365634,10.73482,-1.555934,-12.290754,3,3,132.67951554,1.350688604,-22.309907
1237651753452765443,525968461470394368,33,132.683670349,1.299378788,-20.3565,10341892044.331964,0.043182957,3.2344373459489284,10.11648,-1.086425,-11.202905,4,4,132.67951554,1.350688604,-22.309907
1237664093977182232,2182114747552393216,42,139.174411627,30.915418002,-22.317682,62961171468.703606,0.024032534,0.0,11.30246,-1.580751,-12.883211,1,1,139.174411627,30.915418002,-22.317682
1237664093977116737,2182100728779139072,42,139.065189731,30.824019532,-20.869508,16588350380.782766,0.023569981,8.226551937242565,10.44188,-1.656235,-12.098115,4,2,139.174411627,30.915418002,-22.317682
1237664093977182233,2182111998773323776,42,139.157022455,30.905397465,-20.656212,13629653025.505016,0.024061855,1.1292269034234192,10.44385,-1.62013,-12.06398,3,3,139.174411627,30.915418002,-22.317682
