#angDist,_RAJ2000,_DEJ2000,CG,Gal,Morph,PS,PE,PS0,Kmag,Kcorr,RV,e_RV,r_RV,objID,2MASX,SDSS9,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,umag,gmag,rmag,imag,zmag,e_umag,e_gmag,e_rmag,e_imag,e_zmag,objID,cl,q_mode,flags,Q,ObsDate,pmRA,e_pmRA,pmDE,e_pmDE,SpObjID,zsp,e_zsp,f_zsp,spType,spCl,subClass
0.037525,0.19571,28.40202,1,1,E,0,0.8,0.2,10.41,-0.06,8764,19,1,758874298530726000,00004696+2824071,J000046.97+282407.3,0.195716,+28.402029,0.002,0.001,90,16.327,14.342,13.436,13.009,12.692,0.009,0.002,0.002,0.002,0.002,1237663233915550000,3,0,0000B011901A1014,3,2003.7382,-1,2,-11,2,0,,,,,,
0.223224,0.15808,28.38454,1,2,S,1,0,0,10.46,-0.05,8705,9,1,758874298530726000,00003794+2823041,J000037.93+282304.5,0.158077,+28.384602,0.050,0.048,0,16.737,14.634,13.701,13.227,12.891,0.014,0.002,0.002,0.002,0.003,1237663233915550000,3,0,00002010101E1014,3,2003.7382,-10,3,20,3,0,,,,,,
0.113664,0.18333,28.40145,1,3,S,1,0,0,11.53,-0.04,8156,0,1,758874298530726000,00004401+2824051,J000043.99+282405.2,0.183299,+28.401466,0.050,0.048,0,17.201,15.354,14.449,14.032,13.709,0.017,0.003,0.002,0.002,0.004,1237663233915550000,3,0,00002010101E1014,3,2003.7382,-18,3,-4,3,0,,,,,,
0.166910,0.17671,28.36901,1,4,E,0,0.8,0.2,13.26,-0.03,9006,0,2,758874298530791000,00004242+2822081,J000042.39+282208.4,0.176659,+28.369022,0.004,0.003,90,18.848,17.033,16.196,15.780,15.447,0.030,0.004,0.004,0.004,0.007,1237663233915620000,3,1,201010021010,3,2003.7382,-1,2,3,2,0,,,,,,
0.326517,0.18787,28.37172,1,5,S,1,0,0,13.4,-0.08,8642,0,2,758874298530792000,00004507+2822181,J000045.11+282218.2,0.187973,+28.371723,0.003,0.003,90,18.424,16.542,15.687,15.278,14.962,0.031,0.004,0.003,0.003,0.007,1237663233915620000,3,1,201090020010,3,2003.7382,-1,2,-1,2,0,,,,,,
0.191333,7.31275,2.86405,3,1,S0,0,0.2,0.8,8.58,-0.02,4241,16,1,0,00291506+0251505,J002915.04+025150.6,7.312697,+2.864054,0.002,0.002,90,14.214,12.273,11.420,10.972,10.638,0.004,0.002,0.002,0.002,0.002,1237678435402580000,3,0,00002010900A1014,3,2008.6827,-1,2,-17,2,0,,,,,,
0.190837,7.12408,2.64861,3,2,E,0,0.8,0.2,10.88,-0.03,4317,29,1,0,00282976+0238549,J002829.79+023854.9,7.124132,+2.648599,0.001,0.001,90,15.944,14.208,13.440,13.053,12.765,0.008,0.002,0.002,0.002,0.003,1237678619031570000,3,1,201090021010,3,2008.7563,-3,2,2,2,0,,,,,,
0.241363,7.28375,2.8111,3,3,S,1,0,0,11.36,-0.03,4046,25,1,0,00290809+0248400,J002908.08+024839.8,7.283697,+2.811059,0.003,0.003,90,16.417,14.675,13.923,13.547,13.238,0.010,0.002,0.002,0.002,0.003,1237678435402580000,3,1,201010021010,3,2008.6827,6,4,-8,4,0,,,,,,
0.050354,7.32729,2.87043,3,4,E,0,0.8,0.2,11.51,-0.03,4433,0,1,0,00291854+0252135,J002918.54+025213.5,7.327278,+2.870423,0.003,0.003,90,16.604,14.820,14.066,13.676,13.381,0.011,0.002,0.002,0.002,0.003,1237678435402650000,3,0,0000B010100A1014,3,2008.6827,-2,2,2,2,0,,,,,,
0.181829,7.30167,2.87262,3,5,S,1,0,0,11.53,-0.02,4093,0,1,0,00291239+0252215,J002912.39+025221.2,7.301647,+2.872575,0.003,0.003,90,16.461,14.874,14.090,13.694,13.437,0.013,0.002,0.002,0.002,0.004,1237678435402580000,3,0,00002010100A1014,3,2008.6827,11,4,-3,4,0,,,,,,
