objid,specobjid,Group,RA,Dec,M_r,Lum,z,dist2BGG,lgm,sfr,sSFR,rank_dist,BGG_ID,rank_M,RA_BGG,Dec_BGG,M_BGG
1237648704595558617,349149675909048320,4000,225.556808963,0.112166245,-20.525741,12086384327.637182,0.042245211,9.884314881671711,10.20134,-0.3736108,-10.5749508,7,13864,3,225.438501471,0.008479337,-22.030907
1237648705129480247,344690050824431616,3770,218.832171063,0.475729976,-20.647618,13522195171.52235,0.030326863,21.35992498034346,10.15588,0.2209152,-9.9349648,6,6268,2,218.52437548,0.620087707,-22.566217
1237648704600670761,385206505458132992,1719,237.330365851,0.182666937,-21.882724,42178351329.444534,0.031765264,10.606572095905324,11.03549,-1.487584,-12.523074,6,12188,2,237.498065558,0.201994357,-22.18449
1237648705131118796,346937453011036160,5232,222.549578403,0.543575285,-20.997498,18663762528.393948,0.040197123,3.9107523342464607,10.44133,0.3221888,-10.1191412,3,6114,3,222.489099895,0.558296006,-22.047289
1237648705667072024,345819799458179072,10121,220.443234548,0.920499604,-19.673128,5511263808.971897,0.034102383,9.777031941180883,9.578831,-0.182327,-9.761158,3,3641,4,220.598357453,0.907996398,-22.196804
1237648720149479679,310815751403497472,10247,162.886970009,-1.002880586,-20.766666,15089206429.817932,0.03852537,5.408576012844987,10.24305,0.04738735,-10.19566265,3,474075,3,162.900580454,-1.087878301,-22.216008
1237648704594313560,346940476668012544,2454,222.753732613,0.076089353,-20.426414,11029748251.53872,0.044093383,7.1439334685022216,10.33992,-1.574981,-11.914901,5,18894,4,222.748835979,-0.03750439,-22.550685
1237648702977409215,1029182786545674240,689,208.383220933,-1.194433205,-21.029518,19222381841.08248,0.024655538,18.807436973515777,10.20949,0.2439629,-9.9655271,5,170100,3,208.559373098,-1.436476708,-22.900609
1237648722284118374,526975064550172672,5210,133.434065141,0.803639907,-19.089536,3219692530.0910053,0.040724045,6.143833900623357,9.202526,-0.5691356,-9.7716616,3,21851,4,133.518347475,0.85323147,-22.036853
1237648722284249438,528110035444721664,5200,133.780931739,0.811574966,-19.946408,7088644552.957108,0.042690118,10.589383964333743,9.480463,0.04441575,-9.43604725,6,15388,4,133.948594184,0.794284344,-22.148959
1237648722284314732,528111959590070272,5200,133.959478049,0.83113982,-21.032658,19278054335.37892,0.042760779,2.41454300579394,10.44744,0.1517816,-10.2956584,3,15388,3,133.948594184,0.794284344,-22.148959
1237648721225646181,313007627682473984,864,168.366450868,-0.056929997,-21.153583,21549301624.812412,0.040594347,7.04763203571348,10.73731,-1.83886,-12.57617,9,532679,4,168.271681615,0.003071052,-22.663287
