Group,Lum_BGG,Lum_group,FracLumBGG,z_group,DeltaR12,NbGal,RA_BGG,Dec_BGG,RA_Bary,Dec_Bary,Radius_Bary_arcmin,Offset_Bary,V_BGG,V_moy,Vdisp,Voffset,size_Group_Bary_kpc,M_group,M_virial,M_virial_over_L,t_cr,all_SFR,Prop_M_Sat,Prop_M_Tot,Prop_G_Sat,Prop_G_Tot,Prop_Q_Sat,Prop_Q_Tot,Misfit_Bary,Vmisfit,lMass_200,r_200_kpc
3,139023046100.58777,379923749955.5245,0.3659235468087015,0.0368543095,0.2065739999999998,4,240.58274434,16.345990189,240.6295341690233,16.157778777383683,24.32590644094595,0.4772632336194038,516.2736598793961,-4.689582056016661e-13,424.2605156803372,1.2168788770067573,1185.3612837655046,-24.269241108013095,232328927026731.7,611.5146185357696,2.4782307564350408,TRUE,0.0,0.0,0.0,0.0,1.0,1.0,BMisfit,VMisfit,14.266573496753722,1186.3400194749893
5,118114822052.82896,387504000816.7722,0.3048092969462746,0.021907234249999998,0.24816200000000066,4,176.008979695,19.949825155,175.72663117414925,20.001238981321826,42.73090249575408,0.37953349969922207,-7.8074128115195265,7.744915819785092e-13,379.4030222781202,0.02057815134060029,1224.17736811942,-24.290690476936003,310118647673163.56,800.2979247169125,2.861983858225436,TRUE,0.0,0.0,0.0,0.0,1.0,1.0,BCentered,VCentered,14.088720632055791,1039.8862104084988
6,189941209867.56116,377437279098.2317,0.503239135046136,0.0414298715,1.058330999999999,4,234.912689103,21.782715602,234.78846575536474,21.6955408432283,22.288796886121965,0.3892984788938416,242.36160514762145,1.4210854715202004e-14,295.15793132715385,0.8211251652898569,1224.9986938176837,-24.262111981935064,135491171949388.94,358.9766550699568,3.681330318757127,FALSE,0.0,0.0,0.3333333333333333,0.25,0.3333333333333333,0.25,BCentered,VMisfit,14.6125775002595,1544.923251350382
13,108826534598.27013,283551350789.45337,0.3837983289280028,0.028574881,0.6267239999999994,4,220.178480735,3.465422858,220.0158173717837,3.2024791624854365,25.403547636510588,0.7299271780208566,-138.63568385652016,1.4210854715202004e-14,389.0037071273119,0.35638653646852764,953.9777100092094,-23.951579301326326,60098946665736.27,211.95083888125015,2.1752446397669787,TRUE,0.0,0.25,0.0,0.0,1.0,0.75,BMisfit,VCentered,14.06599662312369,1019.7543703020016
27,85701416472.6734,290603261816.2432,0.2949086529072233,0.03313555,0.06006400000000056,4,167.661523674,28.768887329,167.71946017435303,28.675571907559217,9.057512260439172,0.7038404829952023,717.2831109030978,2.8421709430404007e-13,800.1392614424472,0.8964478378551491,395.74681385907337,-23.978251211595,453695309332110.1,1561.2189157704454,0.4387079109956248,FALSE,0.0,0.0,0.0,0.0,1.0,0.75,BMisfit,VMisfit,13.833648937459492,851.9548654611638
32,113472755207.11925,270718565520.3726,0.41915394678973356,0.034570115000000005,0.7293850000000006,4,229.185364781,7.021621675,229.28222730087577,7.01679416379332,14.546102837206966,0.39704527131731165,149.74205208785918,-1.5027978861326119e-12,177.98689914385025,0.841309404277211,663.769685335972,-23.901295100329236,26508427218158.504,97.91876359570783,3.307904759985533,FALSE,0.0,0.0,0.0,0.0,1.0,0.75,BCentered,VMisfit,14.116096011247148,1057.710793411068
33,88793259757.69518,294328884979.77673,0.3016804136087294,0.02374953325,0.17004200000000225,4,181.025699464,20.235082536,181.05163077982644,20.25507584352884,6.998273180274359,0.26998461618680836,-475.84200732126385,-2.842170943040401e-14,645.9327637505214,0.7366742082540472,217.6483599141076,-23.992082212943163,103597238359314.12,351.97781681003636,0.2988764559996475,TRUE,0.0,0.0,0.0,0.0,1.0,1.0,BCentered,VMisfit,13.778649263988097,819.1743245536298
37,98867783980.0591,288254678345.8259,0.34298761271602013,0.032923466750000005,0.06638200000000083,4,173.705394332,49.077634975,173.72884194798738,49.061763357773735,12.928339441734206,0.10251006317154818,317.5650488806922,-1.5116796703296131e-12,245.49426652467733,1.293574197785885,561.1709463560952,-23.96944091145447,40905276506132.07,141.90672200316223,2.027577411335679,FALSE,0.0,0.0,0.0,0.0,0.6666666666666666,0.75,BCentered,VMisfit,13.970478711870085,946.358877562089
39,93384414457.54831,246912054627.07904,0.3782092154171673,0.027147028250000003,0.4675489999999982,4,123.936833501,58.32099189,123.75948461938052,58.16251932939772,17.25220341093638,0.6396423898735789,71.76411264665403,-7.602807272633072e-13,73.65704667694406,0.9743007069155027,614.8494438882883,-23.801355733438815,2530914249355.0093,10.25026604382499,7.404199344577068,TRUE,0.0,0.0,0.0,0.0,1.0,1.0,BMisfit,VMisfit,13.880007511941836,884.4958223984088
40,122190769557.20798,309813006899.4046,0.39440167725715586,0.03661114225,0.31329000000000207,4,229.756033316,4.52067575,229.5688833731556,4.4406601319374905,29.36728302739838,0.41477156175147833,129.08571366966638,1.2434497875801753e-14,275.3221710679016,0.4688533188917448,1421.3255729225812,-24.04774911704779,150006609439634.4,484.1843502340143,4.579056522372854,TRUE,0.3333333333333333,0.25,0.0,0.0,0.6666666666666666,0.75,BCentered,VCentered,14.17214788491322,1103.4883394419069
