objid,specobjid,Group,RA,Dec,M_r,z,Lum,rank_M,RA_BGG,Dec_BGG,M_BGG,dist2BGG,lgm,sfr,sSFR,rank_dist,rank_M_parent
1237667444048723983,2523290745004124160,1,195.033861807,27.976940934,-23.504925,0.022387201,187918700268.03207,1,195.033861807,27.976940934,-23.504925,0.0,11.49787,-0.6327351,-12.1306051,1,1
1237667444048723989,2522181606844688384,1,195.025435148,27.978300669,-21.392542,0.026345716,26854483260.004288,2,195.033861807,27.976940934,-23.504925,0.4753257924310442,10.10531,-1.612291,-11.717600999999998,2,30
1237667324334571728,2523257209899476992,1,194.983378851,28.034714811,-21.105968,0.028073472,20624679096.501183,3,195.033861807,27.976940934,-23.504925,4.584757977698385,10.77007,-1.10099,-11.87106,4,53
1237667324334637085,2523294593294821376,1,195.018502328,27.9875783,-21.07248,0.022138045,19998250311.550114,4,195.033861807,27.976940934,-23.504925,1.0830642391807836,10.56681,-1.800268,-12.367078,3,56
1237665531723317438,2472611769525233664,3,240.58274434,16.345990189,-23.177717,0.03863988,139023046100.58777,1,240.58274434,16.345990189,-23.177717,0.0,11.52926,-1.023439,-12.552699,1,1
1237665531723317440,2472613143914768384,3,240.575050032,16.366200604,-21.857074,0.039873551,41193586002.514305,2,240.58274434,16.345990189,-23.177717,1.3519341306328845,10.36998,-1.153616,-11.523596,2,9
1237665549437632547,2472613418792675328,3,240.623897247,16.402956957,-21.742214,0.038623973,37058309150.717255,3,240.58274434,16.345990189,-23.177717,4.355012365684287,10.85425,-1.505426,-12.359676,4,10
1237665531723317728,2472610670013605888,3,240.534851306,16.342223543,-20.804047,0.039880689,15617761989.068617,4,240.58274434,16.345990189,-23.177717,2.8972850108263346,10.55924,-1.486913,-12.046153,3,32
1237668293912690766,2824999209751570432,5,176.008979695,19.949825155,-23.000761,0.021880621,118114822052.82896,1,176.008979695,19.949825155,-23.000761,0.0,11.31682,-1.242927,-12.559747,1,1
1237668293912690764,2825001683652732928,5,176.008997192,19.971917372,-21.260234,0.022176794,23773526031.18988,2,176.008979695,19.949825155,-23.000761,1.388095317042832,10.65805,-1.804082,-12.462132,2,17
1237667915953537163,2825000584141105152,5,176.022766259,19.996089535,-20.858368,0.019927185,16419018794.875565,3,176.008979695,19.949825155,-23.000761,3.018732780758447,10.42409,-1.651253,-12.075343,3,25
1237668293912690796,7241904580014567424,5,175.954491821,19.968461691,-20.83159,0.023264494,16019022080.038233,4,176.008979695,19.949825155,-23.000761,3.424370499691805,,,,4,26
1237665535465619524,4439625182588104704,6,234.912689103,21.782715602,-23.516548,0.042271796,189941209867.56116,1,234.912689103,21.782715602,-23.516548,0.0,,,,1,1
1237665535465619617,2438836158419986432,6,234.897376382,21.740523564,-20.976232,0.04197471,18301757642.844307,2,234.912689103,21.782715602,-23.516548,2.7975473954664487,10.67853,-1.252347,-11.930877,3,28
1237665535465619850,4439625732343918592,6,234.953074076,21.790861317,-20.890838,0.041084845,16917461624.312365,3,234.912689103,21.782715602,-23.516548,2.4111616846616517,,,,2,33
1237665535465619750,2438812518919989248,6,234.905900752,21.840127465,-20.804624,0.044168681,15626064045.82916,4,234.912689103,21.782715602,-23.516548,3.628963572109063,10.51975,-1.200034,-11.719784,4,37
1237654879665586207,659793872024528896,13,220.178480735,3.465422858,-22.911837,0.028099228,108826534598.27013,1,220.178480735,3.465422858,-22.911837,0.0,7.774354,-1.846091,-9.620445,1,1
1237654879665586216,660976396830533632,13,220.162610593,3.469737893,-22.261219,0.027379103,59770597871.09982,2,220.178480735,3.465422858,-22.911837,1.0315902567988449,11.09042,-1.822795,-12.913215,2,3
1237651821637533715,659791398123366400,13,220.219558252,3.418326375,-21.155248,0.028283246,21582373297.451225,3,220.178480735,3.465422858,-22.911837,3.923525613609004,10.72383,-1.690627,-12.414457,3,12
1237654879665586208,660979970243323904,13,220.132712952,3.509282079,-20.17328,0.028092878,8735987420.639593,4,220.178480735,3.465422858,-22.911837,3.979082581217796,10.31337,-1.771713,-12.085083,4,35
1237667254009200666,7252031907662852096,27,167.661523674,28.768887329,-22.65247,0.035607429,85701416472.6734,1,167.661523674,28.768887329,-22.65247,0.0,,,,1,1
1237667254009200667,2489540404530145280,27,167.656148068,28.732682521,-21.444031,0.031796087,28158686974.008938,2,167.661523674,28.768887329,-22.65247,2.294007707417575,10.79766,-0.1171967,-10.9148567,3,7
1237667254009200743,2491666860118927360,27,167.666101223,28.706986828,-20.012585,0.029779591,7534145446.623233,3,167.661523674,28.768887329,-22.65247,3.897490788210603,10.00818,-0.9870085,-10.9951885,4,34
1237667254009200956,2489536006483634176,27,167.631869689,28.790584421,-19.801105,0.034727943,6200718275.713574,4,167.661523674,28.768887329,-22.65247,2.1272992482787716,10.09159,-0.978558,-11.070148,2,40
1237662237485564392,5492383383202492416,32,229.185364781,7.021621675,-22.957229,0.035086868,113472755207.11925,1,229.185364781,7.021621675,-22.957229,0.0,,,,1,1
1237662237485629618,2045780536307247104,32,229.190688692,7.00438137,-21.683387,0.031619706,35103854029.937126,2,229.185364781,7.021621675,-22.957229,1.1329780387228197,10.93999,-1.449885,-12.389875,4,6
1237662237485564390,2045780811185154048,32,229.173492512,7.029308413,-20.818727,0.031703154,15830360316.596922,3,229.185364781,7.021621675,-22.957229,0.8839620224124948,10.48343,-1.589509,-12.072939,3,20
1237662237485629623,2045777512650270720,32,229.194620561,7.027002078,-20.096571,0.039272907,8140074880.876542,4,229.185364781,7.021621675,-22.957229,0.6689070228475954,10.30766,-2.089238,-12.396898,2,41
1237667915955568662,2936488869106837504,33,181.025699464,20.235082536,-22.69095,0.022124599,88793259757.69518,1,181.025699464,20.235082536,-22.69095,0.0,11.12697,-1.365828,-12.492798,1,1
1237667915955568663,2936488319351023616,33,181.006127502,20.232316354,-22.520908,0.025515097,75921223797.20982,2,181.025699464,20.235082536,-22.69095,1.1668715257785327,11.15814,-0.5984894,-11.7566294,3,2
1237667915955568665,2937581233942587392,33,181.05765624,20.209702307,-20.782282,0.022858302,15307800725.034756,3,181.025699464,20.235082536,-22.69095,2.4683963175019015,10.56122,-0.7544167,-11.3156367,4,13
1237667915955568664,2937578760041424896,33,181.020558471,20.246779683,-19.880055,0.023391063,6668405484.143756,4,181.025699464,20.235082536,-22.69095,0.7949894674913145,9.977231,-1.639536,-11.616767,2,26
1237658612519141389,1087652339684239360,37,173.705394332,49.077634975,-22.807637,0.034017625,98867783980.0591,1,173.705394332,49.077634975,-22.807637,0.0,11.35576,-0.8608174,-12.2165774,1,1
1237658612519141394,1088819471176460288,37,173.704236658,49.081376052,-21.570388,0.032304183,31634079374.74707,2,173.705394332,49.077634975,-22.807637,0.2398388167460217,9.655659,-2.601202,-12.256861,2,6
1237658612519141391,1087638870666799104,37,173.749453503,49.081387845,-20.587516,0.032193274,12794001579.56091,3,173.705394332,49.077634975,-22.807637,1.8285472529984412,10.32373,-1.479686,-11.803416,4,20
1237658612519141393,1088818646542739456,37,173.679051225,49.090838012,-20.56319,0.033437396,12510538392.211716,4,173.705394332,49.077634975,-22.807637,1.3650564795385876,10.32656,-1.458475,-11.785035,3,22
1237663789031948359,2108918077218383872,39,123.936833501,58.32099189,-22.745686,0.027392906,93384414457.54832,1,123.936833501,58.32099189,-22.745686,0.0,11.27267,-0.8615699,-12.1342399,1,1
1237663789031948360,2108919726485825536,39,123.911136638,58.29684263,-21.910599,0.026912129,43275251448.57182,2,123.936833501,58.32099189,-22.745686,1.7383259997475764,11.00035,-1.31285,-12.313199999999998,2,4
1237663918416199874,2108907356980013056,39,123.686551721,58.279856541,-20.771017,0.027838199,15149796527.676785,3,123.936833501,58.32099189,-22.745686,8.658067207072525,10.43363,-1.237379,-11.671009000000002,4,13
1237663789031948495,2108915878195128320,39,124.135983191,58.274865059,-20.029675,0.027739614,7653674705.33899,4,123.936833501,58.32099189,-22.745686,7.185957974676475,10.30883,-1.843688,-12.152518,3,26
1237655742947262470,2064970324675422208,40,229.756033316,4.52067575,-23.037596,0.03705749,122190769557.20798,1,229.756033316,4.52067575,-23.037596,0.0,11.50922,-1.164871,-12.674091,1,1
1237655742947197070,5376407996182753280,40,229.744244403,4.529347928,-21.094714,0.039056475,20412001895.985836,2,229.756033316,4.52067575,-23.037596,0.9176894802459769,,,,2,13
1237655742947262473,5376227126519984128,40,229.761070947,4.498948116,-20.36885,0.036123757,10460200280.315302,3,229.756033316,4.52067575,-23.037596,1.4011797701867672,,,,3,23
1237662266464338197,665558886350088192,40,229.749822337,4.419091586,-20.29372,0.037397426,9760858118.099276,4,229.756033316,4.52067575,-23.037596,6.39456790486493,10.33237,-1.611806,-11.944176,4,28
1237667429563105338,2644826080115976192,46,155.421773619,23.923065206,-23.317882,0.040223869,158180447555.8916,1,155.421773619,23.923065206,-23.317882,0.0,11.54672,-1.257708,-12.804428,1,1
1237667292659384425,2644823606214813696,46,155.403936759,23.989706282,-21.722446,0.042492906,36389693695.801506,2,155.421773619,23.923065206,-23.317882,4.310618993338979,10.95581,-1.023883,-11.979693,2,9
1237667429563039946,2641381585064060928,46,155.323567145,23.822227616,-21.317394,0.040998059,25058645945.11436,3,155.421773619,23.923065206,-23.317882,8.484182504584906,10.77347,-1.459374,-12.232844,4,10
1237667292659384413,2641382409697781760,46,155.366644017,23.981885136,-21.29976,0.039365343,24654942839.980713,4,155.421773619,23.923065206,-23.317882,4.86617496033712,10.74403,-1.637381,-12.381411,3,11
1237655743485575197,2066040149506025472,50,233.133396618,4.680996916,-23.182701,0.039362618,139662689164.63968,1,233.133396618,4.680996916,-23.182701,0.0,11.4026,-1.100045,-12.502645,1,1
1237655743485575194,2066038775116490752,50,233.11759333,4.681082057,-21.597001,0.037235484,32419058641.321507,2,233.133396618,4.680996916,-23.182701,0.989652291680213,10.6796,-1.523235,-12.202835,2,6
1237655743485575567,2066040424383932416,50,233.149019315,4.742448408,-21.23915,0.039192434,23316319620.272087,3,233.133396618,4.680996916,-23.182701,3.983117123065976,10.70261,-1.522044,-12.224654,3,10
1237655743485575492,5410106103546179584,50,233.096803703,4.625799304,-20.655304,0.042954494,13618259326.526718,4,233.133396618,4.680996916,-23.182701,4.156888390452092,,,,4,26
1237665534931894336,2476017232283461632,51,241.566797134,18.249954686,-22.705719,0.037169654,90009344721.85501,1,241.566797134,18.249954686,-22.705719,0.0,11.29295,-0.6868114,-11.9797614,1,1
1237665534931894707,3340601725357680640,51,241.620769246,18.267763564,-20.798351,0.039089759,15536042478.16355,2,241.566797134,18.249954686,-22.705719,3.409284139744087,10.71151,-0.01539016,-10.72690016,3,19
1237665534931894706,2476016132771833856,51,241.623751761,18.267860298,-20.172765,0.039790449,8731844640.237099,3,241.566797134,18.249954686,-22.705719,3.5797689059239945,10.07825,-1.372402,-11.450652,4,33
1237665534931894614,2476014758382299136,51,241.524100365,18.25107653,-19.710959,0.036601573,5706681046.9123125,4,241.566797134,18.249954686,-22.705719,2.548741417191596,10.03511,-1.026592,-11.061702,2,45
1237665428645740684,2475896560882313216,61,241.149144579,17.721559028,-22.646753,0.035367166,85251337240.46135,1,241.149144579,17.721559028,-22.646753,0.0,11.32563,-1.070755,-12.396385,1,1
1237665428645740687,2477089536350382080,61,241.164867672,17.700846379,-22.038523,0.035892438,48686572320.62326,2,241.149144579,17.721559028,-22.646753,1.606026681221938,11.13935,-0.9583059,-12.0976559,3,6
1237665428645806454,2475894911614871552,61,241.175897153,17.683656321,-20.402487,0.032712162,10789338036.006498,3,241.149144579,17.721559028,-22.646753,2.8697997319910296,10.25857,-1.64463,-11.9032,4,22
1237665428645740683,2472619466106628096,61,241.14443525,17.713477571,-20.33891,0.033870438,10175693096.871971,4,241.149144579,17.721559028,-22.646753,0.5807572653871158,10.13674,-1.700465,-11.837205,2,23
1237661418212294705,1490844360583964672,70,212.506606523,54.881720834,-23.089722,0.042431399,128200228719.58524,1,212.506606523,54.881720834,-23.089722,0.0,11.56045,-1.136701,-12.697151,1,1
1237661418212294942,1490842986194429952,70,212.531907899,54.919907179,-21.269554,0.039913484,23978477259.64212,2,212.506606523,54.881720834,-23.089722,2.5675442964230637,10.82749,-1.376516,-12.204006,3,11
1237661418212294689,1491931772114462720,70,212.510721394,54.913072205,-20.180857,0.04194942,8797166262.106447,3,212.506606523,54.881720834,-23.089722,1.9754673198026191,10.32451,-1.8295,-12.15401,2,31
1237661418212294806,1490845460095592448,70,212.571979371,54.853664258,-20.170806,0.042394712,8716103928.164145,4,212.506606523,54.881720834,-23.089722,2.948700129136318,10.35795,-2.02114,-12.37909,4,32
1237667537465704593,2746189783226148864,71,139.016329083,17.628364762,-23.004753,0.029603502,118549902190.4876,1,139.016329083,17.628364762,-23.004753,0.0,11.4221,-1.044735,-12.466835,1,1
1237667537465704588,2743980865255139328,71,139.007454674,17.589817755,-22.689398,0.030400616,88666425364.95482,2,139.016329083,17.628364762,-23.004753,2.4796057944130334,11.26259,-0.7606422,-12.0232322,3,2
1237667537465704789,2743989386470254592,71,139.042781461,17.65979989,-20.67504,0.032822667,13868069197.857988,3,139.016329083,17.628364762,-23.004753,2.531749811532101,10.2658,0.1169014,-10.1488986,4,11
