Group,Lum_BGG,Lum_group,FracLumBGG,z_group,DeltaR12,NbGal,RA_BGG,Dec_BGG,RA_Bary,Dec_Bary,Radius_Bary_arcmin,Offset_Bary,V_BGG,V_moy,Vdisp,Voffset,size_Group_Bary_kpc,M_group,M_virial,M_virial_over_L,t_cr,BGG_SFRcategory,all_SFR,Prop_M_Sat,Prop_M_Tot,Prop_G_Sat,Prop_G_Tot,Prop_Q_Sat,Prop_Q_Tot,Misfit_Bary,Vmisfit,lMass_200,r_200_kpc
1,187918700268.03207,235706401953.55005,0.7972575149022242,0.0231184895,2.1123830000000012,4,195.033861807,27.976940934,195.02723596488391,27.975222482629423,1.087832157160082,0.3363763456457983,-214.2809255937437,2.4158453015843406e-13,626.5799792495897,0.3419849543395449,32.91753118864903,-23.75092844607897,21709243841108.004,92.10290285363645,0.0465987601443951,Q,True,0.0,0.0,0.0,0.0,1.0,1.0,BCentered,VCentered,14.505499160534978,1431.437838909451
3,139023046100.58777,193663133247.51068,0.7178601511259746,0.039037512749999996,1.3206430000000005,4,240.58274434,16.345990189,240.58652308002675,16.3419058042284,2.324591277304088,0.14097234886317267,-114.72858105795841,1.5063505998114124e-12,165.177849519443,0.6945760668984571,120.17424754596597,-23.537617384902482,5969848370315.155,30.825941263097327,0.6453320338253019,Q,True,0.0,0.0,0.0,0.0,1.0,1.0,BCentered,VMisfit,14.268700656190537,1187.5178859014572
5,118114822052.82896,154114242725.73288,0.7664108129384917,0.02266698025,1.7405270000000002,4,176.008979695,19.949825155,175.99854269960167,19.953306918829483,1.3604280808066544,0.45912461967088286,-230.51939388021182,7.105427357601002e-15,346.6062117382787,0.6650757720818815,40.348688891579414,-23.2896069415618,10908271979979.121,70.78042747412947,0.10325633481103139,Q,True,0.0,0.0,0.0,0.0,1.0,1.0,BMisfit,VMisfit,14.087497791456618,1038.7249937397526
6,189941209867.56116,219372054695.6101,0.865840501567596,0.04152186375,2.6257100000000015,4,234.912689103,21.782715602,234.93320075744532,21.78298340199703,1.6290682816253954,0.701589090174952,215.8610782797127,4.973799150320701e-13,255.20401588873887,0.8458373099184342,89.73883600006954,-23.672953257453173,8577923731325.454,39.10217161993473,0.3119008423706158,X,False,0.0,0.0,0.0,0.0,0.6666666666666666,0.5,BMisfit,VMisfit,14.61533705186959,1548.243531144331
13,108826534598.27013,174453530212.72818,0.6238138859418169,0.02652006875,0.6506179999999979,4,220.178480735,3.465422858,220.17651592813556,3.466777523014204,1.7056880063776623,0.08384595638947237,461.18926219087274,-2.2382096176443156e-13,591.3567054035079,0.7798833732276425,59.357413579056406,-23.424199405460545,33531167962277.812,192.20687550082818,0.08903260141220123,M,True,0.0,0.25,0.0,0.0,1.0,0.75,BCentered,VMisfit,14.065608453447025,1020.1761728160169
27,85701416472.6734,124179596077.3825,0.6901408861023237,0.034062410249999994,1.208439000000002,4,167.661523674,28.768887329,167.66532379279414,28.771765418996896,3.3848471948613335,0.07803307707179924,447.9274791611545,1.5347723092418164e-12,515.7398721798585,0.8685143486539341,152.1329336532293,-23.05512560717463,73741415147027.28,593.8287567071432,0.2616472361930452,X,False,0.0,0.0,0.6666666666666666,0.5,0.3333333333333333,0.25,BCentered,VMisfit,13.83472464699779,852.4572135770577
32,113472755207.11925,172547044434.52985,0.6576337229014353,0.03442065875,1.273842000000002,4,229.185364781,7.021621675,229.1860417065724,7.0205784510341065,1.1738295836471846,0.06342551009721677,193.0786154649937,0.0,1127.684641971124,0.171216852902691,53.32694955069347,-23.412268811607625,123614768365993.06,716.411971999304,0.04194524115251391,X,False,0.0,0.0,0.0,0.0,1.0,0.75,BCentered,VCentered,14.117290753795903,1058.7944084522428
33,88793259757.69518,172372179906.62332,0.5151252354399408,0.02325027475,0.17004200000000225,4,181.025699464,20.235082536,181.02382567943994,20.23013330857287,1.5831498149058145,0.19905522122197264,-329.80113304728366,-2.7000623958883807e-13,514.9989077233935,0.6403919078298705,48.183520699489684,-23.41116793492843,23498456679648.598,136.32395141941163,0.08298810389594535,Q,True,0.0,0.0,0.0,0.0,1.0,1.0,BCentered,VMisfit,13.777596702869468,818.6914871457406
37,98867783980.0591,147243041052.82138,0.6714598073574944,0.033712278250000005,1.2372489999999985,4,173.705394332,49.077634975,173.69965181008007,49.075185311325185,1.4590293409080817,0.1846010099246738,88.55525338228784,-1.0089706847793423e-12,382.8478866912951,0.23130662715057465,64.8858095964124,-23.240086946189848,10630679875520.064,72.19818199561945,0.15033049707918478,Q,True,0.0,0.0,0.0,0.0,1.0,1.0,BCentered,VCentered,13.971501956540298,946.9205425201039
39,93384414457.54831,142840221750.85403,0.6537683385876567,0.0273148295,0.8350869999999979,4,123.936833501,58.32099189,123.97120153399723,58.33229192816903,3.137078968628807,0.40722942125290096,22.78439400941005,5.115907697472721e-13,432.3347744242223,0.05270081278970328,112.50703537723503,-23.207126289343336,37824173995360.02,264.80058299919205,0.23082515282864174,Q,True,0.0,0.0,0.0,0.0,1.0,1.0,BMisfit,VCentered,13.87975145206303,884.3282149691228
40,122190769557.20798,156926075732.6305,0.7786517886638274,0.03722291525,1.9428820000000009,4,229.756033316,4.52067575,229.75287254077242,4.512993113465197,1.2277834319104692,0.4057898356934658,-47.81348501234396,-5.044853423896711e-13,392.8353812440409,0.12171379487490795,60.44245612266199,-23.30923778608438,17469325603452.512,111.32200637717227,0.13647563620929437,Q,False,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,BMisfit,VCentered,14.173906468500899,1104.8276949727856
46,158180447555.8916,172645928352.0667,0.9162130208673297,0.042300549,3.5980190000000007,4,155.421773619,23.923065206,155.4334930200217,23.915921228862718,1.4314758992009062,0.539712804365188,-597.3066043923184,-1.4210854715202004e-14,619.7147256969292,0.96384123149662,80.37828912811403,-23.412890851224528,65656450951545.086,380.29539172019014,0.11504574524424671,Q,True,0.0,0.0,0.0,0.0,1.0,1.0,BMisfit,VMisfit,14.447357916577495,1360.6220364155924
50,139662689164.63968,182189259977.2533,0.7665802538639043,0.03908777075,1.5857000000000028,4,233.133396618,4.680996916,233.1405714365151,4.677964749403631,2.093040944323724,0.22265793144291743,79.29756751209553,-1.4210854715202004e-14,369.62599018734636,0.2145346096249976,108.34706114920846,-23.471306929533,22766339482044.79,124.95983289512901,0.2600029375386652,Q,True,0.0,0.0,0.0,0.0,1.0,1.0,BCentered,VCentered,14.21558344498787,1140.0592536365098
51,90009344721.85501,101322840948.568,0.8883420942326739,0.037237189000000004,2.9947599999999994,4,241.566797134,18.249954686,241.55623184995727,18.250729424850903,1.4301837932943127,0.4221983227603959,-19.51962758927857,-1.0018652574217413e-12,228.87626244707494,0.08528463100795027,70.43413804889215,-22.834268395724354,4122802288493.6543,40.68976205065559,0.27296443843237783,Q,True,0.0,0.0,1.0,0.75,0.0,0.25,BMisfit,VCentered,13.78409559741442,819.1352419373247
61,85251337240.46135,145796210078.94308,0.5847294466317129,0.0347810925,0.6082299999999989,4,241.149144579,17.721559028,241.15106485593628,17.71628820184823,1.1714845539080654,0.2857504293820194,169.7947676152217,0.0,318.3251918206221,0.5334003464950456,53.79187081073086,-23.229365586992017,8503639206279.656,58.325516154879885,0.14988882637980164,Q,True,0.0,0.0,0.0,0.0,1.0,1.0,BCentered,VMisfit,13.681225568327235,757.5418035124522
70,128200228719.58524,141851086298.67877,0.9037662809973089,0.0422270585,2.9088649999999987,4,212.506606523,54.881720834,212.5024393519865,54.89033506887636,1.216435638862701,0.4410347524849521,58.77773011585094,4.831690603168681e-13,493.7817252310669,0.1190358555459808,68.18135440060978,-23.19958166495279,27714746710018.008,195.3791643982366,0.12247691290122273,Q,True,0.0,0.0,0.0,0.0,1.0,1.0,BMisfit,VCentered,14.243725303035477,1163.7782265673347
71,118549902190.4876,134253805574.22237,0.8830282440295307,0.029811978,2.7436679999999996,4,139.016329083,17.628364762,139.00436859312748,17.629085979602042,1.2302673513000957,0.557030444173115,-60.690236479272855,2.7000623958883807e-13,482.8939415616338,0.12568026072765912,48.24422404666883,-23.139816512771823,22871548545176.727,170.36052309543035,0.08861702963389416,Q,True,0.6666666666666666,0.5,0.0,0.0,0.3333333333333333,0.5,BMisfit,VCentered,14.12428771450999,1066.059375241105
78,121635739547.38411,134740334658.14154,0.9027418542190359,0.028962840750000003,2.7989089999999983,4,139.208372488,20.198497201,139.19276860221422,20.17159620544525,2.9732128702701948,0.618105576432625,-98.5810159135974,-7.567280135845067e-13,132.2304052409451,0.7455245692846979,113.20112138626801,-23.143744054216796,3658398082136.679,27.151469464719966,0.7593517881659491,Q,True,0.0,0.0,0.3333333333333333,0.25,0.6666666666666666,0.75,BMisfit,VMisfit,14.088704867216363,1037.6181857099007
79,114526924933.97787,183206508499.80655,0.625124761515221,0.047022801249999996,1.1282390000000007,4,230.466041678,7.708815434,230.4683459136894,7.711585998531408,2.0325102904972434,0.10598497754158519,-658.3660498300135,9.663381206337363e-13,575.6006306790019,1.143789660295158,127.29935571578457,-23.477352245318425,55697459098460.14,304.01463110967455,0.19616818068232889,Q,False,0.0,0.0,0.0,0.0,0.6666666666666666,0.75,BCentered,VMisfit,14.00840113483172,969.9681490674554
85,92409623324.85942,105347272732.85933,0.8771904666121986,0.03016713725,2.692209000000002,4,244.418911431,35.004215289,244.41300015966542,35.01745103003773,2.827426125304298,0.29907343472051706,-62.222233325285266,-2.8421709430404007e-13,542.4019145725622,0.11471610194134174,112.22609277492361,-22.8765582423045,59942226585865.38,568.9964726269419,0.18352542942220798,Q,True,0.0,0.0,0.0,0.0,1.0,1.0,BCentered,VCentered,13.745392456369226,796.9552842079357
94,125685969646.65051,133245914368.98997,0.9432632155504284,0.024729704249999998,3.6691579999999995,4,214.538450174,7.56454998,214.54063875622234,7.562079067328579,2.1821317533782425,0.09041275872006517,199.1590949046137,5.115907697472721e-13,162.35833276192068,1.2266638337353248,70.7172011778154,-23.131634753548482,2536060417147.0996,19.03293192258142,0.38634393675810136,Q,False,0.3333333333333333,0.25,0.0,0.0,0.3333333333333333,0.5,BCentered,VMisfit,14.217744005735158,1147.1839601012437
