Id,objid,specobjid,Group,RA,Dec,M_r,z,zobs,Yang_z_CMB_group,BGG_ID,Yang_logM,logM_180,rmag,Lum,rank_M,RA_BGG,Dec_BGG,M_BGG,dist2BGG,lgm_tot_p50,sfr_tot_p50,sSFR,SFRexcess,SFRcategory,rank_dist
552,1237648704057573661,346787094795937792,3859,223.045971412,-0.256103918,-22.323488,0.043902061,0.04321273,0.04401,552,11.087,13.338770306132936,14.235256,63298759646.17747,1,223.045971412,-0.256103918,-22.323488,0.0,11.09869,-0.8092076,-11.9078976,-0.7282906000000011,Q,1
573,1237648704595558617,349149675909048320,4000,225.556808963,0.112166245,-20.525741,0.042245211,0.041601688,0.04159,13864,10.259,13.063770306132936,15.878933,12086384327.637182,3,225.438501471,0.008479337,-22.030907,9.884314881671711,10.20134,-0.3736108,-10.5749508,0.3354511999999996,G,7
590,1237648705131118799,347998762179782656,5232,222.558161808,0.557515173,-19.130608,0.040492309,0.039796557,0.04066,6114,9.43,13.083770306132935,17.199652,3343822378.7977386,6,222.489099895,0.558296006,-22.047289,4.339359611498795,9.116517,-0.4729916,-9.5895086,0.9954464999999999,M,4
651,1237648705129480247,344690050824431616,3770,218.832171063,0.475729976,-20.647618,0.030326863,0.029567191,0.03109,6268,10.195,13.471770306132937,15.044001,13522195171.52235,2,218.52437548,0.620087707,-22.566217,21.35992498034346,10.15588,0.2209152,-9.9349648,0.9617991999999997,M,6
738,1237648704600670761,385206505458132992,1719,237.330365851,0.182666937,-21.882724,0.031765264,0.03134727,0.03244,12188,11.031,13.331770306132936,13.973246,42178351329.444534,2,237.498065558,0.201994357,-22.18449,10.606572095905323,11.03549,-1.487584,-12.523074,-1.3624270000000003,Q,6
926,1237648705135837483,354754980701300736,2355,233.367343838,0.430494633,-20.073625,0.039630696,0.03913505,0.03758,2861,10.224,13.680770306132937,16.161618,7969847290.503576,5,233.241797746,0.440734784,-22.794096,7.914262597405914,10.25935,-0.36374,-10.62309,0.30471499999999985,G,5
1167,1237648705131118796,346937453011036160,5232,222.549578403,0.543575285,-20.997498,0.040197123,0.039501183,0.04066,6114,10.43,13.083770306132935,15.374206,18663762528.393948,3,222.489099895,0.558296006,-22.047289,3.9107523342464607,10.44133,0.3221888,-10.119141200000001,0.8632577999999977,M,3
1171,1237648705135837215,354753331433859072,2355,233.360261834,0.520561796,-18.910717,0.038243161,0.037747618,0.03758,2861,9.62,13.680770306132937,17.308459,2730780544.1791024,8,233.241797746,0.440734784,-22.794096,8.975305808234527,9.52331,-1.597613,-11.120923000000001,-0.4139300000000006,Q,6
1186,1237648705667072024,345819799458179072,10121,220.443234548,0.920499604,-19.673128,0.034102383,0.0333711,0.03409,3641,9.69,13.272770306132935,16.295376,5511263808.971897,4,220.598357453,0.907996398,-22.196804,9.777031941180883,9.578831,-0.182327,-9.761158,0.9624912999999999,M,3
1310,1237648720149479679,310815751403497472,10247,162.886970009,-1.002880586,-20.766666,0.03852537,0.037305217,0.03934,474075,10.284,13.225770306132937,15.513265,15089206429.817932,3,162.900580454,-1.087878301,-22.216008,5.408576012844987,10.24305,0.04738735,-10.195662650000001,0.7272523499999988,M,3
1690,1237648704057508062,346798089912215552,3859,222.842632858,-0.375591225,-19.754363,0.044128105,0.043434896,0.04401,552,10.076,13.338770306132936,16.78183,5939435904.518115,7,223.045971412,-0.256103918,-22.323488,14.818531581117893,10.08103,-0.9607675,-11.0417975,-0.16748849999999926,G,6
1691,1237648704057573499,346783246505240576,3859,223.066930006,-0.293626469,-22.01614,0.044070931,0.043381874,0.04401,552,11.003,13.338770306132936,14.529442,47693149195.62885,2,223.045971412,-0.256103918,-22.323488,2.700450162579726,10.94819,-1.088731,-12.036921,-0.9024640000000002,Q,3
1692,1237648704057573747,346785995284310016,3859,223.080903984,-0.269212651,-20.120548,0.044202509,0.04351376,0.04401,552,10.069,13.338770306132936,16.431992,8321836904.0975275,3,223.045971412,-0.256103918,-22.323488,2.344308405021479,10.1377,-0.1556452,-10.293345200000001,0.5979647999999997,M,2
1718,1237648704594313560,346940476668012544,2454,222.753732613,0.076089353,-20.426414,0.044093383,0.043399774,0.04371,18894,10.395,13.407770306132937,16.087351,11029748251.538721,4,222.748835979,-0.03750439,-22.550685,7.1439334685022216,10.33992,-1.574981,-11.914900999999999,-0.9629250000000003,Q,5
1851,1237648721225646275,314224238707894272,864,168.310007409,-0.036684521,-19.868711,0.03848151,0.03726012,0.04067,532679,10.077,13.723770306132936,16.471061,6599095296.7143545,10,168.271681615,0.003071052,-22.663287,3.469645179527248,10.06055,-1.632531,-11.693081,-0.824916,Q,3
1852,1237648721225646298,313021921333635072,864,168.340605029,-0.05651616,-18.810107,0.04042758,0.03920615,0.04067,532679,9.649,13.723770306132936,17.540189,2489102608.855478,15,168.271681615,0.003071052,-22.663287,5.724623674338303,9.6373,-1.841949,-11.479249,-0.7380589999999998,Q,7
2119,1237648704594575487,347965776830949376,7163,223.408489629,0.02099257,-19.094315,0.04546036,0.04477814,0.04386,6855,9.886,13.067770306132935,17.496977,3233895633.8956075,5,223.396096989,0.010396721,-22.032088,1.0244666296255889,9.70014,-1.803425,-11.503565,-0.7435230000000015,Q,3
2127,1237648705115914321,325547284429301760,1300,187.841752285,0.60997566,-17.849449,0.023000805,0.021858169,0.02428,9473,9.197,12.965770306132937,17.329055,1027494722.7459959,10,187.784877284,0.613706212,-21.891383,3.5810374559502067,9.144958,-1.027637,-10.172595000000001,0.4208923999999996,M,3
2128,1237648705115914384,325546459795580928,1300,187.937531119,0.511878418,-17.543797,0.023696105,0.022553911,0.02428,9473,9.167,12.965770306132937,17.617568,775387508.0725964,13,187.784877284,0.613706212,-21.891383,11.529232180463858,,,,,X,8
2129,1237648705115914386,325561028324648960,1300,187.939818193,0.452582174,-17.65474,0.023558975,0.022416634,0.02428,9473,9.156,12.965770306132937,17.515574,858807839.1537911,12,187.784877284,0.613706212,-21.891383,14.044788040633643,,,,,X,9
2131,1237648705116700811,326650918403598336,3126,189.653217983,0.624506172,-17.409843,0.023554118,0.022425601,0.02417,14194,9.057,13.117770306132936,17.72909,685389110.4148202,8,189.754670505,0.365546508,-22.087241,17.47493070442101,,,,,X,7
2164,1237648702977409215,1029182786545674240,689,208.383220933,-1.194433205,-21.029518,0.024655538,0.023731029,0.02508,170100,10.362,14.005770306132936,14.231128,19222381841.08248,3,208.559373098,-1.436476708,-22.900609,18.807436973515774,10.20949,0.2439629,-9.965527100000001,0.9473198999999983,M,5
2341,1237648721759830317,310856433333725184,240,162.299417829,0.267767506,-20.331515,0.040980912,0.039764933,0.04052,3855,10.338,14.023770306132937,16.005607,10106621467.999044,14,162.495232384,0.322301336,-22.78591,12.771454600035362,10.35133,-0.8467568,-11.1980868,-0.24268780000000056,G,19
2342,1237648721759895794,309785509025048576,240,162.351648619,0.231993385,-21.595018,0.040905033,0.03968886,0.04052,3855,10.823,14.023770306132937,14.75824,32359902170.79993,4,162.495232384,0.322301336,-22.78591,10.65761162229841,10.76731,-0.6486046,-11.4159146,-0.3357216000000012,G,17
2352,1237648721786241263,346941576179640320,5232,222.599635743,0.348249039,-19.605047,0.040463321,0.03976773,0.04066,6114,9.765,13.083770306132935,16.759311,5176292389.105222,5,222.489099895,0.558296006,-22.047289,14.913418439965428,9.661517,-0.5377861,-10.1993031,0.5491519999999994,M,6
2355,1237648722284118374,526975064550172672,5210,133.434065141,0.803639907,-19.089536,0.040724045,0.039712783,0.04188,21851,9.356,13.118770306132935,17.363668,3219692530.0910053,4,133.518347475,0.85323147,-22.036853,6.143833900623357,9.202526,-0.5691356,-9.7716616,0.8390962000000002,M,3
2356,1237648722284249438,528110035444721664,5200,133.780931739,0.811574966,-19.946408,0.042690118,0.04167477,0.04249,15388,9.63,13.132770306132937,16.539495,7088644552.957108,4,133.948594184,0.794284344,-22.148959,10.589383964333743,9.480463,0.04441575,-9.43604725,1.258091649999999,M,6
2357,1237648722284314732,528111959590070272,5200,133.959478049,0.83113982,-21.032658,0.042760779,0.041743387,0.04249,15388,10.475,13.132770306132937,15.426593,19278054335.378918,3,133.948594184,0.794284344,-22.148959,2.41454300579394,10.44744,0.1517816,-10.2956584,0.688573599999998,M,3
2360,1237648722296832040,309783035123886080,240,162.490343351,0.70081961,-20.008472,0.040922638,0.03970751,0.04052,3855,9.724,14.023770306132937,16.381222,7505658490.332126,17,162.495232384,0.322301336,-22.78591,23.784988179512958,9.445592,-0.1086854,-9.5542774,1.1294001999999992,M,29
2423,1237648721759895774,309783584879699968,240,162.34460979,0.394502017,-19.351425,0.040388179,0.03917246,0.04052,3855,9.806,14.023770306132937,17.00341,4097981561.4947658,25,162.495232384,0.322301336,-22.78591,10.494840634751801,9.736094,-1.708424,-11.444517999999999,-0.6736897999999982,Q,16
2701,1237648721225580762,313018622798751744,864,168.270103102,-0.093747826,-18.88413,0.040782454,0.039560903,0.04067,532679,9.695,13.723770306132936,17.480276,2664722567.648465,12,168.271681615,0.003071052,-22.663287,6.084117974057737,9.627239,-1.803103,-11.430342,-0.6921703000000008,Q,8
2702,1237648721225646181,313007627682473984,864,168.366450868,-0.056929997,-21.153583,0.040594347,0.039372925,0.04067,532679,10.662,13.723770306132936,15.204314,21549301624.812412,4,168.271681615,0.003071052,-22.663287,7.04763203571348,10.73731,-1.83886,-12.576170000000001,-1.504977000000002,Q,9
2822,1237648720149283041,310825921886054400,774,162.406377466,-0.907118293,-19.783048,0.039582805,0.03836371,0.0396,529101,9.749,13.969770306132936,16.544863,6098446244.103376,10,162.338072546,-0.668071678,-22.847922,15.62075662295142,9.638282,-0.2985674,-9.9368494,0.8046351999999999,M,8
2861,1237648705135771804,354755255579207680,2355,233.241797746,0.440734784,-22.794096,0.037062529,0.036564466,0.03758,2861,11.384,13.680770306132937,13.430496,97642389745.17822,1,233.241797746,0.440734784,-22.794096,0.0,11.19496,-0.96501,-12.15997,-0.9514820000000004,Q,1
3022,1237648705115848927,325547834185115648,1300,187.748080952,0.54209696,-19.015972,0.024934303,0.02379078,0.02428,9473,9.825,12.965770306132937,16.150725,3008768682.6509347,5,187.784877284,0.613706212,-21.891383,5.058536692559884,9.747048,-1.811003,-11.558050999999999,-0.7839366000000005,Q,4
3023,1237648705116766267,326660539130341376,3126,189.843489571,0.460233319,-20.467777,0.024713899,0.023586469,0.02417,14194,10.498,13.117770306132936,14.701373,11458052293.544645,2,189.754670505,0.365546508,-22.087241,8.157018662648303,10.3189,-0.9973779,-11.3162779,-0.37060789999999955,G,6
3281,1237648721759764640,310843514072098816,240,162.118924087,0.336009969,-20.373093,0.040578501,0.039363053,0.04052,3855,10.15,14.023770306132937,15.990766,10501158171.528452,13,162.495232384,0.322301336,-22.78591,23.659441427644783,10.12055,-0.1915559,-10.312105899999999,0.5740591000000013,M,28
3282,1237648721759961363,309787158292490240,240,162.497479161,0.353258599,-21.469013,0.038863702,0.03764759,0.04052,3855,10.792,14.023770306132937,14.901201,28814109350.41261,5,162.495232384,0.322301336,-22.78591,1.9502180927124688,10.81194,-0.55961,-11.37155,-0.27796799999999955,G,2
3283,1237648721759961461,310867703327909888,240,162.594962976,0.236386239,-21.304387,0.04064052,0.039423916,0.04052,3855,10.752,14.023770306132937,15.042783,24760237151.239662,6,162.495232384,0.322301336,-22.78591,8.270771544308523,10.69124,-0.3150849,-11.006324900000001,0.051047099999998125,G,11
3303,1237648721790894241,4515077519011672064,2355,233.259640424,0.419928209,-21.013588,0.037626857,0.037129086,0.03758,2861,10.636,13.680770306132937,15.195883,18942408583.00476,3,233.241797746,0.440734784,-22.794096,1.7221622471625926,,,,,X,2
3552,1237648721249501332,346809085028493312,2454,222.80149453,-0.06085058,-20.660608,0.04418809,0.043494962,0.04371,18894,10.441,13.407770306132937,15.873565,13684949527.667427,3,222.748835979,-0.03750439,-22.550685,3.619226818340739,10.44216,-0.2493622,-10.6915222,0.29112579999999966,G,3
3641,1237648705667137705,345818974824458240,10121,220.598357453,0.907996398,-22.196804,0.033946782,0.03321811,0.03409,3641,11.143,13.272770306132935,13.751686,56327645750.14541,1,220.598357453,0.907996398,-22.196804,0.0,11.05283,-1.097961,-12.150791,-0.9849420000000002,Q,1
3814,1237648721771888860,326663837665224704,3126,189.759222867,0.257056618,-17.43764,0.023037172,0.021908503,0.02417,14194,8.991,13.117770306132936,17.750609,703162983.2242012,7,189.754670505,0.365546508,-22.087241,6.822619156088687,,,,,X,4
3855,1237648721759961111,310869352595351552,240,162.495232384,0.322301336,-22.78591,0.040214827,0.038998634,0.04052,3855,11.388,14.023770306132937,13.551382,96908974979.97495,1,162.495232384,0.322301336,-22.78591,0.0,11.34712,-1.057247,-12.404367,-1.1502310000000016,Q,1
3878,1237648722834751654,311989480049371136,3025,165.007811542,1.095991042,-19.133576,0.04088503,0.039667677,0.04054,4916,9.219,13.409770306132936,17.239238,3352975653.8273377,6,164.824374774,1.153473532,-22.289086,12.076196632362088,9.071981,-0.07772908,-9.149710079999998,1.4218842200000008,M,4
3902,1237648722857033814,343517971026569216,2892,215.867417143,1.102089816,-20.398267,0.04043816,0.03963184,0.03964,41798,10.346,13.709770306132937,15.971244,10747483820.67296,4,216.138223157,1.177318646,-22.703339,17.656337666957057,10.35126,-1.164048,-11.515308,-0.5599299999999996,Q,6
4150,1237648722841042953,320969741638330368,11175,179.23753974,1.11586538,-21.155391,0.040517472,0.039325267,0.04064,4924,10.421,12.885770306132937,15.20051,21585216053.012474,2,179.274744468,1.125520071,-21.834747,2.4146366463909223,10.41704,0.4585905,-9.9584495,1.016662499999999,M,2
