Group,Lum_BGG,Lum_group,FracLumBGG,z_group,DeltaR12,NbGal,RA_BGG,Dec_BGG,RA_Bary,Dec_Bary,Radius_Bary_arcmin,Offset_Bary,V_BGG,V_moy,Vdisp,Voffset,size_Group_Bary_kpc,M_group,M_virial,M_virial_over_L,t_cr,BGG_SFRcategory,all_SFR,Prop_M_Sat,Prop_M_Tot,Prop_G_Sat,Prop_G_Tot,Prop_Q_Sat,Prop_Q_Tot,lMass_200,r_200_kpc
1,187918700268.03207,4414497899807.863,0.0425685331679988,0.023882166195167285,0.43615799999999894,538,195.033861807,27.976940934,194.7837391338021,27.871534731288122,49.39943296859193,0.29739215487553466,-437.72545833972526,4.1671086242941787e-13,649.8700267774503,0.6735584660063509,1545.0689352919194,-26.932203286350642,857827991208924.6,194.32062505823387,2.1088465218188244,Q,False,0.09124767225325885,0.09107806691449814,0.19553072625698323,0.19516728624535315,0.6238361266294227,0.6245353159851301,14.505655184677533,1431.1773419852068
3,139023046100.58777,1988783276886.783,0.06990356753110512,0.037408634514124295,0.2065739999999998,177,240.58274434,16.345990189,240.6357138767487,16.165252394529205,24.75623264825187,0.4550498674583856,355.8078257030902,-3.198646620642078e-13,535.0947899432801,0.6649435434435944,1224.9688615167836,-26.066468648635208,458686158501592.2,230.63657253776483,2.03056991132461,Q,True,0.09659090909090909,0.096045197740113,0.2897727272727273,0.288135593220339,0.6136363636363636,0.615819209039548,14.265589522172696,1185.2341995227298
5,118114822052.82896,1593051067575.9028,0.07414377634017764,0.021936020102564104,0.24816200000000066,156,176.008979695,19.949825155,176.05594126070181,19.883817546768263,35.873404832612536,0.1328225056242079,-16.251734748541345,-3.2940032468057977e-13,444.62426653599016,0.036551614411773264,1029.0926286602653,-25.825574244918606,275610685647325.16,173.00806688307458,2.0529809781485873,Q,False,0.12903225806451613,0.1282051282051282,0.14838709677419354,0.14743589743589744,0.5483870967741935,0.5512820512820513,14.087754849587986,1039.10623832314
6,189941209867.56116,1840413500439.9783,0.10320572513848267,0.041736899194630875,1.058330999999999,149,234.912689103,21.782715602,234.92927152625913,21.7269935413173,29.06662833078018,0.11933549003118078,153.93332825392946,-5.966651483107633e-13,536.9545333436914,0.28667851502317254,1609.706377131019,-25.982288525980213,566774413503283.6,307.960365085231,2.659088373132904,X,False,0.17567567567567569,0.174496644295302,0.14189189189189189,0.14093959731543623,0.6418918918918919,0.6375838926174496,14.611553596125969,1543.557342802054
13,108826534598.27013,1102395659455.2786,0.09871821760623047,0.0276594197398374,0.6267239999999994,123,220.178480735,3.465422858,220.15144895644386,3.4959755902833187,31.04167228853871,0.07878715317379661,128.30242863557726,-6.839695927967144e-13,386.2807041577683,0.3321481690764846,1127.5982244732056,-25.425843736467083,222806066097476.0,202.11079768544272,2.589255984941021,M,True,0.14754098360655737,0.15447154471544716,0.21311475409836064,0.21138211382113822,0.639344262295082,0.6341463414634146,14.065053002894864,1019.3119233981396
27,85701416472.6734,1029747368695.0829,0.08322567173080132,0.03300349158333333,0.06006400000000056,96,167.661523674,28.768887329,167.68203372297148,28.65834456150942,19.04068343437013,0.3529182429960827,755.7000581132086,1.2718714970105793e-12,427.9835043892312,1.765722394351753,828.5424098295259,-25.35182672720196,190704465311538.53,185.19538977137972,1.7171622503712582,X,False,0.29473684210526313,0.2916666666666667,0.24210526315789474,0.23958333333333334,0.45263157894736844,0.4479166666666667,13.832720949085925,851.3840956935612
30,149157947985.6218,1305431772579.8499,0.11425947423575382,0.040821998344086015,0.653027999999999,93,229.853077991,20.896319496,229.98455554082403,20.82698202104756,26.242207253482,0.3225503334677916,20.717057493040073,1.8953918482512436e-12,378.33368156358773,0.05475869187067394,1420.4927455092422,-25.609385446685444,233376271802393.06,178.7732432321491,3.3303327899843085,X,False,0.2608695652173913,0.25806451612903225,0.25,0.24731182795698925,0.42391304347826086,0.41935483870967744,14.349118410016672,1262.3273530355552
32,113472755207.11925,1060480227715.3005,0.10700129266114188,0.03507168250561798,0.7293850000000006,89,229.185364781,7.021621675,229.1941482024801,7.01267338009273,21.98632140974844,0.03409236185145992,4.398242907883778,-9.771958523262501e-14,458.5190802552338,0.009592278919855639,1018.2119343668722,-25.38375643914656,289430790658553.94,272.92426873634776,1.9697195267875802,X,False,0.13636363636363635,0.1348314606741573,0.18181818181818182,0.1797752808988764,0.6022727272727273,0.5955056179775281,14.115124139621509,1056.7529042723154
33,88793259757.69518,830605337709.2667,0.1069018650934496,0.024349241730337083,0.17004200000000225,89,181.025699464,20.235082536,180.92449263284618,20.296814911594346,26.825327386754,0.25329781482160313,-651.0778600987703,-1.3105920842963826e-12,377.04863001040246,1.7267742362060996,855.7228718002062,-25.118486794210813,145097856735073.78,174.68929002459862,2.013072391393763,Q,False,0.22727272727272727,0.2247191011235955,0.3068181818181818,0.30337078651685395,0.36363636363636365,0.3707865168539326,13.777710826859328,818.4294868032022
36,111114720968.04568,948469474852.2161,0.11715160467906341,0.03292502296428571,0.5150600000000018,84,176.058210937,33.514508725,176.33373375684226,33.34979456402261,28.86322226799574,0.5879668146994469,-73.6927574042379,6.90241514738383e-13,262.143437447775,0.28111616343216633,1252.9053627540686,-25.26255839574076,109232949651004.88,115.16759637206542,4.2393853822270895,Q,False,0.37349397590361444,0.36904761904761907,0.20481927710843373,0.20238095238095238,0.40963855421686746,0.4166666666666667,14.03841487213525,997.0134839984144
37,98867783980.0591,950404406206.0553,0.10402706819798116,0.03313359953571429,0.06638200000000083,84,173.705394332,49.077634975,173.65475185674407,49.090581585738676,24.147938260034522,0.08846841880981945,256.52458403434474,-1.8328619045773633e-12,378.626667766713,0.6775132495220901,1055.024071038383,-25.264771102727423,189620472301568.3,199.51556523029953,2.4715806642220812,Q,False,0.1686746987951807,0.16666666666666666,0.3253012048192771,0.32142857142857145,0.4939759036144578,0.5,13.969528069282756,945.6053079559244
39,93384414457.54831,756113366216.3511,0.12350583739162163,0.027314086867469882,0.4675489999999982,83,123.936833501,58.32099189,123.86833845471857,58.13797036622021,28.583064237203175,0.39157623022562615,23.001126705742003,-7.177337706762265e-13,282.0720036771323,0.08154345842868714,1025.0639711242823,-25.016467288459005,110342868381678.78,145.934291485737,3.2234029982924897,Q,False,0.3902439024390244,0.3855421686746988,0.1951219512195122,0.1927710843373494,0.4024390243902439,0.40963855421686746,13.87905715095626,883.804103115993
40,122190769557.20798,1033248393724.886,0.11825885266243409,0.037132761725,0.31329000000000207,80,229.756033316,4.52067575,229.5643107041413,4.4883710056838515,28.189452819900254,0.41258248939028824,-21.75796222859391,6.544098596350522e-13,355.2127446291413,0.061253326513695035,1384.284496141928,-25.355511847013666,215478647562682.5,208.54486575670023,3.456690016457134,Q,False,0.34177215189873417,0.3375,0.13924050632911392,0.1375,0.46835443037974683,0.475,14.171171799903576,1102.4780049423714
46,158180447555.8916,1095530598824.51,0.1443870647936417,0.04050363780821918,0.7887120000000003,73,155.421773619,23.923065206,155.31564092168367,23.976255618441368,26.256570438077755,0.25278710176242886,-80.60767462998263,-9.91718123147359e-13,407.5502761387242,0.19778584226144397,1409.861076174445,-25.419061280426547,284040961433712.7,259.27250387938494,3.0684478646778413,Q,True,0.25,0.2465753424657534,0.05555555555555555,0.0547945205479452,0.6944444444444444,0.6986301369863014,14.443508325284188,1357.311973269655
50,139662689164.63968,962589967454.458,0.14509053063785166,0.039226694704225344,1.2187850000000005,71,233.133396618,4.680996916,233.11088000082015,4.715809453831843,22.4296014668357,0.11079654489040919,39.21067380908956,2.254522077634301e-12,397.055593969493,0.0987536113446622,1165.3209718115322,-25.278603327381308,216593091713310.34,225.0107512403071,2.603261905123157,Q,False,0.2857142857142857,0.28169014084507044,0.17142857142857143,0.16901408450704225,0.42857142857142855,0.43661971830985913,14.2124442627463,1137.1983118483245
51,90009344721.85501,1021386382436.3812,0.08812467668420418,0.03801029967605633,0.06388600000000011,71,241.566797134,18.249954686,241.4215564258737,18.15796672726701,17.984073316275147,0.5532392741479875,-242.7906867693407,1.3272137692465421e-12,341.9281590726912,0.7100634455722808,904.5821392215946,-25.342975158392104,129759966514631.97,127.04297682636697,2.3465875395158027,Q,True,0.4,0.39436619718309857,0.17142857142857143,0.16901408450704225,0.42857142857142855,0.43661971830985913,13.781447321261734,817.2215338132883
61,85251337240.46135,946627377442.4656,0.09005796712829889,0.034868094296875,0.35681100000000043,64,241.149144579,17.721559028,241.29701686665322,17.672255327785415,14.466663461703234,0.6190226831201322,144.57681459369508,4.1389114358025836e-13,370.0947954828001,0.3906480619515055,665.9797831014457,-25.26044765139759,118025633003474.73,124.68013900289729,1.596142595954003,Q,True,0.38095238095238093,0.375,0.15873015873015872,0.15625,0.4603174603174603,0.46875,13.679088931072222,756.2347095870606
70,128200228719.58524,1006452534328.1891,0.12737831576444822,0.04199523049180327,0.42761299999999736,61,212.506606523,54.881720834,212.6060818312418,54.97365108156926,27.112610543175073,0.2395595904131124,125.49004577763176,1.7041377416672567e-12,301.06175401468107,0.41682493410142896,1511.0687367452635,-25.326983244471435,160469509184233.5,159.44071251342967,4.451970240722404,Q,True,0.5,0.4918032786885246,0.1,0.09836065573770492,0.4,0.4098360655737705,14.23994536622749,1160.4256050282734
71,118549902190.4876,663513097568.0526,0.178670025693545,0.029857316360655736,0.3153550000000003,61,139.016329083,17.628364762,139.02722719432992,17.581218152478513,23.731111129462683,0.12206103015313106,-73.88560516866231,3.7181187090921966e-13,384.7785436796375,0.19202111547617645,932.0481796001171,-24.874623750350004,150948308144129.7,227.49861110111365,2.148578055832624,Q,True,0.4,0.39344262295081966,0.18333333333333332,0.18032786885245902,0.4166666666666667,0.4262295081967213,14.12306685201492,1064.9818011909556
76,167630715993.58972,1022525736757.6952,0.16393789414545823,0.04357740263793104,0.9195689999999992,58,232.373444842,7.573251432,232.30160706253193,7.6434835964674,25.78006369967054,0.23277005093898628,169.0351746826607,-2.2227736892467687e-12,380.2392600760376,0.44454950456420633,1492.6370202921185,-25.34418561979425,270182792643308.1,264.2307992168734,3.4819367067313114,Q,False,0.24561403508771928,0.2413793103448276,0.19298245614035087,0.1896551724137931,0.45614035087719296,0.46551724137931033,14.520131678702262,1438.1087353127696
78,121635739547.38411,725440928692.5397,0.1676714598480236,0.029598984396551724,0.18337199999999854,58,139.208372488,20.198497201,139.40661264832298,20.055323870636524,26.572235888586203,0.5302421799330304,-283.74859925733836,1.1907716192393402e-13,336.2279584424713,0.8439173249356298,1034.4080274352532,-24.971505136051086,149882773283347.12,206.60920463018329,2.728862657898384,Q,False,0.3333333333333333,0.3275862068965517,0.22807017543859648,0.22413793103448276,0.42105263157894735,0.43103448275862066,14.087657677978717,1036.5130169862434
79,114526924933.97787,932607065799.3151,0.12280297794636544,0.04563990499999999,0.643340000000002,58,230.466041678,7.708815434,230.48053806278168,7.6719480041371595,15.876761338582334,0.1495299745056641,-262.75049228771815,3.4968503188855687e-12,455.7476528797779,0.5765262654178339,964.1849429743435,-25.24424675379347,256317267996494.3,274.83950893810885,1.8765473371375654,Q,False,0.017543859649122806,0.017241379310344827,0.05263157894736842,0.05172413793103448,0.8245614035087719,0.8275862068965517,14.003776122917344,966.9067495437924
85,92409623324.85942,721539477020.4543,0.12807285847540642,0.030491855035087723,0.49917800000000057,57,244.418911431,35.004215289,244.46280803964862,35.03920328104551,18.057363630598502,0.16668293181987365,-156.67008151197624,-1.0171980217197224e-12,358.22659118625455,0.4373491118935862,724.6200298170947,-24.965650243227717,125718563104313.98,174.2365693190618,1.7942218201037483,Q,False,0.17857142857142858,0.17543859649122806,0.125,0.12280701754385964,0.625,0.631578947368421,13.74414463076079,796.0625948923462
94,125685969646.65051,627288217051.046,0.20036398935965144,0.025579643698113216,0.18178800000000095,53,214.538450174,7.56454998,214.53106600588035,7.487560129045167,33.17348152092385,0.13987757812191992,-49.4561258039679,-2.3933224375074167e-12,250.8042886181064,0.1971901121645936,1112.7155021812266,-24.813667824622982,85776511021424.28,136.7417858168443,3.93525428082929,Q,False,0.38461538461538464,0.37735849056603776,0.17307692307692307,0.16981132075471697,0.34615384615384615,0.3584905660377358,14.217553178165494,1146.6383885922662
