objid,specobjid,Group,RA,Dec,M_r,Lum,z,dist2BGG,lgm,sfr,sSFR,rank_dist,BGG_ID,rank_M,RA_BGG,Dec_BGG,M_BGG
1237648705667072024,345819799458179072,10121,220.443234548,0.920499604,-19.673128,5511263808.971897,0.034102383,9.777031941180883,9.578831,-0.182327,-9.761158,3,3641,4,220.598357453,0.907996398,-22.196804
1237648720149479679,310815751403497472,10247,162.886970009,-1.002880586,-20.766666,15089206429.817932,0.03852537,5.408576012844987,10.24305,0.04738735,-10.19566265,3,474075,3,162.900580454,-1.087878301,-22.216008
1237648705667137705,345818974824458240,10121,220.598357453,0.907996398,-22.196804,56327645750.14541,0.033946782,0.0,11.05283,-1.097961,-12.150791,1,3641,1,220.598357453,0.907996398,-22.196804
1237648705667137570,345818425068644352,10121,220.641818045,0.978873142,-21.229369,23107214721.40958,0.034187089,5.223675505872168,10.70381,-1.59418,-12.29799,2,3641,2,220.598357453,0.907996398,-22.196804
1237651066815578363,674519361309927424,11071,181.01338865,65.216791804,-19.407257,4314225088.01613,0.039376677,7.526227984121181,9.958166,0.1004092,-9.8577568,4,64746,4,181.000920836,65.097122752,-21.926905
1237648720171696336,342358810825877504,9765,213.554877832,-0.894392621,-22.173834,55148486738.33384,0.038624485,13.850201235778414,10.93987,-0.8761289,-11.8159989,4,559558,2,213.752623869,-0.796946989,-22.200554
1237651066815578330,673449811357231104,11071,180.848134428,65.164012939,-20.149489,8546643717.983711,0.039758855,5.827783011696056,10.10338,-1.084145,-11.187525,3,64746,2,181.000920836,65.097122752,-21.926905
1237651272961490958,502233303928039424,11252,129.174854651,53.727225496,-21.826551,40051648862.55507,0.031914619,0.0,10.91903,-1.483849,-12.402879,1,17936,1,129.174854651,53.727225496,-21.826551
1237651752415854747,343559202712610816,9995,216.834858851,1.025842952,-22.285289,61110466638.798386,0.026447369,0.0,11.08024,-1.314641,-12.394881,1,31104,1,216.834858851,1.025842952,-22.285289
1237651752415854874,343563051003308032,9995,216.873535781,1.055815727,-19.512559,4753610568.400456,0.026563053,3.074127329065062,9.421911,-0.2390186,-9.6609296,2,31104,4,216.834858851,1.025842952,-22.285289
1237651752415920197,344614734277928960,9995,217.018896646,1.006277406,-21.19629,22413826198.485836,0.026457409,11.626791201801636,10.23991,0.3121536,-9.9277564,4,31104,2,216.834858851,1.025842952,-22.285289
1237651753485729911,596745401437022208,11078,208.117291532,1.945024189,-21.875236,41888460567.02481,0.033440657,0.0,10.8724,0.2839163,-10.5884837,1,35939,1,208.117291532,1.945024189,-21.875236
1237651753485729932,596744851681208320,11078,208.121362571,1.917146243,-19.680257,5547570115.908702,0.033534889,1.7701801770152277,9.275077,-0.3294338,-9.6045108,2,35939,4,208.117291532,1.945024189,-21.875236
1237651753485861130,4544252509963350016,11078,208.338229641,2.052929483,-21.346464,25738640263.378178,0.033489521,15.44153260533968,,,,4,35939,2,208.117291532,1.945024189,-21.875236
1237651272961425646,502231104904783872,11252,129.148047182,53.707310345,-19.110652,3282923781.6330795,0.032513024,1.5997776601098763,9.63608,-0.8797101,-10.5157901,2,17936,3,129.174854651,53.727225496,-21.826551
1237651272961490952,502229455637342208,11252,129.221553278,53.706363995,-20.878469,16725826983.043455,0.032646131,2.1755657140044025,10.45058,-1.31894,-11.76952,3,17936,2,129.174854651,53.727225496,-21.826551
1237651534946304186,502237152218736640,11252,128.989409954,53.812218639,-18.837174,2551934951.0378475,0.032170033,8.714575526276535,9.214596,-0.3484992,-9.5630952,4,17936,4,129.174854651,53.727225496,-21.826551
1237654031401812159,575480307034122240,10657,170.426795518,3.573488775,-21.032845,19281374945.49855,0.040251201,8.52917020051202,10.43668,0.08458939,-10.35209061,3,82905,2,170.326098576,3.664743894,-22.000997
1237651539793215634,685811620974192640,10908,223.702658703,63.019976295,-21.891069,42503784404.59322,0.042743812,0.0,11.03314,-0.4239905,-11.4571305,1,43905,1,223.702658703,63.019976295,-21.891069
1237651752415789223,601233332537157632,9995,216.721118316,0.962873891,-19.937334,7029648342.13694,0.026964991,8.167685250344448,9.581052,-0.03600385,-9.61705585,3,31104,3,216.834858851,1.025842952,-22.285289
1237651538187518173,696989801190025216,10506,238.341622844,54.529080535,-20.964088,18098192364.947487,0.043987044,11.253707893890349,10.29814,0.07950258,-10.21863742,3,101393,3,238.333836194,54.708132104,-22.112658
1237651735237951685,603484857925920768,10121,220.782444017,1.100021396,-20.532858,12165870800.020948,0.034551293,16.71268550604267,10.29237,-0.1480391,-10.4404091,4,3641,3,220.598357453,0.907996398,-22.196804
1237651538187452545,697001895817930752,10506,238.013867382,54.67221906,-21.145825,21395872439.434452,0.043709737,11.837248339979135,10.14442,0.2686521,-9.8757679,4,101393,2,238.333836194,54.708132104,-22.112658
1237654602641244319,649756985901737984,11265,159.347120549,5.438504192,-20.36471,10420390637.199677,0.030500901,10.908318936302772,10.2986,-1.692071,-11.990671,3,143533,3,159.400802856,5.603688233,-21.980877
1237654605329137794,940224042894387200,9394,167.919441761,4.668873548,-22.583292,80411247534.72842,0.042362321,0.0,11.23892,-1.063127,-12.302047,1,59397,1,167.919441761,4.668873548,-22.583292
1237655123929268365,575447596563195904,10657,170.17377097,3.597576016,-20.191495,8883784192.597912,0.040282729,10.44259882081804,9.932844,0.06496361,-9.86788039,4,82905,3,170.326098576,3.664743894,-22.000997
1237654610141249556,673461631107229696,11071,181.000920836,65.097122752,-21.926905,43930080591.82902,0.03978192,0.0,10.9879,-1.300324,-12.288224,1,64746,1,181.000920836,65.097122752,-21.926905
1237654880741294303,662202627492177920,10120,224.749586807,4.120911265,-20.77767,15242914022.384134,0.044846471,14.03019756076553,10.60062,-0.4068835,-11.0075035,4,84119,3,224.52660375,4.101014713,-22.285875
1237654948913348733,696990625823746048,10506,238.373029561,54.64506354,-20.928801,17519447259.12738,0.043512489,4.210754158678867,10.28667,-0.5706906,-10.857360600000002,2,101393,4,238.333836194,54.708132104,-22.112658
1237654605329137953,940224867528108032,9394,167.921682203,4.70055204,-20.04181,7739697732.465648,0.041227851,1.995356997607688,9.882125,-0.4367867,-10.3189117,3,59397,2,167.919441761,4.668873548,-22.583292
1237655109442469957,865906714560456704,10964,146.448319445,54.776598057,-21.798093,39015502070.44471,0.044844094,8.337160819799285,10.9865,-1.782238,-12.768738,3,150931,2,146.467411118,54.908831905,-21.860371
1237654605329072383,654157506129455104,9394,167.790730095,4.676488287,-19.680333,5547958451.568454,0.042574277,8.074500908924508,9.853103,-1.242357,-11.09546,4,59397,4,167.919441761,4.668873548,-22.583292
1237654610141249558,674520460821555200,11071,181.024983827,65.081801842,-19.786794,6119523402.945282,0.03915772,1.1542204647956935,10.04503,-1.772467,-11.817497,2,64746,3,181.000920836,65.097122752,-21.926905
1237655123929333774,941318607558699008,10657,170.326098576,3.664743894,-22.000997,47032579688.07817,0.040564631,0.0,11.03878,-1.284453,-12.323232999999998,1,82905,1,170.326098576,3.664743894,-22.000997
1237654880741228570,663252936142383104,10120,224.52660375,4.101014713,-22.285875,61143458445.66936,0.045057866,0.0,11.06011,-0.9482996,-12.0084096,1,84119,1,224.52660375,4.101014713,-22.285875
1237654880741294218,663260907601684480,10120,224.704628906,4.231691538,-20.024053,7614145998.534164,0.044570669,13.851835576722673,9.74244,-0.0368419,-9.7792819,3,84119,4,224.52660375,4.101014713,-22.285875
1237655123929333841,941320806581954560,10657,170.287167276,3.770970436,-19.721222,5760879616.628951,0.040454288,7.106766203435387,9.783316,-0.3898563,-10.1731723,2,82905,4,170.326098576,3.664743894,-22.000997
1237654880741294238,662200153591015424,10120,224.716155609,4.212043703,-21.00429,18780882690.657032,0.044559608,13.77559858317223,10.80756,0.1702361,-10.6373239,2,84119,2,224.52660375,4.101014713,-22.285875
1237654948913283207,696992549969094656,10506,238.333836194,54.708132104,-22.112658,52127056263.89242,0.043911226,0.0,11.02911,-1.082995,-12.112105,1,101393,1,238.333836194,54.708132104,-22.112658
1237657612341543037,1481792626108688384,10423,186.735739179,57.770167542,-22.153464,54123465937.80716,0.043968626,0.0,11.22813,-0.450871,-11.679001,1,116793,1,186.735739179,57.770167542,-22.153464
1237658425163841691,1124920561084950528,10610,158.571910667,7.814193522,-19.19391,3544573611.994861,0.037794409,11.119258787242984,9.774452,-1.217049,-10.991501,3,159128,4,158.393452892,7.806524974,-21.968317
1237657629512827171,1348891629972383744,10163,133.395223677,39.089345861,-20.055135,7835270601.470157,0.029281226,2.9714542626007368,10.07846,-1.285879,-11.364339,2,130607,4,133.406529632,39.135817294,-22.332498
1237654605329137931,940214147289737216,9394,167.897739604,4.652189861,-19.851943,6497962489.743914,0.041617887,1.716379065555165,10.06368,-1.598876,-11.662556,2,59397,3,167.919441761,4.668873548,-22.583292
1237657629512826964,1350035397513603072,10163,133.406529632,39.135817294,-22.332498,63826231046.68421,0.02961326,0.0,11.21109,-0.5935245,-11.8046145,1,130607,1,133.406529632,39.135817294,-22.332498
1237657629512827188,1348892179728197632,10163,133.311678603,39.172879916,-20.466033,11439662188.611378,0.029625753,5.174971605247684,9.877542,-0.3503689,-10.2279109,3,130607,2,133.406529632,39.135817294,-22.332498
1237658304886014057,626022371840518144,10964,146.110862356,54.85104556,-21.04761,19545374672.53355,0.044676943,13.389697834214555,10.61699,-1.115133,-11.732123,4,150931,3,146.467411118,54.908831905,-21.860371
1237658297923797032,649766331750574080,11265,159.400802856,5.603688233,-21.980877,46169035291.33704,0.029789632,0.0,10.85108,-1.382449,-12.233529,1,143533,1,159.400802856,5.603688233,-21.980877
1237658493891706939,1384968530675394560,10900,184.11131715,10.895107617,-20.330859,10100516908.57029,0.025570478,20.863508570195233,10.09189,-0.1415204,-10.2334104,4,145586,3,184.445511478,10.844657778,-21.885197
1237658493891903500,1384978151402137600,10900,184.445511478,10.844657778,-21.885197,42274531178.303345,0.025459832,0.0,10.84702,0.3155903,-10.5314297,1,145586,1,184.445511478,10.844657778,-21.885197
1237658493891903612,1384980350425393152,10900,184.528584398,10.896242173,-20.723187,14496888545.76561,0.024788749,6.064694953223136,10.47864,-1.753536,-12.232176,2,145586,2,184.445511478,10.844657778,-21.885197
1237658205578657826,1084350506282805248,9833,162.038804899,48.331531739,-22.450846,71176790348.24214,0.042081502,0.0,10.82147,0.7259301,-10.0955399,1,147357,1,162.038804899,48.331531739,-22.450846
1237658205578657877,1084351056038619136,9833,161.907581252,48.480093595,-20.843491,16195576058.902782,0.041586285,10.82081514608288,10.44815,-1.438768,-11.886918,2,147357,3,162.038804899,48.331531739,-22.450846
1237658205578723439,1084347207747921920,9833,162.052660756,48.504918592,-21.156843,21614102167.53667,0.042163588,10.90952892775826,10.46667,-0.2843881,-10.7510581,3,147357,2,162.038804899,48.331531739,-22.450846
1237658297923731566,649755061756389376,11265,159.191553756,5.554449021,-19.801283,6201734929.969007,0.029769614,13.445993478602729,10.0214,-1.311573,-11.332973,4,143533,4,159.400802856,5.603688233,-21.980877
1237658304886079663,865920458455803904,10964,146.467411118,54.908831905,-21.860371,41318866593.67882,0.044589041,0.0,10.92094,-1.051162,-11.972102,1,150931,1,146.467411118,54.908831905,-21.860371
1237658614126346384,1084348307259549696,9833,161.78616893,48.538239028,-20.256473,9431683094.631742,0.0419995,16.721190014841753,9.713471,0.1049492,-9.6085218,4,147357,4,162.038804899,48.331531739,-22.450846
1237657629512892647,1350035947269416960,10163,133.598841327,39.250844315,-20.357907,10355302736.935858,0.028623613,11.829355393555876,10.19333,-1.49453,-11.68786,4,130607,3,133.406529632,39.135817294,-22.332498
1237658425163776048,1124917812305881088,10610,158.393452892,7.806524974,-21.968317,45638020594.667,0.037120132,0.0,10.89841,0.6700925,-10.2283175,1,159128,1,158.393452892,7.806524974,-21.968317
1237655368758788270,889518691719342080,11370,218.177925909,56.964803762,-19.727632,5794991456.180808,0.042934246,7.624050825063379,10.08617,-1.497445,-11.583614999999998,4,180348,2,218.094603014,56.852313869,-21.859197
1237658425163776192,1124919461573322752,10610,158.393826719,7.790921111,-20.76814,15109705511.07218,0.036823358,0.9806957649374096,10.375,-0.5018933,-10.8768933,2,159128,3,158.393452892,7.806524974,-21.968317
1237658608219848803,1075358696264984576,10458,185.231122585,60.899671598,-20.55278,12391161003.982183,0.043567653,1.3799467415998514,10.42566,-1.963204,-12.388864,2,195205,3,185.253089397,60.918862421,-22.122066
1237659327091900583,889517867085621248,11370,218.071812739,56.816343121,-19.202188,3571701860.4314013,0.04349482,2.3920193941044565,9.248343,-0.4027705,-9.6511135,3,180348,4,218.094603014,56.852313869,-21.859197
1237658425163841661,1396195095190988800,10610,158.547410921,7.928366839,-21.949146,44839256216.14186,0.037305525,12.26499498113119,10.96078,-1.479635,-12.440415,4,159128,2,158.393452892,7.806524974,-21.968317
1237659327091835101,889531336103061504,11370,218.04197606,56.857569596,-19.607922,5190017234.3404,0.043362015,1.837856413716236,9.836951,-1.677101,-11.514052,2,180348,3,218.094603014,56.852313869,-21.859197
1237659327091900425,889520890742597632,11370,218.094603014,56.852313869,-21.859197,41274212899.04666,0.043303635,0.0,10.82187,0.6804266,-10.1414434,1,180348,1,218.094603014,56.852313869,-21.859197
1237658297923797167,649767981018015744,11265,159.388073143,5.628606129,-20.667184,13768086948.708498,0.029445678,1.7563668550101732,10.25456,-0.02246486,-10.27702486,2,143533,2,159.400802856,5.603688233,-21.980877
1237660960792379568,1433274205037684736,10757,139.459154591,33.930927427,-21.200355,22497900928.937,0.042754732,2.7440993580625315,10.64754,-1.583781,-12.231321,3,420044,3,139.464982525,33.974332746,-21.957599
1237658313478045858,1075380961375447040,10458,185.460866833,61.139672966,-20.858088,16414785047.771675,0.044245405,15.246986960925367,10.24989,0.06430686,-10.18558314,4,195205,2,185.253089397,60.918862421,-22.122066
1237659162816020815,1507592940946483200,10236,250.094534086,33.679750968,-22.096308,51347960683.76516,0.030907197,0.0,11.02857,-0.7882735,-11.8168435,1,186305,1,250.094534086,33.679750968,-22.096308
1237658304886079607,865906164804642816,10964,146.375258081,54.860363937,-19.710937,5706565415.039212,0.048586603,4.513002312742124,10.08701,-1.495095,-11.582105,2,150931,4,146.467411118,54.908831905,-21.860371
1237658608219848819,1075382885520795648,10458,185.253089397,60.918862421,-22.122066,52580704417.341896,0.044338433,0.0,10.95547,-1.039696,-11.995166,1,195205,1,185.253089397,60.918862421,-22.122066
1237658608219848869,1075379861863819264,10458,185.260950581,60.951333417,-19.738279,5852098131.158784,0.044199001,2.054274977655916,10.35497,-1.198202,-11.553172,3,195205,4,185.253089397,60.918862421,-22.122066
1237657612341543027,1480732696916289536,10423,186.721923075,57.754041493,-20.285758,9689540894.700134,0.044056716,1.114032719932222,10.22487,-1.035436,-11.260306,2,116793,3,186.735739179,57.770167542,-22.153464
1237661353244557433,1481793450742409216,10423,186.661826782,57.672667356,-21.008298,18850340525.216877,0.044512519,6.609096923717911,10.59821,-1.521703,-12.119913,3,116793,2,186.735739179,57.770167542,-22.153464
1237659162813858137,1505344439667681280,9774,245.986740782,37.324036355,-20.178258,8776133076.066204,0.033020233,8.51290112990962,10.2711,-0.2920633,-10.5631633,4,389178,3,245.837747666,37.258412755,-22.534811
1237661417673851010,1488572489700239360,9790,206.446269968,55.757048135,-21.629263,33396826471.24964,0.040181579,3.49232853492093,10.82481,-1.352775,-12.177585,2,231196,2,206.511630181,55.715391463,-22.222803
1237659330848292959,1316277092844857344,10218,239.046319991,46.181142392,-21.106002,20625324971.683456,0.041282321,11.885007852776733,10.70973,-0.9702072,-11.6799372,4,237009,2,239.183983286,46.344610795,-22.204892
1237661387619172794,1507597613870901248,10236,250.334658042,33.80546322,-19.504311,4717635686.5249195,0.031686118,14.82523073141859,9.542334,-0.2954066,-9.8377406,4,186305,4,250.094534086,33.679750968,-22.096308
1237661387619172464,1507597888748808192,10236,250.250316772,33.773055867,-22.094361,51255963297.29981,0.031222338,10.032001116920547,11.13752,-1.41749,-12.55501,2,186305,2,250.094534086,33.679750968,-22.096308
1237661417673916574,1487486446636918784,9790,206.511630181,55.715391463,-22.222803,57692744598.210045,0.040394942,0.0,11.0988,0.1570131,-10.9417869,1,231196,1,206.511630181,55.715391463,-22.222803
1237659326562304075,1316290836740204544,10218,239.183983286,46.344610795,-22.204892,56748815360.31582,0.040260102,0.0,11.15274,-0.972145,-12.124885,1,237009,1,239.183983286,46.344610795,-22.204892
1237659326562304335,1316289187472762880,10218,239.20866926,46.344943508,-19.911531,6864555173.629832,0.042589883,1.070931231850231,10.19507,-1.920381,-12.115451,2,237009,4,239.183983286,46.344610795,-22.204892
1237661966356381766,1634880933981087744,11129,184.974455003,41.845814633,-21.959151,45254357149.20953,0.038546525,0.0,10.90541,-1.302266,-12.207676,1,251942,1,184.974455003,41.845814633,-21.959151
1237661850936541214,1546995319818971136,10914,197.718363829,44.093104508,-21.379951,26544857605.570984,0.036344964,4.714428265443285,10.69378,-0.3397462,-11.0335262,3,278989,2,197.676450176,44.024383056,-22.034073
1237661850936606846,1548175920446072832,10914,197.921257092,44.171147715,-21.159322,21663508805.412247,0.036375876,14.3895310713019,10.21668,0.2412437,-9.9754363,4,278989,3,197.676450176,44.024383056,-22.034073
1237658493891903616,1384980075547486208,10900,184.539599836,10.948520935,-20.243068,9315951095.06219,0.025324659,8.734265732992645,10.0812,-0.3063257,-10.3875257,3,145586,4,184.445511478,10.844657778,-21.885197
1237662193989714026,1634880384225273856,11129,185.092958889,41.918528519,-20.584253,12755609050.890917,0.038626013,7.18362394869459,10.4328,-1.714956,-12.147756,4,251942,2,184.974455003,41.845814633,-21.959151
1237661872407576592,1548176470201886720,10914,197.671111788,44.018724659,-19.44194,4454264475.045901,0.036487926,0.4296211527791255,9.415302,-0.6827502,-10.0980522,2,278989,4,197.676450176,44.024383056,-22.034073
1237662306189770849,1554966779221010432,10955,215.694536173,37.995250695,-22.041338,48812966303.93054,0.028059412,0.0,10.95878,-0.632291,-11.591071,1,263685,1,215.694536173,37.995250695,-22.041338
1237661387619238463,1509936825177761792,10236,250.343901846,33.595330354,-19.570476,5014070083.982846,0.030650534,14.08191484796792,9.961979,-1.347092,-11.309071,3,186305,3,250.094534086,33.679750968,-22.096308
1237662306189770850,1553749070009362432,10955,215.686720958,38.011777478,-20.453286,11306141070.623035,0.028626794,1.1081546092134096,10.49291,-1.368858,-11.861768,2,263685,2,215.694536173,37.995250695,-22.041338
1237661872407576591,1546996419330598912,10914,197.676450176,44.024383056,-22.034073,48487433837.36746,0.036925222,0.0,10.96986,0.1874046,-10.7824554,1,278989,1,197.676450176,44.024383056,-22.034073
1237662193989582996,1634892478853179392,11129,184.87505706,41.884098427,-18.97758,2904236638.6445875,0.038211225,5.236251609805056,9.060438,-0.4281921,-9.4886301,2,251942,4,184.974455003,41.845814633,-21.959151
1237662301376872719,1903984208339036160,10324,251.579360024,26.722159461,-19.71297,5717260753.240419,0.035601728,15.215072079542225,9.127062,-0.04814258,-9.17520458,2,318061,4,251.681236818,26.946603922,-22.337421
1237659326562304351,1316288362839042048,10218,239.243362507,46.364126417,-20.710185,14324319524.187551,0.040651323,2.8521029029524434,10.46145,-1.455618,-11.917068,3,237009,3,239.183983286,46.344610795,-22.204892
1237661387602919620,1487485622003197952,9790,206.52248753,55.876947774,-20.524709,12074901591.277405,0.040506853,10.158123477134078,10.36785,-1.215847,-11.583697,3,231196,3,206.511630181,55.715391463,-22.222803
1237661387602985091,1489656058510075904,9790,206.788848742,55.98597693,-20.124351,8351036848.695752,0.040596135,19.612476916622647,9.704643,0.02012726,-9.68451574,4,231196,4,206.511630181,55.715391463,-22.222803
1237662193989582993,1632568386284185600,11129,184.873837348,41.914052625,-19.434654,4424473517.553136,0.038361159,6.367006136435722,9.832049,-1.595835,-11.427884,3,251942,3,184.974455003,41.845814633,-21.959151
1237662499475489129,1903979810292525056,10324,251.405228262,26.981033258,-21.597129,32422880825.847435,0.036001524,15.607559736643015,10.83594,-0.7678658,-11.6038058,3,318061,2,251.681236818,26.946603922,-22.337421
1237662306189836510,1553743572451223552,10955,215.843311861,37.857424007,-19.522513,4797391927.319335,0.027815728,11.373824435403307,9.347853,-0.5969663,-9.9448193,4,263685,3,215.694536173,37.995250695,-22.041338
1237662301913546775,1902818179864881152,10324,251.481910406,27.25539313,-21.10271,20562882789.37541,0.035755407,22.376968127584917,10.70464,-1.491853,-12.196493,4,318061,3,251.681236818,26.946603922,-22.337421
1237662194536874012,1553749619765176320,10955,215.67355075,38.030758643,-19.183972,3512277325.533832,0.028891735,2.4610372142868724,9.49991,-0.3445832,-9.8444932,3,263685,4,215.694536173,37.995250695,-22.041338
1237662223535374440,2287956218058139648,10497,198.712612151,38.03775253,-21.960572,45313624346.32912,0.045121657,0.0,10.77687,-0.3158244,-11.0926944,1,573361,1,198.712612151,38.03775253,-21.960572
1237662685216636964,2288980132574029824,11021,208.404796634,35.688260022,-20.906842,17168675806.947636,0.040424424,8.799819655315483,10.54506,-1.384447,-11.929507,3,363001,2,208.296626641,35.579238184,-21.843218
1237662499475554415,4712061076438183936,10324,251.681236818,26.946603922,-22.337421,64116292279.07316,0.035873903,0.0,,,,1,318061,1,251.681236818,26.946603922,-22.337421
