Group,Lum_BGG,Lum_group,FracLumBGG,z_group,DeltaR12,NbGal,RA_BGG,Dec_BGG,RA_Bary,Dec_Bary,Radius_Bary_arcmin,Offset_Bary,V_BGG,V_moy,Vdisp,Voffset,size_Group_Bary_kpc,M_group,M_virial,M_virial_over_L,t_cr,BGG_SFRcategory,all_SFR,Prop_M_Sat,Prop_M_Tot,Prop_G_Sat,Prop_G_Tot,Prop_Q_Sat,Prop_Q_Tot,dom,Misfit_Bary,Vmisfit,lMass_200,r_200_kpc,Class
7,55463644047.400536,77796997340.43456,0.7129278242538754,0.04165038075,1.4300439999999988,4,119.944232129,18.401779871,119.95237264059575,18.415984386028125,2.52352177642403,0.3844322346061357,106.84489643819008,4.973799150320701e-13,377.7931645478563,0.2828132069728201,139.45390982975618,-22.547407088115435,16880367353620.275,216.97967698872617,0.3274162415485546,Q,True,0.0,0.0,0.6666666666666666,0.5,0.3333333333333333,0.5,True,BCentered,VCentered,12.921674319742966,421.9313053715769,Split
25,39931571305.63517,61957048198.95252,0.6445040954405938,0.03802488075,1.0932920000000017,4,128.717113659,44.637127392,128.69961116423914,44.63037379123968,3.0098315722463607,0.2824384135974324,22.60353515232908,-1.0018652574217413e-12,138.73358378062295,0.1629276382571697,151.45140529619457,-22.30022679654604,5887096315725.472,95.01899278385896,0.9683120181638932,M,True,0.6666666666666666,0.75,0.0,0.0,0.3333333333333333,0.25,True,BCentered,VCentered,12.830967046991534,394.01342190376704,Embedded
26,41321226138.16374,55914847021.60611,0.7390027575716476,0.0314462744999999,2.0989600000000017,4,129.137933656,54.041457465,129.06568477743892,54.009790778860435,4.210088790271958,0.754654590899517,-156.19273995546934,9.983125437429408e-13,224.709146345899,0.6950884843603113,174.3560476496369,-22.188817852605915,14842067988472.62,265.4405543260716,0.688239961657664,Q,True,0.3333333333333333,0.25,0.3333333333333333,0.25,0.3333333333333333,0.5,True,BMisfit,VMisfit,12.669223393588656,348.7452756184132,Split
27,42253510813.71796,81847840785.15062,0.5162446609267654,0.0458903127499999,0.3591300000000004,4,129.932109624,53.013804705,129.93644257530187,53.00340006196592,3.456573991466567,0.1861896729129596,-341.022382328422,1.4992451724538114e-12,277.7185452426554,1.2279424192952495,211.10510071197064,-22.60251806711384,25675417463639.81,313.69694322220914,0.6742445815705569,Q,True,0.6666666666666666,0.5,0.0,0.0,0.3333333333333333,0.5,False,BCentered,VMisfit,14.067655145847407,1015.4125355994342,Predom
28,124849612857.94785,172681946012.08386,0.7230032770722377,0.04548640925,1.680627999999999,4,130.548902571,52.773058239,130.60277365379324,52.78062021653297,3.135091578859228,0.6402420603374829,-112.836193679647,4.973799150320701e-13,111.41340432393416,1.0127703606612413,189.73072281453588,-23.413117335563246,4805691278409.154,27.82972620700524,1.5105108057481782,Q,True,0.3333333333333333,0.25,0.3333333333333333,0.25,0.3333333333333333,0.5,True,BMisfit,VMisfit,14.067661014296515,1015.549400958051,Predom
33,62511914517.34464,130127839490.13235,0.480388476149909,0.04327342475,0.7716589999999997,4,132.67951554,1.350688604,132.6845744731502,1.3236930747816775,1.5755350705459388,1.0459381755630708,95.55535340431048,-9.992007221626409e-13,65.212862961357,1.465283826918233,90.56554904727076,-23.105925548158947,682118397318.5398,5.241909801862691,1.231837376201855,G,True,0.0,0.0,0.3333333333333333,0.5,0.6666666666666666,0.5,False,BMisfit,VMisfit,13.24120245146574,538.9202106757072,Embedded
42,62961171468.703606,101318222692.48135,0.6214200150332466,0.02394379475,1.4481740000000016,4,139.174411627,30.915418002,139.14725822751933,30.888945774105455,4.326543476552457,0.4890499068601921,25.981267736548016,-1.7763568394002505e-15,71.43269758845616,0.3637167377638935,135.67695743146368,-22.83421890715825,693732847064.7721,6.847068855228278,1.6847391363413473,Q,True,0.0,0.0,0.0,0.0,1.0,1.0,False,BCentered,VCentered,13.197135895008143,524.2179697182664,Embedded
46,52956783626.18142,68121475069.09307,0.7773875062521669,0.02359871325,2.156635999999999,4,140.543091777,33.848554343,140.5386239173351,33.887864456019955,2.842603092982453,0.8334214479252411,153.76061410571316,0.0,525.0233986061004,0.2928643075983596,87.83454415108066,-22.403210108481534,52059616869958.53,764.2174045285485,0.1483919399951545,Q,True,0.6666666666666666,0.5,0.0,0.0,0.3333333333333333,0.5,True,BMisfit,VCentered,13.19911195063713,525.070845449932,Split
52,75205915084.44658,115417905126.2303,0.6515966045493145,0.02732541175,1.4958479999999987,4,141.970101969,29.985751394,141.9953577445382,30.006297574333768,2.155835847515616,0.8352094160873271,63.948865325803624,-2.700062395888381e-13,376.10695801897606,0.1700284027252094,77.34665438916355,-22.97568296863342,23224389700899.586,201.21998987505037,0.1824121595743693,Q,True,0.3333333333333333,0.25,0.0,0.0,0.6666666666666666,0.75,True,BMisfit,VCentered,13.825752463831812,848.3718039638098,Predom
61,42858365082.915306,62618337683.70095,0.6844379245485942,0.0414547705,1.8374020000000009,4,146.313377495,34.712283344,146.33543748217207,34.70280939671908,1.009750538976076,1.2157693973902948,77.63839221950245,1.7763568394002505e-15,114.38282225559918,0.6787591938063231,55.53053301041907,-22.31175383576619,713429164611.0309,11.393294536413904,0.4306204533944396,M,True,0.0,0.25,0.0,0.0,1.0,0.75,True,BMisfit,VMisfit,12.7924239749764,382.10752802082067,Embedded
