objid,specobjid,Group,RA,Dec,M_r,Lum,z,dist2BGG,lgm,sfr,sSFR,rank_dist,BGG_ID,rank_M,RA_BGG,Dec_BGG,M_BGG
346787094795937792,3859,223.045971412,-0.256103918,-22.323488,0.043902061,1,0.04321273,11.09869,-0.8092076,-11.9078976,1,,11.087,223.045971412,-0.256103918,-22.323488,0.0
346783246505240576,3859,223.066930006,-0.293626469,-22.01614,0.044070931,2,0.043381874,10.94819,-1.088731,-12.036921,3,,11.003,223.045971412,-0.256103918,-22.323488,2.700450162579726
346785995284310016,3859,223.080903984,-0.269212651,-20.120548,0.044202509,3,0.04351376,10.1377,-0.1556452,-10.2933452,2,,10.069,223.045971412,-0.256103918,-22.323488,2.344308405021479
346786545040123904,3859,223.083197928,-0.225811649,-19.981974,0.045151508,5,0.04446291,9.65169,-0.1229701,-9.7746601,4,,9.784,223.045971412,-0.256103918,-22.323488,3.015543104730041
349090577159055360,4000,225.4943556,-0.114316913,-19.092493,0.040842773,6,0.04019753,9.564772,-0.80644,-10.371212,4,,9.625,225.438501471,0.008479337,-22.030907,8.47615411963537
349091676670683136,4000,225.454565406,0.056537044,-19.95241,0.041300425,4,0.040654905,9.446967,-0.3820747,-9.8290417,3,,9.769,225.438501471,0.008479337,-22.030907,3.1837794069807708
349101297397426176,4000,225.420100892,-0.014936353,-19.049666,0.041312865,7,0.040666535,9.160706,-0.3082105,-9.4689165,2,,9.277,225.438501471,0.008479337,-22.030907,1.8711615313574776
349091401792776192,4000,225.438501471,0.008479337,-22.030907,0.041584416,1,0.04093848,11.09604,-1.370457,-12.466497,1,,11.135,225.438501471,0.008479337,-22.030907,0.0
347998762179782656,5232,222.558161808,0.557515173,-19.130608,0.040492309,6,0.039796557,9.116517,-0.4729916,-9.5895086,4,,9.43,222.489099895,0.558296006,-22.047289,4.339359611498795
346937453011036160,5232,222.549578403,0.543575285,-20.997498,0.040197123,3,0.039501183,10.44133,0.3221888,-10.1191412,3,,10.43,222.489099895,0.558296006,-22.047289,3.9107523342464607
346931130819176448,5232,222.489099895,0.558296006,-22.047289,0.040531152,1,0.039834194,10.88253,-1.315105,-12.197634999999998,1,,10.96,222.489099895,0.558296006,-22.047289,0.0
347996838034434048,5232,222.509032938,0.578780558,-21.371595,0.04111351,2,0.040416956,10.68184,-1.506484,-12.188324,2,,10.743,222.489099895,0.558296006,-22.047289,1.7958305939604264
344688951312803840,3770,218.52437548,0.620087707,-22.566217,0.031165708,1,0.030401308,11.1686,-1.226143,-12.394743,1,,11.302,218.52437548,0.620087707,-22.566217,0.0
345746681934931968,3770,218.509332211,0.656005418,-19.832971,0.032033731,5,0.03126918,9.993007,-1.375465,-11.368472,4,,10.113,218.52437548,0.620087707,-22.566217,2.446696751410787
344688126679083008,3770,218.546906984,0.615752687,-20.170116,0.030686454,4,0.029922416,10.17372,-1.319584,-11.493304,3,,10.313,218.52437548,0.620087707,-22.566217,1.4415796535600405
345745857301211136,3770,218.527925102,0.607392793,-18.505608,0.032367031,6,0.031602655,9.398637,-2.221348,-11.619985,2,,9.665,218.52437548,0.620087707,-22.566217,0.8282353969331963
385208979359295488,1719,237.421038345,0.236758956,-19.438135,0.032318355,5,0.03190232,9.901848,-2.168247,-12.070094999999998,2,,9.94,237.498065558,0.201994357,-22.18449,5.309823852932352
385207055213946880,1719,237.392189767,0.136025258,-18.890434,0.033241038,6,0.03282416,9.655419,-1.124534,-10.779953,4,,9.648,237.498065558,0.201994357,-22.18449,7.838007698986112
385222723254642688,1719,237.498065558,0.201994357,-22.18449,0.032754618,1,0.032340035,11.11632,-1.267909,-12.384229,1,,11.169,237.498065558,0.201994357,-22.18449,0.0
385207330091853824,1719,237.417880735,0.158622198,-18.391264,0.032426814,9,0.03201051,9.320359,-2.168283,-11.488642,3,,9.445,237.498065558,0.201994357,-22.18449,5.727937969299475
354755255579207680,2355,233.241797746,0.440734784,-22.794096,0.037062529,1,0.036564466,11.19496,-0.96501,-12.15997,1,,11.384,233.241797746,0.440734784,-22.794096,0.0
4515077519011672064,2355,233.259640424,0.419928209,-21.013588,0.037626857,3,0.037129086,,,,2,,10.636,233.241797746,0.440734784,-22.794096,1.7221622471625926
408841612408416256,2355,233.308915017,0.498348801,-18.854394,0.037978653,9,0.03748205,9.628602,-1.27281,-10.901412,4,,9.669,233.241797746,0.440734784,-22.794096,5.557618628982662
408841887286323200,2355,233.293466634,0.490755848,-21.004996,0.037459704,4,0.03696278,10.66006,-1.61763,-12.27769,3,,10.675,233.241797746,0.440734784,-22.794096,4.518481522306682
345819799458179072,10121,220.443234548,0.920499604,-19.673128,0.034102383,4,0.0333711,9.578831,-0.182327,-9.761158,3,,9.69,220.598357453,0.907996398,-22.196804,9.777031941180883
345818974824458240,10121,220.598357453,0.907996398,-22.196804,0.033946782,1,0.03321811,11.05283,-1.097961,-12.150791,1,,11.143,220.598357453,0.907996398,-22.196804,0.0
345818425068644352,10121,220.641818045,0.978873142,-21.229369,0.034187089,2,0.033459358,10.70381,-1.59418,-12.29799,2,,10.725,220.598357453,0.907996398,-22.196804,5.223675505872167
603484857925920768,10121,220.782444017,1.100021396,-20.532858,0.034551293,3,0.03382631,10.29237,-0.1480391,-10.4404091,4,,10.31,220.598357453,0.907996398,-22.196804,16.71268550604267
310815751403497472,10247,162.886970009,-1.002880586,-20.766666,0.03852537,3,0.037305217,10.24305,0.04738735,-10.19566265,3,,10.284,162.900580454,-1.087878301,-22.216008,5.408576012844987
310816576037218304,10247,162.900580454,-1.087878301,-22.216008,0.039515349,1,0.038294986,10.953,-1.061266,-12.014266,1,,11.051,162.900580454,-1.087878301,-22.216008,0.0
