specobjid,d4000_n,d4000_n_err,lick_hd_a,lick_hd_a_err
299602652264687616,1.922581,0.03359761,-2.433488,0.841438
299602927142594560,1.158613,0.02594267,-0.05249673,1.361659
299616121282127872,1.98858,0.01535794,-2.308097,0.4053399
299617495671662592,1.81396,0.02975827,-2.110698,0.8068938
301771988756621312,1.498126,0.02274114,1.332484,0.7473258
301903655274047488,1.837296,0.01413967,-1.615915,0.4015055
301914650390325248,1.811457,0.01987635,-1.888822,0.5482559
301915200146139136,1.139702,0.02099163,2.891625,1.063639
307484231976642560,1.11789,0.01009575,3.419905,0.5235428
307486430999898112,1.26374,0.05799581,0.438821,2.528808
307497426116175872,1.661049,0.01685341,-1.874359,0.5490681
307498250749896704,1.09609,0.006097419,2.438557,0.3476207
307501824162686976,1.387055,0.02759133,4.314935,0.9713969
308548008738318336,0.994339,0.004390553,-4.081248,0.3385648
308549108249946112,1.112507,0.006261485,3.650962,0.3251184
308558728976689152,1.762296,0.01069401,-1.311586,0.3167756
308562027511572480,1.880062,0.006549899,-2.141937,0.2026201
309625530083207168,1.514186,0.01968019,1.224091,0.6505271
309641747879716864,1.814875,0.01457096,-2.35598,0.4262222
309787158292490240,1.758534,0.01957268,-1.415357,0.5619543
309796229263419392,1.851259,0.02663526,-2.270653,0.6971696
310815751403497472,1.377594,0.01763974,2.973171,0.6417248
310816576037218304,1.835794,0.008210348,-1.030305,0.252033
310817125793032192,1.597306,0.02021748,1.413731,0.6133704
310818500182566912,1.236411,0.03817998,4.093644,1.555061
310819874572101632,1.374166,0.01681198,2.246498,0.6200747
310826746519775232,1.476954,0.01299198,1.13435,0.4586796
310827296275589120,1.950519,0.03077623,-0.6175948,0.689083
310834717979076608,1.902053,0.01069649,-2.562383,0.308595
310868253083723776,1.976578,0.01370375,-2.633695,0.3651305
310869352595351552,1.935942,0.01274422,-2.465239,0.3535638
311963916404025344,1.29859,0.01727534,2.719947,0.7107884
311976011031930880,1.824025,0.0102448,-1.715336,0.3274885
311985082002860032,1.344163,0.01364946,2.613594,0.5600075
313007627682473984,1.868626,0.02114933,-2.750014,0.5924259
313020546944100352,1.943342,0.01385239,-2.036835,0.3837172
313164857845245952,1.755552,0.02644043,-1.301162,0.7368302
314223688952080384,1.364081,0.0346375,1.788526,1.313985
314224238707894272,1.790066,0.03724837,-1.509963,0.9710436
314224513585801216,1.908588,0.01794214,-1.97619,0.477355
315253375350368256,2.00948,0.009325264,-2.560974,0.2655132
315253650228275200,1.945631,0.01560192,-2.259483,0.4095479
315255849251530752,1.578514,0.01344265,1.540047,0.4310915
316448269645408256,1.537908,0.05473148,0.664728,1.75647
320969741638330368,1.117094,0.008579485,3.865953,0.4314665
320970016516237312,1.244323,0.02630022,1.698866,1.149094
320971665783678976,1.060341,0.008272011,1.269129,0.4759412
320981561388328960,1.251812,0.007411101,4.812673,0.3111605
325547834185115648,1.799039,0.03860781,-1.081852,1.000204
325550033208371200,2.032858,0.01997056,-1.668805,0.4796224
325550857842092032,1.362764,0.03334536,5.693821,1.182059
325554156376975360,1.862462,0.03757817,-2.155859,0.9556148
326605563548952576,2.007487,0.01795522,-3.349761,0.4699096
326648719380342784,1.700155,0.02952999,-1.261173,0.859803
326659989374527488,1.882091,0.008854849,-2.432007,0.2783801
326660539130341376,1.656493,0.02004713,-0.619914,0.6146273
326662188397783040,1.715659,0.02426366,-1.36854,0.7198479
326674008147781632,1.786114,0.02010767,-1.748626,0.5762043
341175186659239936,1.523474,0.05411981,1.35857,1.686266
341182058606913536,1.201378,0.02401917,3.671273,1.061734
341183982752262144,1.932195,0.01298997,-2.520535,0.3712201
342358810825877504,1.735815,0.02883673,-0.5881838,0.7613629
343516596637034496,1.386787,0.02036918,1.763509,0.7648085
343517971026569216,1.658309,0.01788872,-0.5127292,0.5529155
343519895171917824,1.876902,0.01276211,-1.250901,0.3623348
343539411503310848,1.804977,0.01771164,-1.178734,0.5007268
343559202712610816,1.820191,0.01487107,-1.868585,0.4384612
343563051003308032,1.231552,0.01598203,4.120695,0.7110691
344614734277928960,1.291933,0.008413104,2.291143,0.3751695
344688126679083008,1.71567,0.02356689,-0.1480729,0.6803741
344688951312803840,1.936758,0.008782883,-1.962706,0.2670404
344690050824431616,1.164599,0.005479235,3.462755,0.2804505
344692524725594112,1.603747,0.05445919,1.630092,1.593031
345746681934931968,1.674304,0.02911597,-0.8547598,0.8345752
345818425068644352,1.997175,0.01778245,-2.616414,0.4508686
345818974824458240,1.874132,0.01498986,-1.997815,0.4161065
345819799458179072,1.186753,0.009550366,1.190763,0.4817177
346783246505240576,1.90598,0.01588917,-1.978381,0.4286371
