objid,specObjID,dr7objid,petroR50_r,petroR50Err_r,petroR90_r,petroR90Err_r,petroRad_r,psfWidth_r
1237648722291327203,562961531747198976,588848900973265097,4.271613,0.1241569,9.562626,0.7624395,9.417641,1.292875
1237648722291392551,301889911378700288,588848900973330470,5.038122,0.08402049,13.27656,0.5216362,11.93886,1.28953
1237648722291392795,301890461134514176,588848900973330508,2.614365,0.03028954,6.627561,0.1995343,5.8785,1.28953
1237650371015802971,367219056459147264,587724649790898268,1.664407,0.08513641,5.268802,0.6290599,3.808181,1.274006
1237650371015802996,368290254303553536,587724649790898308,2.994891,0.03759456,9.139031,0.2919724,6.659847,1.274006
1237650371015803032,368285856257042432,587724649790898229,2.365039,0.05258933,7.349938,0.3332757,5.932505,1.274006
1237650371015803063,367217682069612544,587724649790898256,3.14537,0.02219218,9.504684,0.1427284,7.860795,1.274006
1237651067886698646,671136439798360064,587729156279566429,3.749428,0.07924696,9.40455,0.3982136,9.029991,1.31906
1237651067886764056,671136714676267008,587729156279631878,6.586781,0.1761187,20.63406,1.28064,15.64166,1.268571
1237651067886764057,7999520050708238336,,8.298195,0.6984045,20.46305,5.699667,17.42975,1.268571
1237651191352590533,492071342200350720,587725470127685799,9.419964,0.6632469,19.52148,4.260574,19.31862,1.132795
1237651191352590673,492070517566629888,587725470127685921,2.368083,0.0264024,5.130915,0.1698865,4.988709,1.132795
1237651714799829366,708227909453637632,587725993574924673,5.636021,0.09147909,11.44163,0.2870157,13.31522,1.412735
1237651714799829110,708232032622241792,587725993574924431,7.322852,0.02340413,20.1835,0.1551901,17.24604,1.412735
1237651714799763831,708231207988520960,587725993574859084,2.849453,0.0223324,6.952301,0.1616099,6.113677,1.397817
1237651735776461019,606947219924346880,587726014551556317,2.381646,0.1102433,6.887713,0.8498165,5.283723,1.190015
1237651753989439617,527009974044354560,587726032764535084,1.530982,0.01229041,4.15504,0.09267039,3.414408,1.388307
1237651753989439778,525955267330861056,587726032764534897,3.179469,0.2765332,10.69472,1.772239,7.213902,1.388307
1237651753989439984,525945096848304128,587726032764535245,3.902887,0.1056617,8.937462,0.5104737,18.0145,1.388307
1237651753989439991,527014097212958720,587726032764535253,3.809861,0.1268522,8.278379,0.6200671,9.529191,1.388307
1237651714799763713,708233132133869568,587725993574858982,2.828096,0.09298046,7.720115,0.6420588,6.268174,1.397817
1237651755078189138,573185621871323136,587726033853284489,5.524954,0.09669029,17.84659,0.6268118,13.36769,1.486153
1237651271360315513,551694560128952320,587725550135410783,3.986266,0.05041206,8.986065,0.2888558,8.846455,1.620115
1237651755078189139,573176550900393984,587726033853284403,3.863496,0.01895712,12.1738,0.1283416,9.317035,1.486153
1237651755078189251,573175451388766208,587726033853284486,3.859501,0.02566306,9.091312,0.1870708,8.142637,1.486153
1237651755078254741,573184522359695360,587726033853350030,4.469048,0.1089337,9.180398,0.4304803,10.31164,1.501461
1237651801771016391,301891560646141952,587728949584461915,4.025286,0.02843862,13.38227,0.1817904,9.360256,1.140705
1237654390566551605,4281911237670096896,,4.424409,0.1622512,14.99621,1.104349,10.36428,1.407991
1237653587944538240,613676509068027904,587727866719633493,1.953201,0.0460429,5.543764,0.4047574,4.108559,1.412677
1237654601032335439,651927971124242432,587728879807430742,2.575298,0.03009151,6.19922,0.2119494,5.603461,1.669857
1237654601032335447,651925222345172992,587728879807430754,2.195781,0.0515408,5.637451,0.429641,4.698503,1.669857
1237653587944538167,612646266656024576,587727866719633470,3.048378,0.05249927,7.513643,0.3682764,6.66082,1.412677
1237653587944472893,613684480527329280,587727866719568186,3.708823,0.02283355,8.071334,0.1346502,7.877276,1.44013
1237654653099114818,853580876133459968,587728931874210106,5.108042,0.142998,14.94799,1.077583,11.85201,1.344062
1237654605327106136,5375270275704442880,,4.267617,0.0652602,12.48125,0.4571406,9.732952,1.098594
1237654605327106135,651928795757963264,588010359078912094,4.82129,0.5464309,15.08968,3.756659,11.97857,1.098594
