source_specobjid,source_objid,plate,mjd,fiberid,run2d,scienceprimary,extra_specobjid,source_sfr,source_specsfr,source_lgm,info_specobjid,sn_median,reliable,n_spectra_for_objid
299602652264687616,1237648722289557692,266,51630,412,26,1,299602652264687616,-1.686863,-11.88846,10.14206,299602652264687616,24.87219,1,2
299602927142594560,1237648722289623239,266,51630,413,26,1,299602927142594560,-0.3197586,-9.787636,9.420765,299602927142594560,9.480289,1,2
299616121282127872,1237648722289623054,266,51630,461,26,1,299616121282127872,-1.555075,-12.72423,11.10819,299616121282127872,43.40752,1,2
299617495671662592,1237648722289623248,266,51630,466,26,1,299617495671662592,-1.935431,-12.16609,10.17868,299617495671662592,26.00443,1,2
301771988756621312,1237654670272561322,268,51633,112,26,1,301771988756621312,0.1189493,-10.17256,10.24053,301771988756621312,26.26589,1,1
301903655274047488,1237648721754587439,268,51633,591,26,1,301903655274047488,-1.332664,-12.44944,11.07523,301903655274047488,43.70631,1,1
301914650390325248,1237648721754652794,268,51633,631,26,1,301914650390325248,-1.536158,-11.99,10.40068,301914650390325248,35.17862,1,1
301915200146139136,1237651801234210980,268,51633,633,26,1,301915200146139136,-0.2895998,-10.26224,9.93179,301915200146139136,14.66767,1,1
307484231976642560,1237648722294669392,273,51957,413,26,1,307484231976642560,-0.28933,-9.672285,9.327822,307484231976642560,22.09832,1,1
307486430999898112,1237651801774358588,273,51957,421,26,1,307486430999898112,-0.4047407,-10.32296,9.848377,307486430999898112,7.117843,1,1
307497426116175872,1237654670812774584,273,51957,461,26,1,307497426116175872,-0.03628134,-11.04311,10.96487,307497426116175872,34.07498,1,1
307498250749896704,1237648721757929562,273,51957,464,26,1,307498250749896704,0.1779819,-9.680526,9.794154,307498250749896704,32.23766,1,1
307501824162686976,1237648721757929485,273,51957,477,26,1,307501824162686976,-1.338142,-11.08333,9.698714,307501824162686976,17.80486,1,1
308548008738318336,1237654669739884626,274,51913,187,26,1,308548008738318336,-0.02911274,-9.332638,9.24446,308548008738318336,40.59949,1,1
308549108249946112,1237654669739950159,274,51913,191,26,1,308549108249946112,-0.3960386,-9.577674,9.123651,308549108249946112,35.68161,1,1
308558728976689152,1237654669739884742,274,51913,226,26,1,308558728976689152,-1.227447,-11.7,10.40413,308558728976689152,54.48616,1,1
308562027511572480,1237648721221910580,274,51913,238,26,1,308562027511572480,-1.208631,-12.1451,10.88227,308562027511572480,69.23409,1,1
309625530083207168,1237674649384124576,275,51910,11,26,1,309625530083207168,-1.041589,-11.22624,10.12821,309625530083207168,27.24579,1,1
309641747879716864,1237648720686153850,275,51910,70,26,1,309641747879716864,-1.459811,-12.45773,10.912,309641747879716864,43.89377,1,1
309787158292490240,1237648721759961363,275,51910,599,26,1,309787158292490240,-0.55961,-11.41725,10.81194,309787158292490240,34.29345,1,1
309796229263419392,1237648721759961421,275,51910,632,26,1,309796229263419392,-1.404288,-11.6604,10.23428,309796229263419392,27.76774,1,1
310815751403497472,1237648720149479679,276,51909,245,26,1,310815751403497472,0.04738735,-10.23824,10.24305,310815751403497472,25.25796,1,1
310816576037218304,1237674648847450200,276,51909,248,26,1,310816576037218304,-1.061266,-12.10057,10.953,310816576037218304,56.15117,1,1
310817125793032192,1237674648847450346,276,51909,250,26,1,310817125793032192,0.08761248,-10.59604,10.62606,310817125793032192,28.94233,1,1
310818500182566912,1237674649384386795,276,51909,255,26,1,310818500182566912,-0.173125,-9.624092,9.395709,310818500182566912,8.574516,1,1
310819874572101632,1237674649384255563,276,51909,260,26,1,310819874572101632,0.206748,-10.09092,10.2419,310819874572101632,25.19895,1,1
310826746519775232,1237674649384255499,276,51909,285,26,1,310826746519775232,-0.2797048,-10.59167,10.2494,310826746519775232,35.16828,1,1
310827296275589120,1237648720149217569,276,51909,287,26,1,310827296275589120,-1.334618,-11.77759,10.35027,310827296275589120,30.19734,1,1
310834717979076608,1237674649384124427,276,51909,314,26,1,310834717979076608,-0.9805743,-12.33535,11.32287,310834717979076608,52.34435,1,1
310868253083723776,1237648721759961197,276,51909,436,26,1,310868253083723776,-1.606087,-12.20447,10.52482,310868253083723776,47.36262,1,1
310869352595351552,1237648721759961111,276,51909,440,26,1,310869352595351552,-1.057247,-12.46593,11.34712,310869352595351552,49.02336,1,1
311963916404025344,1237648722834620487,277,51908,326,26,1,311963916404025344,0.1212177,-10.20353,10.2752,311963916404025344,19.77378,1,1
311976011031930880,1237648722834686048,277,51908,370,26,1,311976011031930880,-0.9876607,-12.02353,11.00532,311976011031930880,42.56728,1,1
311985082002860032,1237648722834751727,277,51908,403,26,1,311985082002860032,0.53308,-10.19129,10.6867,311985082002860032,26.71419,1,1
313007627682473984,1237648721225646181,278,51900,27,26,1,313007627682473984,-1.83886,-12.60818,10.73731,313007627682473984,32.45575,1,1
