sample,group_uid,objid,specObjID,rank_M,z,M_r,lgm,morphology,sSFR_status,sigma,sigma_err,SN,usable,valid_core,valid_core_sub,spec_choice,loss_reason,Mgb,Mgb_err,Fe5270,Fe5335,MgFe,MgFe_err,D4000n,HdA_sub,Hb_sub
CG4,HMCG:101,1237654398613913657,869212360114464768,2,0.030266671,-21.3013,10.66817,Elliptical,Quenched,159.7089,3.957881,37.52612,1,1,1,csv_specobjid_with_mpa,ok,4.20417,0.2477784,2.837727,2.788989,3.4457094954597087,0.160728631990801,1.815879,-2.117266,1.793439
CG4,HMCG:101,1237654398613913659,7982663436583852032,3,0.031841168,-20.055727,,NoGZ,NosSFR,87.24223,3.134826,,0,0,0,other_no_mpa,no_MPA_result(BOSS/not-run),,,,,,,,,
CG4,HMCG:101,1237654398613913661,869224729620277248,4,0.031054983,-20.012424,10.09317,Spiral,Starforming,61.31321,11.22496,14.97372,1,1,1,csv_specobjid_with_mpa,ok,3.122231,0.6354371,1.87069,1.648379,2.3762105433977267,0.4178869584248145,1.314151,2.815536,3.27244
CG4,HMCG:106,1237654669739884742,308558728976689152,2,0.01997593,-20.979652,10.40413,Spiral,Quenched,89.97733,2.36356,54.48616,1,1,1,csv_specobjid_with_mpa,ok,3.456905,0.1753228,2.747991,2.455857,3.0359146186906174,0.1121135091137686,1.762296,-0.8755397,2.040464
CG4,HMCG:106,1237654669739884626,308548008738318336,3,0.019768186,-19.947538,9.24446,Spiral,Starforming,21.67551,13.83325,40.59949,1,1,1,csv_specobjid_with_mpa,ok,1.456002,0.2276652,0.5665123,0.3516881,0.8586404321175704,0.1788445207242305,0.994339,5.232329,3.701462
CG4,HMCG:106,1237654669739950159,308549108249946112,4,0.020029227,-19.311156,9.123651,Spiral,Starforming,16.17213,9.862929,35.68161,1,1,1,csv_specobjid_with_mpa,ok,1.185841,0.2670878,1.312815,0.8439179,1.1836804377643029,0.1727897171761346,1.112507,5.691186,4.786388
CG4,HMCG:112,1237648721759961363,309787158292490240,2,0.038863702,-21.469013,10.81194,Spiral,Quenched,123.7741,4.242189,34.29345,1,1,1,csv_specobjid_with_mpa,ok,3.626101,0.2815033,3.114933,2.874621,3.3243151028218785,0.1768689421863502,1.758534,-1.415357,2.364462
CG4,HMCG:112,1237648721759961197,310868253083723776,3,0.041545466,-20.724521,10.52482,Elliptical,Quenched,227.3769,4.157647,47.36262,1,1,1,csv_specobjid_with_mpa,ok,4.442154,0.1955109,2.838206,2.658492,3.5191219504041515,0.1288111849987371,1.976578,-2.633695,1.918824
CG4,HMCG:112,1237648721759961421,309796229263419392,4,0.041709789,-20.108694,10.23428,Spiral,Quenched,101.3794,4.40896,27.76774,1,1,1,csv_specobjid_with_mpa,ok,3.196501,0.3401801,3.127739,2.712458,3.102601476880381,0.21641945839047,1.851259,-2.270653,1.485682
CG4,HMCG:117,1237654602106732699,653151178313459712,2,0.035749413,-20.408571,10.22885,Spiral,Quenched,92.66052,4.709683,24.76944,1,1,1,csv_specobjid_with_mpa,ok,3.723859,0.3779161,3.425104,3.12647,3.527495499915814,0.2385489372894904,1.697036,-0.7979923,2.457937
CG4,HMCG:117,1237654602106732681,653150078801831936,3,0.037451036,-20.406317,10.26464,Elliptical,Quenched,85.07209,4.079148,29.04249,1,1,1,csv_specobjid_with_mpa,ok,3.526469,0.3232636,2.819806,2.437106,3.0929073915735015,0.2053479223879508,1.744949,-2.017019,1.989676
CG4,HMCG:117,1237654602106732720,653154476848343040,4,0.038287138,-19.829594,9.889784,Spiral,Starforming,29.16103,29.43595,12.35721,1,1,1,csv_specobjid_with_mpa,ok,2.790814,0.7627062,1.99868,2.450486,2.4353640278905986,0.4867489500473732,1.198772,3.531768,2.912795
CG4,HMCG:121,1237654604791545959,654219903414331392,2,0.026628218,-21.185886,10.47624,NoGZ,Starforming,128.4556,5.908365,54.21762,1,1,1,csv_specobjid_with_mpa,ok,1.840133,0.1801478,1.510053,1.309042,1.63558246634016,0.116063766590208,1.187082,5.039462,3.78631
CG4,HMCG:121,1237654604791545888,654231448286423040,3,0.02643546,-20.887749,10.36794,NoGZ,Starforming,120.7468,3.918416,45.18583,1,1,1,csv_specobjid_with_mpa,ok,3.271623,0.2261663,2.886996,2.468341,3.0102577535702486,0.1440049339237614,1.487784,1.883096,2.914509
CG4,HMCG:121,1237654604791546018,653028307889055744,4,0.026100317,-19.436089,9.893738,Elliptical,Quenched,86.22132,7.033545,20.27346,1,1,1,csv_specobjid_with_mpa,ok,2.960738,0.4759319,2.547163,2.520859,2.7422027816402346,0.3018354633058321,1.591501,0.3436181,1.637439
CG4,HMCG:128,1237664819818987565,2285640641268443136,2,0.029669378,-21.544035,10.73842,Uncertain,Quenched,219.3634,4.588239,42.03849,1,1,1,csv_specobjid_with_mpa,ok,4.499107,0.2173535,2.520335,2.466556,3.357306769978901,0.1479186083820499,1.998295,-1.829994,2.020022
CG4,HMCG:128,1237664819818987566,5208416362331133952,3,0.030717285,-21.498461,,NoGZ,NosSFR,189.2644,3.434898,,0,0,0,other_no_mpa,no_MPA_result(BOSS/not-run),,,,,,,,,
CG4,HMCG:128,1237664819818987690,2285641191024257024,4,0.030690424,-21.171497,10.39088,Spiral,Starforming,96.72301,4.369115,28.72513,1,1,1,csv_specobjid_with_mpa,ok,3.129063,0.3332959,2.753535,3.183625,2.9988001809544764,0.2108570184599495,1.702093,-0.2366706,2.379657
CG4,HMCG:131,1237667431715766292,2491640471839860736,2,0.037412289,-21.053956,10.68693,Elliptical,Quenched,213.9473,4.663044,40.32816,1,1,1,csv_specobjid_with_mpa,ok,4.394842,0.2287767,2.599825,2.69013,3.3966079315335764,0.1522957200760681,1.959043,-2.701739,2.206128
CG4,HMCG:131,1237667431715766293,2491641021595674624,3,0.034275225,-21.02406,10.67525,Elliptical,Quenched,154.9791,4.002142,36.64166,1,1,1,csv_specobjid_with_mpa,ok,3.976597,0.2583336,3.095143,2.916147,3.479774961189249,0.1650157575158767,1.907145,-2.252607,2.115213
CG4,HMCG:131,1237667431715766294,2492842512960481280,4,0.035641912,-19.947001,10.15139,Elliptical,Quenched,95.8409,4.299452,27.95405,1,1,1,csv_specobjid_with_mpa,ok,4.46031,0.3318745,2.804167,2.926793,3.558173703532024,0.2158492969958525,1.933157,-1.986851,1.57707
CG4,HMCG:142,1237662223525871715,2293617872116672512,2,0.036408326,-20.549921,10.49055,Elliptical,Quenched,156.7697,3.854524,37.69711,1,1,1,csv_specobjid_with_mpa,ok,4.190038,0.2479836,3.061887,2.822388,3.542377747592236,0.1610259666548095,1.867852,-2.367005,2.05171
CG4,HMCG:142,1237662223525806268,2293608526267836416,3,0.036237967,-20.017474,9.781722,Spiral,Starforming,47.88176,11.17836,16.15515,1,1,1,csv_specobjid_with_mpa,ok,1.596353,0.6137371,1.912293,0.9909135,1.625071545292459,0.394163000749712,1.297071,4.587804,3.408314
CG4,HMCG:142,1237662223525806252,2293609076023650304,4,0.036872435,-19.789352,10.06968,Spiral,Quenched,99.00639,7.992187,18.62097,1,1,1,csv_specobjid_with_mpa,ok,3.052944,0.5213,3.526366,2.446928,3.1373664222037947,0.3294371346648371,1.614807,2.475772,2.978979
CG4,HMCG:147,1237664337177477185,2379141460306978816,2,0.035327794,-21.725017,10.73972,Spiral,Quenched,131.5407,3.197079,40.52264,1,1,1,csv_specobjid_with_mpa,ok,3.759505,0.225489,2.826383,2.903852,3.2722086801442845,0.145884381393248,1.768782,-0.8375767,2.612296
