catalogue,sample,role,parent_n,match_n,valid_n,usable_n,retained_fraction,median_z,median_logmstar,median_SN,median_logz_unc_dex
Gallazzi DR4,CG4,BGG,62,30,27,27,0.43548387096774194,0.036727564,11.07703,40.95362,0.0686
Gallazzi DR4,CG4,Satellite,186,99,76,63,0.3387096774193548,0.036981081,10.37391,28.82646,0.10629999999999995
Gallazzi DR4,RG4,BGG,56,31,30,30,0.5357142857142857,0.0389317155,10.98565,38.420345,0.07740000000000002
Gallazzi DR4,RG4,Satellite,168,93,73,43,0.25595238095238093,0.037305525,10.42566,26.37087,0.1281
Gallazzi DR4,Control4B,BGG,698,296,283,282,0.4040114613180516,0.034229069,11.089189999999999,41.524235000000004,0.05857499999999999
Gallazzi DR4,Control4B,Satellite,2094,904,799,637,0.30420248328557786,0.033432147,10.598514999999999,34.04617,0.09589999999999999
Gallazzi DR4,Control4C,BGG,703,297,284,283,0.40256045519203415,0.034287175,11.08983,41.51744,0.05884999999999996
Gallazzi DR4,Control4C,Satellite,2109,907,774,553,0.2622095779990517,0.033415355,10.40068,30.22974,0.11029999999999995
FIREFLY DR16 MILES light-weighted,CG4,BGG,62,61,60,60,0.967741935483871,0.0364879395,11.11865,41.07203,0.035237281107361296
FIREFLY DR16 MILES light-weighted,CG4,Satellite,186,185,180,180,0.967741935483871,0.036551879499999995,10.176649999999999,25.75542,0.068877891143956
FIREFLY DR16 MILES light-weighted,RG4,BGG,56,56,55,55,0.9821428571428571,0.040260102,10.97582,38.28826,0.04867022903803521
FIREFLY DR16 MILES light-weighted,RG4,Satellite,168,168,167,167,0.9940476190476191,0.040251201,10.071069999999999,18.89697,0.08675155121965028
FIREFLY DR16 MILES light-weighted,Control4B,BGG,698,695,674,674,0.9656160458452722,0.035282630999999995,11.099635,42.30851,0.04042386389628602
FIREFLY DR16 MILES light-weighted,Control4B,Satellite,2094,2082,2031,2031,0.9699140401146131,0.03517507,10.46911,30.15796,0.06019915288183459
FIREFLY DR16 MILES light-weighted,Control4C,BGG,703,700,678,678,0.9644381223328592,0.035282630999999995,11.100169999999999,42.313105,0.04042386389628602
FIREFLY DR16 MILES light-weighted,Control4C,Satellite,2109,2097,2042,2042,0.9682313892840209,0.035316059999999996,10.196505,25.5407,0.0692221524453069
