objid,plate,mjd,fiberID,sample,role,lgm,z,SN,morphology4,sf_state,fibre_light_fraction,gallazzi_logz_solar,ff_miles_lw_logz,g_minus_f
1237648722840977489,285,51930,328,CG4,Satellite,9.788215,0.040634543,25.67079,NoGZ,Starforming,0.2731416949207088,-1.145429995663981,-0.00036000557862243517,-1.1450699900853587
1237658492278734937,1227,52733,180,Control4B,Satellite,9.819897,0.036900467,28.91274,Spiral,Starforming,0.18082896643212587,-1.2809299956639815,-0.22656522730891981,-1.0543647683550617
1237661386540253193,1334,52764,66,Control4B,Satellite,10.41084,0.034897719,42.60969,Spiral,Starforming,0.2191209993767943,-1.0355299956639814,0.01664564199347177,-1.0521756376574531
1237654601570451465,581,52356,306,Control4B,Satellite,7.392337,0.026638016,26.6335,NoGZ,Starforming,0.049612601452247336,-1.0168299956639815,0.01385725040186069,-1.030687246065842
1237651737374949472,524,52027,617,Control4B,Satellite,10.28072,0.039379105,33.89217,Elliptical,Starforming,0.33740226989003785,-1.1207299956639813,-0.11931785883562805,-1.0014121368283533
1237654609606148138,601,52316,226,Control4B,Satellite,10.36182,0.042748394,32.46643,Elliptical,Starforming,0.3170472568900663,-1.1503299956639812,-0.19377293476141427,-0.9565570609025669
1237657591393157159,1012,52649,539,Control4B,Satellite,10.16345,0.042290523,27.96286,Uncertain,Starforming,0.08501586931874372,-0.9770299956639814,-0.030271526760011918,-0.9467584689039695
1237662236393406483,1232,52731,295,Control4C,Satellite,10.27512,0.024251647,29.36239,Spiral,Starforming,0.4694571955021193,-0.8739299956639814,-0.00036000557862243517,-0.873569990085359
1237671957518876723,529,52025,257,Control4B,Satellite,9.788877,0.029473915,42.31721,Elliptical,Starforming,0.323090359829065,-1.0861299956639812,-0.21694068641837377,-0.8691893092456073
1237654599953416329,501,52235,617,Control4B,Satellite,9.476453,0.023310269,24.66302,Spiral,Starforming,0.12379297498482428,-0.9206299956639814,-0.062396561398671085,-0.8582334342653103
1237661356998262822,1358,52994,191,Control4C,Satellite,9.056405,0.024388954,21.73565,NoGZ,Starforming,0.14962907804685355,-1.0758299956639812,-0.23145875648195138,-0.8443712391820298
1237661125612273738,1586,52945,204,Control4B,Satellite,9.786526,0.028923157,34.15706,Elliptical,Starforming,0.23236354844201165,-1.046329995663981,-0.20752475187661884,-0.8388052437873623
1237660764842164280,1274,52995,268,Control4B,Satellite,9.443384,0.025353501,23.69522,Uncertain,Starforming,0.19955012308575057,-0.9944299956639813,-0.1892840439319302,-0.8051459517320511
1237648722284314869,469,51913,230,Control4B,BGG,10.95607,0.042493262,33.77363,Spiral,Starforming,0.07954117459845782,-0.8005299956639811,-0.00036000557862243517,-0.8001699900853586
1237651534946304186,446,51899,312,RG4,Satellite,9.214596,0.032170033,21.79229,Spiral,Starforming,0.3910605439277372,-0.958129995663981,-0.17177874325082548,-0.7863512524131555
1237659325492560003,1173,52790,322,Control4B,Satellite,9.673607,0.034550203,26.94715,Uncertain,Starforming,0.32318559857319396,-0.31992999566398117,-1.0233458920722236,0.7034158964082424
1237661386003382392,1054,52516,449,Control4C,Satellite,9.722244,0.030655297,24.00463,Spiral,Starforming,0.16534230966910582,-0.9488299956639814,-0.17608941330805536,-0.772740582355926
1237651539782205662,490,51929,440,Control4B,Satellite,10.08719,0.042110229,22.68226,Spiral,Starforming,0.1398942937178171,-0.843229995663981,-0.07251640661352583,-0.7707135890504552
1237661381704482927,1433,53035,84,Control4B,Satellite,10.34041,0.035868663,30.29701,Spiral,Starforming,0.06866129653918905,-0.8194299956639814,-0.04926002271457847,-0.7701699729494029
1237651735237951685,536,52024,9,RG4,Satellite,10.29237,0.034551293,21.09525,Spiral,Starforming,0.11964870432418778,-0.7356299956639814,0.008226176896798528,-0.7438561725607798
1237658491204665353,1226,52734,16,Control4B,Satellite,10.32369,0.037039594,22.54305,Spiral,Starforming,0.12892347412122593,-0.7701299956639813,-0.03966200463502764,-0.7304679910289537
1237654604791545959,581,52356,262,CG4,Satellite,10.47624,0.026628218,54.21762,NoGZ,Starforming,0.14064101758256803,-0.8363299956639811,-0.11553311404874676,-0.7207968816152344
1237673705578758555,434,51885,130,Control4B,Satellite,9.857841,0.029850107,20.60837,Spiral,Starforming,0.12190232813175543,-0.7296299956639811,-0.030271526760011918,-0.6993584689039692
1237658493891706939,1230,52672,406,RG4,Satellite,10.09189,0.025570478,25.82849,Spiral,Starforming,0.12990683442644632,-0.9649299956639812,-0.27817389220561206,-0.6867561034583691
1237661362906398756,1459,53117,347,Control4B,Satellite,9.879169,0.030155386,24.24054,Uncertain,Starforming,0.12196634236393253,-0.8960299956639814,-0.21694068641837377,-0.6790893092456076
1237662195072762009,1380,53084,387,Control4C,Satellite,9.649191,0.02569222,20.72944,Elliptical,Quenched,0.19261584044491206,-0.6323299956639814,0.04358703111597816,-0.6759170267799596
1237661357538738227,1436,53054,592,Control4B,Satellite,10.18958,0.025748486,24.70024,Uncertain,Starforming,0.05766230514078169,-0.8309299956639813,-0.17177874325082548,-0.6591512524131558
1237655125555085390,854,52373,341,Control4B,Satellite,10.8019,0.023901194,45.7427,NoGZ,Starforming,0.10202626777321884,-0.6852299956639811,-0.030271526760011918,-0.6549584689039692
1237658800967254132,1040,52722,307,Control4C,Satellite,10.68996,0.030762082,26.5533,Spiral,Starforming,0.08180050785902114,-0.7116299956639813,-0.0691168562521512,-0.6425131394118302
1237654879118229530,849,52439,91,Control4B,Satellite,10.03815,0.041748277,27.78408,Elliptical,Starforming,0.21024225208252417,-0.8039299956639812,-0.16328380351680608,-0.6406461921471751
1237658298999832751,1002,52646,174,Control4C,Satellite,10.24072,0.037213543,21.88113,Elliptical,Quenched,0.23716358140537708,-0.3540299956639812,0.28108475193178795,-0.6351147475957691
1237659132751642639,1052,52466,556,Control4C,Satellite,9.338893,0.019492948,34.1145,Elliptical,Starforming,0.29131577319929347,-0.9650299956639814,-0.3305265412590219,-0.6345034544049595
1237654031400566818,581,52356,46,Control4B,Satellite,10.0469,0.041251859,23.66271,NoGZ,Starforming,0.15332324419601082,0.09507000433601864,-0.45085224255144457,0.5459222468874632
1237660961866776723,1274,52995,231,Control4B,Satellite,9.664832,0.02597673,21.37134,Spiral,Starforming,0.08610334033251724,-0.8986299956639812,-0.28368883398995764,-0.6149411616740235
1237660669814964240,1306,52996,174,Control4C,Satellite,10.09096,0.030849389,24.72852,Elliptical,Quenched,0.21974145710761295,0.07977000433601877,-0.45085224255144457,0.5306222468874633
1237657873254842442,938,52708,85,Control4C,Satellite,10.03162,0.027978812,25.54856,Elliptical,Starforming,0.2613460857871638,-0.6030299956639813,-0.00036000557862243517,-0.6026699900853588
1237648705667072024,307,51663,613,RG4,Satellite,9.578831,0.034102383,25.51425,Elliptical,Starforming,0.31182002354547245,-0.7664299956639811,-0.17177874325082548,-0.5946512524131555
1237661139033718922,1427,52996,385,Control4C,Satellite,10.25096,0.021506168,29.15876,Spiral,Starforming,0.09073106319290043,-0.7319299956639811,-0.14274598525968069,-0.5891840104043005
1237654031400566969,509,52374,570,Control4B,Satellite,10.56471,0.041887311,24.66612,Spiral,Starforming,0.14809077298395,-0.7318299956639813,-0.14274598525968069,-0.5890840104043007
1237654391644618891,550,51959,240,Control4C,Satellite,10.41594,0.041790662,25.73547,Elliptical,Starforming,0.17509913473852734,-1.2844299956639813,-0.6964434765481651,-0.5879865191158162
1237654669739950159,274,51913,191,CG4,Satellite,9.123651,0.020029227,35.68161,Spiral,Starforming,0.13331775752878322,-0.5668299956639813,0.01941624484406951,-0.5862462405080509
1237660613973049348,1222,52763,341,Control4B,BGG,10.85039,0.03043002,46.2472,Uncertain,Starforming,0.1277626761293944,-0.4556299956639811,0.1287135660717291,-0.5843435617357102
