comparison,stratum,n,median_offset_dex,robust_scatter_dex,catastrophic_threshold_dex_from_median,catastrophic_n,theil_sen_slope,slope_ci95_lo,slope_ci95_hi
Gallazzi minus FIREFLY MILES light-weighted,all overlap (Gallazzi S/N>=20),1164,-0.037030129278005953,0.12764183856281694,0.5,49.0,,,
Gallazzi minus FIREFLY MILES light-weighted,trend versus lgm,1163,,,,,0.0948691715890104,0.07421641487723624,0.11591846893839827
Gallazzi minus FIREFLY MILES light-weighted,trend versus z,1164,,,,,1.5434899288061534,0.2701556828956007,2.832248982356963
Gallazzi minus FIREFLY MILES light-weighted,trend versus SN,1164,,,,,0.002639864030740518,0.0016814675832666375,0.003629906714090856
Gallazzi minus FIREFLY MILES light-weighted,trend versus fibre_light_fraction,1164,,,,,-0.23119037239840723,-0.3236861199506257,-0.13862860483985381
Gallazzi minus FIREFLY MILES light-weighted,morphology4=Elliptical,594,-0.04259392289950781,0.1108834101955278,,,,,
Gallazzi minus FIREFLY MILES light-weighted,morphology4=NoGZ,100,-0.04572517603303433,0.11703631174122402,,,,,
Gallazzi minus FIREFLY MILES light-weighted,morphology4=Spiral,431,-0.022103699826350243,0.15526274586900773,,,,,
Gallazzi minus FIREFLY MILES light-weighted,morphology4=Uncertain,39,-0.045164768355061335,0.1998153628335236,,,,,
Gallazzi minus FIREFLY MILES light-weighted,sf_state=NosSFR,9,0.050015339901985534,0.08243857209969903,,,,,
Gallazzi minus FIREFLY MILES light-weighted,sf_state=Quenched,835,-0.03237469194206924,0.10914376445637847,,,,,
Gallazzi minus FIREFLY MILES light-weighted,sf_state=Starforming,320,-0.0580360594516835,0.2473172529032909,,,,,
MILES lw minus ELODIE lw,all,3728,0.08619673472845013,0.09526159587776445,,,,,
MILES lw minus ELODIE lw,RUN2D=26,3615,0.08434656801424478,0.0930584895517296,,,,,
MILES lw minus ELODIE lw,RUN2D=v5_13_0,113,0.4420768182184308,0.44584532913475283,,,,,
MILES mw minus MILES lw,all,3728,-0.05579353390175534,0.10198687633719736,,,,,
MILES mw minus MILES lw,RUN2D=26,3615,-0.053737229733924426,0.09937603713115953,,,,,
MILES mw minus MILES lw,RUN2D=v5_13_0,113,-0.12581999596239915,0.17995079818904056,,,,,
ELODIE mw minus ELODIE lw,all,3728,-0.009389584442336854,0.06034684951006754,,,,,
ELODIE mw minus ELODIE lw,RUN2D=26,3615,-0.008005584649875795,0.05829493141776477,,,,,
ELODIE mw minus ELODIE lw,RUN2D=v5_13_0,113,-0.39985444886228827,0.5928242058832286,,,,,
