control,index,specification,n,n_CG4,n_clusters,beta_CG4,cluster_se,ci68_lo,ci68_hi,ci95_lo,ci95_hi
Control4C,Mgb,Claude-like,2067,168,762,0.04381434973131908,0.05831589597699937,-0.014501546245680293,0.10213024570831844,-0.07048480638359969,0.15811350584623785
Control4C,Mgb,"Claude-like, mass-complete",2067,168,762,0.04381434973131908,0.05831589597699937,-0.014501546245680293,0.10213024570831844,-0.07048480638359969,0.15811350584623785
Control4C,Mgb,+ stellar mass,2067,168,762,0.029977076357353995,0.056694750016116076,-0.02671767365876208,0.08667182637347007,-0.08114463367423351,0.1410987863889415
Control4C,Fe5270,Claude-like,2067,168,762,-0.003308914342287947,0.04868940725518463,-0.05199832159747257,0.04538049291289668,-0.0987401525624498,0.09212232387787392
Control4C,Fe5270,"Claude-like, mass-complete",2067,168,762,-0.003308914342287947,0.04868940725518463,-0.05199832159747257,0.04538049291289668,-0.0987401525624498,0.09212232387787392
Control4C,Fe5270,+ stellar mass,2067,168,762,-0.016385316845745082,0.04798602582115854,-0.06437134266690361,0.031600708975413457,-0.11043792745521581,0.07766729376372565
Control4C,Fe5335,Claude-like,2067,168,762,-0.008290456079277093,0.06219085162671808,-0.07048130770599517,0.053900395547440985,-0.1301845252676445,0.11360361310909034
Control4C,Fe5335,"Claude-like, mass-complete",2067,168,762,-0.008290456079277093,0.06219085162671808,-0.07048130770599517,0.053900395547440985,-0.1301845252676445,0.11360361310909034
Control4C,Fe5335,+ stellar mass,2067,168,762,-0.021277725502199713,0.06224045020568421,-0.08351817570788392,0.0409627247034845,-0.14326900790534075,0.10071355690094133
Control4C,[MgFe]',Claude-like,2054,168,762,0.0023764465723285296,0.04534778569523433,-0.0429713391229058,0.04772423226756286,-0.08650521339033075,0.09125810653498782
Control4C,[MgFe]',"Claude-like, mass-complete",2054,168,762,0.0023764465723285296,0.04534778569523433,-0.0429713391229058,0.04772423226756286,-0.08650521339033075,0.09125810653498782
Control4C,[MgFe]',+ stellar mass,2054,168,762,-0.010497121999838387,0.04382513001868018,-0.05432225201851856,0.033328008018841795,-0.09639437683645154,0.07540013283677476
Control4C,Mg2,Claude-like,2023,163,755,0.003608488405501198,0.00314866726376567,0.0004598211417355283,0.006757155669266868,-0.0025628994314795144,0.009779876242481911
