catalogue,variable,usable_minus_not_smd,usable_median,not_usable_median
Gallazzi DR4,lgm,0.5018989479332703,10.66563,10.369575000000001
Gallazzi DR4,z,-0.14765976317864882,0.0337991125,0.035679248
Gallazzi DR4,r_petro_dered,-0.4516474387063679,14.644902805000001,15.20169357
Gallazzi DR4,SN,0.6100651673911358,35.0868,28.36775
Gallazzi DR4,fibre_light_fraction,0.15172382761275158,0.15771466677281093,0.13898886230030336
Gallazzi DR4,R50_kpc,0.023830205130712937,3.7328562483640395,3.5770775216752004
FIREFLY DR16 MILES light-weighted,lgm,0.13129994087220975,10.48189,10.57136
FIREFLY DR16 MILES light-weighted,z,0.01565961618905946,0.035366261499999996,0.035467406
FIREFLY DR16 MILES light-weighted,r_petro_dered,0.2623446367551254,15.017798915,14.69525073
FIREFLY DR16 MILES light-weighted,SN,-0.11495374061932945,31.3702,31.88845
FIREFLY DR16 MILES light-weighted,fibre_light_fraction,0.12207235004907896,0.14493390994499553,0.12425560835436078
FIREFLY DR16 MILES light-weighted,R50_kpc,-0.16735072475878066,3.6074782544698563,3.8148990256113793
