product,role,control,subset,n,n_CG4,n_control,groups_CG4,groups_control,degree,control_cv_rmse_linear,control_cv_rmse_quadratic,beta,cluster_se,standardized_effect,ci68_lo,ci68_hi,ci95_lo,ci95_hi,n_boot,extras
FIREFLY MILES light-weighted,BGG,Control4C,total,705,57,648,57,648,1,0.09457519007965189,0.09482349728872029,-0.015102067592141317,0.014727742217763122,-0.16214413703943437,-0.029986741497966603,0.0003718004445976374,-0.04411188743149145,0.012082822305655742,1000,none
FIREFLY MILES light-weighted,BGG,Control4B,total,701,57,644,57,644,1,0.09395135017397097,0.09558121481332013,-0.014977809273766898,0.014734244490026797,-0.1605935501082808,-0.028782683225534796,-0.0003343564286803085,-0.04593798571369437,0.013334668105058716,1000,none
FIREFLY MILES light-weighted,BGG,RG4,total,110,57,53,57,53,1,0.10810988024594342,0.21267866159385698,0.01646914196603313,0.023909065788067393,0.15327171772644962,-0.009472127605822979,0.03883924614546942,-0.03291517340102143,0.06408454783985076,1000,none
FIREFLY MILES light-weighted,Satellite,Control4C,total,2154,176,1978,62,699,1,0.14856477773764276,0.14790912868245462,0.002711487495860389,0.010695332706432796,0.01826745313361585,-0.008321468952545135,0.013004487877908557,-0.019249791731128812,0.023113242674607827,1000,none
FIREFLY MILES light-weighted,Satellite,Control4B,total,2152,176,1976,62,695,1,0.13725399030559832,0.1376412427642864,0.011096128828485728,0.010980961950992787,0.08111463342006972,0.000680191715194122,0.02249069437613596,-0.010579623968849362,0.03116299388836937,1000,none
FIREFLY MILES light-weighted,Satellite,RG4,total,342,176,166,62,56,1,0.16066198986511618,0.16053310113856598,0.03322450717764078,0.01575122130838832,0.2087984375963028,0.017089944312264252,0.048722514225583276,0.0028850815856845398,0.06296018140339692,1000,none
FIREFLY ELODIE light-weighted,BGG,Control4C,total,705,57,648,57,648,2,0.08961300559357897,0.0868415861727546,-0.015419330748455046,0.012904151544151872,-0.1828142490499071,-0.02760902515826235,-0.0035892350284559157,-0.04090737063544763,0.006755523485832721,1000,none
FIREFLY ELODIE light-weighted,BGG,Control4B,total,701,57,644,57,644,1,0.08884899495347534,0.08777029860841506,-0.015030191036173361,0.01309651820042107,-0.17131770284097877,-0.027930950728937188,-0.0020560927579418775,-0.041188559837664535,0.00946675521201252,1000,none
FIREFLY ELODIE light-weighted,BGG,RG4,total,110,57,53,57,53,1,0.102133360989951,0.2773099840829441,0.014177407739968829,0.019689697382478704,0.15712584292150464,-0.008811980150623394,0.029821225599609334,-0.028004268752132383,0.051384085944562646,1000,none
FIREFLY ELODIE light-weighted,Satellite,Control4C,total,2154,176,1978,62,699,1,0.13457607647657885,0.1323575789140835,0.002717752028432782,0.0092054691373267,0.020219099307506514,-0.006875041773999252,0.011712039103322986,-0.015787721649454564,0.02047998508117113,1000,none
