product,role,control,subset,n,n_CG4,n_control,groups_CG4,groups_control,degree,control_cv_rmse_linear,control_cv_rmse_quadratic,beta,cluster_se,standardized_effect,ci68_lo,ci68_hi,ci95_lo,ci95_hi,n_boot,extras
FIREFLY MILES light-weighted,BGG,Control4C,total,705,57,648,57,648,1,0.09457519007965189,0.09482349728872029,-0.015102067592141317,0.014727742217763122,-0.16214413703943437,-0.0281527334767702,-0.000518120547170017,-0.04411524987291966,0.013079452832177351,1000,none
FIREFLY MILES light-weighted,BGG,Control4C,morphology=Elliptical,440,36,404,36,404,1,0.073412454958941,0.07732823540402796,0.005545500749156733,0.012289141687364061,0.07624138426650155,-0.00784349633586368,0.017879800590835875,-0.018842168410423805,0.029848155528035315,1000,none
FIREFLY MILES light-weighted,BGG,Control4C,morphology=Spiral,211,17,194,17,194,1,0.10506457594040804,0.10526482028697662,-0.043478303139668724,0.029771513831070465,-0.4175123493888569,-0.07219525188112344,-0.012743501668064584,-0.10679381517059051,0.012805656647870124,1000,none
FIREFLY MILES light-weighted,BGG,Control4C,SF=Quenched,577,45,532,45,532,1,0.07806484117981845,0.07744563369900011,0.008762570180345652,0.010581550785959667,0.11370962871535888,-0.0027837537586615597,0.01933026897233406,-0.01331921319374403,0.027731507380634384,1000,none
FIREFLY MILES light-weighted,BGG,Control4C,SF=Starforming,117,11,106,11,106,2,0.11611324563067368,0.11113882861976816,-0.08247756940498911,0.03221112381726113,-0.7900589913858416,-0.11501218176567705,-0.05149963218059363,-0.14607464034117493,-0.023052422583662184,1000,none
FIREFLY MILES light-weighted,BGG,Control4C,Elliptical + sigma,440,36,404,36,404,1,0.073412454958941,0.07732823540402796,0.007698325808127293,0.012327527950154769,0.11532894046534858,-0.004284601524881046,0.019890122470013382,-0.018026095898163782,0.030125317815807327,1000,log_sigma
FIREFLY MILES light-weighted,BGG,Control4C,Quenched + sigma,577,45,532,45,532,1,0.07806484117981845,0.07744563369900011,0.00694977563028751,0.009716939811437945,0.10338421060156626,-0.002778422274111845,0.016290773381644766,-0.012563599527944518,0.025402760649638263,1000,log_sigma
FIREFLY MILES light-weighted,Satellite,Control4C,total,2154,176,1978,62,699,1,0.14856477773764276,0.14790912868245462,0.002711487495860389,0.010695332706432796,0.01826745313361585,-0.00782896661566204,0.013533892874691998,-0.017553522306176832,0.023587142975461942,1000,none
FIREFLY MILES light-weighted,Satellite,Control4C,morphology=Elliptical,792,88,704,52,467,1,0.12777954401953084,0.13541735812278818,-0.021298376985879944,0.014606138307807003,-0.16898008916582252,-0.036308745957855895,-0.006194358925319893,-0.04955917395242536,0.0073152812233462,1000,none
FIREFLY MILES light-weighted,Satellite,Control4C,morphology=Spiral,1096,68,1028,46,572,1,0.13687333845591268,0.13688792775763292,0.01803707772244364,0.012635868159783776,0.13178094472751897,0.004403368202130429,0.030059618359433944,-0.006602768853291232,0.04186949039473176,1000,none
