product,role,control,variant,n,n_CG4,n_control,groups_CG4,groups_control,degree,control_cv_rmse_linear,control_cv_rmse_quadratic,beta,cluster_se,standardized_effect,ci68_lo,ci68_hi,ci95_lo,ci95_hi,n_boot,extras
FIREFLY MILES light-weighted,BGG,Control4C,base usable,705,57,648,57,648,1,0.09457519007965189,0.09482349728872029,-0.015102067592141317,0.014727742217763122,-0.16214413703943437,-0.031192106391159123,0.0007952325414622068,-0.047272349140342146,0.014481125199463978,1000,none
FIREFLY MILES light-weighted,BGG,Control4C,metallicity uncertainty <=0.3 dex,705,57,648,57,648,1,0.09457519007965189,0.09482349728872029,-0.015102067592141317,0.014727742217763122,-0.16214413703943437,-0.02949498513135778,-0.0008801457135854268,-0.04626747618094463,0.014116095542782902,1000,none
FIREFLY MILES light-weighted,BGG,Control4C,S/N>5,705,57,648,57,648,1,0.09457519007965189,0.09482349728872029,-0.015102067592141317,0.014727742217763122,-0.16214413703943437,-0.028978777470516564,-0.0007922423611334799,-0.04292466539801607,0.01237614174807602,1000,none
FIREFLY MILES light-weighted,BGG,Control4C,S/N>20,703,56,647,56,647,1,0.09329373169262058,0.0937073499980453,-0.015206848253055344,0.0149754868577993,-0.165780835099841,-0.03050417271911893,5.615691079188257e-05,-0.0463925427779272,0.013395142115619558,1000,none
FIREFLY MILES light-weighted,BGG,Control4C,legacy RUN2D=26 only,705,57,648,57,648,1,0.09457519007965189,0.09482349728872029,-0.015102067592141317,0.014727742217763122,-0.16214413703943437,-0.030604450344422697,-0.001017742512267498,-0.046325134751901025,0.01142865165273923,1000,none
FIREFLY MILES light-weighted,BGG,Control4C,adjust redshift,705,57,648,57,648,1,0.09457519007965189,0.09482349728872029,-0.011248805145484271,0.014241946841800787,-0.12506845530081906,-0.025825562175519855,0.00266324002888654,-0.03892600720866491,0.017932736783270575,1000,z
FIREFLY MILES light-weighted,BGG,Control4C,adjust fibre light fraction,705,57,648,57,648,1,0.09457519007965189,0.09482349728872029,-0.01745660081831552,0.014372487548409228,-0.19285088866166994,-0.03197271788062818,-0.003170279329672576,-0.045143713150024904,0.009106518615396936,1000,fibre_light_fraction
FIREFLY MILES light-weighted,BGG,Control4C,adjust physical fibre radius,705,57,648,57,648,1,0.09457519007965189,0.09482349728872029,-0.011232804734104405,0.014242160879431484,-0.12489501193639742,-0.025339268993143302,0.0025843056560699226,-0.040386308684289766,0.01665461933905685,1000,fibre_radius_kpc
FIREFLY MILES light-weighted,BGG,Control4C,adjust galaxy R50,705,57,648,57,648,1,0.09457519007965189,0.09482349728872029,-0.013062656713051776,0.014778632995858455,-0.1491907333169796,-0.027853562622876797,0.0005471043446248511,-0.043992019975587916,0.015436252368108843,1000,R50_kpc
FIREFLY MILES light-weighted,BGG,Control4C,adjust z + fibre fraction + R50,705,57,648,57,648,1,0.09457519007965189,0.09482349728872029,-0.013057138950091808,0.013408519445891331,-0.15780781645859357,-0.026439062776359726,-0.00015115767232545515,-0.03957128786778207,0.011776339211554854,1000,z+fibre_light_fraction+R50_kpc
FIREFLY MILES light-weighted,BGG,Control4C,common CG4-control mass support,694,57,637,57,637,1,0.09022599283218247,0.08959061397799473,-0.016507017949704387,0.014467366816833334,-0.1832754884718625,-0.029986074407297163,-0.0025016325273649947,-0.045488005873827585,0.009440783624804544,1000,none
FIREFLY MILES light-weighted,BGG,Control4C,central 98% mass range,689,54,635,54,635,1,0.08989831941184546,0.08854162937499321,-0.010090374969987168,0.014719955666825657,-0.11246489929388333,-0.026281210841402766,0.0036325570467519884,-0.04316846965680876,0.017286762661081336,1000,none
FIREFLY MILES light-weighted,Satellite,Control4C,base usable,2154,176,1978,62,699,1,0.14856477773764276,0.14790912868245462,0.002711487495860389,0.010695332706432796,0.01826745313361585,-0.008758323915436666,0.012738558868068836,-0.01735934546484386,0.022925751152889088,1000,none
FIREFLY MILES light-weighted,Satellite,Control4C,metallicity uncertainty <=0.3 dex,2136,176,1960,62,699,1,0.14347931699982616,0.1426980504123677,-0.0003240229316512242,0.010687592467136138,-0.0022601061359359713,-0.011137395466934262,0.009674465110523387,-0.021786851526484238,0.019256197481221652,1000,none
FIREFLY MILES light-weighted,Satellite,Control4C,S/N>5,2150,175,1975,62,699,1,0.14861850272853042,0.1479652572864353,0.0018108237125513769,0.010777123828583856,0.012195364916038856,-0.009333305978631568,0.01269851952799021,-0.019379362595736298,0.02348268937875233,1000,none
FIREFLY MILES light-weighted,Satellite,Control4C,S/N>20,1420,120,1300,60,652,1,0.14457621974906257,0.14309332999706165,-0.0037762239697839406,0.012526232814661847,-0.02617254780953113,-0.015257919204075933,0.009173831800578788,-0.028000295833186355,0.019505999994085258,1000,none
FIREFLY MILES light-weighted,Satellite,Control4C,legacy RUN2D=26 only,2154,176,1978,62,699,1,0.14856477773764276,0.14790912868245462,0.002711487495860389,0.010695332706432796,0.01826745313361585,-0.008502777562359863,0.013704320877009313,-0.019332784546390126,0.02407605216995592,1000,none
FIREFLY MILES light-weighted,Satellite,Control4C,adjust redshift,2154,176,1978,62,699,1,0.14856477773764276,0.14790912868245462,0.005409162014539214,0.010789532872471743,0.03663363029070097,-0.0049825127998135745,0.016483243610261072,-0.015603559235707587,0.02640789685311069,1000,z
