sample,group_uid,Group,objid,plate,mjd,fiberID,rank_M,role,is_bgg,is_sat,z,lgm,M_r,r_petro_dered,SN,morphology4,sf_state,sigma,log_sigma,fibre_light_fraction,fibre_radius_kpc,R50_arcsec,R50_kpc,fibre_radius_over_R50,RUN2D,gallazzi_match,gallazzi_valid,gallazzi_usable,gallazzi_logz_solar,gallazzi_logz_lo,gallazzi_logz_hi,gallazzi_logz_unc,firefly_match,firefly_spectrum_quality,ff_miles_lw_valid,ff_miles_lw_usable,ff_miles_lw_precision03,ff_miles_lw_logz,ff_miles_lw_logz_lo,ff_miles_lw_logz_hi,ff_miles_lw_logz_unc,ff_elodie_lw_logz,ff_elodie_lw_usable,ff_miles_mw_logz,ff_miles_mw_usable,ff_elodie_mw_logz,ff_elodie_mw_usable,valid_core,Mgb,Mgb_err,Fe5270,Fe5270_err,Fe5335,Fe5335_err,MgFe,MgFe_err,Mg2,Mg2_err,D4000n,D4000n_err,HdA_sub,HdA_sub_err
CG4,HMCG:25,25,1237655108898979844,762,52232,380,1,BGG,1,0,0.038103145,11.13696,-21.823291,14.37042847,30.5532,Spiral,Starforming,178.7346,2.252208632721274,0.08862903077621735,1.1707959433870916,7.600536377889616,5.932451439199454,0.1973544925544444,26,True,True,True,-0.2743299956639813,-0.4580299956639813,-0.061729995663981185,0.19815000000000005,True,True,True,True,True,-0.07594282963262874,-0.4590854354774995,-0.033379164418814146,0.21285313552934268,-0.00036000557862243517,True,-0.027185968217908463,True,-0.00036000557862243517,True,1,2.491888,0.3205326,2.139252,0.3488967,1.968919,0.3435026,2.282965215534148,0.2076291102498843,0.1392477,0.01011068,1.371164,0.01306869,3.866655,0.5017337
CG4,HMCG:25,25,1237655108898914500,762,52232,362,2,Satellite,0,1,0.037864507,10.40786,-20.729999,15.463917570000001,28.82646,Elliptical,Quenched,117.3581,2.0695130697667605,0.19875771716235058,1.1637966972418026,5.270270331224618,4.089015470033781,0.2846153813236094,26,True,True,True,-0.12542999566398128,-0.2168299956639812,-0.0067299956639812475,0.10504999999999998,True,True,True,True,True,0.0383308008134032,-0.1231358190374761,0.05135398835050857,0.08724490369399233,-0.059074962477950764,True,-0.10071575008869796,True,0.008226176896798528,True,1,3.659058,0.3290052,3.195141,0.3347007,2.413588,0.3432906,3.3000722515116667,0.206640375331778,0.2342204,0.01055537,1.850285,0.02288588,-1.546489,0.6202332
CG4,HMCG:25,25,1237655108898914492,762,52232,379,3,Satellite,0,1,0.038568193,9.313793,-19.424341,16.79105279,10.74559,Spiral,Starforming,,,0.1381045541009242,1.184424147331937,4.111405664860161,3.2464320992917943,0.3648387248235741,26,True,False,False,,,,,True,True,True,True,True,-0.13087399102014557,-0.318335079846875,-0.04926002271457847,0.13453752856614826,-0.01805859406732937,True,-1.0233458920722236,True,-0.5513440673598253,True,1,2.4333,0.8483132,1.844664,0.9162672,1.09234,0.9465332,1.9940021349597397,0.5558688193793303,0.09760005,0.02726512,1.183016,0.02475964,6.489912,1.079026
CG4,HMCG:25,25,1237655108898980064,762,52232,366,4,Satellite,0,1,0.037563678,9.284696,-19.032422,17.19199597,6.948121,Spiral,Starforming,119.6284,2.0778342941935084,0.13407629488679296,1.1549676121657877,4.660326168601293,3.5883505245754463,0.32186588357402374,26,True,False,False,,,,,True,True,True,True,True,-0.2892746251283065,-0.5617466441478661,-0.00036000557862243517,0.2806933192846218,-0.23145875648195138,True,-0.5617466441478661,True,-0.8298363053665552,True,1,0.5484943,1.404243,2.081974,1.431047,2.59693,1.434686,1.105005426393203,1.4408877884971898,0.04424617,0.04221543,1.265969,0.04921453,5.934091,2.053039
CG4,HMCG:27,27,1237651533872496853,444,51883,638,1,BGG,1,0,0.044700583,10.94254,-21.884657,14.767748059999999,34.98672,Elliptical,Quenched,159.4881,2.2027282842763625,0.19490007219981526,1.3627033234304795,6.146789291833917,5.584166797605976,0.24402983879612855,26,True,True,True,0.19787000433601865,0.13357000433601884,0.27157000433601874,0.06899999999999995,True,True,True,True,True,0.24319337424724807,0.210659559924703,0.3003078152646575,0.044824127669977246,0.12439759440607599,True,0.2545906102675482,True,0.0882328635448647,True,1,4.049944,0.2630004,2.789829,0.280586,2.810825,0.2876703,3.364886380601687,0.1704914532479074,0.2440679,0.00863756,1.892867,0.01669018,-1.898388,0.474905
CG4,HMCG:27,27,1237651271887618101,444,51883,624,2,Satellite,0,1,0.046428481,10.82927,-21.525527,15.12245085,34.62148,NoGZ,Quenched,189.7935,2.2782813347378963,0.28626483353767906,1.4124598947496074,3.0011074714653487,2.825962628852138,0.4998154895357999,26,True,True,True,0.07107000433601884,0.017970004336018697,0.1046700043360187,0.04335,True,True,True,True,True,0.09756027280667182,-0.021079757759797816,0.09756027280667182,0.059320015283234814,-0.07939644884409477,True,0.11118620289364924,True,-0.07251640661352583,True,1,4.054763,0.2656644,2.451312,0.285587,2.209666,0.2926449,3.1088808864741924,0.1766592512317554,0.2494716,0.008692662,1.860627,0.01579729,-1.620667,0.4578237
CG4,HMCG:27,27,1237651271887618204,444,51883,640,3,Satellite,0,1,0.045765926,9.714207,-19.524462,17.151106090000003,9.566511,NoGZ,Starforming,14.64783,1.165773290981628,0.20466708306442657,1.393405547560752,2.597984228330775,2.4133637574876277,0.5773707105850144,26,True,False,False,,,,,True,True,True,True,True,-0.027185968217908463,-0.26734992123701173,0.04619148126786086,0.1567707012524363,-0.1549517826247632,True,-0.6425090077386855,True,-0.17177874325082548,True,1,0.6721294,0.9851465,3.040296,1.004343,-1.009675,1.117667,1.1319377387441094,0.8618999990593599,0.1038168,0.02956317,1.282155,0.03812464,2.527751,1.556186
CG4,HMCG:27,27,1237651533872496832,444,51883,635,4,Satellite,0,1,0.046666261,9.640424,-19.437155,17.27552104,9.010636,NoGZ,Starforming,60.50066,1.7817601123846112,0.18476172146110034,1.4192907380276778,3.0726872084755175,2.9073576638969483,0.4881720455835821,26,True,False,False,,,,,True,True,True,True,True,0.06648321213101471,0.024904982184311565,0.17548977917257252,0.07529239849413048,-0.23640805378214774,True,-0.19377293476141427,True,-0.3006665564381726,True,1,0.3542791,1.102567,1.345824,1.088641,3.625315,1.08575,0.8384024099804747,1.3166506236393838,0.05243802,0.03271313,1.332909,0.04095536,3.242252,1.589491
CG4,HMCG:28,28,1237651192431902873,447,51877,333,1,BGG,1,0,0.045092908,11.56605,-23.060968,13.53994462,41.07203,Elliptical,Quenched,247.3817,2.393367569654573,0.08891437907912934,1.3740189875732893,9.151742,8.383111518247967,0.16390322192212148,26,True,True,True,0.28467000433601886,0.21077000433601878,0.34797000433601877,0.0686,True,True,True,True,True,0.12003830018504674,0.0714113894018661,0.12003830018504674,0.02431345539159032,0.1156348048624115,True,0.06895429106965624,True,0.10894469627808792,True,1,4.202595,0.2255746,2.825678,0.2419506,2.31389,0.2491962,3.3575207640831053,0.1480299712702841,0.2542131,0.007396329,1.9101,0.01367564,-1.767967,0.3894989
CG4,HMCG:28,28,1237651192431902934,447,51877,338,2,Satellite,0,1,0.045297238,10.74845,-21.38034,15.246545529999999,17.87079,Spiral,Quenched,90.53558,1.9568192881660063,0.08502996493882246,1.379908136336434,11.009069974972132,10.127670154640793,0.13625129129073385,26,True,True,False,0.07027000433601871,-0.07722999566398125,0.20207000433601885,0.13965000000000005,True,True,True,True,True,0.09524713375865783,-0.00036000557862243517,0.210659559924703,0.10550978275166271,-0.1231358190374761,True,-0.06574371018214456,True,-0.055778624700305444,True,1,3.796291,0.5159413,3.669149,0.5258926,2.32164,0.5362208,3.5350823420969535,0.324869691113426,0.2146377,0.01656698,1.664415,0.03255181,-0.3544649,0.9913846
CG4,HMCG:28,28,1237651192431902942,447,51877,332,3,Satellite,0,1,0.045825495,10.45439,-20.605546,16.00634668,26.80732,NoGZ,Quenched,141.6439,2.1511978760440056,0.32080712113757903,1.395119936216973,2.578475226352309,2.3981881288837856,0.581739155245639,26,True,True,True,0.16437000433601878,0.11347000433601884,0.2095700043360187,0.048049999999999926,True,True,True,True,True,0.210659559924703,0.09524713375865783,0.234865136540417,0.06980900139087959,0.06648321213101471,True,0.234865136540417,True,0.008226176896798528,True,1,4.823053,0.3375599,3.077177,0.3579764,2.737381,0.3639803,3.7924277987284554,0.2206212833836731,0.2626165,0.01127006,1.877107,0.02518887,-1.257229,0.6638551
CG4,HMCG:28,28,1237651192431902951,447,51877,335,4,Satellite,0,1,0.045729996,9.72223,-20.113728,16.525996290000002,13.51462,NoGZ,Starforming,46.52884,1.6677222253706028,0.1474782582999257,1.3923713669700035,4.949381442573205,4.594251336567747,0.30306817476168163,26,True,False,False,,,,,True,True,True,True,True,-0.3692994289203334,-0.3692994289203334,-0.09349240622197504,0.1379035113491792,-0.17177874325082548,True,-0.5120595574153525,True,-0.6686395231550413,True,1,2.366874,0.6736944,1.844053,0.7152111,2.178595,0.7362928,2.1415766046537397,0.4322591566087356,0.09654818,0.0213257,1.201497,0.0175655,5.309965,0.7927559
CG4,HMCG:33,33,1237653664714391702,468,51912,386,1,BGG,1,0,0.043605956,10.91266,-22.309907,14.19819769,41.04177,Spiral,Starforming,137.6211,2.1386850248228346,0.10337416152923695,1.3310745620986784,13.495838412308071,11.975978136544992,0.11114537342355958,26,True,True,True,0.13837000433601876,0.01207000433601868,0.26057000433601885,0.12425000000000008,True,True,True,True,True,-0.00036000557862243517,-0.021079757759797816,0.01941624484406951,0.020248001301933664,-0.04603702487435677,True,-0.1983087080057814,True,-0.1983087080057814,True,1,2.943353,0.2300895,2.560504,0.2428995,2.492584,0.2449683,2.7350487417775944,0.1471254342376815,0.1821789,0.007333123,1.606103,0.01137169,1.444743,0.3663584
CG4,HMCG:33,33,1237653664714391735,468,51912,388,2,Satellite,0,1,0.043203973,10.67758,-21.538248,14.95050422,43.86971,Elliptical,Quenched,146.6294,2.1662210574649285,0.22724587050563022,1.3194383745980374,4.549819858736277,4.002137946083244,0.329683382325521,26,True,True,True,0.29967000433601876,0.09137000433601883,0.30397000433601873,0.10629999999999995,True,True,True,True,True,0.27037041250145794,0.27037041250145794,0.3003078152646575,0.01496870138159978,0.0383308008134032,True,0.21420119955862366,True,0.03301017461500066,True,1,3.782035,0.2099981,3.468945,0.2207604,2.628504,0.2282321,3.497094474759468,0.1341921400383043,0.235755,0.006850149,1.818369,0.01279039,-0.8128828,0.3657176
CG4,HMCG:33,33,1237651753452765233,467,51901,640,3,Satellite,0,1,0.043100813,10.73482,-21.380679,15.120287059999999,32.45052,Elliptical,Quenched,157.1159,2.1962201375087576,0.25187438321803773,1.3164503782715742,3.5258726486110255,3.0944242546675875,0.4254265963323737,26,True,True,True,0.15737000433601867,0.05677000433601864,0.20967000433601868,0.07645000000000002,True,True,True,True,True,0.20529235111097974,0.15171420698334523,0.29154133501529506,0.06991356401597491,0.05135398835050857,True,0.26097149630715105,True,0.12439759440607599,True,1,3.829419,0.2662574,2.778386,0.2860517,2.996382,0.309545,3.297475941465642,0.173136365820109,0.2501089,0.008894121,1.882745,0.01857834,-2.05384,0.5118368
CG4,HMCG:33,33,1237651753452765443,467,51901,630,4,Satellite,0,1,0.043182957,10.11648,-20.3565,16.16106126,27.67803,Elliptical,Quenched,76.30935,1.8825777542671296,0.33243902506773104,1.3188297134617637,2.0408163732598825,1.7943261818496044,0.7349999831704537,26,True,True,True,-0.2309299956639812,-0.42192999566398104,0.2609700043360188,0.3414499999999999,True,True,True,True,True,-0.1983087080057814,-0.3006665564381726,-0.1983087080057814,0.05117892421619559,-0.1983087080057814,True,-0.26203736643140163,True,-0.2727281867109631,True,1,3.059758,0.3443766,2.682149,0.3642415,2.861927,0.4301903,2.8914958876997767,0.2231432389045443,0.168341,0.01148715,1.647066,0.01764337,0.1180115,0.5544098
CG4,HMCG:42,42,1237664093977182232,1938,53379,439,1,BGG,1,0,0.024032534,11.30246,-22.317682,12.87097618,48.66617,Elliptical,Quenched,229.0378,2.3599071634607616,0.10105457967180168,0.7510869544461374,8.407094,4.209639085468264,0.17842074800162813,26,False,False,False,,,,,True,True,True,True,True,0.17741355266189243,0.16966679416987027,0.17741355266189243,0.0038733792460110827,0.0383308008134032,True,0.17741355266189243,True,0.0409668678813979,True,1,4.278932,0.1880124,3.010835,0.2080943,2.477422,0.2137064,3.4991535549106048,0.1250615132575159,0.2662506,0.006206779,1.980211,0.01033532,-1.795367,0.2981802
CG4,HMCG:42,42,1237664093977116737,1938,53379,388,2,Satellite,0,1,0.023569981,10.44188,-20.869508,14.30584314,43.26168,Elliptical,Quenched,134.3178,2.1281335698506236,0.19138680834462696,0.7370438879907447,5.413043400797369,2.6597670359908903,0.27710843770050736,26,False,False,False,,,,,True,True,True,True,True,0.1943547474969782,0.1287135660717291,0.21946008747208545,0.04537326070017818,0.0383308008134032,True,0.13721892725478624,True,0.04358703111597816,True,1,3.76155,0.2150884,3.037463,0.2290654,2.931229,0.2328942,3.363581378069215,0.1381378520132729,0.2259694,0.006994547,1.854351,0.01112527,-1.510573,0.3459557
CG4,HMCG:42,42,1237664093977182233,1938,53379,429,3,Satellite,0,1,0.024061855,10.44385,-20.656212,14.52220212,44.19553,Elliptical,Quenched,199.2954,2.2994972747282247,0.29017233200335174,0.7519766032489492,3.0916844596270363,1.5499162521786012,0.48517240992340843,26,False,False,False,,,,,True,True,True,True,True,0.09756027280667182,0.08110344385726691,0.1393198083248698,0.02910818223380144,0.09524713375865783,True,0.05898447772959352,True,0.09524713375865783,True,1,4.537125,0.2080078,2.439745,0.2280802,2.341833,0.2331225,3.3083290522384554,0.142950013831702,0.2655875,0.006897137,1.888423,0.01109966,-1.834578,0.3406883
CG4,HMCG:42,42,1237664093977182234,1938,53379,434,4,Satellite,0,1,0.024110809,10.1118,-20.096434,15.08333777,36.25173,Elliptical,Quenched,97.93189,1.9909241360914027,0.22756632705117974,0.7534618087033933,5.531914704738563,2.77872430601681,0.2711538554119644,26,False,False,False,,,,,True,True,True,True,True,0.24319337424724807,0.16966679416987027,0.3003078152646575,0.06532051054739361,0.15171420698334523,True,0.1869066344234161,True,0.13721892725478624,True,1,3.558105,0.2616664,3.51954,0.2687092,3.333498,0.2719093,3.5124841522753094,0.1666450741389498,0.2246602,0.008409868,1.861249,0.01625668,-1.025603,0.4546925
CG4,HMCG:52,52,1237664879949906003,1939,53389,492,1,BGG,1,0,0.027544551,11.26873,-22.51063,12.9320421,42.71652,Elliptical,Quenched,213.5133,2.3294249329287475,0.0445492092808472,0.8571962636329782,12.5009,7.143816514699665,0.11999136062203522,26,False,False,False,,,,,True,True,True,True,True,0.21946008747208545,0.15778123442292644,0.2365435592168414,0.03938116239695748,0.12439759440607599,True,0.17932884207153257,True,0.09524713375865783,True,1,4.694248,0.2184812,2.909729,0.2329824,2.339828,0.240796,3.593037389528052,0.1447026391462119,0.2947713,0.007316709,1.983384,0.01475953,-2.502014,0.4057187
CG4,HMCG:52,52,1237664879949906001,1939,53389,444,2,Satellite,0,1,0.02754628,10.52723,-21.014782,14.43403371,45.26715,Elliptical,Quenched,171.1889,2.2334756013164068,0.21289624424002682,0.8572482788789958,4.152700218050883,2.3732634097497,0.36121075956309745,26,False,False,False,,,,,True,True,True,True,True,0.12003830018504674,0.0714113894018661,0.12003830018504674,0.02431345539159032,-0.03650924669124571,True,0.01385725040186069,True,-0.033379164418814146,True,1,4.205644,0.2030276,3.084537,0.2176684,2.632356,0.2253508,3.5270363026413665,0.1318845019970184,0.2574636,0.006746891,1.901062,0.01123875,-1.938012,0.3290761
