role,control,adjusted_for,n_CG4,n_control,beta,se,ci95_lo,ci95_hi,estimate
Satellite,RG4,none,176,166,0.03322450717764062,0.015751221308388318,0.00020919676465624927,0.062213158025984226,"+0.033 [+0.000, +0.062]"
Satellite,RG4,z,176,166,0.028699470745676185,0.015506990634979383,-0.0015894748454006143,0.058922380405372995,"+0.029 [-0.002, +0.059]"
Satellite,RG4,logSN,176,166,0.03376775963153869,0.016091309621614754,0.0023521015412051533,0.06569472992843528,"+0.034 [+0.002, +0.066]"
Satellite,RG4,z+logSN,176,166,0.030081677543652954,0.01576758532256485,-0.0035743245488557124,0.0585304115585798,"+0.030 [-0.004, +0.059]"
Satellite,RG4,sSFR,173,166,0.01612431956874915,0.014570837506094217,-0.01268344103791824,0.04418155691516692,"+0.016 [-0.013, +0.044]"
Satellite,RG4,D4000n,176,166,0.02145269739715746,0.014878027685154695,-0.007826156161149333,0.050803630748569965,"+0.021 [-0.008, +0.051]"
Satellite,RG4,log_sigma,171,162,0.025787658665972376,0.01553763312721934,-0.004454197601430869,0.056159142896352314,"+0.026 [-0.004, +0.056]"
Satellite,RG4,fibre_light_fraction,176,166,0.02987757332832824,0.015539362786717357,-0.00043256383945671276,0.06041882617845482,"+0.030 [-0.000, +0.060]"
Satellite,RG4,ff_miles_lw_logage,176,166,0.04337091916973815,0.014935822471553261,0.014905138029411676,0.07357967726185077,"+0.043 [+0.015, +0.074]"
Satellite,RG4,sSFR+D4000n+log_sigma,168,162,0.01107641527324675,0.014662850094852695,-0.017112165160059888,0.038654020696621015,"+0.011 [-0.017, +0.039]"
Satellite,Control4C,none,176,1978,0.002711487495860417,0.010695332706432787,-0.019307465550245432,0.022441383938765717,"+0.003 [-0.019, +0.022]"
Satellite,Control4C,z,176,1978,0.005409162014539163,0.01078953287247174,-0.014685397736699654,0.026173507559604462,"+0.005 [-0.015, +0.026]"
Satellite,Control4C,logSN,176,1978,0.0028145192357157474,0.010582430106965187,-0.019132416525481956,0.02287818642578535,"+0.003 [-0.019, +0.023]"
Satellite,Control4C,z+logSN,176,1978,0.004258696665893029,0.010757701395523551,-0.0168553527837251,0.025054888278727407,"+0.004 [-0.017, +0.025]"
Satellite,Control4C,sSFR,173,1961,-0.008160316393024182,0.010231158999409833,-0.0307092458142458,0.010637059202405718,"-0.008 [-0.031, +0.011]"
Satellite,Control4C,D4000n,176,1978,-0.004023484182629422,0.010282144142838023,-0.024253908332988197,0.015276397262181522,"-0.004 [-0.024, +0.015]"
Satellite,Control4C,log_sigma,171,1931,0.0016496602456585582,0.010456135663583725,-0.019081469104153575,0.02213259965415303,"+0.002 [-0.019, +0.022]"
Satellite,Control4C,fibre_light_fraction,176,1978,-0.00010195760363451836,0.010745136699162047,-0.021530363745541122,0.020595572556877047,"-0.000 [-0.022, +0.021]"
Satellite,Control4C,ff_miles_lw_logage,176,1978,0.008739994274341367,0.010470735298085976,-0.012029316184203692,0.029140197599126894,"+0.009 [-0.012, +0.029]"
Satellite,Control4C,sSFR+D4000n+log_sigma,168,1915,-0.008265867587805037,0.01031512580272657,-0.029036646024585357,0.011347982350479523,"-0.008 [-0.029, +0.011]"
BGG,RG4,none,57,53,0.016469141966033118,0.0239090657880674,-0.03143217293558795,0.06160027946814523,"+0.016 [-0.031, +0.062]"
BGG,RG4,z,57,53,0.008225615931358954,0.024733256663647472,-0.04223886493870544,0.056794335265525686,"+0.008 [-0.042, +0.057]"
BGG,RG4,logSN,57,53,0.0035693019003796935,0.02124211895290954,-0.03904189860695331,0.04355126611041595,"+0.004 [-0.039, +0.044]"
BGG,RG4,z+logSN,57,53,0.0004488860308332798,0.02267152948149935,-0.04774065423547305,0.041481140012980984,"+0.000 [-0.048, +0.041]"
BGG,RG4,sSFR,56,53,0.01054758672439568,0.018720476037613003,-0.02526809144982647,0.04677341807761813,"+0.011 [-0.025, +0.047]"
