product,role,sample,n,frac_at_grid_ceiling,n_distinct_values,frac_zero_width_68,median_logz
FIREFLY MILES light-weighted,BGG,CG4,60,0.1,38,0.0,0.19248875979260544
FIREFLY MILES light-weighted,BGG,Control4B,674,0.13798219584569732,122,0.004451038575667656,0.18878060169439917
FIREFLY MILES light-weighted,BGG,Control4C,678,0.13864306784660768,122,0.004424778761061947,0.18878060169439917
FIREFLY MILES light-weighted,BGG,RG4,55,0.05454545454545454,34,0.0,0.12003830018504674
FIREFLY MILES light-weighted,Satellite,CG4,180,0.0,84,0.0,0.003951645719535347
FIREFLY MILES light-weighted,Satellite,Control4B,2031,0.026095519448547513,225,0.0014771048744460858,0.04878040567641195
FIREFLY MILES light-weighted,Satellite,Control4C,2042,0.012242899118511263,223,0.002448579823702253,0.005382592656735859
FIREFLY MILES light-weighted,Satellite,RG4,167,0.011976047904191617,96,0.0,-0.05250706908668513
FIREFLY ELODIE light-weighted,BGG,CG4,60,0.03333333333333333,28,0.05,0.10659753883454165
FIREFLY ELODIE light-weighted,BGG,Control4B,674,0.008902077151335312,112,0.017804154302670624,0.12222341690406424
FIREFLY ELODIE light-weighted,BGG,Control4C,678,0.01032448377581121,112,0.017699115044247787,0.12222341690406424
FIREFLY ELODIE light-weighted,BGG,RG4,55,0.0,27,0.01818181818181818,0.05135398835050857
FIREFLY ELODIE light-weighted,Satellite,CG4,180,0.0,61,0.005555555555555556,-0.07939644884409477
FIREFLY ELODIE light-weighted,Satellite,Control4B,2031,0.0019694731659281144,189,0.0034465780403741997,-0.021079757759797816
FIREFLY ELODIE light-weighted,Satellite,Control4C,2042,0.0019588638589618022,178,0.002938295788442703,-0.07251640661352583
FIREFLY ELODIE light-weighted,Satellite,RG4,167,0.0,66,0.0,-0.1117810674162761
FIREFLY MILES mass-weighted,BGG,CG4,60,0.1,48,0.0,0.1783711973667125
FIREFLY MILES mass-weighted,BGG,Control4B,674,0.14391691394658754,207,0.001483679525222552,0.18123572190473197
FIREFLY MILES mass-weighted,BGG,Control4C,678,0.14454277286135694,207,0.0014749262536873156,0.18123572190473197
FIREFLY MILES mass-weighted,BGG,RG4,55,0.05454545454545454,46,0.0,0.09756027280667182
FIREFLY MILES mass-weighted,Satellite,CG4,180,0.0,137,0.0,-0.07606547545759777
FIREFLY MILES mass-weighted,Satellite,Control4B,2031,0.02708025603151157,296,0.0004923682914820286,-0.009119148331831268
FIREFLY MILES mass-weighted,Satellite,Control4C,2042,0.012732615083251714,289,0.0009794319294809011,-0.10071575008869796
FIREFLY MILES mass-weighted,Satellite,RG4,167,0.011976047904191617,114,0.0,-0.20752475187661884
FIREFLY ELODIE mass-weighted,BGG,CG4,60,0.03333333333333333,48,0.0,0.12003277525821648
FIREFLY ELODIE mass-weighted,BGG,Control4B,674,0.013353115727002967,196,0.004451038575667656,0.12222341690406424
FIREFLY ELODIE mass-weighted,BGG,Control4C,678,0.014749262536873156,196,0.004424778761061947,0.12222341690406424
FIREFLY ELODIE mass-weighted,BGG,RG4,55,0.0,39,0.0,0.03301017461500066
FIREFLY ELODIE mass-weighted,Satellite,CG4,180,0.0,123,0.0,-0.09708903351335806
FIREFLY ELODIE mass-weighted,Satellite,Control4B,2031,0.002461841457410143,281,0.0004923682914820286,-0.05250706908668513
FIREFLY ELODIE mass-weighted,Satellite,Control4C,2042,0.002448579823702253,264,0.0004897159647404506,-0.11553311404874676
FIREFLY ELODIE mass-weighted,Satellite,RG4,167,0.0,109,0.0,-0.1848411427269139
Gallazzi optical light-weighted,BGG,CG4,27,0.0,27,,0.13067000433601872
Gallazzi optical light-weighted,BGG,Control4B,282,0.0,265,,0.17862000433601877
Gallazzi optical light-weighted,BGG,Control4C,283,0.0,266,,0.17817000433601882
Gallazzi optical light-weighted,BGG,RG4,30,0.0,30,,0.15367000433601874
Gallazzi optical light-weighted,Satellite,CG4,63,0.0,63,,0.0023700043360186385
Gallazzi optical light-weighted,Satellite,Control4B,637,0.0,612,,0.07787000433601876
Gallazzi optical light-weighted,Satellite,Control4C,553,0.0,529,,0.024570004336018636
Gallazzi optical light-weighted,Satellite,RG4,43,0.0,43,,0.02427000433601867
