product,role,control,saved_beta,reproduced_beta,abs_diff,saved_cluster_se,reproduced_cluster_se,saved_ci95_halfwidth,new_seed_ci95_halfwidth,ci95_halfwidth_over_1.96se,usable_CG4,usable_control,fit_CG4,fit_control,dropped_no_lgm_CG4,dropped_no_lgm_control
FIREFLY MILES light-weighted,Satellite,Control4C,0.0027114874958603,0.002711487495860389,8.890457814381136e-17,0.0106953327064327,0.010695332706432796,0.0211815172028683,0.02028594143402596,1.0104310757510013,180,2042,176,1978,4,64
FIREFLY MILES light-weighted,Satellite,Control4B,0.0110961288284857,0.011096128828485728,2.7755575615628914e-17,0.0109809619509927,0.010980961950992787,0.0208713089286093,0.021422436919418295,0.9697353521409701,180,2031,176,1976,4,55
FIREFLY MILES light-weighted,Satellite,RG4,0.0332245071776407,0.03322450717764078,7.632783294297951e-17,0.0157512213083883,0.01575122130838832,0.030037549908856202,0.031177719744104524,0.972958240233822,180,167,176,166,4,1
FIREFLY MILES light-weighted,BGG,Control4C,-0.0151020675921413,-0.015102067592141317,1.734723475976807e-17,0.0147277422177631,0.014727742217763122,0.02809735486857355,0.02858673235902525,0.9733593191044208,60,678,57,648,3,30
FIREFLY MILES light-weighted,BGG,Control4B,-0.0149778092737668,-0.014977809273766898,9.71445146547012e-17,0.0147342444900267,0.014734244490026797,0.0296363269093765,0.029144755810324784,1.0262199031649242,60,674,57,644,3,30
FIREFLY MILES light-weighted,BGG,RG4,0.0164691419660331,0.01646914196603313,3.122502256758253e-17,0.0239090657880673,0.023909065788067393,0.04849986062043605,0.04699691957316988,1.0349558224692772,60,55,57,53,3,2
Gallazzi optical light-weighted,Satellite,Control4C,0.0135383001108808,0.013538300110880823,2.2551405187698492e-17,0.0320003816968407,0.03200038169684075,0.0636945975611311,0.06221737395305788,1.0155267509464325,63,553,63,553,0,0
Gallazzi optical light-weighted,Satellite,Control4B,0.0200868301978159,0.020086830197815903,3.469446951953614e-18,0.0328763312286016,0.03287633122860167,0.0640484319274196,0.06249452493667902,0.9939604016129318,63,637,63,636,0,1
Gallazzi optical light-weighted,Satellite,RG4,0.0254164403053459,0.02541644030534599,9.020562075079397e-17,0.0465406802011085,0.046540680201108554,0.0925128087847979,0.08916754243234158,1.014175393254799,63,43,63,43,0,0
Gallazzi optical light-weighted,BGG,Control4C,-0.0673987376768022,-0.06739873767680223,2.7755575615628914e-17,0.0389936425456583,0.038993642545658326,0.074708879738434,0.07466956956648504,0.9775125607237252,27,283,27,283,0,0
Gallazzi optical light-weighted,BGG,Control4B,-0.0674413287417666,-0.06744132874176668,8.326672684688674e-17,0.038996872425239,0.03899687242523906,0.07017388307956585,0.07391434313035665,0.9180993075751163,27,282,27,282,0,0
Gallazzi optical light-weighted,BGG,RG4,-0.0593166746220096,-0.0593166746220096,0.0,0.0470002356359442,0.04700023563594425,0.093607024803532,0.08808993821188686,1.0161371635278948,27,30,27,30,0,0
