objid,Group,plate,mjd,fiberID,rank_M,is_dominated,lgm,M_r,z,SN,sigma,sSFR,morphology4,p_E,p_S,D4000n,HdA_sub,mpa_subclass,fibre_light_fraction,fibre_radius_over_R50,RUN2D,spec_choice,n_spectra_for_objid,Chabrier_MILES_nComponentsSSP,Chabrier_MILES_spm_EBV,ff_miles_lw_logz,ff_miles_lw_logz_unc,ff_elodie_lw_logz,ff_miles_mw_logz,ff_elodie_mw_logz,gallazzi_logz_solar,gallazzi_usable,ff_miles_lw_logage,resid_vs_C4C_SF_BGG,control_SF_BGG_resid_sd
1237661382235652124,61,1594,52992,79,1,True,11.04974,-21.900089,0.04172448,40.95362,147.3967,-9.777122,Spiral,0.0,1.0,1.276553,3.916447,STARBURST,0.13818089458964958,0.2831775660717455,26,csv_specobjid_with_mpa,1,7.0,0.24,-0.17608941330805536,0.10253506382078548,-0.1508449289923749,-0.44277223195708,-0.3006665564381726,-0.6545299956639812,True,9.870889317948683,-0.2607275109389302,0.11187116217349563
1237665534931894451,368,2200,53875,441,1,True,10.82897,-21.989393,0.039669834,48.23436,115.7972,-10.3614065,Spiral,0.41100001335144,0.507000029087067,1.271211,4.555471,STARFORMING,0.22325644242003,0.2850364937039514,26,csv_specobjid_with_mpa,1,5.0,0.03,-0.1269876415173383,0.0973882081495783,-0.0691168562521512,-0.31236537628874045,-0.16328380351680608,,False,9.811488473457837,-0.205482995262959,0.11187116217349563
1237655108898979844,25,762,52232,380,1,True,11.13696,-21.823291,0.038103145,30.5532,178.7346,-10.7542262,Spiral,0.0179999992251396,0.98199999332428,1.371164,3.866655,STARFORMING,0.08862903077621735,0.1973544925544444,26,csv_specobjid_with_mpa,1,6.0,0.2733333,-0.07594282963262874,0.21285313552934268,-0.00036000557862243517,-0.027185968217908463,-0.00036000557862243517,-0.2743299956639813,True,9.925717518805296,-0.16300775211140808,0.11187116217349563
1237661811196624933,158,1607,53083,94,1,True,10.55154,-22.050321,0.036883403,33.94207,110.6328,-9.979008599999998,Spiral,0.0,1.0,1.40829,2.461766,AGN,0.09551949110064323,0.29625001837809933,26,csv_specobjid_with_mpa,1,5.0,0.07333333,-0.08287775240623109,0.108794914676093,-0.17608941330805536,-0.23145875648195138,-0.2464789876079352,-0.13652999566398116,True,9.59986037468354,-0.15365384431334983,0.11187116217349563
1237648722841043066,175,285,51930,364,1,False,11.07703,-21.834747,0.040743867,44.67402,141.236,-11.3263358,NoGZ,,,1.251812,5.416569,STARFORMING,0.1456652639051321,0.29923469006071884,26,csv_specobjid_with_mpa,2,4.0,0.32,-0.033379164418814146,0.020802670657806336,-0.15909778063256153,-0.3761119394752729,-0.1508449289923749,-0.09322999566398127,True,9.528923381679828,-0.11877658388068321,0.11187116217349563
1237653664714391702,33,468,51912,386,1,False,10.91266,-22.309907,0.043605956,41.04177,137.6211,-11.0690721,Spiral,0.0260000005364418,0.922999978065491,1.606103,1.444743,,0.10337416152923695,0.11114537342355958,26,csv_specobjid_with_mpa,1,4.0,0.07,-0.00036000557862243517,0.020248001301933664,-0.04603702487435677,-0.1983087080057814,-0.1983087080057814,0.13837000433601876,True,9.68836659986871,-0.08118396482207764,0.11187116217349563
1237667783918026937,265,2770,54510,322,1,False,11.04929,-21.816989,0.028536017,32.55424,187.1563,-11.058195858,Spiral,0.166999995708466,0.833000004291534,1.838998,0.06065303,,0.03823736881366935,0.12903470001152711,26,csv_specobjid_with_mpa,1,3.0,0.3066667,0.005382592656735859,0.02970527928660051,-0.021079757759797816,0.09292160846959709,-0.024122131359567863,,False,10.097815527783855,-0.07924298409381844,0.11187116217349563
1237662302453039177,405,1687,53260,51,1,False,11.1572,-21.876334,0.031034558,41.94195,159.7229,-11.23733814,Spiral,0.0439999997615814,0.882000029087067,1.928187,-2.129971,BROADLINE,0.07510346945644789,0.1415781406563942,26,csv_specobjid_with_mpa,2,3.0,0.2266667,0.09986115685840526,0.02431345539159032,0.09756027280667182,0.005382592656735859,0.03567863566659506,,False,9.899168078620676,0.012233073006986783,0.11187116217349563
1237658312939798567,173,953,52411,579,1,True,11.21403,-23.289736,0.033635215,37.98755,164.2031,-10.4793888,NoGZ,,,1.644642,-0.3014564,AGN,0.02825686651360031,0.10700856139830228,26,csv_specobjid_with_mpa,2,3.0,0.09,0.12003830018504674,0.013558345857724828,0.12439759440607599,0.030325216163527402,0.12222341690406424,0.19057000433601878,True,9.705805232475619,0.030828968270037227,0.11187116217349563
1237664819818987529,128,2030,53499,223,1,False,10.76637,-21.828906,0.031113712,34.95266,127.0925,-10.86394546,Spiral,0.0,1.0,1.639121,1.372722,STARFORMING,0.08119251608130261,0.19496666265035342,26,csv_specobjid_with_mpa,1,5.0,0.2066667,0.12656094167438622,0.02262310401603932,-0.03650924669124571,0.11784213361236873,-0.01805859406732937,,False,9.701510823650786,0.04980738150224431,0.11187116217349563
1237662198284157184,330,1719,53876,89,1,True,11.17926,-21.973438,0.03449395,19.2364,177.5166,-10.4162426,Spiral,0.0590000003576279,0.824000000953674,1.417137,-0.1753569,,0.03232153664376944,0.14824304966199714,26,csv_specobjid_with_mpa,1,3.0,0.65,0.1496728826525962,0.05939788992058604,-0.00036000557862243517,0.1393198083248698,-0.00036000557862243517,,False,9.831138661840619,0.061430997423686656,0.11187116217349563
