product,subset,n_CG4,n_control,groups_CG4,groups_control,degree,m0,is_CG4_beta,is_CG4_se,is_CG4_ci68_lo,is_CG4_ci68_hi,is_CG4_ci95_lo,is_CG4_ci95_hi,n_boot,beta,se,ci68_lo,ci68_hi,ci95_lo,ci95_hi,estimate
FIREFLY MILES light-weighted,SF BGG,11,106,11,106,1,11.1,-0.08275759333689992,0.03359943488732559,-0.11453910521777635,-0.048439786220809945,-0.1485821394722997,-0.017834420407560548,2000,-0.08275759333689992,0.03359943488732559,-0.11453910521777635,-0.048439786220809945,-0.1485821394722997,-0.017834420407560548,"-0.083 [-0.149, -0.018]"
FIREFLY MILES light-weighted,"SF BGG, S/N>20",10,105,10,105,1,11.1,-0.10024398361915034,0.03325362186742322,-0.12986914558437632,-0.06679303346637061,-0.15998149537408288,-0.037439753523675054,2000,-0.10024398361915034,0.03325362186742322,-0.12986914558437632,-0.06679303346637061,-0.15998149537408288,-0.037439753523675054,"-0.100 [-0.160, -0.037]"
FIREFLY MILES light-weighted,Spiral BGG,17,194,17,194,1,11.1,-0.04347830313966888,0.029771513831070486,-0.07372187455195477,-0.013051697015734533,-0.10595400901034382,0.013826848015279235,2000,-0.04347830313966888,0.029771513831070486,-0.07372187455195477,-0.013051697015734533,-0.10595400901034382,0.013826848015279235,"-0.043 [-0.106, +0.014]"
FIREFLY MILES light-weighted,"SF BGG, Gallazzi∩FIREFLY",6,54,6,54,1,11.1,-0.14068592855449566,0.040470483571027754,-0.17846914155337623,-0.10028248359842021,-0.2145371566336679,-0.061971341926906905,2000,-0.14068592855449566,0.040470483571027754,-0.17846914155337623,-0.10028248359842021,-0.2145371566336679,-0.061971341926906905,"-0.141 [-0.215, -0.062]"
FIREFLY ELODIE light-weighted,SF BGG,11,106,11,106,1,11.1,-0.04659249892096255,0.029564282753318682,-0.0749381986710937,-0.0181644280624231,-0.09942645826207433,0.011025589049456046,2000,-0.04659249892096255,0.029564282753318682,-0.0749381986710937,-0.0181644280624231,-0.09942645826207433,0.011025589049456046,"-0.047 [-0.099, +0.011]"
FIREFLY ELODIE light-weighted,"SF BGG, S/N>20",10,105,10,105,1,11.1,-0.052257951668176476,0.03202554721535677,-0.08139727434062695,-0.021264464183034903,-0.11300342994920402,0.010770216753662855,2000,-0.052257951668176476,0.03202554721535677,-0.08139727434062695,-0.021264464183034903,-0.11300342994920402,0.010770216753662855,"-0.052 [-0.113, +0.011]"
FIREFLY ELODIE light-weighted,Spiral BGG,17,194,17,194,1,11.1,-0.008522989826245598,0.023503744911632905,-0.03305438502309383,0.01593742232716134,-0.055368004734407304,0.03667669045047349,2000,-0.008522989826245598,0.023503744911632905,-0.03305438502309383,0.01593742232716134,-0.055368004734407304,0.03667669045047349,"-0.009 [-0.055, +0.037]"
FIREFLY ELODIE light-weighted,"SF BGG, Gallazzi∩FIREFLY",6,54,6,54,1,11.1,-0.08272506796499618,0.047743829280184925,-0.12708057296926517,-0.0379891277761147,-0.16776439630020415,0.00979481521608875,2000,-0.08272506796499618,0.047743829280184925,-0.12708057296926517,-0.0379891277761147,-0.16776439630020415,0.00979481521608875,"-0.083 [-0.168, +0.010]"
FIREFLY MILES mass-weighted,SF BGG,11,106,11,106,1,11.1,-0.12169147677033593,0.06265278212025757,-0.18004747833412302,-0.059872962645364826,-0.24578555464901844,-0.004161119912777511,2000,-0.12169147677033593,0.06265278212025757,-0.18004747833412302,-0.059872962645364826,-0.24578555464901844,-0.004161119912777511,"-0.122 [-0.246, -0.004]"
FIREFLY MILES mass-weighted,"SF BGG, S/N>20",10,105,10,105,1,11.1,-0.1485563853851273,0.06371328075125456,-0.21332415630032928,-0.0872170294151294,-0.2689466971912115,-0.029979761373650708,2000,-0.1485563853851273,0.06371328075125456,-0.21332415630032928,-0.0872170294151294,-0.2689466971912115,-0.029979761373650708,"-0.149 [-0.269, -0.030]"
FIREFLY MILES mass-weighted,Spiral BGG,17,194,17,194,1,11.1,-0.045198788958263604,0.045215656451352414,-0.08952727258010833,0.0007725237355556599,-0.13291921074033777,0.0447016218576637,2000,-0.045198788958263604,0.045215656451352414,-0.08952727258010833,0.0007725237355556599,-0.13291921074033777,0.0447016218576637,"-0.045 [-0.133, +0.045]"
FIREFLY MILES mass-weighted,"SF BGG, Gallazzi∩FIREFLY",6,54,6,54,1,11.1,-0.24620726956643743,0.07413812361687835,-0.31929664679408565,-0.17781744003306588,-0.38821806301264955,-0.1135286407794214,2000,-0.24620726956643743,0.07413812361687835,-0.31929664679408565,-0.17781744003306588,-0.38821806301264955,-0.1135286407794214,"-0.246 [-0.388, -0.114]"
FIREFLY ELODIE mass-weighted,SF BGG,11,106,11,106,1,11.1,-0.06723292513372738,0.03896497576177301,-0.10973024942219761,-0.032232497158716296,-0.1460662945000332,0.0012306901072345097,2000,-0.06723292513372738,0.03896497576177301,-0.10973024942219761,-0.032232497158716296,-0.1460662945000332,0.0012306901072345097,"-0.067 [-0.146, +0.001]"
FIREFLY ELODIE mass-weighted,"SF BGG, S/N>20",10,105,10,105,1,11.1,-0.0764306653801915,0.041827423832200374,-0.11703047977408093,-0.034492610269365176,-0.1559599931552795,0.0011680122031310315,2000,-0.0764306653801915,0.041827423832200374,-0.11703047977408093,-0.034492610269365176,-0.1559599931552795,0.0011680122031310315,"-0.076 [-0.156, +0.001]"
FIREFLY ELODIE mass-weighted,Spiral BGG,17,194,17,194,1,11.1,-0.01193891301105471,0.033697206547898303,-0.04413262649060669,0.02048695048292189,-0.0760718197501539,0.050856055452079406,2000,-0.01193891301105471,0.033697206547898303,-0.04413262649060669,0.02048695048292189,-0.0760718197501539,0.050856055452079406,"-0.012 [-0.076, +0.051]"
