role,control,covariate,n_CG4,n_control,median_CG4,median_control,mass_adjusted_diff,diff_se,diff_ci95_lo,diff_ci95_hi,smd
Satellite,RG4,sSFR,173,166,-11.481046,-10.550805409999999,-0.21411382888572658,0.07630926212150141,-0.37160226722532,-0.05617967083405844,-0.21849449444371583
Satellite,RG4,D4000n,176,166,1.724529,1.4733770000000002,0.055931777917685575,0.024477892638975266,0.006399889310512357,0.10338609965064852,0.19902767969054516
Satellite,RG4,HdA_sub,176,166,-0.7867804,1.676286,-0.8215439291338972,0.25758774672203477,-1.3156130880193204,-0.2882757681192057,-0.2752101318803194
Satellite,RG4,log_sigma,171,162,1.9815508833340352,1.8984648140758047,0.013122522515015132,0.01872174077088151,-0.02139626922999157,0.050112423954175304,0.051296222193895596
Satellite,RG4,ff_miles_lw_logage,176,166,9.870889317948683,9.801306079260577,0.04526562583526226,0.02551053962531578,-0.0032830785287565134,0.0959694241915232,0.19586181446724868
Satellite,RG4,ff_miles_mw_logage,176,166,10.009751653173806,9.985749422465593,0.03755585948489363,0.020737900241813805,-0.002951292002447932,0.07870839862743384,0.20890201318991886
Satellite,RG4,fibre_light_fraction,176,166,0.1952105827053548,0.17457500242279456,0.012586653158561813,0.010000945687795396,-0.005182355385214984,0.032636646876113465,0.13336469474629079
Satellite,RG4,fibre_radius_over_R50,176,166,0.3994341574246363,0.36812292199207425,-0.017936404937847723,0.025350886318744777,-0.06631401060120268,0.031313260922902125,-0.07547833432429124
Satellite,RG4,R50_kpc,176,166,2.717056674390924,3.009404697665669,-0.24075005055967252,0.19415251718196355,-0.5563810667093142,0.1507616930024653,-0.13113789282456692
Satellite,RG4,z,176,166,0.036693203,0.040266965,-0.002859575282953197,0.0010695918277925933,-0.005122959081648919,-0.0006215753264029601,-0.4799487769472959
Satellite,RG4,logSN,176,166,1.410868621683007,1.276358808815235,0.0668158652140777,0.019853927273803706,0.029879506982133545,0.10363816062208851,0.3007247837998323
Satellite,RG4,ff_miles_lw_logz_unc,176,166,0.06704048425615053,0.08759048832745131,-0.01894705257858344,0.006286037520455929,-0.030870045633899768,-0.007133564437216638,-0.2737362318274594
Satellite,RG4,p_E,162,155,0.5519999861717225,0.23199999332428,0.1542041235704961,0.030918623807374965,0.08879968917529366,0.21951410579773056,0.4696856900806539
Satellite,RG4,frac_Quenched,176,166,1.0,0.0,0.11311907010105134,0.05014877279353645,0.021411909944905706,0.21822729772083208,0.22609665837543222
Satellite,RG4,frac_Starforming,176,166,0.0,1.0,-0.13039627510921784,0.04985712438906914,-0.2231414202087052,-0.03884789794992464,-0.2604822701347567
Satellite,RG4,frac_Elliptical,176,166,0.5,0.0,0.22059534905159378,0.04688183286972381,0.14044381117835394,0.3222200024606194,0.45589570821529574
Satellite,RG4,frac_Spiral,176,166,0.0,1.0,-0.1998174059822764,0.05231512602524057,-0.30259528413493914,-0.10284562314005734,-0.39905012282632357
Satellite,RG4,frac_Uncertain,176,166,0.0,0.0,-0.032062167207243704,0.022275744321239303,-0.07576194836333809,0.011397351596260936,-0.13976713262796575
Satellite,RG4,frac_NoGZ,176,166,0.0,0.0,0.011284224137926412,0.041861390544954545,-0.06542450727919243,0.08979402867866977,0.04328748070910593
Satellite,Control4C,sSFR,173,1961,-11.481046,-11.1181376,-0.1127516412705176,0.057082702406494504,-0.2139743572296178,0.00828764557249401,-0.1189395549549145
Satellite,Control4C,D4000n,176,1978,1.724529,1.637632,0.024517622673150694,0.017336276053478608,-0.00815988115711578,0.06512003010915365,0.08996702898852485
Satellite,Control4C,HdA_sub,176,1971,-0.7867804,0.1344386,-0.363033207315842,0.1836388140734882,-0.691790657818037,0.011156952950347776,-0.12759712120431757
Satellite,Control4C,log_sigma,171,1931,1.9815508833340352,1.9792683602632006,-0.002856983164236895,0.013055379591013062,-0.02590437493570934,0.024991245090323147,-0.011403686055611222
Satellite,Control4C,ff_miles_lw_logage,176,1978,9.870889317948683,9.834328938945372,0.03536488646228666,0.01836887382089381,-0.000282119555503801,0.06660861883798924,0.1420459482198949
Satellite,Control4C,ff_miles_mw_logage,176,1978,10.009751653173806,9.984630840985893,0.03601610801059557,0.01503973370025706,0.007212513579655299,0.0614296514242432,0.17383875987620398
Satellite,Control4C,fibre_light_fraction,176,1978,0.1952105827053548,0.17433081943138565,0.013057163232767966,0.006703831910542045,0.0002604864125609673,0.025901399472651295,0.12832956568299894
Satellite,Control4C,fibre_radius_over_R50,176,1978,0.3994341574246363,0.35285133067797614,0.010096674734395452,0.015815511068631608,-0.022730695101012104,0.03918064771886958,0.04146847086187675
Satellite,Control4C,R50_kpc,176,1978,2.717056674390924,2.98490016801858,-0.02589141744568362,0.13019247626785496,-0.26989835206316226,0.2518053508851087,-0.014863636891560129
Satellite,Control4C,z,176,1978,0.036693203,0.0352609385,0.0012505165035912983,0.0008141162252364873,-0.00021371930882039386,0.0029007919819551975,0.18561798236260055
Satellite,Control4C,logSN,176,1978,1.410868621683007,1.4072327930051025,-0.000801666812433226,0.01404001561276959,-0.028572061511101646,0.02498215205686821,-0.0037520696126594854
Satellite,Control4C,ff_miles_lw_logz_unc,176,1978,0.06704048425615053,0.06904844712618806,-0.0018482080799043848,0.0038582078061649605,-0.008436372524056358,0.005855596468506022,-0.03142667474605051
Satellite,Control4C,p_E,162,1857,0.5519999861717225,0.308999985456467,0.1116399826331985,0.024079733226282478,0.07201792160412303,0.15582800203427125,0.3341342211726239
Satellite,Control4C,frac_Quenched,176,1978,1.0,1.0,0.05610961586079375,0.03400996890115277,-0.005102411329621638,0.11905873767474762,0.11225944602897994
Satellite,Control4C,frac_Starforming,176,1978,0.0,0.0,-0.06463174853464168,0.0335105336471231,-0.13091750234047755,-0.0053836873621280435,-0.12941486291389137
Satellite,Control4C,frac_Elliptical,176,1978,0.5,0.0,0.14113781584022744,0.0376877976138488,0.06637725840449073,0.20946932730061188,0.2926423071709532
Satellite,Control4C,frac_Spiral,176,1978,0.0,1.0,-0.13123667796722538,0.03696954101767352,-0.2012079868506398,-0.06222370241468163,-0.2624532662097819
Satellite,Control4C,frac_Uncertain,176,1978,0.0,0.0,-0.028603258366324432,0.014506498297099988,-0.054400295006689005,0.0007408447309046525,-0.11965387950240809
Satellite,Control4C,frac_NoGZ,176,1978,0.0,0.0,0.018702120493322132,0.03148272002953307,-0.031968776267228494,0.08518968244588525,0.07714373668894009
Satellite,Control4B,sSFR,173,1957,-11.481046,-11.3620238,-0.2771798662014288,0.05726956098699275,-0.3800324079061203,-0.16178921253492082,-0.2842187324990054
Satellite,Control4B,D4000n,176,1975,1.724529,1.712713,0.06147653875011937,0.017539450338781622,0.028090369153220635,0.09475756205640515,0.22392175109302354
Satellite,Control4B,HdA_sub,176,1969,-0.7867804,-0.3574211,-0.7803022446758675,0.1843318314824591,-1.1305635792526991,-0.4116439760559669,-0.28326759893253284
Satellite,Control4B,log_sigma,171,1949,1.9815508833340352,2.07070044543197,0.004395856793780138,0.01355609184208624,-0.023725542042732833,0.03191540992270189,0.018109183371750992
Satellite,Control4B,ff_miles_lw_logage,176,1976,9.870889317948683,9.840640098853877,0.05296015460156118,0.01871953638411476,0.015882061398386247,0.08965843806114868,0.22487395314143122
Satellite,Control4B,ff_miles_mw_logage,176,1976,10.009751653173806,9.976689623118247,0.04192861792947121,0.01526679448150954,0.011294181987446068,0.07063113482970562,0.21144929932947862
Satellite,Control4B,fibre_light_fraction,176,1976,0.1952105827053548,0.14825317701398272,0.034062513984857795,0.006758621501591686,0.021566195248085136,0.047328618692418695,0.3825637940657689
Satellite,Control4B,fibre_radius_over_R50,176,1976,0.3994341574246363,0.2992145766676453,0.05348835602662003,0.01583270768240922,0.024744219305442048,0.08475483367993349,0.26632679678451854
Satellite,Control4B,R50_kpc,176,1976,2.717056674390924,3.502546429657812,-0.3301694832055685,0.1343685415732019,-0.5870654168149575,-0.10098199900616975,-0.1790872447873456
Satellite,Control4B,z,176,1976,0.036693203,0.0351209225,0.001361547106713917,0.0008180943437294158,6.067375018030414e-05,0.002721699436763361,0.2015816539825106
Satellite,Control4B,logSN,176,1976,1.410868621683007,1.4793588986096893,-0.005142199420246508,0.014357311278185998,-0.03587074874158188,0.02511072578944936,-0.02538425949483676
Satellite,Control4B,ff_miles_lw_logz_unc,176,1976,0.06704048425615053,0.05982941417883496,-0.0014041723212267349,0.003927960823930568,-0.009238346799262826,0.0065571083055981656,-0.02751183859918186
Satellite,Control4B,p_E,162,1859,0.5519999861717225,0.275000005960464,0.15468925468710668,0.024406571510343786,0.10572412305522443,0.20027735444525857,0.43721257361471155
Satellite,Control4B,frac_Quenched,176,1976,1.0,1.0,0.14199075077096024,0.03406994054051611,0.08571060768265287,0.20418586497213317,0.2846077314531265
Satellite,Control4B,frac_Starforming,176,1976,0.0,0.0,-0.1473263263105339,0.03359829273289575,-0.20475754999603563,-0.08448172985788821,-0.2957885417304733
Satellite,Control4B,frac_Elliptical,176,1976,0.5,0.0,0.19624710463591072,0.03791277205128991,0.12593684253460616,0.2707888926608717,0.40748157303025573
Satellite,Control4B,frac_Spiral,176,1976,0.0,1.0,-0.18843911412084224,0.037279594771208846,-0.2627627736005019,-0.11851074286429807,-0.37732045167793693
Satellite,Control4B,frac_Uncertain,176,1976,0.0,0.0,-0.021479026318582898,0.014528356084222684,-0.046566736761636404,0.013349395115285911,-0.10105991123306925
Satellite,Control4B,frac_NoGZ,176,1976,0.0,0.0,0.013671035803514402,0.031502379768020755,-0.035447645564187315,0.07671898336027388,0.057164176936467144
BGG,RG4,sSFR,56,53,-12.36762,-11.995166,-0.09903506382808737,0.13934332055005644,-0.3563999432242703,0.19958278792313178,-0.12237807928122321
BGG,RG4,D4000n,57,53,1.935942,1.857831,0.003934166360247178,0.03750570988381146,-0.08023029804577077,0.07213727713955483,0.01920797986580489
BGG,RG4,HdA_sub,57,53,-1.917894,-1.619013,0.18279258468164664,0.3393863505218253,-0.4751142517749332,0.9048206076523418,0.09571779509218047
BGG,RG4,log_sigma,57,53,2.3259796753735134,2.269122136891259,0.04052823548004645,0.02269798930132027,-0.007663896460150216,0.0825154355463169,0.3512446412930926
BGG,RG4,ff_miles_lw_logage,57,53,9.856028017743844,9.81813783775163,-0.028003124535926315,0.0270772563782783,-0.08537751275382904,0.018217145264281857,-0.1808890903421731
BGG,RG4,ff_miles_mw_logage,57,53,9.967430775774439,9.96272628603807,-0.020287144638572712,0.028647629224423668,-0.0788362824736807,0.03212443336241344,-0.13692000115105757
BGG,RG4,fibre_light_fraction,57,53,0.10401117438472443,0.13156004095266838,-0.012371664486824667,0.01036270887108283,-0.032558663673555914,0.007164173485511856,-0.23927156749071674
BGG,RG4,fibre_radius_over_R50,57,53,0.19096045376578782,0.22489295095534526,-0.01549659436429135,0.015451596280769924,-0.047461938651508995,0.01629525588704291,-0.19718851492922804
BGG,RG4,R50_kpc,57,53,5.526992949484985,5.458428630628848,0.05831329728449135,0.376920125672473,-0.6640897199230738,0.808003241464213,0.029521112729081898
BGG,RG4,z,57,53,0.036278649,0.040260102,-0.0027008795867912213,0.0012112588853353443,-0.005158815711692273,-0.0006268140498507319,-0.4402364132855238
BGG,RG4,logSN,57,53,1.6135461685466344,1.5830656303965536,0.024442613021115854,0.016646338369427787,-0.009515294213326565,0.05630851782482835,0.2957284045379783
BGG,RG4,ff_miles_lw_logz_unc,57,53,0.03279149151139646,0.04764474920986175,-0.004913387973708703,0.006799811596957543,-0.01682185628334894,0.0085839268299266,-0.13677251599352996
BGG,RG4,p_E,54,49,0.841499984264374,0.308999985456467,0.09080794682592701,0.08581036976928434,-0.08251749543567342,0.2527217739608334,0.2211423459867744
BGG,RG4,frac_Quenched,57,53,1.0,1.0,-0.06311237120208076,0.08046594761384415,-0.22035413035152526,0.07086889279547232,-0.14598329458718526
BGG,RG4,frac_Starforming,57,53,0.0,0.0,0.034273692516673705,0.08021771711345536,-0.11020378828265445,0.22787974654390372,0.08030529294779779
BGG,RG4,frac_Elliptical,57,53,1.0,0.0,0.15400019914384724,0.10119659708394795,-0.03281376607880561,0.3582689993688673,0.3068001102574974
BGG,RG4,frac_Spiral,57,53,0.0,0.0,-0.1437734695843676,0.1032652741406548,-0.3405968544356261,0.08132068912053296,-0.29330314228927984
BGG,RG4,frac_Uncertain,57,53,0.0,0.0,-0.03438442423254008,0.039810874134404664,-0.12353522437836001,0.034463041924756736,-0.21014488898269607
BGG,RG4,frac_NoGZ,57,53,0.0,0.0,0.02415769467306035,0.046477106514690315,-0.07267369120323046,0.10135398530967304,0.09851388519804455
BGG,Control4C,sSFR,56,638,-12.36762,-12.281538000000001,0.004417435121335403,0.09255972419193115,-0.18301498766296687,0.19481872897491737,0.006483915694532924
BGG,Control4C,D4000n,57,647,1.935942,1.92452,-0.009428693718335143,0.02676822382255263,-0.06369779566764937,0.040082056031311125,-0.052130192351650076
BGG,Control4C,HdA_sub,57,646,-1.917894,-1.8776229999999998,0.1513189620579334,0.24369700948975936,-0.2598863690049205,0.6609468321290773,0.09252831194355794
BGG,Control4C,log_sigma,57,648,2.3259796753735134,2.329078291433899,-0.0045448098586601,0.010842379913233792,-0.0276075805515089,0.01834901469647418,-0.042067722109814784
BGG,Control4C,ff_miles_lw_logage,57,648,9.856028017743844,9.865005669580746,0.00858865536740434,0.019044219345097344,-0.027334585322273286,0.0419922313122294,0.052854115743338
BGG,Control4C,ff_miles_mw_logage,57,648,9.967430775774439,9.967430775774439,0.010967683419726652,0.018951517223752528,-0.022735222441731966,0.04840418983714477,0.06860280308727047
BGG,Control4C,fibre_light_fraction,57,648,0.10401117438472443,0.10741900916062128,0.00480725917823998,0.00668796207738683,-0.007156964523958424,0.01742171174054986,0.10686153314545069
BGG,Control4C,fibre_radius_over_R50,57,648,0.19096045376578782,0.19601653999787522,0.004790256811733218,0.01022238089152843,-0.013797071500494753,0.026545723570696983,0.07040878998471779
BGG,Control4C,R50_kpc,57,648,5.526992949484985,5.4585491370591335,0.12998850253688898,0.2860424954219929,-0.3787462183243522,0.6144265982838668,0.0664878401104378
BGG,Control4C,z,57,648,0.036278649,0.035086073499999995,0.001068774142245338,0.0008706426584121176,-0.0005677859362509709,0.0026979515564298706,0.15731123979247888
