product,role,control,degree,n_CG4,n_control,groups_CG4,groups_control,control_slope,control_curvature,mean_dZ_CG4,mean_dZ_CG4_ci95_lo,mean_dZ_CG4_ci95_hi,median_dZ_CG4,median_dZ_CG4_ci95_lo,median_dZ_CG4_ci95_hi,median_dZ_control,sd_dZ_control,sd_dZ_CG4,iqr_dZ_control,iqr_dZ_CG4,frac_CG4_below_control_median
FIREFLY MILES light-weighted,Satellite,Control4C,1,176,1978,62,699,0.22686769113495858,,0.0027243340358595407,-0.017653948422929517,0.023149600662396144,0.016322862171279984,-0.0014202535050859934,0.043676341646463654,0.018613524830671514,0.14843185291747923,0.1262389984640142,0.16404110173374592,0.15949216588312753,0.5056818181818182
FIREFLY MILES light-weighted,Satellite,Control4C,2,176,1978,62,699,0.25887197393492883,0.03951202709667024,0.004617156531103394,-0.017010902521184704,0.02391809128060018,0.02489117091067538,0.0008854943760455516,0.04278218417861732,0.017340025653074888,0.14762957251725803,0.12509212972544112,0.16459212048890176,0.1677719314275402,0.48863636363636365
FIREFLY MILES light-weighted,Satellite,RG4,1,176,166,62,56,0.27899874276305864,,0.03100371546640768,0.0009243163279270776,0.060026266940038306,0.0465993650743291,0.017573223775468036,0.0750619275169142,0.017327408929089346,0.15893750034114207,0.12694448515710996,0.18523501661345373,0.15228054414836156,0.4090909090909091
FIREFLY MILES light-weighted,Satellite,RG4,2,176,166,62,56,0.22219564708667472,-0.06505962385627931,0.02777956312372407,-0.0009974367927852612,0.05656142323485713,0.045494359115211325,0.013960066846822052,0.07256162344918711,0.016743952379351668,0.15799171048872382,0.12946562825769323,0.18499207002198179,0.15545833363069142,0.3977272727272727
FIREFLY MILES light-weighted,BGG,Control4C,1,57,648,57,648,0.11775217809452967,,-0.014968047366366396,-0.04380357335980757,0.01259380446351401,0.008791269080892644,-0.015964451829232628,0.03667602014381497,0.01410785861277497,0.09312868525394731,0.10860869732597159,0.12702980446839762,0.12726542544984798,0.543859649122807
FIREFLY MILES light-weighted,BGG,Control4C,2,57,648,57,648,0.11139490018090381,0.04608647407884471,-0.015086900051772356,-0.04462006832025182,0.013045906178996973,0.007398392153683181,-0.01831402890439646,0.03881448462927278,0.014688981704160678,0.09146065600292558,0.10780810824977773,0.1258015719940909,0.126052801979409,0.5614035087719298
FIREFLY MILES light-weighted,BGG,RG4,1,57,53,57,53,0.06633300195551627,,0.026500130407218988,-0.035409392056434785,0.07036123114142886,0.052572377618958915,-0.02142748693828255,0.09836307841319317,0.002756794847867186,0.1062738207681927,0.11110247693960454,0.13418824900543536,0.1292815901228128,0.2807017543859649
FIREFLY MILES light-weighted,BGG,RG4,2,57,53,57,53,0.10509949435033386,0.12880850604564892,0.000475816217815447,-0.053599198965332474,0.08851124880586925,0.015232573378827441,-0.03509017203237098,0.10371034875102939,0.014915989052921727,0.10278790715589982,0.10887689276596808,0.13522574230372184,0.14236930485916938,0.49122807017543857
Gallazzi optical light-weighted,Satellite,Control4C,1,63,553,32,291,0.37094878753035243,,0.013207707785153323,-0.052692330963063666,0.0755929243292787,0.05438552193817475,-0.016164116219024343,0.09696479020497815,0.05221639925883567,0.2520538897880058,0.23814098046290377,0.19867510507443775,0.25337476034342554,0.49206349206349204
Gallazzi optical light-weighted,Satellite,Control4C,2,63,553,32,291,0.391205826622843,0.026532878121286817,0.015225214794612878,-0.05031970577702725,0.0726208508783703,0.05637903214879664,-0.015804554367132444,0.10032621898865113,0.052203299439601586,0.2517094277168626,0.23791459837471438,0.19993548220746016,0.2544907048885668,0.49206349206349204
Gallazzi optical light-weighted,Satellite,RG4,1,63,43,32,27,0.46867156520537684,,0.03142316148831892,-0.057103069545361845,0.12012193570511505,0.0661942244108403,-0.023312420491323406,0.1450503089452988,0.060514449597855374,0.2367403776108493,0.2297825656797513,0.19496801911289563,0.25700417593262276,0.4603174603174603
Gallazzi optical light-weighted,Satellite,RG4,2,63,43,32,27,0.3531257334548236,-0.19676630563848624,0.02152066108368955,-0.06971659739668133,0.1163739090542165,0.05464642729799307,-0.02373519562773278,0.14417933200859037,0.05130267951241768,0.23183084512291052,0.23085112548739137,0.17991296955411423,0.24136117657145012,0.47619047619047616
Gallazzi optical light-weighted,BGG,Control4C,1,27,283,27,283,0.09778129667280308,,-0.06737193734822843,-0.146052310869298,0.002012326725139285,-0.036678689894598215,-0.08167555044209168,0.028343829276129873,0.009010607426057138,0.1226007665917662,0.20223981434828273,0.12236842585428667,0.13584212405304208,0.5925925925925926
Gallazzi optical light-weighted,BGG,Control4C,2,27,283,27,283,0.11496179685695096,0.04749879802099769,-0.06559649738613003,-0.15094211322007353,0.002602797266056714,-0.046082104517807226,-0.08015564187527476,0.027076604626914108,0.011478010199794053,0.12026824786740097,0.19969272559826956,0.12120437767567374,0.12858882832066806,0.6296296296296297
Gallazzi optical light-weighted,BGG,RG4,1,27,30,27,30,0.03593173248376187,,-0.04375462820965792,-0.14183501113293315,0.060019593896880635,-0.01630815228901969,-0.08381906081769169,0.0735685523036453,0.013851784384357135,0.13190419177213644,0.20510968627905146,0.1532034929851066,0.13119672623534848,0.5555555555555556
Gallazzi optical light-weighted,BGG,RG4,2,27,30,27,30,-2.7905113112324114,2.68681025141273,-0.11239910358880217,-0.26408946631222935,0.01282641425928094,-0.024499123410835155,-0.13075513651550794,0.055521801514066084,0.0005671367927848059,0.12548704791873536,0.27025550917888935,0.1883150205090552,0.19271985716980147,0.6296296296296297
