role,comparison,n_CG4,n_control,groups_control,beta,se,ci68_lo,ci68_hi,ci95_lo,ci95_hi,beta_fixed_SF,beta_fixed_SF_ci95_lo,beta_fixed_SF_ci95_hi,control_median_core_size_kpc,control_median_group_Vdisp,control_median_parent_N,control_median_z,control_median_lgm,control_frac_quenched,control_frac_elliptical
Satellite,RG4,176,166,56,0.03322450717764062,0.015751221308388318,0.018048043320574778,0.04927381429355092,0.004092968150571164,0.06504537295502925,0.021681997285924307,-0.0076182614227688,0.05094171846312437,458.8814823011243,98.46851953911724,4.0,0.040266965,10.071069999999999,0.3795180722891566,0.23493975903614459
Satellite,Control4B,176,1976,695,0.011096128828485666,0.010980961950992778,5.174204435569398e-05,0.022011948339928183,-0.011338138672687847,0.031997244159943754,-0.005291702994084804,-0.02834908442706152,0.015672302044561093,478.58838826074174,139.152936420662,9.0,0.0351209225,10.46911,0.5313765182186235,0.3532388663967611
Satellite,Control4B\RG4,176,1810,639,0.006733665935449795,0.011180690406043471,-0.003613865201181195,0.01764058564219711,-0.01457797755697897,0.028288402763932186,-0.009928768313529701,-0.03194668020701307,0.011452654217950817,481.94030324676726,143.79678366694435,9.0,0.034774052,10.506095,0.5453038674033149,0.36408839779005525
Satellite,Control4C,176,1978,699,0.002711487495860417,0.010695332706432787,-0.0077543763489249925,0.013297187499451158,-0.01854148404476832,0.02342222494161249,-0.004950366814064694,-0.026679515705615428,0.015544891072543076,315.33121972646006,150.36805059179758,9.0,0.0352609385,10.196505,0.5121334681496461,0.35591506572295245
Satellite,Control4C\RG4,176,1812,643,-0.0005513474182614947,0.010772664330386589,-0.011565830294935532,0.01034210615611009,-0.023066526919690477,0.020249099795422058,-0.0075223055420435055,-0.0294899542942923,0.013145596524407676,304.04716585092876,154.9965665573021,9.0,0.0348291535,10.20244,0.5242825607064018,0.3669977924944812
Satellite,C4C loose cores (size>CG4 p90),176,1405,491,0.01062100637236861,0.010865256345600203,-0.00025962731149672085,0.021374802049181078,-0.011183045119371427,0.0319444716161171,-0.0001197501688912911,-0.02195009073422455,0.019899201239197285,400.52077692451496,135.99787448841596,8.0,0.035321377,10.17096,0.45907473309608543,0.3145907473309609
Satellite,C4C compact cores (size<=CG4 p90),176,573,208,-0.016240860821767383,0.012779279459950593,-0.0298988409861481,-0.0036499299497669358,-0.04327338612366726,0.009728440283143087,-0.014989325284941821,-0.04070914845475681,0.009226348389746578,152.50961403128184,194.97578566919535,13.0,0.035009943,10.26061,0.6422338568935427,0.4572425828970332
Satellite,C4C parent N=4 (=RG4),176,166,56,0.03322450717764062,0.01575122130838832,0.017812681826635653,0.04865984479112795,0.004476579496444,0.06351162235552839,0.021681997285924376,-0.009231155353940129,0.05268432146103434,458.8814823011243,98.46851953911724,4.0,0.040266965,10.071069999999999,0.3795180722891566,0.23493975903614459
Satellite,C4C parent N=5-7,176,652,229,0.01438831416467879,0.012223041470531567,0.002492753112075648,0.027252261270298943,-0.010109276479119123,0.039042950360855616,0.0001728608614188859,-0.021793439699386897,0.022385673067262937,361.35316276572553,123.5044333152442,6.0,0.036817406999999996,10.082255,0.4110429447852761,0.2852760736196319
Satellite,C4C parent N=8-12,176,566,199,-0.005083178707852181,0.01143199014464649,-0.016584427751623332,0.005750810399262424,-0.0281651952959328,0.0164010903975875,-0.01320999696926907,-0.03635699599555276,0.008346616170975289,295.54741601348684,155.6289063214093,10.0,0.034203686,10.201415,0.49469964664310956,0.36925795053003535
