calibration,control,degree,adjusted,n_CG4,n_control,groups_CG4,groups_control,beta,se,ci68_lo,ci68_hi,ci95_lo,ci95_hi,estimate
oh_N2_PP04,Control4C,1,mass only,52,651,34,432,0.0015518615630140324,0.006599575552173049,-0.004627936609510035,0.0082769635866006,-0.010698138148654095,0.014342088818174108,"+0.002 [-0.011, +0.014]"
oh_N2_PP04,Control4C,1,mass + log SFR,52,651,34,432,0.003667835465621631,0.006204340044482856,-0.002708920302716915,0.009835603336593038,-0.008215435324031883,0.015051540401561219,"+0.004 [-0.008, +0.015]"
oh_N2_PP04,Control4C,1,mass + D4000n,52,651,34,432,0.003569913909297435,0.00591253955228601,-0.001978843447613492,0.00942361551724204,-0.007122888703109816,0.015358050883624524,"+0.004 [-0.007, +0.015]"
oh_N2_PP04,Control4C,2,mass only,52,651,34,432,0.0006498241062842065,0.0054467404779709044,-0.004890906306298176,0.005893321035586953,-0.00977612478076534,0.011069964750717452,"+0.001 [-0.010, +0.011]"
oh_N2_PP04,Control4C,2,mass + log SFR,52,651,34,432,0.0024854323883719293,0.005214358893344866,-0.0029130443317521046,0.007805142413598697,-0.007679509538946715,0.012521559765664584,"+0.002 [-0.008, +0.013]"
oh_N2_PP04,Control4C,2,mass + D4000n,52,651,34,432,0.0026612730855772493,0.004933497583141315,-0.0023699647674192835,0.007529284371195595,-0.006604884381971435,0.012300804606464141,"+0.003 [-0.007, +0.012]"
oh_N2_PP04,Control4C,2,morph=Spiral,42,533,32,375,0.0024025510766069835,0.0063651141530461815,-0.004114306334201752,0.009106770413587015,-0.009979601189404379,0.014964835052338784,"+0.002 [-0.010, +0.015]"
oh_N2_PP04,Control4C,2,morph=Elliptical,8,73,8,69,0.0029517924278696485,0.009258611563954796,-0.007998819239650094,0.011786728617007195,-0.0160223660437329,0.022164036486363357,"+0.003 [-0.016, +0.022]"
oh_N2_PP04,RG4,1,mass only,52,70,34,44,0.007069191881323318,0.008231844898816915,-0.0007571161481483051,0.015044292907607374,-0.008627466452594991,0.022865682731390707,"+0.007 [-0.009, +0.023]"
oh_N2_PP04,RG4,1,mass + log SFR,52,70,34,44,0.008987024042894599,0.007529679707319099,0.001206144617103595,0.01684050794613269,-0.00537480451256608,0.023898066285460946,"+0.009 [-0.005, +0.024]"
oh_N2_PP04,RG4,1,mass + D4000n,52,70,34,44,0.009589254661233806,0.007364679987671515,0.002506448987389571,0.016505482491130177,-0.00404472327387755,0.02370925609287634,"+0.010 [-0.004, +0.024]"
oh_N2_PP04,RG4,2,mass only,52,70,34,44,0.006076246995352975,0.007219878817790447,-0.0011900658242259305,0.01315929025672937,-0.007749173237010892,0.020086938338627826,"+0.006 [-0.008, +0.020]"
oh_N2_PP04,RG4,2,mass + log SFR,52,70,34,44,0.0076912104907500105,0.006762463163633772,0.0010666527618858395,0.01463590874733915,-0.005394345937579495,0.02063543005298118,"+0.008 [-0.005, +0.021]"
oh_N2_PP04,RG4,2,mass + D4000n,52,70,34,44,0.008695833569739533,0.006469592403352574,0.0028795255634913534,0.015447516560003052,-0.0029572388723096556,0.021997763780117748,"+0.009 [-0.003, +0.022]"
oh_N2_PP04,RG4,2,morph=Spiral,42,56,32,39,0.009715203123960466,0.008364465979100707,0.0017937909631616311,0.018525512725133392,-0.006496743051829552,0.026393825514389794,"+0.010 [-0.006, +0.026]"
oh_N2_PP04,Control4B,1,mass only,52,570,34,398,0.0037668381108496895,0.006750757049991404,-0.0033512728161486562,0.010527801899446704,-0.010000411346543087,0.017186901146648892,"+0.004 [-0.010, +0.017]"
oh_N2_PP04,Control4B,1,mass + log SFR,52,570,34,398,0.003335608611898454,0.006400312127968843,-0.002991268141204597,0.009550416702362764,-0.009509226798782924,0.015579806479276074,"+0.003 [-0.010, +0.016]"
oh_N2_PP04,Control4B,1,mass + D4000n,52,569,34,398,0.0038483345930311473,0.006038328322534862,-0.001958150289594549,0.009553902051894617,-0.008153803912985152,0.015311464872000915,"+0.004 [-0.008, +0.015]"
