role,control,mass_bin,median_lgm,n_CG4,n_control,groups_CG4,groups_control,degree,m0,is_CG4_beta,is_CG4_se,is_CG4_ci68_lo,is_CG4_ci68_hi,is_CG4_ci95_lo,is_CG4_ci95_hi,n_boot,beta,se,ci68_lo,ci68_hi,ci95_lo,ci95_hi
Satellite,Control4C,"(-inf, 10.0]",9.733648,52,679,38,461,1,9.733648,-0.0008987965251186475,0.021870257098819984,-0.02351091417165289,0.020524464174633793,-0.04472365083229778,0.03959981315255823,2000,-0.0008987965251186475,0.021870257098819984,-0.02351091417165289,0.020524464174633793,-0.04472365083229778,0.03959981315255823
Satellite,Control4C,"(10.0, 10.5]",10.23789,78,760,52,516,1,10.23789,-0.0037112998682190517,0.01743816839452643,-0.020525175820472523,0.013066475861550825,-0.037191059839667376,0.02937953847256709,2000,-0.0037112998682190517,0.01743816839452643,-0.020525175820472523,0.013066475861550825,-0.037191059839667376,0.02937953847256709
Satellite,Control4C,"(10.5, inf]",10.72231,46,539,35,404,1,10.72231,0.01602414714751833,0.01560067700620619,0.0004810103862860247,0.030747166673423726,-0.01541182190957046,0.04489990651313973,2000,0.01602414714751833,0.01560067700620619,0.0004810103862860247,0.030747166673423726,-0.01541182190957046,0.04489990651313973
Satellite,RG4,"(-inf, 10.0]",9.68699,52,77,38,48,1,9.68699,0.043266983772006065,0.031020098519310344,0.009181638286405409,0.07190574621865065,-0.018672041900336393,0.09883534266653958,2000,0.043266983772006065,0.031020098519310344,0.009181638286405409,0.07190574621865065,-0.018672041900336393,0.09883534266653958
Satellite,RG4,"(10.0, 10.5]",10.22487,78,57,52,40,1,10.22487,0.019624620058445952,0.024387166296910946,-0.0056411089547527314,0.04423489855896046,-0.025154487228498022,0.0696586087349908,2000,0.019624620058445952,0.024387166296910946,-0.0056411089547527314,0.04423489855896046,-0.025154487228498022,0.0696586087349908
Satellite,RG4,"(10.5, inf]",10.712905,46,32,35,26,1,10.712905,0.033777506593168576,0.02113537578769914,0.013699951923955496,0.05561682502428346,-0.006459327512545913,0.07462898916792798,2000,0.033777506593168576,0.02113537578769914,0.013699951923955496,0.05561682502428346,-0.006459327512545913,0.07462898916792798
BGG,Control4C,"(-inf, 11.0]",10.914155000000001,13,181,13,181,1,10.914155000000001,-0.011670083333840682,0.03662092575942048,-0.04605848111308092,0.02373892895859245,-0.0810644393290257,0.05465705039035227,2000,-0.011670083333840682,0.03662092575942048,-0.04605848111308092,0.02373892895859245,-0.0810644393290257,0.05465705039035227
BGG,Control4C,"(11.0, 11.3]",11.12856,34,381,34,381,1,11.12856,-0.018679541825087236,0.019317290774301044,-0.03693434785869887,6.994054924570889e-05,-0.057205034698017784,0.016470912581956754,2000,-0.018679541825087236,0.019317290774301044,-0.03693434785869887,6.994054924570889e-05,-0.057205034698017784,0.016470912581956754
BGG,Control4C,"(11.3, inf]",11.36286,10,86,10,86,1,11.36286,-0.01333862778383268,0.02181200863284945,-0.03461725436136046,0.008522155809417675,-0.05684440908476743,0.029865418358027026,2000,-0.01333862778383268,0.02181200863284945,-0.03461725436136046,0.008522155809417675,-0.05684440908476743,0.029865418358027026
BGG,RG4,"(-inf, 11.0]",10.901489999999999,13,31,13,31,1,10.901489999999999,-0.0037703768291723603,0.040451100354937715,-0.03652869202676998,0.038775842870097214,-0.07350253605051271,0.07453930274907762,2000,-0.0037703768291723603,0.040451100354937715,-0.03652869202676998,0.038775842870097214,-0.07350253605051271,0.07453930274907762
BGG,RG4,"(11.0, 11.3]",11.11599,34,22,34,22,1,11.11599,0.019602210330420495,0.03317465649908042,-0.012474680749596076,0.052244191332533975,-0.0437369414180371,0.08503648421645563,2000,0.019602210330420495,0.03317465649908042,-0.012474680749596076,0.052244191332533975,-0.0437369414180371,0.08503648421645563
