product,role,control,m0,n_CG4,n_control,common_mass_5_95_lo,common_mass_5_95_hi,beta_no_interaction,beta_no_interaction_ci95_lo,beta_no_interaction_ci95_hi,beta_at_m0,beta_at_m0_ci95_lo,beta_at_m0_ci95_hi,gamma,gamma_se,gamma_ci95_lo,gamma_ci95_hi,implied_effect_at_range_lo,implied_effect_at_range_hi
FIREFLY MILES light-weighted,Satellite,Control4C,10.2,176,1978,9.48469525,10.83208,0.002711487495860417,-0.01896827088746448,0.02308000314406673,0.002697017246997971,-0.01834511948351304,0.023344199018044118,0.016363426963721325,0.027883846516122628,-0.035554454914481635,0.07348039402506093,-0.009007819786429963,0.01304001216222695
FIREFLY MILES light-weighted,BGG,Control4C,11.1,57,648,10.81645,11.400864,-0.01510206759214127,-0.04609147088732446,0.013174835202057833,-0.01690372303734986,-0.04777975988557952,0.012990134179131722,0.1101649608559483,0.08002367337497607,-0.0724680083749173,0.2546627678194687,-0.048140997688053994,0.016240947745614246
FIREFLY MILES light-weighted,Satellite,RG4,10.2,176,166,9.48469525,10.83208,0.03322450717764062,0.0008401185803027094,0.06262294663812622,0.03106342524805712,0.001136171305855392,0.05709837952054306,-0.03576762466437865,0.03619728401428409,-0.10560180794038306,0.0373787314970518,0.0566481770667043,0.008455425050196655
FIREFLY MILES light-weighted,Satellite,Control4B,10.2,176,1976,9.529844,10.83208,0.011096128828485666,-0.011603288208526165,0.032941785005157306,0.01091990544060994,-0.011604459450762569,0.03151832761888863,0.012511886255227827,0.027588367366197145,-0.03785567471153836,0.06928017806081978,0.002534989795351498,0.018828418504814346
FIREFLY MILES light-weighted,BGG,RG4,11.1,57,53,10.81645,11.205210000000001,0.016469141966033118,-0.03146836820865972,0.05972379853325631,0.023660983727840666,-0.03331686501266243,0.06470421811137643,0.16158413699496182,0.09067943919499553,-0.19527410161973582,0.3102273861847895,-0.022156198317080752,0.04066125078108082
Gallazzi optical light-weighted,Satellite,Control4C,10.2,63,553,9.7999134,10.839386,0.013538300110880704,-0.052169607405110806,0.07527154225782055,-0.018175339908797914,-0.09938086438490032,0.05777368256521316,0.20969687352112681,0.09784462249706474,0.02767792613882833,0.42192830704893364,-0.10207224906649554,0.1159019052643813
Gallazzi optical light-weighted,BGG,Control4C,11.1,27,283,10.851274,11.374298,-0.06739873767680156,-0.15158423278659264,-5.026148261196737e-05,-0.06430049560555036,-0.15191635703276213,0.004804789507042499,0.21394940030523327,0.10335851577490003,-0.1074923384683467,0.3991235173340193,-0.11751527414586971,-0.005614603000625502
Gallazzi optical light-weighted,Satellite,RG4,10.2,63,43,9.7999134,10.839386,0.03229680374525443,-0.05632884407311639,0.12486463522291771,0.014665217836520974,-0.09661023870353622,0.1223482173466831,0.11197409584610198,0.13266982848999648,-0.12930693884704006,0.41789292089275437,-0.030134117458620074,0.08625988708317674
Gallazzi optical light-weighted,Satellite,Control4B,10.2,63,636,9.875071,10.839386,0.020086830197815903,-0.04232144441143988,0.08295211279987605,-0.01403180830938668,-0.09395281003650839,0.0622032655106326,0.20962276700718915,0.09593973062785854,0.04268003125894278,0.4142060655625539,-0.08214432437026546,0.11999805419627198
Gallazzi optical light-weighted,BGG,RG4,11.1,27,30,10.851274,11.220462,-0.059316674622009666,-0.15139617877222575,0.022460502564059636,-0.03979527870493126,-0.1404504313253482,0.06085692928434095,0.2757989644942741,0.19644819177879302,-0.13313094287323987,0.6932114845314172,-0.10839365194773395,-0.006571983844022057
