product,role,control,covariate,n_CG4,n_control,additive_CG4,additive_cov,interaction_CG4_at_reference,interaction_cov,interaction_CG4_x_cov,add_CG4_beta,add_CG4_ci95_lo,add_CG4_ci95_hi,int_CG4_ref_beta,int_CG4_ref_ci95_lo,int_CG4_ref_ci95_hi,int_CG4xcov_beta,int_CG4xcov_se,int_CG4xcov_ci95_lo,int_CG4xcov_ci95_hi
FIREFLY MILES light-weighted,Satellite,RG4,SF,173,166,"+0.022 [-0.008, +0.052]","-0.076 [-0.109, -0.042]","-0.000 [-0.040, +0.036]","-0.098 [-0.143, -0.055]","+0.042 [-0.019, +0.104]",0.021681997285924307,-0.007689735453536871,0.052118577106681135,-0.0004392178666005317,-0.039833916299265415,0.035777838611168476,0.04242137439128925,0.03231173371841001,-0.01932964349815641,0.10411437044282486
FIREFLY MILES light-weighted,Satellite,RG4,Spiral,156,142,"+0.018 [-0.011, +0.048]","-0.057 [-0.084, -0.028]","-0.035 [-0.077, +0.008]","-0.107 [-0.153, -0.062]","+0.088 [+0.029, +0.146]",0.01814953392936749,-0.010646428849495845,0.04756431239578041,-0.034537867587333564,-0.07740994959022475,0.007964432656595613,0.08750524359688287,0.029573294146593175,0.029257543283714355,0.14592515528497088
FIREFLY MILES light-weighted,Satellite,Control4C,SF,173,1961,"-0.005 [-0.028, +0.015]","-0.093 [-0.106, -0.079]","-0.014 [-0.043, +0.012]","-0.094 [-0.108, -0.081]","+0.021 [-0.023, +0.069]",-0.004950366814064694,-0.027682902865700885,0.015307486869060508,-0.013974202011484532,-0.043407179515955116,0.011952345997792295,0.021414977590293427,0.02301037367332542,-0.022541421904827493,0.06860043521436449
FIREFLY MILES light-weighted,Satellite,Control4C,Spiral,156,1732,"-0.003 [-0.026, +0.016]","-0.060 [-0.073, -0.047]","-0.021 [-0.051, +0.006]","-0.063 [-0.077, -0.051]","+0.040 [+0.003, +0.077]",-0.003469063877385314,-0.025752729549070808,0.01636369518349785,-0.021283056609530494,-0.051138536489605195,0.006397011896967626,0.03968094000759284,0.018176374304878343,0.003006640930599817,0.07705571181241166
FIREFLY MILES light-weighted,BGG,RG4,SF,56,53,"+0.028 [-0.009, +0.063]","-0.168 [-0.219, -0.114]","+0.046 [+0.006, +0.082]","-0.129 [-0.200, -0.065]","-0.083 [-0.173, +0.019]",0.028068936378884683,-0.008772393622740396,0.06300548737448067,0.046014389583433846,0.00575530067621288,0.08198747571193978,-0.08269260893948367,0.047450256155961254,-0.17325782879683263,0.01914412744010326
FIREFLY MILES light-weighted,BGG,RG4,Spiral,53,47,"-0.004 [-0.045, +0.043]","-0.090 [-0.134, -0.046]","+0.021 [-0.024, +0.068]","-0.064 [-0.118, -0.010]","-0.054 [-0.141, +0.027]",-0.0036561092049891175,-0.04536563225869259,0.04329047467115387,0.020978556920978254,-0.02424994834722221,0.06848475842121023,-0.05398644122244514,0.04309837973837444,-0.14085313885859282,0.027343657898074112
FIREFLY MILES light-weighted,BGG,Control4C,SF,56,638,"-0.009 [-0.032, +0.013]","-0.117 [-0.138, -0.094]","+0.009 [-0.012, +0.030]","-0.108 [-0.130, -0.084]","-0.094 [-0.164, -0.023]",-0.00873585028869851,-0.031784130890290765,0.013215729794823515,0.00948154071916691,-0.012152099477282075,0.030152986109620653,-0.09421623700642819,0.034495811400568725,-0.16372128067033379,-0.02331905267760042
FIREFLY MILES light-weighted,BGG,Control4C,Spiral,53,598,"-0.011 [-0.037, +0.014]","-0.074 [-0.090, -0.058]","+0.005 [-0.020, +0.029]","-0.070 [-0.087, -0.053]","-0.049 [-0.113, +0.014]",-0.010873979714096224,-0.037413916923795316,0.013859167844110792,0.004802034941661857,-0.020447433932270217,0.028898497379757478,-0.048815559413893116,0.032933072637980114,-0.11333434962964628,0.013751502543698314
FIREFLY ELODIE light-weighted,Satellite,RG4,SF,173,166,"+0.009 [-0.015, +0.033]","-0.039 [-0.068, -0.009]","+0.002 [-0.033, +0.034]","-0.047 [-0.091, -0.005]","+0.014 [-0.037, +0.063]",0.009153091786693685,-0.014805252797811464,0.03323551723448594,0.001948306550122695,-0.0327360011900549,0.034007236432338696,0.013816460344608393,0.025471546061759033,-0.03717065871509632,0.06318235452313913
FIREFLY ELODIE light-weighted,Satellite,RG4,Spiral,156,142,"+0.009 [-0.016, +0.034]","-0.029 [-0.055, -0.001]","+0.016 [-0.024, +0.057]","-0.022 [-0.065, +0.023]","-0.012 [-0.068, +0.042]",0.009114584129514169,-0.015706000333777323,0.03411517953293576,0.016298551365620827,-0.023768022821218596,0.057297763666621475,-0.01193140646323732,0.02781515017048342,-0.0684763954895035,0.04175583810755867
