product,role,control,subset,n_CG4,n_control,groups_CG4,groups_control,degree,m0,is_CG4_beta,is_CG4_se,is_CG4_ci68_lo,is_CG4_ci68_hi,is_CG4_ci95_lo,is_CG4_ci95_hi,n_boot,beta,se,ci68_lo,ci68_hi,ci95_lo,ci95_hi
FIREFLY MILES light-weighted,Satellite,RG4,all,176,166,62.0,56.0,1.0,10.2,0.03322450717764062,0.015751221308388318,0.017624242569420356,0.04969554602982725,0.004196999902084612,0.06449181764694711,2000.0,0.03322450717764062,0.015751221308388318,0.017624242569420356,0.04969554602982725,0.004196999902084612,0.06449181764694711
FIREFLY MILES light-weighted,Satellite,RG4,SF=Quenched,101,63,57.0,37.0,1.0,10.2,-0.000328838217856076,0.020442533093075515,-0.020529197087501866,0.019120892656306076,-0.041266128646927434,0.035386135754320536,2000.0,-0.000328838217856076,0.020442533093075515,-0.020529197087501866,0.019120892656306076,-0.041266128646927434,0.035386135754320536
FIREFLY MILES light-weighted,Satellite,RG4,SF=Starforming,72,103,47.0,52.0,1.0,10.2,0.041816254731669236,0.023655036945894846,0.01811965009492167,0.0661582696929493,-0.00532659745133209,0.08598687170385408,2000.0,0.041816254731669236,0.023655036945894846,0.01811965009492167,0.0661582696929493,-0.00532659745133209,0.08598687170385408
FIREFLY MILES light-weighted,Satellite,RG4,morph=Elliptical,88,39,52.0,31.0,1.0,10.2,-0.03473931572252702,0.022441685699362526,-0.057614922550229646,-0.013306398759002837,-0.07763509519063505,0.006715309256172285,2000.0,-0.03473931572252702,0.022441685699362526,-0.057614922550229646,-0.013306398759002837,-0.07763509519063505,0.006715309256172285
FIREFLY MILES light-weighted,Satellite,RG4,morph=Spiral,68,103,46.0,53.0,1.0,10.2,0.05319761670050834,0.01920368778576648,0.03322590027886282,0.07250678628338651,0.01748263078808239,0.0909766423641213,2000.0,0.05319761670050834,0.01920368778576648,0.03322590027886282,0.07250678628338651,0.01748263078808239,0.0909766423641213
FIREFLY MILES light-weighted,Satellite,RG4,morph=Uncertain,6,13,6.0,13.0,1.0,10.2,-0.04437140030427628,0.14232503965640292,-0.2072909111607212,0.0739090934058102,-0.311189901053028,0.18743070469833167,2000.0,-0.04437140030427628,0.14232503965640292,-0.2072909111607212,0.0739090934058102,-0.311189901053028,0.18743070469833167
FIREFLY MILES light-weighted,Satellite,RG4,Quenched&Elliptical,74,31,48.0,25.0,1.0,10.2,-0.027784645484342944,0.026242531073448105,-0.05436311930244062,-0.00289601459655744,-0.07759199030151605,0.021791351740112173,2000.0,-0.027784645484342944,0.026242531073448105,-0.05436311930244062,-0.00289601459655744,-0.07759199030151605,0.021791351740112173
FIREFLY MILES light-weighted,Satellite,RG4,Quenched&Spiral,20,24,16.0,22.0,1.0,10.2,0.03674770980767882,0.03203023087436277,0.00510205608762009,0.06903523554602795,-0.02614099561757484,0.09718901363756156,2000.0,0.03674770980767882,0.03203023087436277,0.00510205608762009,0.06903523554602795,-0.02614099561757484,0.09718901363756156
FIREFLY MILES light-weighted,Satellite,RG4,Starforming&Elliptical,11,8,11.0,8.0,1.0,10.2,-0.1035673349831704,0.04394050657322696,-0.14895459490625254,-0.06351100974453745,-0.19108412757242035,-0.023238258571274078,2000.0,-0.1035673349831704,0.04394050657322696,-0.14895459490625254,-0.06351100974453745,-0.19108412757242035,-0.023238258571274078
FIREFLY MILES light-weighted,Satellite,RG4,Starforming&Spiral,48,79,37.0,49.0,1.0,10.2,0.05644894703726799,0.024496448020745826,0.03121545530363178,0.0801430425036903,0.008930432247535368,0.10254807482670314,2000.0,0.05644894703726799,0.024496448020745826,0.03121545530363178,0.0801430425036903,0.008930432247535368,0.10254807482670314
