role,control,variant,n_CG4,n_control,beta,ci95_lo,ci95_hi,ols_beta,ols_ci95_lo,ols_ci95_hi
Satellite,Control4C,median regression,176,1978,-0.002870763748791875,-0.020369863151735067,0.023844663620473508,0.002711487495860417,-0.01849960915919984,0.024022196545252065
Satellite,Control4C,"OLS, lowest 2% residuals removed",175,1935,-0.00623219368799431,-0.025850003411957,0.01262114588623968,0.002711487495860417,-0.01849960915919984,0.024022196545252065
Satellite,RG4,median regression,176,166,0.028307218876679252,0.0053320890364329,0.061650505817882735,0.03322450717764062,0.002956180668033097,0.06332287804714895
Satellite,RG4,"OLS, lowest 2% residuals removed",175,160,0.021332699791663086,-0.00714032080903448,0.04872579845607431,0.03322450717764062,0.002956180668033097,0.06332287804714895
Satellite,RG4,S/N>20,120,79,0.017741679705231116,-0.017280435321906585,0.05368983105096863,0.03322450717764062,0.002956180668033097,0.06332287804714895
Satellite,RG4,S/N>15,142,107,0.030148452047858664,-0.0023943468673071067,0.06026722855023814,0.03322450717764062,0.002956180668033097,0.06332287804714895
Satellite,RG4,uncertainty<=0.1 dex,124,94,0.031612478998341444,-0.0022192692815975116,0.06446505241963334,0.03322450717764062,0.002956180668033097,0.06332287804714895
Satellite,RG4,z<=0.04,125,81,0.022843785594171325,-0.017219948806752376,0.06356365836759119,0.03322450717764062,0.002956180668033097,0.06332287804714895
BGG,Control4C,median regression,57,648,-0.006849945357105258,-0.03151240924102817,0.024704389917641043,-0.01510206759214127,-0.04441488013234932,0.01418259963875049
BGG,Control4C,"OLS, lowest 2% residuals removed",54,636,-0.004751042530369022,-0.02874555392100659,0.019902415053097373,-0.01510206759214127,-0.04441488013234932,0.01418259963875049
BGG,RG4,median regression,57,53,0.011862251279717628,-0.04234946154515797,0.09506290657199436,0.016469141966033118,-0.030920477435038705,0.06166168247797588
BGG,RG4,"OLS, lowest 2% residuals removed",56,51,0.009614915047470323,-0.03691214122674759,0.04958879477311452,0.016469141966033118,-0.030920477435038705,0.06166168247797588
BGG,RG4,S/N>20,56,53,0.016884780441380268,-0.03225194559434016,0.06243265008716575,0.016469141966033118,-0.030920477435038705,0.06166168247797588
BGG,RG4,S/N>15,57,53,0.016469141966033118,-0.031050837415319638,0.05938876354000975,0.016469141966033118,-0.030920477435038705,0.06166168247797588
BGG,RG4,uncertainty<=0.1 dex,53,49,0.02224476922073699,-0.02191682607297274,0.06018218809319663,0.016469141966033118,-0.030920477435038705,0.06166168247797588
BGG,RG4,z<=0.04,40,26,-0.0029224392590887563,-0.04881028169635041,0.041893698236276415,0.016469141966033118,-0.030920477435038705,0.06166168247797588
