control,subset,environment,adjusted,n,groups,slope_per_dex,se
Control4C,all,log_parent_N,mass only,1978,699,0.051983160874187584,0.010441599864181531
Control4C,all,log_parent_N,+z,1978,699,0.04147692528122003,0.01034201365754063
Control4C,all,log_parent_N,+SF,1961,698,0.028284269861808365,0.009834622315828791
Control4C,all,log_parent_N,+z+SF,1961,698,0.018343900922176193,0.009791096293599805
Control4C,all,log_core_size,mass only,1978,699,-0.05418020377434555,0.01487034914024348
Control4C,all,log_core_size,+z,1978,699,-0.05379128019736527,0.014689728880057424
Control4C,all,log_core_size,+SF,1961,698,-0.02763005517766064,0.014773169543816158
Control4C,all,log_core_size,+z+SF,1961,698,-0.02776765155419294,0.014632001661230165
Control4C,all,log_group_Vdisp,mass only,1978,699,0.027546813434954284,0.012909044425577948
Control4C,all,log_group_Vdisp,+z,1978,699,0.025366886131437897,0.012672812563369707
Control4C,all,log_group_Vdisp,+SF,1961,698,0.009259733664834362,0.012431461877065004
Control4C,all,log_group_Vdisp,+z+SF,1961,698,0.007772145767806156,0.012223960461048868
Control4C,Quenched,log_parent_N,mass only,1013,576,0.01305474147279454,0.010340681129645247
Control4C,Quenched,log_parent_N,+z,1013,576,0.007922014038362074,0.010685875498495348
Control4C,Quenched,log_core_size,mass only,1013,576,-0.03831804088262078,0.01329547855049226
Control4C,Quenched,log_core_size,+z,1013,576,-0.037933698472669294,0.013211323250898126
Control4C,Quenched,log_group_Vdisp,mass only,1013,576,0.002354505923606347,0.012582588072066796
Control4C,Quenched,log_group_Vdisp,+z,1013,576,0.0007626194606047097,0.012421445396353661
Control4C,Starforming,log_parent_N,mass only,948,539,0.0606903130476847,0.021614745228565976
Control4C,Starforming,log_parent_N,+z,948,539,0.0416240510421282,0.021244878541510782
Control4C,Starforming,log_core_size,mass only,948,539,-0.011710878265396015,0.030750519910900217
Control4C,Starforming,log_core_size,+z,948,539,-0.013393769819755742,0.03023331695781854
Control4C,Starforming,log_group_Vdisp,mass only,948,539,0.017791450480903376,0.021768112954084273
Control4C,Starforming,log_group_Vdisp,+z,948,539,0.017291002312839154,0.02131159937754247
Control4C,Elliptical,log_parent_N,mass only,704,467,0.01944380630515125,0.014628673976125134
Control4C,Elliptical,log_parent_N,+z,704,467,0.01464216521833815,0.014720912528828145
Control4C,Elliptical,log_parent_N,+SF,698,465,0.004210677876082716,0.013738151129411461
Control4C,Elliptical,log_parent_N,+z+SF,698,465,0.0004235809396229237,0.013884331687131591
Control4C,Elliptical,log_core_size,mass only,704,467,-0.009997598141118436,0.01768802429313841
Control4C,Elliptical,log_core_size,+z,704,467,-0.009861086504192883,0.017637364324893625
Control4C,Elliptical,log_core_size,+SF,698,465,0.00248720328635776,0.01723898445817664
Control4C,Elliptical,log_core_size,+z+SF,698,465,0.002439756268834582,0.01720018271414579
Control4C,Elliptical,log_group_Vdisp,mass only,704,467,0.0010602605168648002,0.016137603209814146
Control4C,Elliptical,log_group_Vdisp,+z,704,467,-0.0004478818657963872,0.016098852923396353
Control4C,Elliptical,log_group_Vdisp,+SF,698,465,-0.012165050738972517,0.015586790843068988
Control4C,Elliptical,log_group_Vdisp,+z+SF,698,465,-0.012985019627157974,0.015525024708169547
Control4C,Spiral,log_parent_N,mass only,1028,572,0.045682144111295335,0.0159038088683567
Control4C,Spiral,log_parent_N,+z,1028,572,0.030191823355742803,0.016531627143365823
Control4C,Spiral,log_parent_N,+SF,1026,572,0.03876086479381054,0.0159622447405878
Control4C,Spiral,log_parent_N,+z+SF,1026,572,0.0247494444968144,0.016580944105652647
