tablename,name,unit,ucd,description
galSpecIndx,best_model_z,,,"Metallicity of best fitting (min chisq) model Z = 0.004 / 0.017 / 0.050 (0.2 1.0, 2.5 x solar)"
galSpecIndx,bh_cai,mag,,Restframe index measurement
galSpecIndx,bh_cai_err,mag,,Error on index measurement
galSpecIndx,bh_cai_model,mag,,Index of best fit model spectrum
galSpecIndx,bh_cai_sub,mag,,Restframe index measurement on the data after subtracting all 3-sigma emission lines
galSpecIndx,bh_cai_sub_err,mag,,Error in the above index measurement
galSpecIndx,bh_cnb,mag,,Restframe index measurement
galSpecIndx,bh_cnb_err,mag,,Error on index measurement
galSpecIndx,bh_cnb_model,mag,,Index of best fit model spectrum
galSpecIndx,bh_cnb_sub,mag,,Restframe index measurement on the data after subtracting all 3-sigma emission lines
galSpecIndx,bh_cnb_sub_err,mag,,Error in the above index measurement
galSpecIndx,bh_fc,mag,,Restframe index measurement
galSpecIndx,bh_fc_err,mag,,Error on index measurement
galSpecIndx,bh_fc_model,mag,,Index of best fit model spectrum
galSpecIndx,bh_fc_sub,mag,,Restframe index measurement on the data after subtracting all 3-sigma emission lines
galSpecIndx,bh_fc_sub_err,mag,,Error in the above index measurement
galSpecIndx,bh_g,mag,,Restframe index measurement
galSpecIndx,bh_g_err,mag,,Error on index measurement
galSpecIndx,bh_g_model,mag,,Index of best fit model spectrum
galSpecIndx,bh_g_sub,mag,,Restframe index measurement on the data after subtracting all 3-sigma emission lines
galSpecIndx,bh_g_sub_err,mag,,Error in the above index measurement
galSpecIndx,bh_hb,mag,,Restframe index measurement
galSpecIndx,bh_hb_err,mag,,Error on index measurement
galSpecIndx,bh_hb_model,mag,,Index of best fit model spectrum
galSpecIndx,bh_hb_sub,mag,,Restframe index measurement on the data after subtracting all 3-sigma emission lines
galSpecIndx,bh_hb_sub_err,mag,,Error in the above index measurement
galSpecIndx,bh_hk,mag,,Restframe index measurement
galSpecIndx,bh_hk_err,mag,,Error on index measurement
galSpecIndx,bh_hk_model,mag,,Index of best fit model spectrum
galSpecIndx,bh_hk_sub,mag,,Restframe index measurement on the data after subtracting all 3-sigma emission lines
galSpecIndx,bh_hk_sub_err,mag,,Error in the above index measurement
galSpecIndx,bh_mgg,mag,,Restframe index measurement
galSpecIndx,bh_mgg_err,mag,,Error on index measurement
galSpecIndx,bh_mgg_model,mag,,Index of best fit model spectrum
