SPECOBJID,RUN2D,RUN1D,PLATE,MJD,FIBERID,RA,DEC,Z_NOQSO,Z_ERR_NOQSO,CLASS_NOQSO,Chabrier_MILES_age_lightW,Chabrier_MILES_age_lightW_up_1sig,Chabrier_MILES_age_lightW_low_1sig,Chabrier_MILES_age_lightW_up_2sig,Chabrier_MILES_age_lightW_low_2sig,Chabrier_MILES_metallicity_lightW,Chabrier_MILES_metallicity_lightW_up_1sig,Chabrier_MILES_metallicity_lightW_low_1sig,Chabrier_MILES_metallicity_lightW_up_2sig,Chabrier_MILES_metallicity_lightW_low_2sig,Chabrier_MILES_age_massW,Chabrier_MILES_age_massW_up_1sig,Chabrier_MILES_age_massW_low_1sig,Chabrier_MILES_age_massW_up_2sig,Chabrier_MILES_age_massW_low_2sig,Chabrier_MILES_metallicity_massW,Chabrier_MILES_metallicity_massW_up_1sig,Chabrier_MILES_metallicity_massW_low_1sig,Chabrier_MILES_metallicity_massW_up_2sig,Chabrier_MILES_metallicity_massW_low_2sig,Chabrier_MILES_total_mass,Chabrier_MILES_total_mass_up_1sig,Chabrier_MILES_total_mass_low_1sig,Chabrier_MILES_total_mass_up_2sig,Chabrier_MILES_total_mass_low_2sig,Chabrier_MILES_spm_EBV,Chabrier_MILES_nComponentsSSP,Chabrier_ELODIE_age_lightW,Chabrier_ELODIE_age_lightW_up_1sig,Chabrier_ELODIE_age_lightW_low_1sig,Chabrier_ELODIE_age_lightW_up_2sig,Chabrier_ELODIE_age_lightW_low_2sig,Chabrier_ELODIE_metallicity_lightW,Chabrier_ELODIE_metallicity_lightW_up_1sig,Chabrier_ELODIE_metallicity_lightW_low_1sig,Chabrier_ELODIE_metallicity_lightW_up_2sig,Chabrier_ELODIE_metallicity_lightW_low_2sig,Chabrier_ELODIE_age_massW,Chabrier_ELODIE_age_massW_up_1sig,Chabrier_ELODIE_age_massW_low_1sig,Chabrier_ELODIE_age_massW_up_2sig,Chabrier_ELODIE_age_massW_low_2sig,Chabrier_ELODIE_metallicity_massW,Chabrier_ELODIE_metallicity_massW_up_1sig,Chabrier_ELODIE_metallicity_massW_low_1sig,Chabrier_ELODIE_metallicity_massW_up_2sig,Chabrier_ELODIE_metallicity_massW_low_2sig,Chabrier_ELODIE_total_mass,Chabrier_ELODIE_total_mass_up_1sig,Chabrier_ELODIE_total_mass_low_1sig,Chabrier_ELODIE_total_mass_up_2sig,Chabrier_ELODIE_total_mass_low_2sig,Chabrier_ELODIE_spm_EBV,Chabrier_ELODIE_nComponentsSSP
972921319580526592,26,,864,52320,523,130.73914,37.547113,0.04171875,1.02868e-05,GALAXY,4779446000.0,5329207000.0,3579966000.0,6728601000.0,3230117000.0,1.112222,1.205323,1.065672,1.238573,0.8129703,4779446000.0,5679056000.0,3929814000.0,7728167000.0,3480009000.0,1.205323,1.384874,0.9526212,1.464674,0.932671,19427190000.0,21561650000.0,14853360000.0,25220710000.0,13633670000.0,0.07,5,4277160000.0,6276760000.0,4177180000.0,6476720000.0,3727270000.0,0.7730702,0.8661706,0.5469689,0.8661706,0.4937686,4727070000.0,6726670000.0,4727070000.0,6976620000.0,4077200000.0,0.6999197,0.74647,0.5270188,0.8196204,0.4937686,17359100000.0,23706570000.0,17041730000.0,24658690000.0,15772230000.0,0.01333333,3
972932589574711296,26,,864,52320,564,130.84751,37.729466,0.04149169,6.106353e-06,GALAXY,2630377000.0,3879836000.0,1930681000.0,6128861000.0,1330941000.0,0.6267693,0.7996703,0.4538684,0.8994209,0.2876174,4029771000.0,9627344000.0,3330074000.0,12676020000.0,2680356000.0,0.1812168,0.6866196,0.1147165,1.251873,0.05486612,2171566000.0,2995723000.0,1713701000.0,4735610000.0,1347409000.0,0.1333333,5,6276760000.0,8376340000.0,4777060000.0,9376140000.0,3927230000.0,0.4605184,0.5469689,0.4605184,0.6400694,0.2543672,9976020000.0,11925630000.0,7626490000.0,13625290000.0,5926830000.0,0.1014164,0.214467,0.1014164,0.2942674,0.04821608,4658923000.0,6255160000.0,3461745000.0,7053278000.0,3062686000.0,0.03,3
973981523717941248,26,,865,52323,284,130.8313,37.574941,0.04121788,1.313685e-05,GALAXY,7928081000.0,8377886000.0,6978492000.0,9727301000.0,4979359000.0,1.258523,1.318373,1.178722,1.624275,0.9991714,9277496000.0,9777279000.0,7378319000.0,11476540000.0,6078882000.0,1.012471,1.378224,0.8462206,1.564425,0.7198699,30831950000.0,32549370000.0,22817330000.0,38846570000.0,21958620000.0,0.05,3,12725470000.0,12975420000.0,11725670000.0,13875240000.0,10475920000.0,1.125522,1.172072,1.065672,1.311723,0.939321,12725470000.0,13375340000.0,12225570000.0,14125190000.0,11775660000.0,1.185372,1.318373,1.005821,1.424774,0.8994209,55432880000.0,58090830000.0,49821660000.0,60453450000.0,45687070000.0,0.0,5
973983172985382912,26,,865,52323,290,130.80322,37.538226,0.04251567,6.050597e-06,GALAXY,8078016000.0,9227518000.0,6378753000.0,9727301000.0,5479142000.0,0.7398199,0.8462206,0.6467195,0.8794707,0.4738185,10976760000.0,12726000000.0,9927214000.0,13125830000.0,8677756000.0,0.8262705,1.205323,0.4272682,1.251873,0.387368,25424610000.0,29940270000.0,18252670000.0,30471530000.0,16393280000.0,0.04,6,4027210000.0,4427130000.0,2527510000.0,5126990000.0,1777660000.0,0.7065698,1.059022,0.6600195,1.225273,0.6001692,5726870000.0,7776460000.0,3527310000.0,7826450000.0,2927430000.0,0.5469689,1.085622,0.4937686,1.172072,0.4738185,13722880000.0,14286510000.0,9213832000.0,15413770000.0,7522939000.0,0.0,5
979633013518264320,26,,870,52325,364,142.04182,44.664763,0.02570715,9.388536e-06,GALAXY,1730767000.0,2380486000.0,1530854000.0,3430031000.0,1530854000.0,1.504574,1.544474,1.451374,1.544474,1.364923,3380052000.0,4579532000.0,1930681000.0,6578666000.0,1930681000.0,1.298423,1.298423,0.9991714,1.358273,0.7797202,2972058000.0,3615399000.0,2543164000.0,4687634000.0,2543164000.0,0.2,3,3227370000.0,4877040000.0,2577500000.0,5426930000.0,2027610000.0,1.351623,1.418124,0.9925213,1.497924,0.9526212,5326950000.0,8126390000.0,3527310000.0,10375940000.0,2877440000.0,1.192022,1.265173,0.8395705,1.557775,0.6866196,5096807000.0,6881605000.0,4315959000.0,8108654000.0,3423560000.0,0.1166667,4
979634113029892096,26,,870,52325,368,141.94076,44.556256,0.02559023,8.828514e-06,GALAXY,4629511000.0,5928948000.0,3480009000.0,5928948000.0,3480009000.0,1.910226,1.996677,1.863676,1.996677,1.823776,4929381000.0,6178839000.0,3879836000.0,6178839000.0,3879836000.0,1.983377,1.996677,1.763926,1.996677,1.710725,10643490000.0,11899830000.0,8256450000.0,11899830000.0,8256450000.0,0.02666667,2,9526110000.0,10575900000.0,8926230000.0,10975820000.0,8576300000.0,1.192022,1.258523,1.098922,1.291773,0.9991714,9876040000.0,11125790000.0,9326150000.0,11775660000.0,8726270000.0,1.205323,1.344973,1.059022,1.378224,0.9991714,18227320000.0,19911450000.0,17190930000.0,20559190000.0,16284090000.0,0.0,4
979643184000821248,26,,870,52325,401,142.18391,44.816124,0.02508638,1.421546e-05,GALAXY,14975030000.0,14975030000.0,14475240000.0,14975030000.0,13825520000.0,0.6334193,0.6334193,0.5469689,0.6334193,0.5004186,14975030000.0,14975030000.0,14525220000.0,14975030000.0,13875500000.0,0.7132198,0.7265199,0.6001692,0.7265199,0.5004186,11546190000.0,11546190000.0,10823500000.0,11546190000.0,10341700000.0,0.01,2,12475520000.0,12725470000.0,11475720000.0,13225370000.0,9476120000.0,0.5004186,0.5469689,0.4937686,0.6334193,0.4937686,12975420000.0,13225370000.0,11275760000.0,13525310000.0,9576100000.0,0.5004186,0.6334193,0.4937686,0.75977,0.4937686,9193058000.0,9379783000.0,8259437000.0,9753231000.0,6952367000.0,0.0,3
979646482535704576,26,,870,52325,413,142.38379,44.424238,0.02545826,7.114471e-06,GALAXY,4229684000.0,6278796000.0,3330074000.0,7828124000.0,2930247000.0,1.325023,1.398174,1.165422,1.398174,0.9193709,5179273000.0,10327040000.0,4579532000.0,11826390000.0,3829858000.0,1.172072,1.484624,0.7730702,1.617625,0.6001692,3736318000.0,5799017000.0,3294311000.0,7419710000.0,2778637000.0,0.15,5,4877040000.0,6976620000.0,3077400000.0,8976220000.0,2777460000.0,0.6600195,1.039072,0.5935192,1.165422,0.5536189,5926830000.0,9426130000.0,4577100000.0,11275760000.0,2227570000.0,0.5336688,0.8528706,0.5137187,1.165422,0.5070686,4627286000.0,5652204000.0,3208169000.0,7229000000.0,2419771000.0,0.08666667,4
981788331421493248,26,,872,52339,13,152.7721,46.636378,0.0248139,8.16431e-06,GALAXY,4629511000.0,5479142000.0,2680356000.0,6428731000.0,831157500.0,1.025771,1.098922,0.6400694,1.351623,0.4937686,11226650000.0,13775550000.0,8427864000.0,14275330000.0,1480876000.0,0.2410672,0.4405683,0.1280165,1.218623,0.1080664,1002258000.0,1194435000.0,617902500.0,1626835000.0,305613800.0,0.1,6,4377140000.0,6626690000.0,2827450000.0,10225970000.0,2477520000.0,0.5270188,0.75312,0.4538684,0.75312,0.2543672,9276160000.0,13025410000.0,6926630000.0,13225370000.0,4227170000.0,0.214467,0.4538684,0.0881163,0.4538684,0.04821608,952096000.0,1263417000.0,692661800.0,1860116000.0,329453900.0,0.0,5
981802075316840448,26,,872,52339,63,153.2142,46.912821,0.02415257,9.076954e-06,GALAXY,4829424000.0,7328341000.0,2880269000.0,7878103000.0,2780313000.0,1.092272,1.112222,0.932671,1.251873,0.6400694,6678623000.0,11576500000.0,3330074000.0,13325740000.0,2930247000.0,0.6201193,0.9127209,0.3740679,1.584375,0.2676673,1883113000.0,2608622000.0,1399439000.0,3696887000.0,1197909000.0,0.1166667,3,6426730000.0,8326350000.0,3577300000.0,11325750000.0,3327350000.0,0.75312,0.8329205,0.6533695,1.085622,0.5004186,10625890000.0,13075400000.0,8776260000.0,13475320000.0,5126990000.0,0.8661706,0.926021,0.6799696,1.344973,0.5203687,3697232000.0,4732666000.0,2144081000.0,5379813000.0,1885222000.0,0.01,5
981817468479629312,26,,872,52339,119,152.78171,46.91539,0.02466114,1.164105e-05,GALAXY,9777279000.0,11226650000.0,8627778000.0,11676460000.0,7428298000.0,1.630925,1.810476,1.451374,1.996677,1.411474,10427000000.0,11026740000.0,9477409000.0,11926350000.0,8927648000.0,1.677475,1.830426,1.584375,1.996677,1.464674,31202410000.0,34061260000.0,28724740000.0,35967160000.0,27200020000.0,0.12,4,11075800000.0,12075600000.0,10725870000.0,12625490000.0,9476120000.0,1.544474,1.544474,1.491274,1.750626,1.451374,11575700000.0,12325550000.0,11225770000.0,12975420000.0,9826050000.0,1.477974,1.544474,1.391524,1.724025,1.344973,34100280000.0,37516140000.0,32392360000.0,39793380000.0,29166270000.0,0.05333333,3
981827089206372352,26,,872,52339,154,152.54535,46.952258,0.02530243,1.022365e-05,GALAXY,14375290000.0,14975030000.0,13175810000.0,14975030000.0,12476110000.0,0.6334193,0.6334193,0.5070686,0.75312,0.4937686,14475240000.0,14975030000.0,13325740000.0,14975030000.0,12476110000.0,0.6134692,0.7398199,0.5137187,0.7664201,0.4937686,19937700000.0,20953090000.0,19147940000.0,21517210000.0,18132540000.0,0.06666667,2,7676480000.0,8476320000.0,6976620000.0,8926230000.0,5976820000.0,0.8728207,0.9792213,0.7930202,0.9792213,0.75312,8376340000.0,10625890000.0,7626490000.0,10725870000.0,7076600000.0,0.8861208,0.926021,0.6999197,1.005821,0.6866196,11858510000.0,12791390000.0,10225970000.0,13374450000.0,10109360000.0,0.06666667,5
982956018390558720,26,,873,52674,165,155.38554,47.986773,0.04170336,1.143678e-05,GALAXY,11226650000.0,12376150000.0,8327907000.0,12925910000.0,7828124000.0,1.092272,1.497924,0.9991714,1.497924,0.9526212,11526520000.0,12726000000.0,9877236000.0,13375720000.0,9527387000.0,1.192022,1.524524,1.072322,1.551124,0.932671,34978550000.0,38848050000.0,27884460000.0,39707940000.0,26164680000.0,0.04333333,4,11525710000.0,12725470000.0,10975820000.0,12725470000.0,10925830000.0,1.092272,1.092272,0.9526212,1.092272,0.9526212,12125590000.0,12925430000.0,11725670000.0,13075400000.0,11725670000.0,1.118872,1.145472,0.9526212,1.152122,0.9526212,37788790000.0,39989700000.0,35367800000.0,41090150000.0,34707530000.0,0.0,3
982957392780093440,26,,873,52674,170,155.48033,47.954612,0.04093555,1.319148e-05,GALAXY,5029338000.0,8627778000.0,4029771000.0,11976330000.0,3080183000.0,0.9592712,1.112222,0.6467195,1.138822,0.2743174,6678623000.0,12126260000.0,5079316000.0,13175810000.0,4129727000.0,0.5536189,1.584375,0.3275176,1.584375,0.207817,2881341000.0,6233492000.0,2369996000.0,6460757000.0,2085915000.0,0.05,4,8776260000.0,13625290000.0,7476520000.0,14475120000.0,3427330000.0,0.5469689,0.75312,0.4804685,0.9991714,0.2543672,11975620000.0,13925230000.0,9976020000.0,14975020000.0,4277160000.0,0.7863702,0.8794707,0.5203687,1.258523,0.3208676,6715889000.0,8724248000.0,5002876000.0,9314942000.0,2521962000.0,0.0,5
995307102350108672,26,,884,52374,42,187.75157,51.359191,0.04247188,1.426087e-05,GALAXY,14075420000.0,14975030000.0,13825520000.0,14975030000.0,11976330000.0,0.6334193,0.6334193,0.5070686,0.75312,0.4937686,14175370000.0,14975030000.0,13675590000.0,14975030000.0,11976330000.0,0.7265199,0.7265199,0.5203687,0.7664201,0.4937686,27640120000.0,28562930000.0,26255900000.0,29178140000.0,24256480000.0,0.03333334,2,11375740000.0,12225570000.0,9976020000.0,13475320000.0,9226170000.0,0.7265199,0.8661706,0.7265199,0.8728207,0.5004186,12525510000.0,12975420000.0,10575900000.0,13775260000.0,9626090000.0,0.6533695,0.8661706,0.580219,0.926021,0.5004186,22178440000.0,23766050000.0,19955780000.0,25194900000.0,18844450000.0,0.0,2
