plate,mjd,fiberid,z_log_abs_p2p5,z_log_abs_p16,z_log_abs_median,z_log_abs_p84,z_log_abs_p97p5,z_log_abs_mode,dr4_index,age_logyr_rband_p2p5,age_logyr_rband_p16,age_logyr_rband_median,age_logyr_rband_p84,age_logyr_rband_p97p5,age_logyr_rband_mode
266,51630,412,-2.1372,-2.0265,-1.9063,-1.7728,-1.6189,-1.908,319,9.7189,9.8446,9.9423,10.021,10.0604,9.9947
266,51630,413,-2.9548,-2.5266,-1.982,-1.5198,-1.3402,-1.6576,320,8.8058,8.9627,9.1386,9.3373,9.5149,9.1464
266,51630,461,-1.5409,-1.4844,-1.4139,-1.3703,-1.3455,-1.3822,362,9.6796,9.7676,9.8429,9.9358,9.9902,9.882
266,51630,466,-1.8695,-1.7419,-1.6094,-1.4893,-1.3818,-1.5637,366,9.5901,9.7355,9.8653,9.9628,10.0198,9.9627
268,51633,112,-2.1007,-1.9385,-1.7762,-1.5827,-1.3491,-1.7703,1129,9.2149,9.4206,9.5805,9.72,9.8153,9.6108
268,51633,591,-1.8048,-1.7163,-1.6597,-1.5746,-1.4887,-1.6639,1538,9.692,9.8026,9.8837,9.9417,10.0153,9.8824
268,51633,631,-1.9859,-1.9176,-1.8521,-1.7579,-1.6333,-1.8266,1574,9.8032,9.9113,9.9821,10.0397,10.0711,9.995
268,51633,633,-2.5343,-2.2456,-1.8548,-1.4741,-1.336,-1.6701,1576,9.0575,9.1901,9.3423,9.4872,9.6117,9.3382
273,51957,413,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,3923,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
273,51957,421,-3.2522,-3.0034,-2.6007,-2.0511,-1.5266,-2.6029,3930,9.235,9.447,9.6726,9.87,10.0174,9.8025
273,51957,461,-1.973,-1.8721,-1.7738,-1.6426,-1.4316,-1.8579,3960,9.5374,9.7665,9.8685,9.9633,10.0038,9.9783
273,51957,464,-2.9421,-2.7627,-2.5898,-2.3896,-2.2029,-2.5215,3963,8.9501,9.0514,9.1638,9.2981,9.4152,9.275
273,51957,477,-2.9472,-2.7212,-2.4749,-2.1427,-1.7805,-2.4965,3973,9.1143,9.2453,9.3925,9.5398,9.6705,9.4188
