objID,petroMag_r,fiberMag_r,modelMag_r,cModelMag_r,extinction_r
1237664668424405146,15.76541,18.2323,15.8,15.7034,0.08881748
1237664668424470655,13.73093,16.16043,13.67599,13.67595,0.08810406
1237664668424536083,13.78451,15.94121,13.72528,13.72526,0.08956809
1237664668424536173,14.62874,16.51745,14.54654,14.54656,0.09083638
1237664291549085756,15.4769,16.87159,15.33412,15.33409,0.0496097
1237664291548889274,15.51623,17.4038,15.41158,15.44006,0.05693982
1237664291548889126,14.2062,16.51344,14.06669,14.18407,0.0543365
1237664291548823600,14.11882,16.89629,13.92268,14.09287,0.06044416
1237664291548823599,15.44728,16.77521,15.17485,15.19729,0.06023899
1237664291548823571,15.64477,16.58791,15.5287,15.52867,0.05966402
1237664289391968478,16.26615,17.98357,16.33291,16.23473,0.09225121
1237664132091871251,14.8975,16.57336,14.7922,14.7922,0.06582392
1237664105781133467,14.20872,16.47126,14.02595,14.0503,0.1103391
1237664105781133373,14.91239,18.1192,14.87883,14.8052,0.1035317
1237664105779560493,14.05961,16.3665,13.93058,13.93057,0.09196537
1237663786883940513,14.48934,16.82366,14.48243,14.48239,0.1800124
1237663530260299864,13.73518,16.17918,13.57337,13.57988,0.09552106
1237664667907588102,16.05683,17.22581,15.93414,15.95016,0.07203461
1237664667907457165,14.6806,16.67572,14.7418,14.74183,0.06919084
1237664667901689961,16.39228,17.60776,16.27457,16.2864,0.04094905
1237664667901689871,14.41113,16.5896,14.26159,14.26168,0.04919433
1237664667901624645,16.1931,18.52472,15.96634,16.13701,0.04133001
1237664667901624624,15.46665,17.57558,15.52804,15.40633,0.03669993
1237664667901624475,13.57382,16.15282,13.49679,13.49679,0.03779452
1237664667900444798,15.20977,17.72826,15.21525,15.21526,0.03956253
1237664667887534208,15.60126,17.00641,15.52395,15.52398,0.09649576
1237664338253119520,15.67904,18.27731,16.43139,16.43139,0.04289965
1237664338253119518,15.01463,16.53292,14.91759,14.97033,0.04266338
1237664338253119517,13.90826,16.12251,13.79604,13.79602,0.04293758
1237664294761594986,14.14825,15.88664,14.10109,14.10109,0.02234619
1237664294761594907,14.516,16.25519,14.47687,14.47687,0.02258766
1237664294761529400,13.19032,15.62288,13.03608,13.03607,0.0261264
1237664290472919102,14.61875,16.91406,14.45094,14.5131,0.06072088
1237664290472919101,14.83077,16.5297,14.70218,14.70808,0.05988005
1237664289936507011,16.12895,18.38458,16.11734,16.11733,0.05649944
1237664132091871249,12.68241,15.72978,12.65703,12.65703,0.06649103
1237664105779626180,14.83597,17.17314,14.82171,14.82161,0.09248299
1237664105779560653,14.70617,16.83656,14.57662,14.57756,0.09383
1237664105779495085,14.7325,16.64433,14.64729,14.64729,0.08762889
1237664094510907472,15.02335,18.38545,14.99472,14.95933,0.1085016
1237664093977182234,15.13033,16.73756,15.12155,15.12153,0.04699223
1237664093977182233,14.57003,15.91339,14.43107,14.43106,0.04782788
1237664093977182232,12.91849,15.4071,12.81685,12.81682,0.04751382
1237664093977116737,14.3526,16.14782,14.27961,14.27961,0.04675686
1237664093439983708,13.03106,15.79378,12.8696,12.911,0.05903724
1237664093439852639,13.84265,17.22029,14.46876,14.46876,0.06885986
1237664093439852636,12.44965,15.40152,12.3396,12.34276,0.06798925
1237663918416199874,14.82531,16.5025,14.94192,14.94192,0.115951
1237663918414889326,15.22433,18.33586,15.21935,15.10656,0.09892524
1237663918414889018,15.21955,16.51506,15.13475,15.14967,0.09731084
1237663918414823576,15.57914,17.28443,15.39079,15.411,0.097142
1237663918414758364,16.65298,19.56669,16.60377,16.56723,0.0937501
1237663918414758193,14.01334,16.53555,13.8676,13.86759,0.09059326
1237663918414758008,13.65462,16.13434,13.73211,13.73211,0.09480912
