petroMag_r,fiberMag_r,modelMag_r,cModelMag_r,extinction_r,objid
13.1359,15.51698,13.02059,13.02059,0.03883784,1237648721771888672
15.64427,17.43349,15.60388,15.6039,0.04475591,1237648721771823374
14.91259,17.56963,15.02652,14.89063,0.04111664,1237648721771823351
14.79499,17.28911,14.64569,14.67338,0.02876502,1237651273515794622
15.69615,17.49251,15.75854,15.60921,0.02696331,1237651273515794447
13.50293,16.30257,13.38281,13.38281,0.02714095,1237651273515794444
14.75589,16.39786,14.60027,14.61498,0.02702935,1237651273515794443
14.04138,16.69609,14.08955,14.02647,0.08047153,1237651272962277503
15.67777,18.1922,15.67396,15.5402,0.07591217,1237651272962277451
14.80474,16.57409,14.65229,14.70399,0.07554856,1237651272962212132
14.52713,16.40136,14.37912,14.40129,0.07229122,1237651272962211932
13.21745,15.45667,13.08368,13.08367,0.0736211,1237651272962211930
15.97366,18.51003,15.94533,15.88464,0.07625955,1237651272961556647
14.12456,16.15212,14.07717,14.07717,0.09079204,1237651272961490958
15.05984,17.36988,15.13396,15.01831,0.08746857,1237651272961490952
16.85076,18.98899,16.86783,16.86783,0.08990125,1237651272961425646
14.80009,16.62209,14.75249,14.75251,0.0517154,1237651251486785701
15.85794,17.01411,15.75869,15.7587,0.04616182,1237651251486589158
14.53052,16.18667,14.3705,14.39474,0.01962766,1237651249881939975
13.10216,15.77701,12.99563,12.99564,0.04593603,1237651191895752745
16.05216,17.39855,15.90577,15.95698,0.06686278,1237648722857033814
16.10141,17.62285,15.91212,16.01714,0.05391342,1237648722307842148
14.46183,17.21035,14.48921,14.46079,0.113694,1237648722284314869
15.56728,17.04496,15.44305,15.46288,0.1151018,1237648722284314732
16.34076,17.70805,16.15948,16.21237,0.0954871,1237648721759961421
15.01707,17.20148,14.90921,14.98186,0.09535546,1237648721759961363
15.7358,16.6614,15.64857,15.64857,0.09530995,1237648721759961197
13.66741,16.05691,13.53993,13.53991,0.09465948,1237648721759961111
15.13174,16.88406,15.17583,15.06191,0.14635,1237648721757929562
16.60486,18.02842,16.71339,16.54343,0.1413326,1237648721757929485
15.48711,16.99645,15.3897,15.39555,0.06281018,1237648721754652794
13.71538,16.44968,13.60812,13.61044,0.06910957,1237648721754587439
16.60279,18.06874,16.4435,16.54943,0.1046723,1237648721225646275
15.34086,16.87753,15.33087,15.33087,0.1089508,1237648721225646181
12.7862,15.35126,12.64379,12.64379,0.1260622,1237648721221910580
13.87707,16.58814,13.73526,13.73525,0.09961937,1237648705667137705
14.84924,16.61054,14.77387,14.79784,0.1003801,1237648705667137570
16.4203,17.68554,16.50809,16.37154,0.09844418,1237648705667072024
15.64945,19.05062,15.58962,15.58531,0.09551454,1237648705666351360
16.13895,18.68559,16.28332,16.06334,0.05418585,1237648705652654263
13.88107,16.51847,13.73313,13.73313,0.1686617,1237648704600735996
14.18273,16.89524,14.15658,14.1626,0.1660169,1237648704600670761
16.44381,17.41448,16.36198,16.36199,0.1671506,1237648704600670569
16.05965,18.87665,15.98061,15.98061,0.1438012,1237648704595558617
16.5785,19.73136,16.61043,16.5161,0.138159,1237648704595493353
15.53235,18.17429,15.62852,15.4019,0.1440071,1237648704595493284
14.52665,16.51265,14.45509,14.4551,0.1382748,1237648704595492963
15.52671,16.86167,15.53058,15.53055,0.1114525,1237648704594641215
17.63827,18.34192,17.47455,17.54613,0.1127688,1237648704594575487
14.67338,17.21471,14.48608,14.52886,0.1121591,1237648704594575485
15.42962,16.72015,15.31334,15.33183,0.1122459,1237648704594575483
16.21643,17.32649,16.08622,16.09686,0.1029812,1237648704594313560
15.21758,16.80109,15.109,15.10901,0.1016842,1237648704594313500
16.91107,18.66614,16.84094,16.84093,0.1046207,1237648704594313302
15.28512,17.15435,15.16452,15.16448,0.04142125,1237648704579960982
17.20768,18.2582,17.048,17.08599,0.1516437,1237651274036871362
14.65686,16.56184,14.52278,14.52278,0.1550187,1237651274036871335
15.06912,18.0105,15.08127,14.98004,0.157305,1237651274036871311
15.38997,17.10621,15.25693,15.25693,0.1570408,1237651274036871310
15.6587,16.74316,15.54842,15.54843,0.1544932,1237651274036871286
13.43974,16.0121,13.3678,13.3678,0.08509787,1237651274035363888
14.57815,16.32292,14.45329,14.46094,0.08119483,1237651274035363852
15.67266,18.11536,15.71683,15.56656,0.1076522,1237651274029465878
14.80631,16.94862,14.71681,14.73222,0.08508582,1237651273498558617
15.19805,17.46864,14.91087,15.06536,0.04799404,1237651272441790574
16.22533,18.39642,16.17393,16.06518,0.02380051,1237651272431829138
15.49383,17.7734,15.1455,15.29589,0.02336168,1237651272431829116
14.68662,16.30544,14.60258,14.60258,0.08012407,1237651272425734249
15.68219,17.88598,15.32688,15.57549,0.09167287,1237651272425734160
13.41633,15.78584,13.31305,13.31307,0.09173272,1237651272425734156
15.60867,16.93816,15.49036,15.50065,0.09404324,1237651272425668786
15.93639,17.41258,15.7563,15.80115,0.09520394,1237651272425668776
14.48094,18.0974,14.46862,14.44038,0.06497268,1237651272424882309
14.32856,16.14782,14.21277,14.21279,0.06772925,1237651272424751161
13.73664,17.15169,13.76831,13.70106,0.08502562,1237651272424685655
15.94243,17.08509,15.80011,15.82546,0.09644979,1237651272424226982
13.73568,16.67169,13.56422,13.65286,0.09649955,1237651272424226981
14.61467,16.8439,14.40314,14.51046,0.09332653,1237651272424226960
15.24168,16.67415,15.14569,15.14571,0.09478075,1237651272424226940
14.0362,17.12889,13.83661,13.96705,0.08683193,1237651272424161371
14.93119,16.71959,14.90795,14.90792,0.09659313,1237651272418132006
17.22735,18.94973,17.17997,17.17997,0.07624391,1237651271887618204
15.19379,16.55187,15.03668,15.03667,0.07133915,1237651271887618101
15.78675,18.4207,15.76014,15.71024,0.03034833,1237651252053475743
16.30708,19.22727,16.29698,16.29698,0.03135513,1237651252053475670
15.85476,17.00694,15.75029,15.77001,0.03032023,1237651252053475654
13.32898,15.38697,13.18506,13.18507,0.02729406,1237651252053475553
16.07573,18.61121,16.03406,16.03406,0.03715181,1237651252024312012
16.04319,18.62895,16.03808,15.98626,0.05280172,1237651252023722212
14.43864,16.40262,14.28382,14.28505,0.05171937,1237651252023525473
16.9118,17.72273,16.84534,16.84535,0.02941801,1237651250968199408
17.01582,18.31266,17.12813,16.9361,0.02864904,1237651250968199390
15.26301,16.793,15.14695,15.14981,0.02976632,1237651250968199290
14.25792,16.31977,14.19061,14.19063,0.02956736,1237651250968199288
17.17096,18.68876,16.93517,17.0494,0.02262872,1237651250958696543
17.23985,18.20161,17.19184,17.19184,0.1191779,1237651250945589513
14.99662,16.46063,14.90399,14.92176,0.1374182,1237651250945589506
16.02877,18.85521,15.95454,15.95453,0.1316743,1237651250945589502
14.5627,16.84173,14.4818,14.48181,0.1164966,1237651250945589326
16.18105,18.02966,15.91789,16.06285,0.1318802,1237651250945523962
16.86146,18.36274,16.95262,16.77514,0.04539669,1237651250439979264
15.93889,17.30341,15.85177,15.85177,0.04540391,1237651250439979263
15.14726,16.54427,14.99736,14.99736,0.04282897,1237651250439979238
