Id,objid,specobjid,Group,RA,Dec,M_r,z,zobs,Yang_z_CMB_group,BGG_ID,Yang_logM,logM_180,rmag,Lum,rank_M,RA_BGG,Dec_BGG,M_BGG,dist2BGG,lgm,sfr_tot_p50,sSFR,SFRexcess,SFRcategory,rank_dist,is_CG_member,host_lim_group,cg4_group,cg4_class,specobjid_csv,p_E,p_S,morphology,specObjID,bestObjID,plate,mjd,fiberID,run2d,sciencePrimary,legacyPrimary,spec_z,spec_zErr,zWarning,velDisp,velDispErr,snMedian,snMedian_r,spec_class,instrument,survey,mpa_plateid,mpa_mjd,mpa_fiberid,mpa_z,v_disp,v_disp_err,sn_median,reliable,spectrotype,mpa_subclass,primtarget,targettype,lick_hd_a,lick_hd_a_err,lick_hd_a_sub,lick_hd_a_sub_err,lick_hd_a_model,lick_hg_a,lick_hg_a_err,lick_hg_a_sub,lick_hg_a_sub_err,lick_hg_a_model,lick_hb,lick_hb_err,lick_hb_sub,lick_hb_sub_err,lick_hb_model,lick_mgb,lick_mgb_err,lick_mgb_sub,lick_mgb_sub_err,lick_mgb_model,lick_mg2,lick_mg2_err,lick_mg2_sub,lick_mg2_sub_err,lick_mg2_model,lick_fe5270,lick_fe5270_err,lick_fe5270_sub,lick_fe5270_sub_err,lick_fe5270_model,lick_fe5335,lick_fe5335_err,lick_fe5335_sub,lick_fe5335_sub_err,lick_fe5335_model,lick_fe5015,lick_fe5015_err,lick_fe5015_sub,lick_fe5015_sub_err,lick_fe5015_model,lick_fe5406,lick_fe5406_err,lick_fe5406_sub,lick_fe5406_sub_err,lick_fe5406_model,lick_hd_f,lick_hd_f_err,lick_hd_f_sub,lick_hd_f_sub_err,lick_hd_f_model,lick_hg_f,lick_hg_f_err,lick_hg_f_sub,lick_hg_f_sub_err,lick_hg_f_model,d4000_n,d4000_n_err,d4000_n_sub,d4000_n_sub_err,d4000_n_model,d4000,d4000_err,d4000_sub,d4000_sub_err,d4000_model,from_pass2,specObjID_u,has_mpa,is_csv_spec,n_spectra_for_objid,spec_choice,is_bgg,is_sat,size_specObjID,dr7objid,petroR50_r,petroR50Err_r,petroR90_r,petroR90Err_r,petroRad_r,psfWidth_r,simard_z,simard_Sp,simard_Scale,simard_Rhlr,simard_Rchl_r,simard_e,simard_ng,simard_e_ng,simard_rg2d,simard_PpS,simard_z_mismatch,Rchl_r_arcsec,kpc_per_arcsec_Planck15_DA,Rchl_r_kpc,petroR50_kpc
552,1237648704057573661,346787094795937792,3859,223.045971412,-0.256103918,-22.323488,0.043902061,0.04321273,0.04401,552,11.087,13.338770306132936,14.235256,63298759646.17747,1,223.045971412,-0.256103918,-22.323488,0.0,11.09869,-0.8092076,-11.9078976,-0.7282906000000011,Q,1,1,3859,309.0,Embedded,346787094795937792,0.0,1.0,Spiral,346787094795937792,1237648704057573661,308,51662,36,26,1,1,0.04321273,1.104869e-05,0,210.0402,5.822794,33.30871,45.98234,GALAXY,SDSS,sdss,308.0,51662.0,36.0,0.04321273,210.0402,5.822794,33.51292,1.0,GALAXY,AGN,96.0,GALAXY,-1.296156,0.59214,-0.6262603,0.5868339,-0.6632414,-6.954922,0.5654633,-4.957601,0.5530121,-4.074008,0.4093202,0.2923971,1.962267,0.2833998,2.345699,5.191307,0.2785498,5.191307,0.2785498,3.655056,0.3009275,0.009785423,0.3009275,0.009785423,0.2290871,2.681465,0.3092643,2.681465,0.3092643,3.275661,2.048611,0.3703453,2.048611,0.3703453,2.954792,3.443942,0.4645848,5.337663,0.458171,5.897813,1.270962,0.2697045,1.270962,0.2697045,1.959907,0.9297056,0.409744,1.574988,0.4022984,1.455344,-2.656579,0.3931521,-0.7628794,0.3749881,-0.3576165,1.899469,0.02282321,1.89648,0.02279561,1.783441,2.147482,0.01984472,2.140672,0.01979326,2.06371,0,346787094795937792,1,1,1,csv_specobjid_with_mpa,1,0,346787094795937792,587722982832668754,7.336772,0.01673274,15.33312,0.0927306,14.87524,1.129038,0.0432999990880489,2.0,0.8519999980926514,8.899999618530273,8.09000015258789,0.1800000071525573,3.2300000190734863,0.0099999997764825,14.140000343322754,0.0,0,9.495305364669893,0.8930924394240024,8.48018543120885,6.5524156029777165
1690,1237648704057508062,346798089912215552,3859,222.842632858,-0.375591225,-19.754363,0.044128105,0.043434896,0.04401,552,10.076,13.338770306132936,16.78183,5939435904.518115,7,223.045971412,-0.256103918,-22.323488,14.818531581117892,10.08103,-0.9607675,-11.0417975,-0.1674884999999992,G,6,0,3859,,,346798089912215552,0.186000004410744,0.814000010490417,Spiral,346798089912215552,1237648704057508062,308,51662,76,26,1,1,0.0434349,1.739004e-05,0,98.48522,6.102726,22.62476,30.71725,GALAXY,SDSS,sdss,308.0,51662.0,76.0,0.0434349,98.48522,6.102726,22.697,1.0,GALAXY,STARFORMING,64.0,GALAXY,0.3103079,0.8243253,0.3103079,0.8243253,0.09188901,-1.875928,0.7541088,-1.875928,0.7541088,-2.741702,1.564286,0.4070514,2.77138,0.397295,2.302952,3.035839,0.4231474,3.035839,0.4231474,2.663699,0.1913911,0.01383412,0.1907478,0.01383924,0.1610845,3.150336,0.4476832,3.150336,0.4476832,2.647811,1.721563,0.5426577,1.721563,0.5426577,2.513044,4.015014,0.6513053,5.124401,0.6498981,4.963539,1.788842,0.3733653,1.788842,0.3733653,1.557771,1.658387,0.5782949,1.658387,0.5782949,1.481135,0.2982691,0.5248241,0.2982691,0.5248241,0.1549366,1.643507,0.02924314,1.643507,0.02924314,1.662211,1.837418,0.02383684,1.837418,0.02383684,1.869898,0,346798089912215552,1,1,1,csv_specobjid_with_mpa,0,1,,,,,,,,,,,,,,,,,,,0,,0.8974481894910515,,
1691,1237648704057573499,346783246505240576,3859,223.066930006,-0.293626469,-22.01614,0.044070931,0.043381874,0.04401,552,11.003,13.338770306132936,14.529442,47693149195.62885,2,223.045971412,-0.256103918,-22.323488,2.700450162579726,10.94819,-1.088731,-12.036921,-0.9024640000000002,Q,3,1,3859,309.0,Embedded,346783246505240576,0.943000018596649,0.0,Elliptical,346783246505240576,1237648704057573499,308,51662,22,26,1,1,0.04338187,1.012659e-05,0,191.1409,4.608268,40.67673,50.89371,GALAXY,SDSS,sdss,308.0,51662.0,22.0,0.04338187,191.1409,4.608268,40.73542,1.0,GALAXY,,96.0,GALAXY,-1.978381,0.4286371,-1.978381,0.4286371,-1.981441,-5.734707,0.3987547,-5.734707,0.3987547,-5.387803,1.737756,0.2220859,1.964017,0.2211094,2.024834,4.297187,0.2340497,4.297187,0.2340497,3.323279,0.2753046,0.007718337,0.2753046,0.007718337,0.1973311,3.090074,0.244066,3.090074,0.244066,3.041395,2.130987,0.2905963,2.130987,0.2905963,2.797242,5.485676,0.3579722,5.485676,0.3579722,5.493177,1.848186,0.2094552,1.848186,0.2094552,1.821328,0.7166634,0.2923414,0.7166634,0.2923414,0.50419,-1.725665,0.2743052,-1.725665,0.2743052,-1.083416,1.90598,0.01588917,1.90598,0.01588917,1.889226,2.129485,0.01328387,2.129485,0.01328387,2.118444,0,346783246505240576,1,1,1,csv_specobjid_with_mpa,0,1,346783246505240576,587722982832668797,4.141253,0.01703308,13.13381,0.1102377,10.37658,1.129038,0.0434000007808208,2.0,0.8550000190734863,4.400000095367432,4.139999866485596,0.1199999973177909,3.799999952316284,0.0199999995529651,14.529999732971191,0.0299999993294477,0,4.842104998982189,0.8963467015839168,4.34020484456068,3.7119984669745003
1692,1237648704057573747,346785995284310016,3859,223.080903984,-0.269212651,-20.120548,0.044202509,0.04351376,0.04401,552,10.069,13.338770306132936,16.431992,8321836904.097528,3,223.045971412,-0.256103918,-22.323488,2.344308405021479,10.1377,-0.1556452,-10.2933452,0.5979647999999997,M,2,1,3859,309.0,Embedded,346785995284310016,0.856000006198883,0.0930000022053719,Elliptical,346785995284310016,1237648704057573747,308,51662,32,26,1,1,0.04351376,8.741635e-06,0,99.82324,6.805954,24.02854,31.59957,GALAXY,SDSS,sdss,308.0,51662.0,32.0,0.04351376,99.82324,6.805954,24.06282,1.0,GALAXY,STARFORMING,64.0,GALAXY,0.955874,0.6558992,2.932446,0.6381177,2.55597,-3.385065,0.6593533,-0.5524459,0.6379444,0.1878096,-2.69082,0.432435,3.103245,0.3771865,2.974015,2.845148,0.3918959,2.845148,0.3918959,2.313783,0.1915105,0.01314943,0.19064,0.01315615,0.1395756,2.223432,0.4335749,2.223432,0.4335749,2.335359,-0.6199812,0.5651625,-0.6199812,0.5651625,2.271075,3.017044,0.607025,4.17024,0.6055492,4.325639,1.003495,0.363442,1.003495,0.363442,1.416978,0.9198256,0.489181,2.920985,0.4621527,2.941665,-1.646093,0.4752522,1.119998,0.4416378,1.815252,1.389784,0.017314,1.385607,0.01727811,1.445811,1.618925,0.01532084,1.60339,0.01520978,1.633448,0,346785995284310016,1,1,1,csv_specobjid_with_mpa,0,1,346785995284310016,587722982832668823,1.926974,0.01232481,5.467039,0.09970494,4.223671,1.129038,0.0436000004410743,2.0,0.859000027179718,1.8200000524520872,1.5299999713897705,0.3199999928474426,2.049999952316284,0.050000000745058,16.520000457763672,0.5600000023841858,0,1.7811407718031043,0.898881394269819,1.6010343003491958,1.73212107584169
2341,1237648721759830317,310856433333725184,240,162.299417829,0.267767506,-20.331515,0.040980912,0.039764933,0.04052,3855,10.338,14.023770306132937,16.005607,10106621467.999044,14,162.495232384,0.322301336,-22.78591,12.771454600035362,10.35133,-0.8467568,-11.1980868,-0.2426878000000005,G,19,0,240,,,310856433333725184,0.028999999165535,0.882000029087067,Spiral,310856433333725184,1237648721759830317,276,51909,393,26,1,1,0.03976493,2.041087e-05,0,85.70667,10.23724,14.31884,19.15271,GALAXY,SDSS,sdss,276.0,51909.0,393.0,0.03976493,85.70667,10.23724,14.39621,1.0,GALAXY,,96.0,GALAXY,1.988695,1.442684,1.988695,1.442684,2.878357,-1.606567,1.334703,-0.632866,1.321241,0.8490785,2.53281,0.7260142,3.369506,0.7143095,3.094429,1.139847,0.7255327,1.139847,0.7255327,2.145397,0.09463923,0.02210209,0.09463923,0.02210209,0.1285983,2.495193,0.7278165,2.495193,0.7278165,2.185109,0.0,-1.0,0.0,-1.0,2.17876,5.873421,1.058507,6.69465,1.051659,4.056838,1.613318,0.6010095,1.613318,0.6010095,1.319698,2.376279,1.043938,2.376279,1.043938,3.04632,0.9511408,0.889942,1.881759,0.8691497,2.144007,1.539512,0.04654485,1.539512,0.04654485,1.422697,1.723274,0.03994983,1.723274,0.03994983,1.65814,0,310856433333725184,1,1,1,csv_specobjid_with_mpa,0,1,,,,,,,,,,,,,,,,,,,0,,0.8365883005621703,,
2342,1237648721759895794,309785509025048576,240,162.351648619,0.231993385,-21.595018,0.040905033,0.03968886,0.04052,3855,10.823,14.023770306132937,14.75824,32359902170.79993,4,162.495232384,0.322301336,-22.78591,10.65761162229841,10.76731,-0.6486046,-11.4159146,-0.3357216000000012,G,17,0,240,,,309785509025048576,0.819999992847443,0.180000007152557,Elliptical,309785509025048576,1237648721759895794,275,51910,593,26,1,1,0.03968886,9.258338e-06,0,130.8548,3.61981,38.95772,47.72057,GALAXY,SDSS,sdss,275.0,51910.0,593.0,0.03968886,130.8548,3.61981,38.91755,1.0,GALAXY,,96.0,GALAXY,-0.4653968,0.4247587,-0.4653968,0.4247587,-0.906172,-4.303703,0.4088897,-4.303703,0.4088897,-3.954778,1.81088,0.2336606,2.237011,0.2317437,2.212087,3.643657,0.2404809,3.643657,0.2404809,3.206192,0.2104151,0.007825806,0.2104151,0.007825806,0.1843573,3.128073,0.2509517,3.128073,0.2509517,2.982498,0.0,-1.0,0.0,-1.0,2.873077,5.51527,0.3722858,5.947432,0.3711144,5.376762,1.563418,0.220921,1.563418,0.220921,1.851947,1.128021,0.298191,1.128021,0.298191,1.058421,-0.6898411,0.2752106,-0.6898411,0.2752106,-0.4858531,1.708361,0.01376582,1.708361,0.01376582,1.684897,1.872983,0.01111314,1.872983,0.01111314,1.88137,0,309785509025048576,1,1,1,csv_specobjid_with_mpa,0,1,,,,,,,,,,,,,,,,,,,0,,0.8351152266743429,,
2360,1237648722296832040,309783035123886080,240,162.490343351,0.70081961,-20.008472,0.040922638,0.03970751,0.04052,3855,9.724,14.023770306132937,16.381222,7505658490.332126,17,162.495232384,0.322301336,-22.78591,23.78498817951296,9.445592,-0.1086854,-9.5542774,1.1294001999999992,M,29,0,240,,,309783035123886080,0.0,1.0,Spiral,309783035123886080,1237648722296832040,275,51910,584,26,1,1,0.03970751,8.257998e-06,0,45.11336,24.88182,11.8523,14.45408,GALAXY,SDSS,sdss,275.0,51910.0,584.0,0.03970751,45.11336,24.88182,11.92584,1.0,GALAXY,STARFORMING,64.0,GALAXY,1.990962,1.053727,3.671527,1.030229,4.903865,0.1872959,1.072702,3.020964,1.03493,3.746174,-4.159021,0.8970465,3.512699,0.7243798,4.015885,1.479214,0.7775489,1.479214,0.7775489,1.392651,0.07658551,0.02455932,0.07460117,0.02458841,0.08752479,2.174026,0.835425,2.174026,0.835425,1.543657,0.0,-1.0,0.0,-1.0,1.606629,0.585189,1.215584,3.965373,1.190671,2.815497,2.085483,0.6883941,2.085483,0.6883941,0.9789972,1.621622,0.7912875,3.33815,0.7544782,4.212327,0.478445,0.7631271,3.258213,0.7015623,3.785345,1.137951,0.02057385,1.148572,0.02090874,1.180646,1.276542,0.01748304,1.273204,0.01755119,1.296029,0,309783035123886080,1,1,1,csv_specobjid_with_mpa,0,1,,,,,,,,,,,,,,,,,,,0,,0.8354570247716638,,
2423,1237648721759895774,309783584879699968,240,162.34460979,0.394502017,-19.351425,0.040388179,0.03917246,0.04052,3855,9.806,14.023770306132937,17.00341,4097981561.4947658,25,162.495232384,0.322301336,-22.78591,10.4948406347518,9.736094,-1.708424,-11.444518,-0.6736897999999982,Q,16,0,240,,,309783584879699968,0.623000025749207,0.275999993085861,Elliptical,309783584879699968,1237648721759895774,275,51910,586,26,1,1,0.03917246,1.551214e-05,0,55.63818,5.7094,21.82646,27.92823,GALAXY,SDSS,sdss,275.0,51910.0,586.0,0.03917246,55.63818,5.7094,21.89191,1.0,GALAXY,,64.0,GALAXY,1.396709,0.7516417,1.396709,0.7516417,0.8429721,-2.815541,0.7399638,-2.815541,0.7399638,-1.812785,1.936966,0.4105498,1.936966,0.4105498,2.464197,2.963202,0.4323089,2.963202,0.4323089,2.522415,0.0,-1.0,0.0,-1.0,0.1531318,1.663137,0.4611937,1.663137,0.4611937,2.575814,2.853482,0.4455916,2.853482,0.4455916,2.489537,4.87804,0.6452865,5.386811,0.6429111,4.860416,1.116295,0.4007573,1.116295,0.4007573,1.531029,1.641065,0.5498212,1.641065,0.5498212,1.890964,0.1704542,0.500515,0.1704542,0.500515,0.6540953,1.556638,0.02355561,1.569589,0.02389401,1.540567,1.694561,0.01926387,1.701819,0.01941092,1.704554,0,309783584879699968,1,1,1,csv_specobjid_with_mpa,0,1,,,,,,,,,,,,,,,,,,,0,,0.8250740890679167,,
3281,1237648721759764640,310843514072098816,240,162.118924087,0.336009969,-20.373093,0.040578501,0.039363053,0.04052,3855,10.15,14.023770306132937,15.990766,10501158171.528452,13,162.495232384,0.322301336,-22.78591,23.659441427644783,10.12055,-0.1915559,-10.3121059,0.5740591000000013,M,28,0,240,,,310843514072098816,0.0570000000298023,0.943000018596649,Spiral,310843514072098816,1237648721759764640,276,51909,346,26,1,1,0.03936305,1.640798e-05,0,51.42864,10.60103,14.17563,18.89475,GALAXY,SDSS,sdss,276.0,51909.0,346.0,0.03936305,51.42864,10.60103,14.2015,1.0,GALAXY,STARFORMING,64.0,GALAXY,2.28825,1.172579,2.28825,1.172579,2.938692,-1.10942,1.142743,-0.07748655,1.130859,0.7174586,1.920651,0.6641502,3.940388,0.6358855,3.149243,2.250459,0.6791416,2.250459,0.6791416,2.200256,0.0,-1.0,0.0,-1.0,0.134615,1.975413,0.7081928,1.975413,0.7081928,2.314644,2.5199,0.6776088,2.5199,0.6776088,2.25205,3.472438,1.034518,4.077107,1.029901,4.278687,2.306456,0.5749613,2.306456,0.5749613,1.355219,3.410999,0.804069,3.410999,0.804069,3.189857,1.666524,0.7505633,2.657955,0.7314901,2.11514,1.37695,0.03188852,1.37695,0.03188852,1.43078,1.615785,0.02847167,1.615785,0.02847167,1.631518,0,310843514072098816,1,1,1,csv_specobjid_with_mpa,0,1,,,,,,,,,,,,,,,,,,,0,,0.8287730175502013,,
3282,1237648721759961363,309787158292490240,240,162.497479161,0.353258599,-21.469013,0.038863702,0.03764759,0.04052,3855,10.792,14.023770306132937,14.901201,28814109350.41261,5,162.495232384,0.322301336,-22.78591,1.9502180927124688,10.81194,-0.55961,-11.37155,-0.2779679999999995,G,2,1,240,112.0,Predom,309787158292490240,0.14300000667572,0.85699999332428,Spiral,309787158292490240,1237648721759961363,275,51910,599,26,1,1,0.03764759,1.100336e-05,0,123.7741,4.242189,34.29345,43.40641,GALAXY,SDSS,sdss,275.0,51910.0,599.0,0.03764759,123.7741,4.242189,34.29345,1.0,GALAXY,,64.0,GALAXY,-1.415357,0.5619543,-1.415357,0.5619543,-0.510335,-4.685865,0.5232064,-3.884161,0.5187272,-3.39312,1.95425,0.2731931,2.364462,0.2710475,2.11086,3.626101,0.2815033,3.626101,0.2815033,2.732728,0.2223497,0.008969237,0.2220208,0.008970837,0.1639567,3.114933,0.2869583,3.114933,0.2869583,2.60722,2.874621,0.2880147,2.874621,0.2880147,2.471651,5.190279,0.4346465,5.798645,0.4342661,4.885732,0.0,-1.0,0.0,-1.0,1.555081,0.3995157,0.4010792,0.3995157,0.4010792,1.052214,-1.396067,0.3631178,-0.6252299,0.356304,-0.2237395,1.758534,0.01957268,1.758534,0.01957268,1.700036,1.933253,0.01592476,1.933253,0.01592476,1.927637,0,309787158292490240,1,1,1,csv_specobjid_with_mpa,0,1,309787158292490240,588848900441899191,5.159908,0.2617123,15.46021,1.797238,12.25847,1.423269,0.0377000011503696,2.0,0.7480000257492065,7.03000020980835,4.360000133514404,0.7599999904632568,2.190000057220459,0.0199999995529651,14.880000114440918,0.0,0,5.8288769831891,0.7953840221006329,4.636195619218749,4.104108378709232
