rank_M,is_bgg,is_sat,z,group_z,group_Vdisp,M_r,lgm,sSFR,sSFR_status,morphology,p_E,p_S,is_dominated,run2d,sciencePrimary,legacyPrimary,spec_z,spec_zErr,zWarning,velDisp,velDispErr,snMedian,snMedian_r,spec_class,instrument,survey,mpa_z,v_disp,v_disp_err,sn_median,reliable,spectrotype,mpa_subclass,primtarget,targettype,lick_hd_a,lick_hd_a_err,lick_hd_a_sub,lick_hd_a_sub_err,lick_hd_a_model,lick_hg_a,lick_hg_a_err,lick_hg_a_sub,lick_hg_a_sub_err,lick_hg_a_model,lick_hb,lick_hb_err,lick_hb_sub,lick_hb_sub_err,lick_hb_model,lick_mgb,lick_mgb_err,lick_mgb_sub,lick_mgb_sub_err,lick_mgb_model,lick_mg2,lick_mg2_err,lick_mg2_sub,lick_mg2_sub_err,lick_mg2_model,lick_fe5270,lick_fe5270_err,lick_fe5270_sub,lick_fe5270_sub_err,lick_fe5270_model,lick_fe5335,lick_fe5335_err,lick_fe5335_sub,lick_fe5335_sub_err,lick_fe5335_model,lick_fe5015,lick_fe5015_err,lick_fe5015_sub,lick_fe5015_sub_err,lick_fe5015_model,lick_fe5406,lick_fe5406_err,lick_fe5406_sub,lick_fe5406_sub_err,lick_fe5406_model,lick_hd_f,lick_hd_f_err,lick_hd_f_sub,lick_hd_f_sub_err,lick_hd_f_model,lick_hg_f,lick_hg_f_err,lick_hg_f_sub,lick_hg_f_sub_err,lick_hg_f_model,d4000_n,d4000_n_err,d4000_n_sub,d4000_n_sub_err,d4000_n_model,d4000,d4000_err,d4000_sub,d4000_sub_err,d4000_model,from_pass2,specObjID_u,has_mpa,is_csv_spec,n_spectra_for_objid,spec_choice,petroR50_r,petroR50Err_r,petroR90_r,petroR90Err_r,petroRad_r,psfWidth_r,simard_z,simard_Sp,simard_Scale,simard_Rhlr,simard_Rchl_r,simard_e,simard_ng,simard_e_ng,simard_rg2d,simard_PpS,simard_z_mismatch,Rchl_r_arcsec,kpc_per_arcsec_Planck15_DA,Rchl_r_kpc,petroR50_kpc,has_spectrum,mpa_reliable,HdA,HdA_err,HdA_sub,HdA_sub_err,HdA_model,HgA,HgA_err,HgA_sub,HgA_sub_err,HgA_model,Hb,Hb_err,Hb_sub,Hb_sub_err,Hb_model,Mgb,Mgb_err,Mgb_sub,Mgb_sub_err,Mgb_model,Fe5270,Fe5270_err,Fe5270_sub,Fe5270_sub_err,Fe5270_model,Fe5335,Fe5335_err,Fe5335_sub,Fe5335_sub_err,Fe5335_model,Mg2,Mg2_err,Mg2_sub,Mg2_sub_err,Mg2_model,D4000n,D4000n_err,D4000n_sub,D4000n_sub_err,D4000n_model,sigma_mpa,sigma_mpa_err,sigma_spec,sigma_spec_err,sigma,sigma_err,sigma_source,SN,SN_spec_r,SN_spec_all,valid_core,valid_core_sub,MgFe,MgFe_err,MgbFe,MgbFe_err,MgFe_sub,MgFe_sub_err,MgbFe_sub,MgbFe_sub_err,sample_blind,group_blind,gal_uid,obj_hash
1,1,0,0.038103145,0.03802488075,138.73358378062295,-21.823291,11.13696,-10.7542262,Starforming,Spiral,0.0179999992251396,0.98199999332428,True,26,1,1,0.03752905,8.61378e-06,0,178.7346,6.67814,30.5532,38.46365,GALAXY,SDSS,sdss,0.03752905,178.7346,6.67814,30.5532,1.0,GALAXY,STARFORMING,96.0,GALAXY,2.490717,0.5114346,3.866655,0.5017337,3.626608,-1.457199,0.511888,1.424311,0.4941164,1.68428,-3.057091,0.3686779,3.401457,0.3204249,3.302221,2.491888,0.3205326,2.491888,0.3205326,1.946435,0.1392477,0.01011068,0.1369595,0.01012346,0.1184638,2.139252,0.3488967,2.139252,0.3488967,1.903182,1.968919,0.3435026,1.968919,0.3435026,1.788834,0.9510948,0.5299752,3.046314,0.5284105,3.442852,0.0,-1.0,0.0,-1.0,1.159027,2.27082,0.3751696,3.660449,0.3601435,3.429297,-0.4423837,0.3652618,2.378131,0.3369341,2.613075,1.371164,0.01306869,1.366321,0.01303891,1.389265,1.578966,0.01117941,1.568405,0.01112554,1.640443,0,858040220065490944,1,1,1,csv_specobjid_with_mpa,7.883797,0.3279051,24.31251,1.951032,20.07418,1.560963,0.0375999994575977,2.0,0.7459999918937683,8.789999961853027,5.670000076293945,0.699999988079071,2.509999990463257,0.0099999997764825,14.4399995803833,0.1800000071525573,0,7.600536377889616,0.7805306289247278,5.932451439199455,6.1535450307248825,1,1,2.490717,0.5114346,3.866655,0.5017337,3.626608,-1.457199,0.511888,1.424311,0.4941164,1.68428,-3.057091,0.3686779,3.401457,0.3204249,3.302221,2.491888,0.3205326,2.491888,0.3205326,1.946435,2.139252,0.3488967,2.139252,0.3488967,1.903182,1.968919,0.3435026,1.968919,0.3435026,1.788834,0.1392477,0.01011068,0.1369595,0.01012346,0.1184638,1.371164,0.01306869,1.366321,0.01303891,1.389265,178.7346,6.67814,178.7346,6.67814,178.7346,6.67814,galSpecInfo.v_disp,30.5532,38.46365,30.5532,1,1,2.282965215534148,0.20762911024988437,1.21313742782372,0.2127313445583761,2.282965215534148,0.20762911024988437,1.21313742782372,0.2127313445583761,S2,G01105,g00000,4e70e2111b2e
2,0,1,0.037864507,0.03802488075,138.73358378062295,-20.729999,10.40786,-11.769536,Quenched,Elliptical,0.920000016689301,0.0610000006854534,True,26,1,1,0.03729075,1.189498e-05,0,117.3581,4.98013,28.86621,36.35191,GALAXY,SDSS,sdss,0.03729075,117.3581,4.98013,28.82646,1.0,GALAXY,,96.0,GALAXY,-1.546489,0.6202332,-1.546489,0.6202332,-1.251321,-5.9248,0.594106,-5.377525,0.5908465,-4.30152,1.462014,0.3186234,1.462014,0.3186234,1.975734,3.659058,0.3290052,3.659058,0.3290052,2.84965,0.2342204,0.01055537,0.2342204,0.01055537,0.1701578,3.195141,0.3347007,3.195141,0.3347007,2.722686,2.413588,0.3432906,2.413588,0.3432906,2.584347,4.634531,0.5096955,5.059722,0.5081156,5.13763,0.4966552,0.3392052,0.4966552,0.3392052,1.646542,0.2080538,0.447684,0.2080538,0.447684,0.6819223,-1.991904,0.4115405,-1.467603,0.4066525,-0.6910638,1.850285,0.02288588,1.850285,0.02288588,1.814959,1.998701,0.01836048,1.998701,0.01836048,2.026889,0,858035272263165952,1,1,1,csv_specobjid_with_mpa,3.958284,0.02387385,10.17899,0.1150565,9.515046,1.662157,0.0373000018298625,2.0,0.7400000095367432,4.650000095367432,3.900000095367432,0.3300000131130218,4.610000133514404,0.0799999982118606,15.25,0.0,0,5.270270331224618,0.7758644648278683,4.089015470033781,3.071091897296714,1,1,-1.546489,0.6202332,-1.546489,0.6202332,-1.251321,-5.9248,0.594106,-5.377525,0.5908465,-4.30152,1.462014,0.3186234,1.462014,0.3186234,1.975734,3.659058,0.3290052,3.659058,0.3290052,2.84965,3.195141,0.3347007,3.195141,0.3347007,2.722686,2.413588,0.3432906,2.413588,0.3432906,2.584347,0.2342204,0.01055537,0.2342204,0.01055537,0.1701578,1.850285,0.02288588,1.850285,0.02288588,1.814959,117.3581,4.98013,117.3581,4.98013,117.3581,4.98013,galSpecInfo.v_disp,28.82646,36.35191,28.86621,1,1,3.3000722515116667,0.20664037533177806,1.3047726142589524,0.16187644363513307,3.3000722515116667,0.20664037533177806,1.3047726142589524,0.16187644363513307,S2,G01105,g00001,e2028290efb1
3,0,1,0.038568193,0.03802488075,138.73358378062295,-19.424341,9.313793,-9.5168569,Starforming,Spiral,0.158000007271767,0.757000029087067,True,26,1,1,0.03799391,8.91363e-06,0,0.0,58.1722,10.58729,13.22273,GALAXY,SDSS,sdss,0.03799391,0.0,58.1722,10.74559,1.0,GALAXY,STARFORMING,64.0,GALAXY,4.950533,1.102444,6.489912,1.079026,5.369902,0.6109527,1.181131,2.850661,1.150214,4.162218,-2.287879,0.9571179,4.092072,0.8038151,4.259913,2.4333,0.8483132,2.4333,0.8483132,1.426931,0.09760005,0.02726512,0.09639105,0.02728382,0.08804724,1.844664,0.9162672,1.844664,0.9162672,1.596728,1.09234,0.9465332,1.09234,0.9465332,1.631351,0.8827511,1.331765,2.911929,1.321064,2.902329,0.0,-1.0,0.0,-1.0,0.9777312,3.043655,0.8432009,4.635148,0.805375,4.586565,0.5416287,0.8561139,2.765422,0.8048021,4.084778,1.183016,0.02475964,1.18184,0.02474443,1.220904,1.307094,0.02063422,1.296802,0.02052134,1.3719,0,858039945187584000,1,1,1,csv_specobjid_with_mpa,3.751531,0.05619901,7.722162,0.3131626,7.793167,1.662157,0.0379999987781047,2.0,0.7540000081062317,3.259999990463257,3.0999999046325684,0.1000000014901161,1.2300000190734863,0.050000000745058,16.68000030517578,0.4300000071525574,0,4.111405664860161,0.7896160982212913,3.2464320992917943,2.9622692705762192,1,1,4.950533,1.102444,6.489912,1.079026,5.369902,0.6109527,1.181131,2.850661,1.150214,4.162218,-2.287879,0.9571179,4.092072,0.8038151,4.259913,2.4333,0.8483132,2.4333,0.8483132,1.426931,1.844664,0.9162672,1.844664,0.9162672,1.596728,1.09234,0.9465332,1.09234,0.9465332,1.631351,0.09760005,0.02726512,0.09639105,0.02728382,0.08804724,1.183016,0.02475964,1.18184,0.02474443,1.220904,,,,,,,none,10.74559,13.22273,10.58729,1,1,1.9940021349597397,0.5558688193793303,1.6569946789313192,0.9413295823043196,1.9940021349597397,0.5558688193793303,1.6569946789313192,0.9413295823043196,S2,G01105,g00002,03abe035c16f
4,0,1,0.037563678,0.03802488075,138.73358378062295,-19.032422,9.284696,-9.8350823,Starforming,Spiral,0.0070000002160668,0.992999970912933,True,26,1,1,0.03698973,7.689457e-06,0,119.6284,37.74908,6.868608,8.862889,GALAXY,SDSS,sdss,0.03698973,119.6284,37.74908,6.948121,1.0,GALAXY,STARFORMING,64.0,GALAXY,4.257072,2.100756,5.934091,2.053039,5.575099,-3.356709,2.193557,-0.5938464,2.122611,4.392414,-4.045278,1.564821,3.401748,1.267387,4.359445,0.5484943,1.404243,0.5484943,1.404243,1.395599,0.04424617,0.04221543,0.04114791,0.04229185,0.08517984,2.081974,1.431047,2.081974,1.431047,1.53352,2.59693,1.434686,2.59693,1.434686,1.512994,-3.219972,2.25573,3.940664,2.092333,2.747734,0.9317514,1.682539,0.9317514,1.682539,0.9281524,4.13705,1.444126,5.791177,1.371246,4.707281,-0.4389826,1.503538,2.224971,1.392841,4.214031,1.265969,0.04921453,1.264554,0.04917825,1.246246,1.382741,0.04052535,1.371548,0.04028483,1.434719,0,858036371774793728,1,1,1,csv_specobjid_with_mpa,4.11197,0.08516956,10.54636,0.4298879,9.430177,1.560963,0.0370000004768371,2.0,0.7360000014305115,5.869999885559082,3.430000066757202,0.8500000238418579,0.8600000143051147,0.0700000002980232,17.09000015258789,0.5199999809265137,0,4.660326168601293,0.7699784081105251,3.5883505245754463,3.1661281147982363,1,1,4.257072,2.100756,5.934091,2.053039,5.575099,-3.356709,2.193557,-0.5938464,2.122611,4.392414,-4.045278,1.564821,3.401748,1.267387,4.359445,0.5484943,1.404243,0.5484943,1.404243,1.395599,2.081974,1.431047,2.081974,1.431047,1.53352,2.59693,1.434686,2.59693,1.434686,1.512994,0.04424617,0.04221543,0.04114791,0.04229185,0.08517984,1.265969,0.04921453,1.264554,0.04917825,1.246246,119.6284,37.74908,119.6284,37.74908,119.6284,37.74908,galSpecInfo.v_disp,6.948121,8.862889,6.868608,1,1,1.105005426393203,1.4408877884971898,0.2344541798677639,0.6087722271846623,1.105005426393203,1.4408877884971898,0.2344541798677639,0.6087722271846623,S2,G01105,g00003,1aea192038ed
1,1,0,0.044700583,0.0458903127499999,277.7185452426554,-21.884657,10.94254,-12.309705999999998,Quenched,Elliptical,0.675999999046326,0.282000005245209,False,26,1,1,0.0442361,1.001628e-05,0,159.4881,4.293268,34.96326,42.23038,GALAXY,SDSS,sdss,0.0442361,159.4881,4.293268,34.98672,1.0,GALAXY,BROADLINE,96.0,GALAXY,-1.898388,0.474905,-1.898388,0.474905,-1.330076,-4.729034,0.443164,-4.729034,0.443164,-4.609449,1.650742,0.2612353,2.076671,0.2590791,2.16174,4.049944,0.2630004,4.049944,0.2630004,3.285111,0.2440679,0.00863756,0.2440679,0.00863756,0.1925253,2.789829,0.280586,2.789829,0.280586,3.12703,2.810825,0.2876703,2.810825,0.2876703,2.910123,5.500533,0.4145174,6.052606,0.4128648,5.656754,1.828994,0.2454587,1.828994,0.2454587,1.912141,0.6066363,0.3340065,0.6066363,0.3340065,0.8450484,-1.010872,0.3013503,-1.010872,0.3013503,-0.7450789,1.892867,0.01669018,1.892867,0.01669018,1.852523,2.096892,0.0136511,2.096892,0.0136511,2.090262,0,500074962334279680,1,1,1,csv_specobjid_with_mpa,4.223624,0.1275714,13.57081,0.8702777,9.922799,1.5295,0.0443000011146068,2.0,0.871999979019165,6.519999980926514,5.360000133514404,0.3600000143051147,5.420000076293945,0.050000000745058,14.56999969482422,0.0,0,6.146789291833917,0.9084688822869864,5.584166797605976,3.8370309744804914,1,1,-1.898388,0.474905,-1.898388,0.474905,-1.330076,-4.729034,0.443164,-4.729034,0.443164,-4.609449,1.650742,0.2612353,2.076671,0.2590791,2.16174,4.049944,0.2630004,4.049944,0.2630004,3.285111,2.789829,0.280586,2.789829,0.280586,3.12703,2.810825,0.2876703,2.810825,0.2876703,2.910123,0.2440679,0.00863756,0.2440679,0.00863756,0.1925253,1.892867,0.01669018,1.892867,0.01669018,1.852523,159.4881,4.293268,159.4881,4.293268,159.4881,4.293268,galSpecInfo.v_disp,34.98672,42.23038,34.96326,1,1,3.364886380601687,0.17049145324790743,1.4462396712955308,0.13995854675414293,3.364886380601687,0.17049145324790743,1.4462396712955308,0.13995854675414293,S2,G01080,g00004,904ebde73744
2,0,1,0.046428481,0.0458903127499999,277.7185452426554,-21.525527,10.82927,-12.130374,Quenched,NoGZ,,,False,26,1,1,0.04596309,1.160803e-05,0,189.7935,5.581396,34.57557,41.74768,GALAXY,SDSS,sdss,0.04596309,189.7935,5.581396,34.62148,1.0,GALAXY,,96.0,GALAXY,-1.620667,0.4578237,-1.620667,0.4578237,-1.611344,-5.401953,0.4474735,-5.401953,0.4474735,-4.974365,1.675587,0.2610049,1.675587,0.2610049,2.054541,4.054763,0.2656644,4.054763,0.2656644,3.303953,0.2494716,0.008692662,0.2494716,0.008692662,0.1906186,2.451312,0.285587,2.451312,0.285587,2.856631,2.209666,0.2926449,2.209666,0.2926449,2.673095,5.403892,0.4160643,5.403892,0.4160643,5.106075,1.631135,0.2512636,1.631135,0.2512636,1.737745,0.7241312,0.3176256,0.7241312,0.3176256,0.6204581,-1.571664,0.3063205,-1.571664,0.3063205,-0.9407025,1.860627,0.01579729,1.860627,0.01579729,1.824688,2.041938,0.01265378,2.041938,0.01265378,2.039056,0,500071114043582464,1,1,1,csv_specobjid_with_mpa,2.438891,0.09332694,7.760238,0.678694,5.525075,1.607249,0.0460000000894069,2.0,0.902999997138977,3.809999942779541,2.7100000381469727,0.5899999737739563,4.260000228881836,0.0399999991059303,14.960000038146973,0.5699999928474426,0,3.0011074714653487,0.9416399298330717,2.8259626288521376,2.2965571501105098,1,1,-1.620667,0.4578237,-1.620667,0.4578237,-1.611344,-5.401953,0.4474735,-5.401953,0.4474735,-4.974365,1.675587,0.2610049,1.675587,0.2610049,2.054541,4.054763,0.2656644,4.054763,0.2656644,3.303953,2.451312,0.285587,2.451312,0.285587,2.856631,2.209666,0.2926449,2.209666,0.2926449,2.673095,0.2494716,0.008692662,0.2494716,0.008692662,0.1906186,1.860627,0.01579729,1.860627,0.01579729,1.824688,189.7935,5.581396,189.7935,5.581396,189.7935,5.581396,galSpecInfo.v_disp,34.62148,41.74768,34.57557,1,1,3.1088808864741924,0.17665925123175547,1.7398764808587384,0.1905073353509133,3.1088808864741924,0.17665925123175547,1.7398764808587384,0.1905073353509133,S2,G01080,g00005,cbffce0a0cfd
3,0,1,0.045765926,0.0458903127499999,277.7185452426554,-19.524462,9.714207,-10.3114879,Starforming,NoGZ,,,False,26,1,1,0.04530118,1.595444e-05,0,14.64783,17.16466,9.473363,11.25405,GALAXY,SDSS,sdss,0.04530118,14.64783,17.16466,9.566511,1.0,GALAXY,STARFORMING,64.0,GALAXY,2.527751,1.556186,2.527751,1.556186,4.040873,1.102957,1.48527,2.321175,1.466548,2.342461,-0.1210813,0.9962713,3.229112,0.9266749,3.64186,0.6721294,0.9851465,0.6721294,0.9851465,1.876279,0.1038168,0.02956317,0.1038168,0.02956317,0.1128125,3.040296,1.004343,3.040296,1.004343,1.970788,-1.009675,1.117667,-1.009675,1.117667,1.996764,6.300988,1.4173,7.459749,1.404079,3.706628,-0.2459934,0.9448547,-0.2459934,0.9448547,1.176309,1.778469,1.182238,1.778469,1.182238,3.776198,2.175149,1.043913,3.390476,1.011687,3.053172,1.282155,0.03812464,1.282155,0.03812464,1.325947,1.49775,0.03262697,1.49775,0.03262697,1.507052,0,500075512090093568,1,1,1,csv_specobjid_with_mpa,2.825231,0.07225405,6.491011,0.5015637,6.0722,1.607249,0.0454000011086463,2.0,0.8930000066757202,3.630000114440918,2.319999933242798,0.7099999785423279,0.7099999785423279,0.0399999991059303,17.219999313354492,0.5699999928474426,0,2.597984228330775,0.928937031707168,2.4133637574876277,2.624461699027074,1,1,2.527751,1.556186,2.527751,1.556186,4.040873,1.102957,1.48527,2.321175,1.466548,2.342461,-0.1210813,0.9962713,3.229112,0.9266749,3.64186,0.6721294,0.9851465,0.6721294,0.9851465,1.876279,3.040296,1.004343,3.040296,1.004343,1.970788,-1.009675,1.117667,-1.009675,1.117667,1.996764,0.1038168,0.02956317,0.1038168,0.02956317,0.1128125,1.282155,0.03812464,1.282155,0.03812464,1.325947,14.64783,17.16466,14.64783,17.16466,14.64783,17.16466,galSpecInfo.v_disp,9.566511,11.25405,9.473363,1,1,1.1319377387441094,0.8618999990593599,0.6619939417547637,1.0869368019462788,1.1319377387441094,0.8618999990593599,0.6619939417547637,1.0869368019462788,S2,G01080,g00006,4bde23ffb04f
4,0,1,0.046666261,0.0458903127499999,277.7185452426554,-19.437155,9.640424,-9.905285,Starforming,NoGZ,,,False,26,1,1,0.04620219,1.35889e-05,0,60.50066,22.01302,8.89603,11.26421,GALAXY,SDSS,sdss,0.04620219,60.50066,22.01302,9.010636,1.0,GALAXY,STARFORMING,64.0,GALAXY,1.717177,1.621211,3.242252,1.589491,3.860844,-0.09755608,1.571302,2.186846,1.528992,2.041781,-0.3915933,1.045038,3.064074,0.9709231,3.531472,0.3542791,1.102567,0.3542791,1.102567,1.961954,0.05243802,0.03271313,0.05243802,0.03271313,0.1179686,1.345824,1.088641,1.345824,1.088641,2.048246,3.625315,1.08575,3.625315,1.08575,2.082869,6.888702,1.464584,8.733091,1.441755,3.831845,0.7114497,0.953816,0.7114497,0.953816,1.242836,3.157548,1.123959,4.659821,1.0784,3.692727,1.021224,1.089712,3.251209,1.020702,2.883629,1.332909,0.04095536,1.331165,0.04091974,1.33997,1.5917,0.0365476,1.579911,0.03634536,1.516972,0,500074137700558848,1,1,1,csv_specobjid_with_mpa,3.197137,0.05518629,6.300873,0.2139703,6.961413,1.5295,0.0461999997496604,2.0,0.9079999923706056,4.21999979019165,2.7899999618530273,0.6700000166893005,0.8600000143051147,0.0599999986588954,17.239999771118164,0.4600000083446502,0,3.0726872084755175,0.9461938253517852,2.907357663896948,3.02511128820373,1,1,1.717177,1.621211,3.242252,1.589491,3.860844,-0.09755608,1.571302,2.186846,1.528992,2.041781,-0.3915933,1.045038,3.064074,0.9709231,3.531472,0.3542791,1.102567,0.3542791,1.102567,1.961954,1.345824,1.088641,1.345824,1.088641,2.048246,3.625315,1.08575,3.625315,1.08575,2.082869,0.05243802,0.03271313,0.05243802,0.03271313,0.1179686,1.332909,0.04095536,1.331165,0.04091974,1.33997,60.50066,22.01302,60.50066,22.01302,60.50066,22.01302,galSpecInfo.v_disp,9.010636,11.26421,8.89603,1,1,0.8384024099804747,1.3166506236393838,0.14253437693051835,0.44577249867592245,0.8384024099804747,1.3166506236393838,0.14253437693051835,0.44577249867592245,S2,G01080,g00007,f4d0be03f1c3
1,1,0,0.045092908,0.04548640925,111.41340432393416,-23.060968,11.56605,-12.834793,Quenched,Elliptical,0.882000029087067,0.025000000372529,True,26,1,1,0.04462,1.150926e-05,0,247.3817,5.20726,41.10244,47.29907,GALAXY,SDSS,sdss,0.04462,247.3817,5.20726,41.07203,1.0,GALAXY,,96.0,GALAXY,-1.767967,0.3894989,-1.767967,0.3894989,-1.452628,-5.874858,0.3749892,-5.300901,0.3726291,-4.978623,1.436831,0.2263259,2.015839,0.2236669,2.083762,4.202595,0.2255746,4.202595,0.2255746,3.096847,0.2542131,0.007396329,0.2542131,0.007396329,0.192041,2.825678,0.2419506,2.825678,0.2419506,2.797529,2.31389,0.2491962,2.31389,0.2491962,2.41101,5.186512,0.3611816,5.827601,0.3594855,4.998737,1.410688,0.2128534,1.410688,0.2128534,1.58831,0.1516365,0.278651,0.1516365,0.278651,0.682583,-1.583861,0.2551847,-1.037825,0.2516293,-0.8160455,1.9101,0.01367564,1.920393,0.0138026,1.874355,2.100326,0.01099764,2.106178,0.01105146,2.160221,0,503368824192526336,1,1,1,csv_specobjid_with_mpa,9.151742,0.1145019,28.38928,0.7838558,21.58313,1.661455,,,,,,,,,,,0,,0.9160126583821928,,8.383111518247965,1,1,-1.767967,0.3894989,-1.767967,0.3894989,-1.452628,-5.874858,0.3749892,-5.300901,0.3726291,-4.978623,1.436831,0.2263259,2.015839,0.2236669,2.083762,4.202595,0.2255746,4.202595,0.2255746,3.096847,2.825678,0.2419506,2.825678,0.2419506,2.797529,2.31389,0.2491962,2.31389,0.2491962,2.41101,0.2542131,0.007396329,0.2542131,0.007396329,0.192041,1.9101,0.01367564,1.920393,0.0138026,1.874355,247.3817,5.20726,247.3817,5.20726,247.3817,5.20726,galSpecInfo.v_disp,41.07203,47.29907,41.10244,1,1,3.3575207640831053,0.14802997127028414,1.6353884217506218,0.1411373765328166,3.3575207640831053,0.14802997127028414,1.6353884217506218,0.1411373765328166,S2,G01219,g00008,51281336ea69
2,0,1,0.045297238,0.04548640925,111.41340432393416,-21.38034,10.74845,-11.3384873,Quenched,Spiral,0.0,0.672999978065491,True,26,1,1,0.04482295,1.840648e-05,0,90.53558,6.321025,17.77964,22.39844,GALAXY,SDSS,sdss,0.04482295,90.53558,6.321025,17.87079,1.0,GALAXY,,96.0,GALAXY,-0.3544649,0.9913846,-0.3544649,0.9913846,-0.4531054,-4.701167,0.9546663,-4.701167,0.9546663,-3.304581,1.955856,0.5028465,1.955856,0.5028465,2.12954,3.796291,0.5159413,3.796291,0.5159413,2.740364,0.2146377,0.01656698,0.2146377,0.01656698,0.1646948,3.669149,0.5258926,3.669149,0.5258926,2.670994,2.32164,0.5362208,2.32164,0.5362208,2.582144,5.470165,0.7854612,5.919966,0.7829236,5.035294,1.335754,0.4665753,1.335754,0.4665753,1.585293,1.434784,0.6920201,1.434784,0.6920201,1.12145,-1.371661,0.6629108,-1.371661,0.6629108,-0.1898728,1.664415,0.03255181,1.664415,0.03255181,1.651167,1.805524,0.02600678,1.805524,0.02600678,1.82328,0,503370198582061056,1,1,1,csv_specobjid_with_mpa,7.774599,0.1128457,17.1139,0.5765877,16.63868,1.661455,0.0447999984025955,2.0,0.8820000290870667,11.640000343322754,9.710000038146973,0.3300000131130218,2.6700000762939453,0.0299999993294477,14.9399995803833,0.0,0,11.009069974972132,0.9199387575576228,10.127670154640793,7.152154944568737,1,1,-0.3544649,0.9913846,-0.3544649,0.9913846,-0.4531054,-4.701167,0.9546663,-4.701167,0.9546663,-3.304581,1.955856,0.5028465,1.955856,0.5028465,2.12954,3.796291,0.5159413,3.796291,0.5159413,2.740364,3.669149,0.5258926,3.669149,0.5258926,2.670994,2.32164,0.5362208,2.32164,0.5362208,2.582144,0.2146377,0.01656698,0.2146377,0.01656698,0.1646948,1.664415,0.03255181,1.664415,0.03255181,1.651167,90.53558,6.321025,90.53558,6.321025,90.53558,6.321025,galSpecInfo.v_disp,17.87079,22.39844,17.77964,1,1,3.5350823420969535,0.324869691113426,1.267375966671502,0.23433837600062105,3.5350823420969535,0.324869691113426,1.267375966671502,0.23433837600062105,S2,G01219,g00009,4c4c1c84f21c
