colour,colour_label,sample,sample_label,n_groups,mean_matched_satellites,pearson_r,pearson_p,spearman_rho,spearman_p,slope,intercept,pearson_p_holm,spearman_p_holm
u-r,$(u-r)$,All,all samples,184,1.798913043478261,0.3583970476666632,5.872832836118238e-07,0.27858560577101676,0.0001285324659955771,0.42150604292920935,1.0374152012617472,1.7618498508354714e-06,0.00038559739798673135
u-r,$(u-r)$,CG4,CG$_4$,8,1.875,-0.14356197959539035,0.7344969432778411,-0.023809523809523815,0.9553740118158807,-0.2405085126076848,2.926307759080128,1.0,1.0
u-r,$(u-r)$,Control4B,Control$_{4B}$,76,1.7105263157894737,0.25142015985173216,0.028464369613336746,0.20289815447710186,0.07877407340889563,0.27321580687494285,1.3807968635061327,0.08539310884001024,0.22529257397483177
u-r,$(u-r)$,Control4C,Control$_{4C}$,91,1.8681318681318682,0.42944888189975994,2.158644448854269e-05,0.3297499601847428,0.001413375523880535,0.5276775106068605,0.781770307472959,6.475933346562807e-05,0.00565350209552214
u-r,$(u-r)$,RG4,RG$_4$,9,1.7777777777777777,0.6925612506531973,0.038656750837609055,0.4666666666666666,0.20538635110581185,0.7768614801487322,0.14954981496937636,0.11597025251282717,0.6175604839449004
u-g,$(u-g)$,All,all samples,184,1.798913043478261,0.2805497212009961,0.0001146066986104118,0.27349188290668197,0.00017236451562157367,0.3069482753264552,0.9397270298913362,0.0002292133972208236,0.00038559739798673135
u-g,$(u-g)$,CG4,CG$_4$,8,1.875,-0.11499912704172079,0.7862701449506468,0.09523809523809526,0.8225054302036114,-0.20796742383866287,1.9538143551906506,1.0,1.0
u-g,$(u-g)$,Control4B,Control$_{4B}$,76,1.7105263157894737,0.18468269389987213,0.11024015336648647,0.18832535885167465,0.10327353985014305,0.17906210433579872,1.139705805545943,0.22048030673297295,0.22529257397483177
u-g,$(u-g)$,Control4C,Control$_{4C}$,91,1.8681318681318682,0.3411560053150904,0.0009352792005307607,0.3142220098741838,0.0024191670208491057,0.39501721295720904,0.7990266599013485,0.0018705584010615215,0.0072575010625473176
u-g,$(u-g)$,RG4,RG$_4$,9,1.7777777777777777,0.5927518755383119,0.09254369049388317,0.5166666666666667,0.1543901209862251,0.6804705954650317,0.30343454948108345,0.18508738098776634,0.6175604839449004
g-r,$(g-r)$,All,all samples,184,1.798913043478261,0.4164762145296371,4.097196343018427e-09,0.2861712842045714,8.214967798659983e-05,0.5963761836527727,0.16260355170228752,1.6388785372073707e-08,0.00032859871194639934
g-r,$(g-r)$,CG4,CG$_4$,8,1.875,-0.17839240795041053,0.6725429013096392,-0.04761904761904763,0.9108491685195836,-0.5140382834238679,1.1299129573349183,1.0,1.0
g-r,$(g-r)$,Control4B,Control$_{4B}$,76,1.7105263157894737,0.33074699690725734,0.0035205143577335283,0.2675871496924128,0.01944450302464732,0.45559070705934457,0.2641084604139731,0.014082057430934113,0.07777801209858928
g-r,$(g-r)$,Control4C,Control$_{4C}$,91,1.8681318681318682,0.47607551667926273,1.845562744641823e-06,0.2998566650740564,0.0038810713205311973,0.6726207297517319,0.10429654277257457,7.382250978567292e-06,0.007762142641062395
g-r,$(g-r)$,RG4,RG$_4$,9,1.7777777777777777,0.7709511488686414,0.01501060748539953,0.48333333333333334,0.18746985521554207,1.0985928160288383,-0.23776709996839474,0.06004242994159812,0.6175604839449004
r-i,$(r-i)$,All,all samples,184,1.798913043478261,0.1449436154596263,0.04963556814039828,0.21883998995175163,0.0028402163783692322,0.2275255451782924,0.23149177656355271,0.04963556814039828,0.0028402163783692322
r-i,$(r-i)$,CG4,CG$_4$,8,1.875,-0.038270035574892336,0.928313715171277,-0.023809523809523815,0.9553740118158807,-0.07983894612851052,0.3957089599477626,1.0,1.0
r-i,$(r-i)$,Control4B,Control$_{4B}$,76,1.7105263157894737,0.06465012378795065,0.5789993875991334,0.2053861927546138,0.07509752465827725,0.11195611398131632,0.27765875979032,0.5789993875991334,0.22529257397483177
r-i,$(r-i)$,Control4C,Control$_{4C}$,91,1.8681318681318682,0.20824295592263065,0.047611153429724905,0.2448956840261188,0.019304025598886505,0.287976732171353,0.20534399587938007,0.047611153429724905,0.019304025598886505
r-i,$(r-i)$,RG4,RG$_4$,9,1.7777777777777777,0.19981335216236334,0.6062446528795075,0.38333333333333336,0.30849527238037144,0.6165460939283698,0.057119380076222054,0.6062446528795075,0.6175604839449004
