sample,distance,colour,n,pearson_r,pearson_p,spearman_rho,spearman_p,spearman_p_holm,spearman_p_holm_significant
CG4,dist2BGG_kpc,u_minus_r,102,-0.4092748571414801,1.944513481851388e-05,-0.3649230142888646,0.00016257428117592265,0.00048772284352776793,True
Control4B,dist2BGG_kpc,u_minus_r,831,-0.12159260800939556,0.0004432030082174966,-0.21234028031035554,6.306580474923922e-10,1.2613160949847844e-09,True
Control4C,dist2BGG_kpc,u_minus_r,1052,-0.1283824420562509,2.9619810577439868e-05,-0.2891464497213865,1.044642912312862e-21,3.1339287369385864e-21,True
RG4,dist2BGG_kpc,u_minus_r,92,-0.19805575024544345,0.05842397063085707,-0.19754018772251594,0.059096172800035415,0.12598995878155325,False
CG4,dist2BGG_kpc,u_minus_g,102,-0.3934662695997733,4.292759006349244e-05,-0.33836958795822475,0.0005043337720160245,0.001008667544032049,True
Control4B,dist2BGG_kpc,u_minus_g,831,-0.1000852345148794,0.0038760658305420194,-0.1749928065497201,3.8514985925915116e-07,3.8514985925915116e-07,True
Control4C,dist2BGG_kpc,u_minus_g,1052,-0.12292246412173312,6.405201445914218e-05,-0.27081471042500366,3.8598531924503427e-19,7.719706384900685e-19,True
RG4,dist2BGG_kpc,u_minus_g,92,-0.1672969983957667,0.11094224852250564,-0.14590878966755544,0.16519417114004287,0.16519417114004287,False
CG4,dist2BGG_kpc,g_minus_r,102,-0.26516499118658854,0.00707222297792928,-0.2345307631848279,0.017661201796607715,0.017661201796607715,True
Control4B,dist2BGG_kpc,g_minus_r,831,-0.1621043841268861,2.639321144362942e-06,-0.25487048861929246,8.675659704124559e-14,2.6026979112373674e-13,True
Control4C,dist2BGG_kpc,g_minus_r,1052,-0.08765841216754025,0.004437526164156214,-0.25699150192933046,2.493926230328507e-17,2.493926230328507e-17,True
RG4,dist2BGG_kpc,g_minus_r,92,-0.21309409121539305,0.04140322379742314,-0.21249017462201192,0.041996652927184415,0.12598995878155325,False
CG4,norm_dist,u_minus_r,102,-0.2028200614006641,0.04091036813903227,-0.1519980096239207,0.1272438838580594,0.3817316515741782,False
Control4B,norm_dist,u_minus_r,831,-0.13025073331760978,0.00016645195352337755,-0.15470844778726123,7.461581707079484e-06,1.4923163414158969e-05,True
Control4C,norm_dist,u_minus_r,1052,-0.12643306533186302,3.915035129616725e-05,-0.17068552494165612,2.5407979638679126e-08,7.622393891603738e-08,True
RG4,norm_dist,u_minus_r,92,-0.17871237104959659,0.08829468704426013,-0.1565895535039995,0.1360584767413845,0.3906734229876857,False
CG4,norm_dist,u_minus_g,102,-0.2252201646029836,0.022851844249007457,-0.13847249944868845,0.1651479512140337,0.3817316515741782,False
Control4B,norm_dist,u_minus_g,831,-0.11858681027408868,0.0006137626322853647,-0.139012088342261,5.799669895165055e-05,5.799669895165055e-05,True
Control4C,norm_dist,u_minus_g,1052,-0.12566918982061737,4.362500965863565e-05,-0.16278547966999665,1.1020023192465282e-07,2.2040046384930564e-07,True
RG4,norm_dist,u_minus_g,92,-0.17818404030168658,0.08925488638868129,-0.15893223186350816,0.13022447432922857,0.3906734229876857,False
CG4,norm_dist,g_minus_r,102,-0.04541177288014158,0.650391867657392,-0.055939745887781236,0.5765450745872913,0.5765450745872913,False
Control4B,norm_dist,g_minus_r,831,-0.1365875879207087,7.814485738508178e-05,-0.16634316354560144,1.4241256010559023e-06,4.272376803167707e-06,True
Control4C,norm_dist,g_minus_r,1052,-0.06564621690913036,0.033256670604380735,-0.13561613483469545,1.0156011673975113e-05,1.0156011673975113e-05,True
RG4,norm_dist,g_minus_r,92,-0.1251923760780604,0.23441226253951725,-0.10822557526624847,0.3044722369700555,0.3906734229876857,False
