sample,distance,colour,model,term,coefficient,p_value,p_holm,p_holm_significant
CG4,dist2BGG_kpc,u_minus_r,within_sample,dist2BGG_kpc,-0.0017705611553814169,0.0002857750741536302,0.0008573252224608907,True
Control4B,dist2BGG_kpc,u_minus_r,within_sample,dist2BGG_kpc,-0.0003758591568689236,0.0018333797529966403,0.0036667595059932806,True
Control4C,dist2BGG_kpc,u_minus_r,within_sample,dist2BGG_kpc,-0.0007647940713677401,0.0007826955168054287,0.0019627994118505106,True
RG4,dist2BGG_kpc,u_minus_r,within_sample,dist2BGG_kpc,-0.00029084116230629543,0.11013375889167147,0.22026751778334294,False
Pooled interaction,dist2BGG_kpc,u_minus_r,CG4_distance_interaction,is_CG4_numeric:dist2BGG_kpc,-0.0016490501298212928,0.0024392308746581685,0.0073176926239745055,True
CG4,dist2BGG_kpc,u_minus_g,within_sample,dist2BGG_kpc,-0.0013686461659651599,0.0009242268188106509,0.0018484536376213018,True
Control4B,dist2BGG_kpc,u_minus_g,within_sample,dist2BGG_kpc,-0.0002520291613905171,0.0065194823383503495,0.0065194823383503495,True
Control4C,dist2BGG_kpc,u_minus_g,within_sample,dist2BGG_kpc,-0.0006633730942735242,0.0006542664706168369,0.0019627994118505106,True
RG4,dist2BGG_kpc,u_minus_g,within_sample,dist2BGG_kpc,-0.0001861791663316954,0.21354906974769827,0.22026751778334294,False
Pooled interaction,dist2BGG_kpc,u_minus_g,CG4_distance_interaction,is_CG4_numeric:dist2BGG_kpc,-0.001355972097590126,0.005082757111871173,0.010165514223742346,True
CG4,dist2BGG_kpc,g_minus_r,within_sample,dist2BGG_kpc,-0.00040191498941625646,0.011953255867888233,0.011953255867888233,True
Control4B,dist2BGG_kpc,g_minus_r,within_sample,dist2BGG_kpc,-0.00012382999547840654,0.0001974888426682736,0.0005924665280048208,True
Control4C,dist2BGG_kpc,g_minus_r,within_sample,dist2BGG_kpc,-0.00010142097709421552,0.19137299076790315,0.19137299076790315,False
RG4,dist2BGG_kpc,g_minus_r,within_sample,dist2BGG_kpc,-0.00010466199597460014,0.03195382891463397,0.09586148674390191,False
Pooled interaction,dist2BGG_kpc,g_minus_r,CG4_distance_interaction,is_CG4_numeric:dist2BGG_kpc,-0.00029307803223116663,0.0580632429113072,0.0580632429113072,False
CG4,norm_dist,u_minus_r,within_sample,norm_dist,-0.12965250541960463,0.16248603674733775,0.33633317711701016,False
Control4B,norm_dist,u_minus_r,within_sample,norm_dist,-0.25278081524853097,0.006351038199142092,0.019053114597426278,True
Control4C,norm_dist,u_minus_r,within_sample,norm_dist,-0.37134819460556273,0.009982003005861854,0.027356993658872772,True
RG4,norm_dist,u_minus_r,within_sample,norm_dist,-0.10885029556842116,0.25133607586092355,0.7540082275827706,False
Pooled interaction,norm_dist,u_minus_r,CG4_distance_interaction,is_CG4_numeric:norm_dist,0.1265328207511838,0.30701567399388796,0.6140313479877759,False
CG4,norm_dist,u_minus_g,within_sample,norm_dist,-0.12339762759875803,0.11211105903900338,0.33633317711701016,False
Control4B,norm_dist,u_minus_g,within_sample,norm_dist,-0.18645742675881516,0.009784021083750314,0.019053114597426278,True
Control4C,norm_dist,u_minus_g,within_sample,norm_dist,-0.3338257169741975,0.009118997886290925,0.027356993658872772,True
RG4,norm_dist,u_minus_g,within_sample,norm_dist,-0.08429904469970972,0.2813436577965255,0.7540082275827706,False
Pooled interaction,norm_dist,u_minus_g,CG4_distance_interaction,is_CG4_numeric:norm_dist,0.086201615214636,0.4231000119047217,0.6140313479877759,False
CG4,norm_dist,g_minus_r,within_sample,norm_dist,-0.0062548778208466535,0.7898829518632141,0.7898829518632141,False
Control4B,norm_dist,g_minus_r,within_sample,norm_dist,-0.06632338848971588,0.006929689395616932,0.019053114597426278,True
Control4C,norm_dist,g_minus_r,within_sample,norm_dist,-0.037522477631365195,0.26153210466091625,0.26153210466091625,False
RG4,norm_dist,g_minus_r,within_sample,norm_dist,-0.024551250868711526,0.2904029417339252,0.7540082275827706,False
Pooled interaction,norm_dist,g_minus_r,CG4_distance_interaction,is_CG4_numeric:norm_dist,0.040331205536547746,0.1682180075133639,0.5046540225400917,False
