sample,outcome,group_quantity,n_groups,spearman_rho,ci95_low,ci95_high,p_value,p_holm,p_holm_significant
All,mean_delta_u_minus_r,t_cr,1264,-0.34838371766960574,-0.4001018587762971,-0.29106953510463024,2.22863239821356e-37,1.5600426787494922e-36,True
All,mean_delta_u_minus_r,Vdisp,1264,0.20767257373149609,0.14734288403704468,0.2610646366610311,8.819350832118111e-14,5.291610499270867e-13,True
All,mean_delta_u_minus_r,Lum_group,1264,0.022509504800583006,-0.03467587957613219,0.0807637487364236,0.4239513086836407,1.0,False
All,mean_delta_u_minus_r,M_virial,1264,0.00899542050703863,-0.047458921326749066,0.06600491766848912,0.7493456966286557,1.0,False
All,mean_delta_u_minus_r,M_virial_over_L,1264,0.0024238598425645685,-0.05616201543061649,0.05521799222564493,0.9313950182217423,1.0,False
All,mean_delta_u_minus_r,Offset_Bary,1264,-0.11003148084487868,-0.16641885006690518,-0.05293455137778963,8.85629144936399e-05,0.0004428145724681995,True
All,mean_delta_u_minus_r,Voffset,1264,0.01960472268536464,-0.0358802314477295,0.07549451634127838,0.4861910881048659,1.0,False
All,median_delta_u_minus_r,t_cr,1264,-0.338159462915982,-0.388892150072885,-0.28201267582865924,3.47872011978716e-35,2.435104083851012e-34,True
All,median_delta_u_minus_r,Vdisp,1264,0.20233117314101148,0.14326544915239137,0.2541542974662555,3.8268318553181987e-13,2.2960991131909193e-12,True
All,median_delta_u_minus_r,Lum_group,1264,0.026345094860630143,-0.02816993207100242,0.08327786584646922,0.34933649744509954,1.0,False
All,median_delta_u_minus_r,M_virial,1264,0.007839538132115948,-0.047672675417232635,0.06344882854398166,0.7806701050439251,1.0,False
All,median_delta_u_minus_r,M_virial_over_L,1264,-0.00033043762011999506,-0.058593622086550064,0.054251824814351375,0.990635960576654,1.0,False
All,median_delta_u_minus_r,Offset_Bary,1264,-0.1165259157687615,-0.171683768089484,-0.060352375676726015,3.283232608114404e-05,0.0001641616304057202,True
All,median_delta_u_minus_r,Voffset,1264,0.027681730683453018,-0.02632767864590666,0.0829325182080177,0.3254218514465209,1.0,False
All,satellite_blue_fraction,t_cr,1264,0.32044304995187445,0.2663599904398497,0.3742267631983189,1.4166181147953109e-31,9.916326803567176e-31,True
All,satellite_blue_fraction,Vdisp,1264,-0.18868077520166981,-0.2432073180338699,-0.13315572126927344,1.3580375814459883e-11,8.14822548867593e-11,True
All,satellite_blue_fraction,Lum_group,1264,-0.0310416899112813,-0.08868582710032055,0.022376617606059558,0.2701174337597645,1.0,False
All,satellite_blue_fraction,M_virial,1264,-0.021074048670705857,-0.0791017467921502,0.03254649264410448,0.4541086914456245,1.0,False
All,satellite_blue_fraction,M_virial_over_L,1264,-0.014434013073530538,-0.070944834956113,0.04068369301384622,0.6081694115833189,1.0,False
All,satellite_blue_fraction,Offset_Bary,1264,0.10746322896851329,0.051509631632098346,0.16059762569085134,0.0001292275887070921,0.0006461379435354605,True
All,satellite_blue_fraction,Voffset,1264,-0.014717160017775588,-0.07086838951126678,0.041244360533705726,0.6011506385385046,1.0,False
All,colour_scatter,t_cr,777,-0.08579509229994675,-0.1534128242454391,-0.011800040058415145,0.016753381617878572,0.11727367132515001,False
All,colour_scatter,Vdisp,777,0.038166131458174796,-0.023684506818680267,0.1085288112985723,0.287988525396662,0.8639655761899859,False
All,colour_scatter,Lum_group,777,-0.02705010535845974,-0.0907151867114262,0.04808125776804105,0.45148719455543884,0.9029743891108777,False
All,colour_scatter,M_virial,777,-0.06296957452028998,-0.12772779917212881,0.0076785861766434935,0.07940061565188285,0.4764036939112971,False
All,colour_scatter,M_virial_over_L,777,-0.05702266903021837,-0.12233612660935225,0.012428155726917484,0.11223561598729441,0.5611780799364721,False
All,colour_scatter,Offset_Bary,777,-0.044607118536114515,-0.10974556163462884,0.024256547945043373,0.21422646164569298,0.8569058465827719,False
All,colour_scatter,Voffset,777,0.009151267079628034,-0.05805450826878486,0.08045953974023443,0.7989674384222443,0.9029743891108777,False
CG4,mean_delta_u_minus_r,t_cr,53,-0.41194968553459116,-0.6095758411063882,-0.1747785470437134,0.002177621507327834,0.015243350551294839,True
CG4,mean_delta_u_minus_r,Vdisp,53,0.255523302693114,0.021377933473342582,0.4871725510215221,0.06479533914335604,0.3239766957167802,False
CG4,mean_delta_u_minus_r,Lum_group,53,0.2847121432027092,0.012924785129606106,0.5327874559105598,0.038801167203325646,0.23280700321995387,False
CG4,mean_delta_u_minus_r,M_virial,53,0.01910982099661345,-0.26491381177601614,0.31569387727752657,0.8919663133536653,1.0,False
CG4,mean_delta_u_minus_r,M_virial_over_L,53,-0.06297371391711014,-0.3468478621778127,0.23879523318715412,0.654175815544539,1.0,False
CG4,mean_delta_u_minus_r,Offset_Bary,53,0.027414933075310434,-0.27176777860696055,0.30632628047986443,0.8455016417391187,1.0,False
CG4,mean_delta_u_minus_r,Voffset,53,0.2173036606998871,-0.04887439519258307,0.46361203276283247,0.11804935246232788,0.4721974098493115,False
CG4,median_delta_u_minus_r,t_cr,53,-0.4019512981777133,-0.6098705369603022,-0.16301192335265155,0.0028505511509545876,0.019953858056682112,True
CG4,median_delta_u_minus_r,Vdisp,53,0.23181744879858085,-0.010548013670559702,0.46222860199149546,0.09486948390371325,0.379477935614853,False
CG4,median_delta_u_minus_r,Lum_group,53,0.31720690211256247,0.05392864805156536,0.5571879011743244,0.0206481268670661,0.12388876120239659,False
CG4,median_delta_u_minus_r,M_virial,53,0.03813900983712304,-0.24678323299351163,0.3298604084371469,0.7862879491739826,1.0,False
CG4,median_delta_u_minus_r,M_virial_over_L,53,-0.054749233994517005,-0.3398115155682171,0.24172700387306656,0.6970036002434772,1.0,False
CG4,median_delta_u_minus_r,Offset_Bary,53,0.0755523302693114,-0.20418348650263435,0.3445281295692857,0.590795791381814,1.0,False
CG4,median_delta_u_minus_r,Voffset,53,0.26858571198193837,0.016383182062466566,0.5131283412441695,0.05182269120571523,0.25911345602857616,False
CG4,satellite_blue_fraction,t_cr,53,0.3785899742076663,0.13683751631495603,0.5864473407835942,0.005184654351679753,0.03110792611007852,True
CG4,satellite_blue_fraction,Vdisp,53,-0.2294076964990035,-0.47938939902384087,0.01817230579810147,0.0984513167943077,0.3938052671772308,False
CG4,satellite_blue_fraction,Lum_group,53,-0.41210132576736314,-0.6283929195918563,-0.137605316108055,0.0021686091946451864,0.015180264362516304,True
CG4,satellite_blue_fraction,M_virial,53,-0.02556449403801212,-0.3060663349726066,0.25113618117286346,0.8558149814526999,1.0,False
CG4,satellite_blue_fraction,M_virial_over_L,53,0.08148682474616363,-0.21297929213235595,0.3421770198575175,0.5618787117576729,1.0,False
CG4,satellite_blue_fraction,Offset_Bary,53,-0.06214526675687814,-0.34567179342758414,0.21826501119862007,0.6584429517459955,1.0,False
CG4,satellite_blue_fraction,Voffset,53,-0.3039147416229467,-0.5308484332267924,-0.05436675767462465,0.026939417269811413,0.13469708634905705,False
CG4,colour_scatter,t_cr,39,0.11659919028340082,-0.23154533396396987,0.44229032485778874,0.4796364429747523,1.0,False
CG4,colour_scatter,Vdisp,39,-0.028947368421052635,-0.3507328467310435,0.3102324012031335,0.8611337483947968,1.0,False
CG4,colour_scatter,Lum_group,39,-0.12732793522267205,-0.42168942558733036,0.19639290123378492,0.43985172751318347,1.0,False
CG4,colour_scatter,M_virial,39,-0.011943319838056682,-0.3278601232523703,0.31372379453745397,0.9424731417178389,1.0,False
CG4,colour_scatter,M_virial_over_L,39,-0.008299595141700407,-0.31928712704148354,0.311837825696039,0.9600065119766708,1.0,False
CG4,colour_scatter,Offset_Bary,39,-0.012550607287449392,-0.3369843013681573,0.31747985486139635,0.939553289215493,1.0,False
