check,comparison,colour,n,coefficient,ci_low,ci_high,p_value
leave one CG4 group out,CG4_25,u_minus_r,2373,-0.043625715973361935,-0.13920516618550502,0.05195373423878114,0.3710039957563961
leave one CG4 group out,CG4_33,u_minus_r,2373,-0.05401354563847118,-0.15008023530712478,0.042053144030182406,0.27046568972558016
leave one CG4 group out,CG4_52,u_minus_r,2372,-0.052048522642526594,-0.14993716442581767,0.045840119140764475,0.2973488562427653
leave one CG4 group out,CG4_61,u_minus_r,2373,-0.0603571819772278,-0.15468644519137686,0.03397208123692127,0.20980730209464038
leave one CG4 group out,CG4_73,u_minus_r,2373,-0.04493800618397424,-0.1415691101577776,0.05169309778982911,0.3620449441619883
leave one CG4 group out,CG4_80,u_minus_r,2374,-0.05301983948271462,-0.14898313942700034,0.042943460461571104,0.2788605910807831
leave one CG4 group out,CG4_82,u_minus_r,2373,-0.04121139692642107,-0.13569370850421747,0.053270914651375324,0.3926069468196899
leave one CG4 group out,CG4_84,u_minus_r,2372,-0.05569023946790918,-0.15281608101673413,0.04143560208091578,0.261094198969242
leave one CG4 group out,CG4_99,u_minus_r,2373,-0.04790047176964164,-0.1440752838559797,0.04827434031669642,0.3289790257998104
leave one CG4 group out,CG4_101,u_minus_r,2374,-0.05813967807576256,-0.1529664423741841,0.03668708622265897,0.2294865151871026
leave one CG4 group out,CG4_106,u_minus_r,2373,-0.0393026846821392,-0.13420182067137282,0.05559645130709441,0.41695038137908547
leave one CG4 group out,CG4_112,u_minus_r,2374,-0.05249261120893048,-0.14822242004184571,0.04323719762398476,0.28249595584696774
leave one CG4 group out,CG4_117,u_minus_r,2373,-0.05058615802158266,-0.14711756288194494,0.045945246838779624,0.30437512527845834
leave one CG4 group out,CG4_128,u_minus_r,2374,-0.052228778140862214,-0.14827184987919845,0.043814293597474005,0.28649608605835775
leave one CG4 group out,CG4_131,u_minus_r,2374,-0.05264736639167707,-0.14848270547587897,0.043187972692524834,0.2816094980964713
leave one CG4 group out,CG4_142,u_minus_r,2373,-0.047778498977438966,-0.14426236828885625,0.0487053703339783,0.3317635447801899
leave one CG4 group out,CG4_147,u_minus_r,2374,-0.04507458236515694,-0.14046958062959944,0.05032041589928555,0.3543980985556623
leave one CG4 group out,CG4_154,u_minus_r,2373,-0.05136366764011785,-0.14837108724158898,0.045643751961353285,0.29937931246838057
leave one CG4 group out,CG4_158,u_minus_r,2373,-0.05016629805061629,-0.14673683728667522,0.046404241185442646,0.308602529507106
leave one CG4 group out,CG4_165,u_minus_r,2374,-0.05281896139963099,-0.1487391953692827,0.04310127257002071,0.28047002549932554
leave one CG4 group out,CG4_173,u_minus_r,2374,-0.04616987534954761,-0.14181778160907563,0.0494780309099804,0.3441039356709238
leave one CG4 group out,CG4_188,u_minus_r,2372,-0.05313770314006656,-0.15100544730339452,0.0447300410232614,0.28725138428060215
leave one CG4 group out,CG4_197,u_minus_r,2372,-0.050800998509731854,-0.14817740816627428,0.046575411146810575,0.3065406760437118
leave one CG4 group out,CG4_204,u_minus_r,2372,-0.05168673493759823,-0.14893444371723913,0.04556097384204266,0.2975450628280438
leave one CG4 group out,CG4_206,u_minus_r,2373,-0.0471294695791515,-0.14314553820570464,0.048886599047401655,0.33602551292473903
leave one CG4 group out,CG4_207,u_minus_r,2373,-0.05586884274415549,-0.15165251864814788,0.03991483315983689,0.25295113613252196
leave one CG4 group out,CG4_214,u_minus_r,2373,-0.043152568273715705,-0.13849539682489673,0.05219026027746532,0.37503152101192094
leave one CG4 group out,CG4_229,u_minus_r,2374,-0.04955111587988985,-0.14541492546208146,0.046312693702301774,0.3110184912754602
leave one CG4 group out,CG4_231,u_minus_r,2373,-0.053317478390653636,-0.14990204694183948,0.04326709016053221,0.2792716934093247
leave one CG4 group out,CG4_239,u_minus_r,2372,-0.0386724398707568,-0.13321261730804632,0.05586773756653271,0.4227036938044566
leave one CG4 group out,CG4_259,u_minus_r,2373,-0.04851424289837929,-0.14507722340875595,0.04804873761199738,0.3247683900334082
leave one CG4 group out,CG4_265,u_minus_r,2374,-0.04632923332514809,-0.14211176247733046,0.049453295827034276,0.3431199345358288
leave one CG4 group out,CG4_271,u_minus_r,2374,-0.04825980614870899,-0.14409387550734878,0.0475742632099308,0.32364644707284906
leave one CG4 group out,CG4_293,u_minus_r,2372,-0.0605198936678461,-0.15527075912864244,0.03423097179295023,0.2106132146893971
leave one CG4 group out,CG4_303,u_minus_r,2373,-0.04926754491159464,-0.14565000799442268,0.047114918171233394,0.316406807764506
leave one CG4 group out,CG4_309,u_minus_r,2372,-0.048573535422504616,-0.14529543438784034,0.04814836354283111,0.3249730359121029
leave one CG4 group out,CG4_315,u_minus_r,2373,-0.0578006694413729,-0.1529489772826159,0.03734763839987009,0.23379556429449955
leave one CG4 group out,CG4_316,u_minus_r,2373,-0.04872917804401827,-0.1453673387097118,0.04790898262167527,0.32300605054488407
leave one CG4 group out,CG4_322,u_minus_r,2373,-0.053357598479650124,-0.14970647856101485,0.04299128160171461,0.2777358165575011
leave one CG4 group out,CG4_323,u_minus_r,2374,-0.04964946749295686,-0.14537663211095092,0.046077697125037204,0.3093689475918744
leave one CG4 group out,CG4_330,u_minus_r,2373,-0.049750114923516664,-0.14639065833358317,0.04689042848654984,0.3129839382344757
leave one CG4 group out,CG4_333,u_minus_r,2374,-0.06108237287184071,-0.15469574949015688,0.03253100374647547,0.20094316978903626
leave one CG4 group out,CG4_337,u_minus_r,2373,-0.04716865175581364,-0.14353662209289292,0.049199318581265625,0.33739161927338357
leave one CG4 group out,CG4_341,u_minus_r,2374,-0.05362961529819962,-0.14919422513716357,0.04193499454076434,0.2713729582936564
leave one CG4 group out,CG4_354,u_minus_r,2373,-0.05353885036205351,-0.15009806224605254,0.04302036152194551,0.27715420060928975
leave one CG4 group out,CG4_360,u_minus_r,2373,-0.0580365116241722,-0.15364446782803315,0.037571444579688765,0.23414505066944302
leave one CG4 group out,CG4_368,u_minus_r,2373,-0.04189561421995735,-0.13689278594144283,0.05310155750152814,0.38737779037466147
leave one CG4 group out,CG4_369,u_minus_r,2373,-0.0470306837759817,-0.14332751612532896,0.049266148573365545,0.3384499751889468
leave one CG4 group out,CG4_373,u_minus_r,2373,-0.06118644654443231,-0.15565270294645675,0.03327980985759213,0.20426913300038907
leave one CG4 group out,CG4_374,u_minus_r,2373,-0.051128075474042384,-0.14748823928560553,0.045232088337520765,0.29836585921737213
leave one CG4 group out,CG4_386,u_minus_r,2372,-0.04034773710114101,-0.1354973262540227,0.05480185205174068,0.40590949316004066
leave one CG4 group out,CG4_394,u_minus_r,2372,-0.06107628904639382,-0.15589321579526055,0.03374063770247291,0.20676529744436922
leave one CG4 group out,CG4_405,u_minus_r,2373,-0.04162582983262186,-0.13693518715427203,0.0536835274890283,0.39199593722360526
leave one CG4 group out,CG4_25,u_minus_g,2373,-0.04336405208127572,-0.12119526422603169,0.034467160063480246,0.2748314259428668
leave one CG4 group out,CG4_33,u_minus_g,2373,-0.05079339493213135,-0.12866170179107292,0.02707491192681022,0.20107954547224027
leave one CG4 group out,CG4_52,u_minus_g,2372,-0.05094501352524852,-0.12996522391547416,0.028075196864977114,0.20637157107903858
leave one CG4 group out,CG4_61,u_minus_g,2373,-0.05444570129799175,-0.13137700710382966,0.022485604507846153,0.1654104818959633
leave one CG4 group out,CG4_73,u_minus_g,2373,-0.04372092880084971,-0.12214465465773983,0.0347027970560404,0.27453763363552797
leave one CG4 group out,CG4_80,u_minus_g,2374,-0.0493939723441557,-0.12724387449285934,0.028455929804547933,0.2136644662890701
leave one CG4 group out,CG4_82,u_minus_g,2373,-0.039685761636859426,-0.11620890355190927,0.03683738027819042,0.30941069297191603
leave one CG4 group out,CG4_84,u_minus_g,2372,-0.05267051655078979,-0.13112992508325683,0.02578889198167726,0.18826075326551261
leave one CG4 group out,CG4_99,u_minus_g,2373,-0.04467159158548967,-0.12259045617529156,0.033247273004312225,0.261155117160064
leave one CG4 group out,CG4_101,u_minus_g,2374,-0.054855391562525724,-0.1313816163358772,0.021670833210825732,0.16003975191548836
leave one CG4 group out,CG4_106,u_minus_g,2373,-0.039335109437154236,-0.11657500187580924,0.03790478300150077,0.31821667613444693
leave one CG4 group out,CG4_112,u_minus_g,2374,-0.04834053685032966,-0.12605772590122205,0.02937665220056275,0.22280288987004404
leave one CG4 group out,CG4_117,u_minus_g,2373,-0.047296039618508756,-0.1255750010501111,0.030982921813093603,0.23633092870689498
leave one CG4 group out,CG4_128,u_minus_g,2374,-0.04917258087876385,-0.12705033269682586,0.028705170939298183,0.21588831946284992
leave one CG4 group out,CG4_131,u_minus_g,2374,-0.04915244838338964,-0.12690714611271975,0.028602249345940453,0.2153504605276504
leave one CG4 group out,CG4_142,u_minus_g,2373,-0.04453088144433708,-0.12266103720275634,0.03359927431408217,0.2639530652698837
leave one CG4 group out,CG4_147,u_minus_g,2374,-0.043829517295960956,-0.12133905365664946,0.03368001906472754,0.26772973438789227
leave one CG4 group out,CG4_154,u_minus_g,2373,-0.04279945852911994,-0.12090112135642124,0.03530220429818136,0.28279851473648066
leave one CG4 group out,CG4_158,u_minus_g,2373,-0.04787916764661146,-0.12617927646091784,0.03042094116769492,0.2307285657967304
leave one CG4 group out,CG4_165,u_minus_g,2374,-0.04952565503791556,-0.12731592327931313,0.028264613203482003,0.21209581652493192
leave one CG4 group out,CG4_173,u_minus_g,2374,-0.044474190781249895,-0.12212359201544801,0.03317521045294822,0.2616151072059739
leave one CG4 group out,CG4_188,u_minus_g,2372,-0.04812376737145074,-0.12749693898831294,0.031249404245411463,0.23470674806363345
leave one CG4 group out,CG4_197,u_minus_g,2372,-0.047279863568582756,-0.12619661693943757,0.03163688980227207,0.24030082990520196
leave one CG4 group out,CG4_204,u_minus_g,2372,-0.050886318803285494,-0.12943536708842412,0.02766272948185315,0.20418413847191386
leave one CG4 group out,CG4_206,u_minus_g,2373,-0.04507780707507528,-0.12300967805843696,0.03285406390828641,0.25692301440102905
leave one CG4 group out,CG4_207,u_minus_g,2373,-0.051697053647979954,-0.1294276374211461,0.02603353012518618,0.19239293583576134
leave one CG4 group out,CG4_214,u_minus_g,2373,-0.04241463234499984,-0.11997533551463853,0.035146070824638845,0.2838006625938232
leave one CG4 group out,CG4_229,u_minus_g,2374,-0.04527915132217669,-0.12294076107291854,0.03238245842856516,0.25315469665834767
leave one CG4 group out,CG4_231,u_minus_g,2373,-0.04952625526986603,-0.12785779518822687,0.028805284648494807,0.2152656158122621
leave one CG4 group out,CG4_239,u_minus_g,2372,-0.039409810224676364,-0.11667896215458573,0.037859341705233,0.317481790631733
leave one CG4 group out,CG4_259,u_minus_g,2373,-0.04623248306990781,-0.1245434137570343,0.03207844761721869,0.247229295736358
leave one CG4 group out,CG4_265,u_minus_g,2374,-0.044176687759827235,-0.12185031629950467,0.0334969407798502,0.2649683871390799
leave one CG4 group out,CG4_271,u_minus_g,2374,-0.04705093043978213,-0.12484414372991634,0.030742282850352076,0.2358488971189392
leave one CG4 group out,CG4_293,u_minus_g,2372,-0.05378285357336164,-0.13133968046768063,0.023773973320957334,0.1740945897228383
leave one CG4 group out,CG4_303,u_minus_g,2373,-0.04585919871968186,-0.12398643880548349,0.03226804136611977,0.24995386345151005
leave one CG4 group out,CG4_309,u_minus_g,2372,-0.04627765681422094,-0.12475306045556128,0.0321977468271194,0.24775948466447717
leave one CG4 group out,CG4_315,u_minus_g,2373,-0.053055592785382744,-0.13036208968173074,0.024250904110965255,0.1785842470839415
leave one CG4 group out,CG4_316,u_minus_g,2373,-0.04660343965382788,-0.12497758499987006,0.03177070569221431,0.24383732393856528
leave one CG4 group out,CG4_322,u_minus_g,2373,-0.04797561186203163,-0.12624510729863114,0.0302938835745679,0.22960846264190904
leave one CG4 group out,CG4_323,u_minus_g,2374,-0.04573218298700082,-0.12333810319439242,0.031873737220390795,0.24809784695772108
leave one CG4 group out,CG4_330,u_minus_g,2373,-0.04727279446950902,-0.12563145230433284,0.031085863365314798,0.23703843125396096
leave one CG4 group out,CG4_333,u_minus_g,2374,-0.05769103031201998,-0.1328954388707141,0.017513378246674143,0.13270154543306995
leave one CG4 group out,CG4_337,u_minus_g,2373,-0.046453266484204295,-0.12473678832422126,0.03183025535581267,0.24481398876097604
leave one CG4 group out,CG4_341,u_minus_g,2374,-0.049780765371554236,-0.12735540081468905,0.027793870071580587,0.20848680250257257
leave one CG4 group out,CG4_354,u_minus_g,2373,-0.048342802291018144,-0.12676582292087063,0.03008021833883434,0.22697300015938449
leave one CG4 group out,CG4_360,u_minus_g,2373,-0.05308361428981943,-0.13075766533031294,0.02459043675067408,0.18041808713522534
leave one CG4 group out,CG4_368,u_minus_g,2373,-0.040448086538113326,-0.11743759721104888,0.036541424134822226,0.3031466245024417
leave one CG4 group out,CG4_369,u_minus_g,2373,-0.04334551565980381,-0.12119995389210157,0.03450892257249395,0.2751798781842324
leave one CG4 group out,CG4_373,u_minus_g,2373,-0.05774756159937473,-0.13358123922906834,0.018086116030318858,0.1355633603965334
leave one CG4 group out,CG4_374,u_minus_g,2373,-0.046964867849394104,-0.12513107514974944,0.031201339450961235,0.23895139606660376
leave one CG4 group out,CG4_386,u_minus_g,2372,-0.0410960521663046,-0.11887345185421144,0.03668134752160224,0.30038574941816554
leave one CG4 group out,CG4_394,u_minus_g,2372,-0.05508428668300931,-0.13238962958349257,0.022221056217473945,0.1625394323009084
leave one CG4 group out,CG4_405,u_minus_g,2373,-0.04167129032920268,-0.11934792706546478,0.03600534640705942,0.2930452924699789
leave one CG4 group out,CG4_25,g_minus_r,2373,-0.0002616638920881695,-0.028843017125682876,0.028319689341506537,0.9856838626136727
leave one CG4 group out,CG4_33,g_minus_r,2373,-0.0032201507063381804,-0.03221429186760255,0.025773990454926194,0.8276802009651492
leave one CG4 group out,CG4_52,g_minus_r,2372,-0.001103509117278155,-0.030383338871473427,0.028176320636917117,0.9411155364475905
leave one CG4 group out,CG4_61,g_minus_r,2373,-0.0059114806792362334,-0.034324328338265805,0.022501366979793335,0.6834326603055274
leave one CG4 group out,CG4_73,g_minus_r,2373,-0.0012170773831241752,-0.030282160406443992,0.02784800564019564,0.9345895040753268
leave one CG4 group out,CG4_80,g_minus_r,2374,-0.0036258671385593216,-0.03247718559325925,0.02522545131614061,0.8054368834688324
leave one CG4 group out,CG4_82,g_minus_r,2373,-0.0015256352895612196,-0.030363600701494218,0.02731233012237178,0.9174158694223945
leave one CG4 group out,CG4_84,g_minus_r,2372,-0.0030197229171196327,-0.032465458305404454,0.02642601247116519,0.8406997598024529
leave one CG4 group out,CG4_99,g_minus_r,2373,-0.0032288801841522177,-0.032221528790909046,0.02576376842260461,0.8272116676668404
leave one CG4 group out,CG4_101,g_minus_r,2374,-0.00328428651323847,-0.03214985293095987,0.025581279904482928,0.8235338356404884
leave one CG4 group out,CG4_106,g_minus_r,2373,3.242475501396072e-05,-0.028684983540930013,0.028749833050957935,0.9982342904799613
leave one CG4 group out,CG4_112,g_minus_r,2374,-0.004152074358599482,-0.03286167153020703,0.02455752281300807,0.7768270756065594
leave one CG4 group out,CG4_117,g_minus_r,2373,-0.003290118403073014,-0.032343084987746115,0.02576284818160009,0.824347242983773
leave one CG4 group out,CG4_128,g_minus_r,2374,-0.003056197262098083,-0.0319403703003517,0.02582797577615553,0.835712106973985
leave one CG4 group out,CG4_131,g_minus_r,2374,-0.0034949180082869437,-0.03231145329381853,0.025321617277244645,0.8121077814778576
leave one CG4 group out,CG4_142,g_minus_r,2373,-0.0032476175331026327,-0.0323249024823922,0.025829667416186936,0.8267227028963411
leave one CG4 group out,CG4_147,g_minus_r,2374,-0.001245065069194272,-0.02990590764420355,0.027415777505815007,0.9321473565459419
leave one CG4 group out,CG4_154,g_minus_r,2373,-0.008564209110996618,-0.03552382699555893,0.018395408773565693,0.5335356274250511
leave one CG4 group out,CG4_158,g_minus_r,2373,-0.002287130404005293,-0.031334790380975,0.026760529572964417,0.8773558451791376
leave one CG4 group out,CG4_165,g_minus_r,2374,-0.0032933063617146333,-0.03215193057146381,0.025565317848034542,0.8230153481358744
leave one CG4 group out,CG4_173,g_minus_r,2374,-0.0016956845682981926,-0.030454407051259264,0.02706303791466288,0.9079978839259584
leave one CG4 group out,CG4_188,g_minus_r,2372,-0.005013935768616789,-0.03424315886509642,0.024215287327862843,0.7367131205411492
leave one CG4 group out,CG4_197,g_minus_r,2372,-0.003521134941149473,-0.03285306724665847,0.02581079736435952,0.8139892835631897
leave one CG4 group out,CG4_204,g_minus_r,2372,-0.0008004161343129965,-0.029812583266736605,0.028211750998110612,0.9568766773320411
leave one CG4 group out,CG4_206,g_minus_r,2373,-0.002051662504075548,-0.03097264963688859,0.026869324628737493,0.8894182519066678
leave one CG4 group out,CG4_207,g_minus_r,2373,-0.004171789096174491,-0.033092938330230116,0.024749360137881135,0.7773923036138922
