colour,colour_label,catalogue,n,slope,intercept
u-r,$(u-r)$,CG4,110,0.6726952038288925,-4.627023535897482
u-r,$(u-r)$,Control4B,931,0.44807217034703417,-2.4390413821032
u-r,$(u-r)$,Control4C,1459,0.3839947362331339,-1.555253491226454
u-r,$(u-r)$,RG4,102,0.6083685023869463,-4.096707958348475
u-r,$(u-r)$,SDSS,52531,0.4406602188921943,-2.3832148544986014
u-g,$(u-g)$,CG4,110,0.4384687603410784,-2.9131658834086815
u-g,$(u-g)$,Control4B,931,0.22817504147483497,-0.8300263794484388
u-g,$(u-g)$,Control4C,1459,0.20143846527336556,-0.3929871099477847
u-g,$(u-g)$,RG4,102,0.35007789560971475,-2.099247722674919
u-g,$(u-g)$,SDSS,52531,0.252606961273269,-1.0978959394850432
g-r,$(g-r)$,CG4,110,0.2342264434878141,-1.713857652488802
g-r,$(g-r)$,Control4B,931,0.21989712887219937,-1.6090150026547627
g-r,$(g-r)$,Control4C,1459,0.18255627095976837,-1.1622663812786704
g-r,$(g-r)$,RG4,102,0.25829060677723154,-1.9974602356735562
g-r,$(g-r)$,SDSS,52531,0.18805325761892575,-1.2853189150135598
r-i,$(r-i)$,CG4,110,0.10123459431992717,-0.6934227782543586
r-i,$(r-i)$,Control4B,931,0.11674785356392016,-0.8672470191355999
r-i,$(r-i)$,Control4C,1459,0.10645121546515741,-0.7497275363665555
r-i,$(r-i)$,RG4,102,0.1375916267135882,-1.0674939675004196
r-i,$(r-i)$,SDSS,52531,0.13272151243254,-1.0173674937169892
