sample,variable,n,test,p_value,cramers_v,matched_fractions,unmatched_fractions
CG4,morphology,248,chi-square,2.6597794365545778e-06,0.3217551082031416,"{'Spiral': 0.4818181818181818, 'Elliptical': 0.4727272727272727, 'Uncertain': 0.045454545454545456}","{'Elliptical': 0.5217391304347826, 'Spiral': 0.2391304347826087, 'Uncertain': 0.2391304347826087}"
CG4,sSFR_class,248,chi-square,3.8899246898459867e-07,0.34500708096347327,"{'Starforming': 0.509090909090909, 'Passive': 0.4727272727272727, 'Quenched': 0.01818181818181818}","{'Passive': 0.6811594202898551, 'Starforming': 0.2028985507246377, 'Quenched': 0.11594202898550725}"
CG4,galaxy_role,248,Fisher exact,3.1038891461203454e-09,0.3655090121250966,"{'Satellite': 0.9272727272727272, 'BGG': 0.07272727272727272}","{'Satellite': 0.6086956521739131, 'BGG': 0.391304347826087}"
Control4B,morphology,2792,chi-square,1.3430797779288067e-41,0.2596435504237481,"{'Spiral': 0.6262083780880774, 'Elliptical': 0.3104189044038668, 'Uncertain': 0.06337271750805586}","{'Elliptical': 0.43901128425577646, 'Spiral': 0.36700698549167116, 'Uncertain': 0.1939817302525524}"
Control4B,sSFR_class,2792,chi-square,7.246801227196443e-124,0.45067602148261376,"{'Starforming': 0.6659505907626209, 'Passive': 0.32867883995703545, 'Quenched': 0.0053705692803437165}","{'Passive': 0.692101020956475, 'Starforming': 0.2138635142396561, 'Quenched': 0.09403546480386889}"
Control4B,galaxy_role,2792,Fisher exact,2.867111000507896e-38,0.2329087832997486,"{'Satellite': 0.8925886143931256, 'BGG': 0.10741138560687433}","{'Satellite': 0.6786673831273509, 'BGG': 0.32133261687264913}"
Control4C,morphology,3004,chi-square,1.2109732414495179e-39,0.24425406739677763,"{'Spiral': 0.5284167794316644, 'Elliptical': 0.3606224627875507, 'Uncertain': 0.11096075778078485}","{'Elliptical': 0.44692005242463956, 'Spiral': 0.30668414154652685, 'Uncertain': 0.24639580602883354}"
Control4C,sSFR_class,3004,chi-square,5.66955833995527e-112,0.4129675812526401,"{'Starforming': 0.5967523680649527, 'Passive': 0.38633288227334234, 'Quenched': 0.016914749661705007}","{'Passive': 0.6861074705111402, 'Starforming': 0.20576671035386632, 'Quenched': 0.10812581913499344}"
Control4C,galaxy_role,3004,Fisher exact,1.7128980162296228e-115,0.40058308584467806,"{'Satellite': 0.9262516914749662, 'BGG': 0.07374830852503383}","{'Satellite': 0.5792922673656619, 'BGG': 0.42070773263433814}"
RG4,morphology,224,chi-square,5.877907328473468e-05,0.29492318405034373,"{'Spiral': 0.7352941176470589, 'Elliptical': 0.16666666666666666, 'Uncertain': 0.09803921568627451}","{'Spiral': 0.4426229508196721, 'Elliptical': 0.3524590163934426, 'Uncertain': 0.20491803278688525}"
RG4,sSFR_class,224,chi-square,5.921839630452634e-11,0.4585476770070955,"{'Starforming': 0.7745098039215687, 'Passive': 0.22549019607843138}","{'Passive': 0.639344262295082, 'Starforming': 0.319672131147541, 'Quenched': 0.040983606557377046}"
RG4,galaxy_role,224,Fisher exact,1.0565261634738356e-06,0.32088621525634403,"{'Satellite': 0.9019607843137255, 'BGG': 0.09803921568627451}","{'Satellite': 0.6229508196721312, 'BGG': 0.3770491803278688}"
