split_variable,split_value,colour,comparison,n_CG4,n_ordinary,median_CG4,median_ordinary,median_diff,ci68_low,ci68_high,ci95_low,ci95_high,mannwhitney_p,permutation_p,cliffs_delta,permutation_p_holm,permutation_p_holm_significant
none,All,u_minus_r,Ordinary pooled,102,1975,-0.02075756199954293,-0.10954671009275874,0.08878914809321581,0.03452719846637857,0.18832082483624069,-0.013911934384381834,0.2276676916258975,0.031050463312940348,0.15284715284715283,0.12645321419707134,0.3356643356643357,False
none,All,u_minus_r,Control4B,102,831,-0.02075756199954293,-0.16299095460494728,0.14223339260540435,0.08507329757587812,0.2435751694858889,0.02987273839821386,0.2915578375552767,0.0011355436490494072,0.017982017982017984,0.1972582053278591,0.03596403596403597,True
none,All,u_minus_r,Control4C,102,1052,-0.02075756199954293,-0.04634323203497581,0.025585670035432884,-0.023273626920834144,0.12970219982080264,-0.07988580004960187,0.17766072895781376,0.3246265637052306,0.6673326673326674,0.059009915753373665,1.0,False
none,All,u_minus_r,RG4,102,92,-0.02075756199954293,-0.24886205622052948,0.22810449422098655,0.14476651699088414,0.3255086777019616,0.0652300284440407,0.4060356451680787,0.001936026557078415,0.002997002997002997,0.2580988917306053,0.011988011988011988,True
none,All,u_minus_g,Ordinary pooled,102,1975,-0.039989236159352015,-0.11104768055727554,0.07105844439792353,0.03222829603573148,0.108572628249816,0.00011676979984104617,0.15733503694627798,0.08535060010269463,0.11188811188811189,0.10088855795482754,0.3356643356643357,False
none,All,u_minus_g,Control4B,102,831,-0.039989236159352015,-0.1364081208152501,0.0964188846558981,0.05711539935806604,0.13461621782177766,0.016861667603308934,0.19372471080181766,0.01791772028375353,0.029970029970029972,0.14348410844482196,0.03596403596403597,True
none,All,u_minus_g,Control4C,102,1052,-0.039989236159352015,-0.08012637339461814,0.04013713723526613,0.0005340220161907184,0.0799966375219086,-0.03511773991112898,0.13455355053065327,0.3554829554933967,0.37662337662337664,0.055356743457839475,1.0,False
none,All,u_minus_g,RG4,102,92,-0.039989236159352015,-0.23219754570523599,0.19220830954588397,0.12951592787298472,0.23235242276236145,0.07349120578603052,0.2822959864978467,0.004458009168981688,0.002997002997002997,0.23678601875532812,0.011988011988011988,True
none,All,g_minus_r,Ordinary pooled,102,1975,0.02816383710429743,-0.004904643905029871,0.0330684810093273,0.019859012849220155,0.04481972739375435,0.008276041170114067,0.05611932958885134,0.029906633720723337,0.07392607392607392,0.1273268801191363,0.2957042957042957,False
none,All,g_minus_r,Control4B,102,831,0.02816383710429743,-0.03539403416716158,0.06355787127145901,0.04743945599976934,0.0753558185027642,0.031142749505940634,0.0870643549214687,3.094438914353518e-05,0.002997002997002997,0.25251881739458715,0.011988011988011988,True
none,All,g_minus_r,Control4C,102,1052,0.02816383710429743,0.016932946491885648,0.011230890612411781,-0.0013984533224616893,0.023106210086259116,-0.015009842132796613,0.03526505979704081,0.7432883313804028,0.44655344655344653,0.019626481771415794,1.0,False
none,All,g_minus_r,RG4,102,92,0.02816383710429743,-0.030751201945079937,0.058915039049377366,0.03581668955314865,0.08874062281043477,0.016788059455764337,0.11048266956225271,0.006166412415659973,0.005994005994005994,0.22804774083546464,0.011988011988011988,True
none,All,r_minus_i,Ordinary pooled,102,1975,0.014179592111695671,0.006228290542748927,0.007951301568946745,0.004842181386322823,0.016213836518712277,0.0004157163903993899,0.022742221703900906,0.07663283822606129,0.2967032967032967,0.10382725241995527,0.3356643356643357,False
none,All,r_minus_i,Control4B,102,831,0.014179592111695671,-0.005602713715769314,0.019782305827464985,0.01588458707643528,0.027960658011134325,0.011194711976777766,0.035115007465788384,0.00039024969930577747,0.002997002997002997,0.21495481465751154,0.011988011988011988,True
none,All,r_minus_i,Control4C,102,1052,0.014179592111695671,0.01587823281887807,-0.0016986407071823972,-0.005399540470773292,0.007232409109115325,-0.009137255604317739,0.01382598114585568,0.7331924232792787,0.8241758241758241,0.020427943040334018,1.0,False
none,All,r_minus_i,RG4,102,92,0.014179592111695671,0.01049316030168046,0.0036864318100152116,-0.0007671295000942421,0.014479851199637251,-0.00784103911691011,0.023364896559141316,0.5195452016296621,0.5014985014985015,0.053708439897698135,0.5014985014985015,False
