check,comparison,colour,n,coefficient,ci_low,ci_high,p_value
baseline,Ordinary pooled,u_minus_r,2375,-0.050482399925035004,-0.14575952308764148,0.04479472323757147,0.2990451822077207
common stellar-mass range,Ordinary pooled,u_minus_r,2220,-0.0500980085005959,-0.14338744772806766,0.043191430726875854,0.2925546899861653
common redshift range,Ordinary pooled,u_minus_r,2355,-0.05113807902552949,-0.14536145134815134,0.04308529329709237,0.28744831143904215
exclude uncertain morphology,Ordinary pooled,u_minus_r,2147,-0.037909555701248265,-0.13196699043047527,0.05614787902797873,0.4295526645123956
trim residual 0.5%-99.5%,Ordinary pooled,u_minus_r,2351,0.004891972456337289,-0.0761131724959476,0.08589711740862216,0.9057792798587257
separate control,Control4B,u_minus_r,933,0.08920157057381256,-0.026091231356153127,0.20449437250377825,0.12941416040227396
separate control,Control4C,u_minus_r,1452,-0.17906084633092073,-0.29441672647155653,-0.06370496619028494,0.00234739806483042
separate control,RG4,u_minus_r,194,0.08600213612193283,-0.025917498433238637,0.19792177067710431,0.13204396360377693
bootstrap by group,Ordinary pooled,u_minus_r,2375,-0.05266267124876157,-0.14542560896730994,0.04141376346847461,0.28
baseline,Ordinary pooled,u_minus_g,2375,-0.04750919010609281,-0.12482288429794572,0.029804504085760103,0.22843656977754645
common stellar-mass range,Ordinary pooled,u_minus_g,2220,-0.04535301491291566,-0.12043314314714583,0.029727113321314516,0.23643729556080118
common redshift range,Ordinary pooled,u_minus_g,2355,-0.04802158749692889,-0.12447626669470008,0.028433091700842295,0.2182990323503603
exclude uncertain morphology,Ordinary pooled,u_minus_g,2147,-0.0411785722033188,-0.11693416585843107,0.03457702145179346,0.28670385978760726
trim residual 0.5%-99.5%,Ordinary pooled,u_minus_g,2351,-0.0001815698365580723,-0.06371024547962365,0.06334710580650749,0.9955304913515313
separate control,Control4B,u_minus_g,933,0.04482197848405772,-0.0494487530671133,0.13909271003522874,0.35139605427868337
separate control,Control4C,u_minus_g,1452,-0.13873765026132323,-0.23749732380361513,-0.03997797671903133,0.005898724283949289
separate control,RG4,u_minus_g,194,0.05111113717820714,-0.03429727160945172,0.136519545965866,0.2408337240907552
bootstrap by group,Ordinary pooled,u_minus_g,2375,-0.047203515520370345,-0.12334671705500154,0.030497093874956225,0.21333333333333335
baseline,Ordinary pooled,g_minus_r,2375,-0.0029732098189410965,-0.0315800704987359,0.025633650860853712,0.8385833897293157
common stellar-mass range,Ordinary pooled,g_minus_r,2220,-0.004744993587679824,-0.03395066224853646,0.02446067507317681,0.7501573445120104
common redshift range,Ordinary pooled,g_minus_r,2355,-0.003116491528599226,-0.031693689816956014,0.025460706759757562,0.8307465202000383
exclude uncertain morphology,Ordinary pooled,g_minus_r,2147,0.0032690165020710094,-0.026135684104389635,0.032673717108531654,0.8275104626983096
trim residual 0.5%-99.5%,Ordinary pooled,g_minus_r,2353,0.00655428027700836,-0.020569084905667463,0.033677645459684186,0.6357713033844876
separate control,Control4B,g_minus_r,933,0.0443795920897557,0.012482599770554707,0.07627658440895668,0.00639172651329606
separate control,Control4C,g_minus_r,1452,-0.04032319606959607,-0.07073357305112606,-0.009912819088066082,0.009353660199174408
separate control,RG4,g_minus_r,194,0.0348909989437254,-0.0021940385214403724,0.07197603640889118,0.06518199179513298
bootstrap by group,Ordinary pooled,g_minus_r,2375,-0.0040834751447182075,-0.03143894201599277,0.024267480822689216,0.7466666666666667
baseline,Ordinary pooled,r_minus_i,2375,0.007705363314353238,-0.007022899617666391,0.022433626246372865,0.3051785304367898
common stellar-mass range,Ordinary pooled,r_minus_i,2220,0.008063261649164152,-0.006873560181543963,0.023000083479872264,0.2900388101879343
common redshift range,Ordinary pooled,r_minus_i,2355,0.007700999301078583,-0.0071041150369871965,0.022506113639144364,0.3079699092047917
exclude uncertain morphology,Ordinary pooled,r_minus_i,2147,0.012852240555709873,-0.002512532880223144,0.028217013991642892,0.10111753322387428
trim residual 0.5%-99.5%,Ordinary pooled,r_minus_i,2353,0.0006589022689190756,-0.010953743808666198,0.01227154834650435,0.9114510274606412
separate control,Control4B,r_minus_i,933,0.019130948058618452,0.005817733957783976,0.03244416215945293,0.004855797148539067
separate control,Control4C,r_minus_i,1452,0.0005518145464049676,-0.018604090754883406,0.01970771984769334,0.9549756002532848
separate control,RG4,r_minus_i,194,0.008660629224446641,-0.01201410356400328,0.029335362012896563,0.41163068169659267
bootstrap by group,Ordinary pooled,r_minus_i,2375,0.007083045740667157,-0.008598197764281416,0.021474606270085107,0.31333333333333335
