colour,model,term,coefficient,ci_low,ci_high,p_value,n,p_holm,p_holm_significant
u_minus_r,morphology_adjusted,is_CG4_numeric,-0.08403041419054766,-0.18964451370324023,0.021583685322144913,0.11889734976125603,2077,0.3566920492837681,False
u_minus_r,morphology_interaction,is_CG4_numeric,-0.18967951637315142,-0.3614336459039775,-0.017925386842325364,0.030424565002954797,2077,0.3650947800354576,False
u_minus_r,morphology_interaction,is_CG4_numeric:C(morphology_harmonized)[T.Spiral],0.20440745202810967,0.007316487962692214,0.4014984160935271,0.04208056322902062,2077,0.42080563229020623,False
u_minus_r,morphology_interaction,is_CG4_numeric:C(morphology_harmonized)[T.Uncertain],0.03138604155703517,-0.49711871313877243,0.5598907962528428,0.9073391977623648,2077,1.0,False
u_minus_g,morphology_adjusted,is_CG4_numeric,-0.08001876709262222,-0.16971387189214987,0.009676337706905416,0.08037360706446252,2077,0.3214944282578501,False
u_minus_g,morphology_interaction,is_CG4_numeric,-0.16316815650083763,-0.31326555384935934,-0.013070759152315925,0.03311870639305456,2077,0.3650947800354576,False
u_minus_g,morphology_interaction,is_CG4_numeric:C(morphology_harmonized)[T.Spiral],0.15611933712959608,-0.012665799680077139,0.3249044739392693,0.06984934515177496,2077,0.5729907484681676,False
u_minus_g,morphology_interaction,is_CG4_numeric:C(morphology_harmonized)[T.Uncertain],0.07268750705292534,-0.41186708084302115,0.5572420949488719,0.7687486825763353,2077,1.0,False
g_minus_r,morphology_adjusted,is_CG4_numeric,-0.004011647097925349,-0.03187468314720839,0.023851388951357695,0.7777974490484287,2077,0.7777974490484287,False
g_minus_r,morphology_interaction,is_CG4_numeric,-0.026511359872314032,-0.0640694976791151,0.011046777934487037,0.16651465141647903,2077,0.9990879084988742,False
g_minus_r,morphology_interaction,is_CG4_numeric:C(morphology_harmonized)[T.Spiral],0.04828811489851331,-0.003282485324781481,0.0998587151218081,0.06647433634592008,2077,0.5729907484681676,False
g_minus_r,morphology_interaction,is_CG4_numeric:C(morphology_harmonized)[T.Uncertain],-0.04130146549588995,-0.13479943668204375,0.052196505690263864,0.38660664573699954,2077,1.0,False
r_minus_i,morphology_adjusted,is_CG4_numeric,0.008812828312877458,-0.0044581357733006165,0.022083792399055533,0.1930701897369268,2077,0.3861403794738536,False
r_minus_i,morphology_interaction,is_CG4_numeric,0.005086971041156119,-0.007803572917915015,0.017977515000227255,0.439252033048675,2077,1.0,False
r_minus_i,morphology_interaction,is_CG4_numeric:C(morphology_harmonized)[T.Spiral],0.01325456154619666,-0.012306883805006599,0.03881600689739992,0.3094797257720605,2077,1.0,False
r_minus_i,morphology_interaction,is_CG4_numeric:C(morphology_harmonized)[T.Uncertain],-0.05989037516759976,-0.12318618707241746,0.0034054367372179373,0.06366563871868529,2077,0.5729907484681676,False
