split_variable,split_value,colour,comparison,n_CG4,n_ordinary,median_CG4,median_ordinary,median_diff,ci68_low,ci68_high,ci95_low,ci95_high,mannwhitney_p,permutation_p,cliffs_delta,permutation_p_holm,permutation_p_holm_significant
morphology_harmonized,Elliptical,u_minus_r,Ordinary pooled,46,547,0.15902494984985038,0.19752390055517566,-0.038498950705325274,-0.06277197313151817,0.028827471438382015,-0.10813247058739557,0.06870765096984516,0.8496916759682747,0.3146853146853147,-0.0168508067721167,1.0,False
morphology_harmonized,Elliptical,u_minus_r,Control4B,46,218,0.15902494984985038,0.1623734111070818,-0.0033484612572314276,-0.029359520808931006,0.06708477376844613,-0.07387610840190628,0.1093074647039151,0.46542675631814434,0.9180819180819181,0.06860789788591948,1.0,False
morphology_harmonized,Elliptical,u_minus_r,Control4C,46,316,0.15902494984985038,0.23296688469209603,-0.07394193484224565,-0.09920813134953299,0.003343307249822556,-0.1421457569984172,0.05423097425108777,0.3854594806510785,0.07692307692307693,-0.07925151348376447,0.23076923076923078,False
morphology_harmonized,Elliptical,u_minus_r,RG4,46,13,0.15902494984985038,0.19216034882179933,-0.03313539897194895,-0.12162444750608503,0.10336664780947055,-0.16253287874260158,0.24753937039723128,0.7213804088792888,0.6903096903096904,0.06688963210702337,1.0,False
morphology_harmonized,Elliptical,u_minus_g,Ordinary pooled,46,547,0.11999628983480681,0.13498024300841038,-0.01498395317360357,-0.03328216376405921,0.009566229552612876,-0.1089942267252435,0.058553022099347485,0.9817707655027755,0.6833166833166833,-0.002066608377712442,1.0,False
morphology_harmonized,Elliptical,u_minus_g,Control4B,46,218,0.11999628983480681,0.12718539141785845,-0.007189101583051638,-0.027076995450060464,0.028575197228460945,-0.10567892168313746,0.07210023939500544,0.7571780414338658,0.8381618381618382,0.029118468288791277,1.0,False
morphology_harmonized,Elliptical,u_minus_g,Control4C,46,316,0.11999628983480681,0.14154235133198545,-0.021546061497178637,-0.04124683381508826,0.010396216458325376,-0.11801360868392036,0.0668974845933714,0.7589289674784201,0.5534465534465535,-0.02806824435883326,0.929070929070929,False
morphology_harmonized,Elliptical,u_minus_g,RG4,46,13,0.11999628983480681,0.15450661607681715,-0.034510326242010336,-0.06169216385266709,0.07360895115415989,-0.1321746648336311,0.3159357470104129,0.5645681365429133,0.5174825174825175,0.10702341137123739,1.0,False
morphology_harmonized,Elliptical,g_minus_r,Ordinary pooled,46,547,0.0667075606512601,0.07725375161127035,-0.010546190960010249,-0.027534191313103737,0.0034474675822591117,-0.0398126848711721,0.018933621752567114,0.7967074036038165,0.6153846153846154,-0.022891662030045334,1.0,False
morphology_harmonized,Elliptical,g_minus_r,Control4B,46,218,0.0667075606512601,0.03763335655064509,0.02907420410061501,0.011318248837065987,0.04040894385643777,-0.002594288394092212,0.055633947089738296,0.05958940948399242,0.0899100899100899,0.17690466693258866,0.2697302697302697,False
