comparison,colour,model,n,n_groups,is_CG4_coefficient,ci_low,ci_high,p_value,p_holm,p_holm_significant
Ordinary pooled,u_minus_r,mass+redshift,2077,1228,0.010074964569912664,-0.08334341228522554,0.10349334142505087,0.8325925057799631,1.0,False
Ordinary pooled,u_minus_r,full,2069,1224,-0.11521414131305566,-0.2198438630154951,-0.010584419610616208,0.030909535727787277,0.1114934201030927,False
Ordinary pooled,u_minus_g,mass+redshift,2077,1228,-0.008605180915050487,-0.08585278351773992,0.06864242168763895,0.8271682134578077,1.0,False
Ordinary pooled,u_minus_g,full,2069,1224,-0.10346704298021253,-0.19568430267413178,-0.011249783286293294,0.027873355025773174,0.1114934201030927,False
Ordinary pooled,g_minus_r,mass+redshift,2077,1228,0.018680145484962735,-0.008775079850543911,0.04613537082046938,0.1823573910089369,0.5470721730268107,False
Ordinary pooled,g_minus_r,full,2069,1224,-0.011747098332842001,-0.03746576963821685,0.013971572972532844,0.370669064706182,0.48028284666460896,False
Ordinary pooled,r_minus_i,mass+redshift,2077,1228,0.013649036274314175,-0.00021200832561712318,0.027510080874245474,0.05360859481076045,0.2144343792430418,False
Ordinary pooled,r_minus_i,full,2069,1224,0.008423049902492602,-0.00563144126782858,0.022477541072813783,0.24014142333230448,0.48028284666460896,False
Control4B,u_minus_r,mass+redshift,933,577,0.08920157057381256,-0.026091231356153127,0.20449437250377825,0.12941416040227396,0.25882832080454793,False
Control4B,u_minus_r,full,928,575,-0.07344115831812603,-0.23258938603465992,0.08570706939840786,0.3657554677593522,0.7972949614710897,False
Control4B,u_minus_g,mass+redshift,933,577,0.04482197848405772,-0.0494487530671133,0.13909271003522874,0.35139605427868337,0.35139605427868337,False
Control4B,u_minus_g,full,928,575,-0.07673391185261458,-0.2118763188371658,0.05840849513193663,0.2657649871570299,0.7972949614710897,False
Control4B,g_minus_r,mass+redshift,933,577,0.0443795920897557,0.012482599770554707,0.07627658440895668,0.00639172651329606,0.019423188594156267,True
Control4B,g_minus_r,full,928,575,0.00329275353448763,-0.034622144160364875,0.041207651229340135,0.8648411794652366,0.8648411794652366,False
Control4B,r_minus_i,mass+redshift,933,577,0.019130948058618452,0.005817733957783976,0.03244416215945293,0.004855797148539067,0.019423188594156267,True
Control4B,r_minus_i,full,928,575,0.012150181160473145,-0.0016219155107903265,0.025922277831736618,0.08378359679759047,0.33513438719036187,False
Control4C,u_minus_r,mass+redshift,1154,654,-0.07001762709218781,-0.1803436638791474,0.040308409694771785,0.21354480973889634,0.7263386378322401,False
Control4C,u_minus_r,full,1149,651,-0.15005808440672116,-0.2712094915662531,-0.02890667724718922,0.015198651661978688,0.06079460664791475,False
Control4C,u_minus_g,mass+redshift,1154,654,-0.06421991941917399,-0.15844067465867817,0.03000083582033021,0.18158465945806002,0.7263386378322401,False
Control4C,u_minus_g,full,1149,651,-0.1254056921025597,-0.23403520059108693,-0.016776183614032464,0.023657226401508562,0.07097167920452568,False
Control4C,g_minus_r,mass+redshift,1154,654,-0.005797707673012895,-0.03588022644406444,0.02428481109803865,0.7056255380968136,0.7263386378322401,False
Control4C,g_minus_r,full,1149,651,-0.024652392304161774,-0.05266186151225702,0.0033570769039334668,0.08451803630320615,0.1690360726064123,False
Control4C,r_minus_i,mass+redshift,1154,654,0.010133005475466722,-0.007113185810406788,0.027379196761340232,0.24949473299739744,0.7263386378322401,False
Control4C,r_minus_i,full,1149,651,0.005879913504887535,-0.011238008163459691,0.02299783517323476,0.5007965080680452,0.5007965080680452,False
RG4,u_minus_r,mass+redshift,194,103,0.08600213612193283,-0.025917498433238637,0.19792177067710431,0.13204396360377693,0.3961318908113308,False
RG4,u_minus_r,full,192,102,0.02131582781169928,-0.07165853791765159,0.11429019354105013,0.6531774597553581,1.0,False
RG4,u_minus_g,mass+redshift,194,103,0.05111113717820714,-0.03429727160945172,0.136519545965866,0.2408337240907552,0.4816674481815104,False
RG4,u_minus_g,full,192,102,0.010868626054827357,-0.06496741025128885,0.08670466236094357,0.7787893962605156,1.0,False
RG4,g_minus_r,mass+redshift,194,103,0.0348909989437254,-0.0021940385214403724,0.07197603640889118,0.06518199179513298,0.2607279671805319,False
RG4,g_minus_r,full,192,102,0.010447201756871942,-0.02020455328718969,0.041098956800933575,0.5041176236133911,1.0,False
RG4,r_minus_i,mass+redshift,194,103,0.008660629224446641,-0.01201410356400328,0.029335362012896563,0.41163068169659267,0.4816674481815104,False
RG4,r_minus_i,full,192,102,0.0035338073670982337,-0.016961302243310543,0.02402891697750701,0.7354077478801991,1.0,False
