sample,outlier_class,count,fraction_of_satellites
CG4,blue + low sSFR,1,0.005376344086021506
CG4,red + high sSFR,6,0.03225806451612903
CG4,blue elliptical,8,0.043010752688172046
CG4,red spiral,11,0.05913978494623656
Control4B,blue + low sSFR,11,0.0052531041069723014
Control4B,red + high sSFR,68,0.03247373447946514
Control4B,blue elliptical,35,0.016714422158548233
Control4B,red spiral,93,0.044412607449856735
Control4C,blue + low sSFR,10,0.00474158368895211
Control4C,red + high sSFR,103,0.04883831199620673
Control4C,blue elliptical,37,0.017543859649122806
Control4C,red spiral,146,0.06922712185870081
RG4,blue + low sSFR,1,0.005952380952380952
RG4,red + high sSFR,11,0.06547619047619048
RG4,blue elliptical,3,0.017857142857142856
RG4,red spiral,13,0.07738095238095238
