panel,sample,scope,value_column,statistic,bin_left,bin_right,bin_centre,mass_location,n_galaxies,n_groups,estimate,ci16,ci84,displayed,interval_method
elliptical_vote,CG4,all,p_E,median,7.0,9.5,8.25,9.305901500000001,10,8,0.1464999988675115,0.0199999995529652,0.1810000017285345,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
elliptical_vote,CG4,all,p_E,median,9.5,10.0,9.75,9.83043,38,30,0.273999996483326,0.1785000041127205,0.42650000751018546,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
elliptical_vote,CG4,all,p_E,median,10.0,10.5,10.25,10.18646,72,49,0.64750000834465,0.550999999046326,0.6870000064373014,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
elliptical_vote,CG4,all,p_E,median,10.5,11.0,10.75,10.734925,54,40,0.7129999995231625,0.6579199934005738,0.805999994277954,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
elliptical_vote,CG4,all,p_E,median,11.0,12.5,11.75,11.14546,43,42,0.880999982357025,0.787999987602234,0.9104999899864199,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
spiral_vote,CG4,all,p_S,median,7.0,9.5,8.25,9.305901500000001,10,8,0.7435000240802765,0.666999995708466,0.857999980449677,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
spiral_vote,CG4,all,p_S,median,9.5,10.0,9.75,9.83043,38,30,0.615000009536743,0.48399998247623444,0.7851599991321558,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
spiral_vote,CG4,all,p_S,median,10.0,10.5,10.25,10.18646,72,49,0.22749999910593,0.200000002980232,0.263999998569489,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
spiral_vote,CG4,all,p_S,median,10.5,11.0,10.75,10.734925,54,40,0.1349999979138375,0.0930000022053718,0.199000000953674,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
spiral_vote,CG4,all,p_S,median,11.0,12.5,11.75,11.14546,43,42,0.0450000017881393,0.029499999247491353,0.0529999993741512,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
quenched_satellites,CG4,satellites,is_quenched,fraction,7.0,10.0,8.5,9.720794,53,38,0.16981132075471697,0.11848454636091728,0.22,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
quenched_satellites,CG4,satellites,is_quenched,fraction,10.0,10.5,10.25,10.19986,75,51,0.6933333333333334,0.6428571428571429,0.75,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
quenched_satellites,CG4,satellites,is_quenched,fraction,10.5,11.0,10.75,10.698695,44,35,0.8636363636363636,0.813953488372093,0.9130434782608695,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
quenched_satellites,CG4,satellites,is_quenched,fraction,11.0,12.5,11.75,11.012789999999999,2,2,1.0,1.0,1.0,False,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
quenched_bggs,CG4,bggs,is_quenched,fraction,7.0,10.0,8.5,,0,0,,,,False,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
quenched_bggs,CG4,bggs,is_quenched,fraction,10.0,10.5,10.25,,0,0,,,,False,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
